"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10691","GADD45B",1.86400534815993e-05,0.207264722209788,18.4007070289701,1,2297.58704969905,1.48514115527598
"1931","HECW2",3.22817104913618e-05,0.207264722209788,17.3474298841373,1,2297.58704969905,3.56905108922451
"10488","TUBB6",0.000146932999849124,0.628922217020867,14.4595529627998,1,2297.58704969905,-1.1656853456605
"9985","LIG3",0.000315065712223796,0.884767323595769,13.0181996317891,1,2297.58704969905,-10
"5354","CA8",0.000352034420038731,0.884767323595769,12.8093539038561,1,2297.58704969905,4.0659529656376
"1624","ST3GAL5",0.000612682471028056,0.884767323595769,11.7696408159229,1,2297.58704969905,-0.618244314918506
"11952","GATD3B",0.000622713715905247,0.884767323595769,11.7392574736035,1,2297.58704969905,1.15680473522724
"11650","ATRN",0.000630819076376946,0.884767323595769,11.7150665521884,1,2297.58704969905,0.477492020787617
"1732","PAX8",0.000765231562475291,0.884767323595769,11.3541486893487,1,2297.58704969905,0.851156178037773
"10398","ENDOV",0.000840659704427068,0.884767323595769,11.1787755386134,1,2297.58704969905,-1.91934395248053
"5513","TATDN1",0.00088773812424234,0.884767323595769,11.0772112492627,1,2297.58704969905,0.753844578714316
"3167","DNAJB14",0.000956561809461078,0.884767323595769,10.9381408195255,1,2297.58704969905,-0.537440674719945
"6920","NXF1",0.000974776363831579,0.884767323595769,10.9030285708752,1,2297.58704969905,0.97754010444033
"777","SCNM1",0.000994130364109485,0.884767323595769,10.8664400536575,1,2297.58704969905,0.741496220510127
"9418","ARMC5",0.00103352619374944,0.884767323595769,10.7941393904989,1,2297.58704969905,1.83772429382044
"6556","FAM24B",0.00110899959999697,0.890041491472568,10.66310376987,1,2297.58704969905,-10
"4966","PMPCB",0.00142273778839005,0.931407157587991,10.2008794169031,1,2297.58704969905,-1.01034855217184
"8100","COG6",0.00143920271955066,0.931407157587991,10.1795669519148,1,2297.58704969905,-0.9264588844053
"748","ANP32E",0.00145767546165821,0.931407157587991,10.1559476911973,1,2297.58704969905,0.692419868731714
"12171","KREMEN1",0.00146550787700178,0.931407157587991,10.1460245917594,1,2297.58704969905,2.16983987589055
"8271","RAB2B",0.00155720841136289,0.931407157587991,10.0336880464087,1,2297.58704969905,-1.06392204574749
"4634","BZW2",0.00159574468241849,0.931407157587991,9.98846751118772,1,2297.58704969905,0.940820735666364
"1842","ABCB11",0.00175820721869939,0.942008010143212,9.80926934648235,1,2297.58704969905,2.46624974858146
"9727","ATP2A3",0.00187749858911582,0.942008010143212,9.68807682332185,1,2297.58704969905,-1.07270391703499
"10954","BRD4",0.00211797319720962,0.942008010143212,9.46587870897656,1,2297.58704969905,0.398681861222706
"10253","CYB561",0.00219182302715458,0.942008010143212,9.40276096780369,1,2297.58704969905,-2.00245192232784
"2433","TKT",0.0023240817627078,0.942008010143212,9.29493710215445,1,2297.58704969905,0.39865018832986
"1986","EEF1B2",0.002389594821448,0.942008010143212,9.24381369161338,1,2297.58704969905,-0.519464001766356
"9133","EME2",0.00249398622290378,0.942008010143212,9.16522166939212,1,2297.58704969905,1.4341961287193
"2792","ATP11B",0.00254512330032015,0.942008010143212,9.12793372189906,1,2297.58704969905,-0.480458350668073
"7039","RPS6KB2",0.00255118360368369,0.942008010143212,9.12356521730995,1,2297.58704969905,0.710965525108787
"10699","ZNF57",0.00257676766169296,0.942008010143212,9.10523867718118,1,2297.58704969905,2.26159794984466
"5186","CLDN23",0.002585632219429,0.942008010143212,9.09893184863398,1,2297.58704969905,1.29614540689711
"8208","TM9SF2",0.00259120370005684,0.942008010143212,9.09497916279989,1,2297.58704969905,-0.48078769554039
"9273","GDE1",0.00264391088926617,0.942008010143212,9.05800765260888,1,2297.58704969905,-0.596859790642054
"10986","ANO8",0.00282389807456302,0.942008010143212,8.93717230233969,1,2297.58704969905,-10
"4496","SUMO4",0.00284646849508135,0.942008010143212,8.92257476892799,1,2297.58704969905,-2.97026709000034
"4935","SLC12A9",0.00293392422938457,0.942008010143212,8.86710241679687,1,2297.58704969905,-1.62165060891377
"3113","SCD5",0.00296117021512367,0.942008010143212,8.85016349040408,1,2297.58704969905,-10
"7894","SH2B3",0.00301832920141791,0.942008010143212,8.81513658620953,1,2297.58704969905,-0.448540315525561
"739","NOTCH2NLC",0.00305356425848713,0.942008010143212,8.79387902869241,1,2297.58704969905,-1.2142833253659
"5949","PPP6C",0.00324393789363078,0.942008010143212,8.68317457989166,1,2297.58704969905,-0.685041813980337
"11875","BCAS4",0.003287595556348,0.942008010143212,8.65871924219408,1,2297.58704969905,2.47886483349587
"4252","PTCHD4",0.00338056354758548,0.942008010143212,8.6077247034172,1,2297.58704969905,2.2229165275816
"3937","PPP1R3G",0.00343937515753208,0.942008010143212,8.57619702376367,1,2297.58704969905,-10
"2111","TRAF3IP1",0.00360634665472272,0.942008010143212,8.48959027931949,1,2297.58704969905,0.831353588562741
"1517","WDPCP",0.00361777926384387,0.942008010143212,8.4838103732587,1,2297.58704969905,-0.609943110826244
"1776","NCKAP5",0.00369242565207289,0.942008010143212,8.44652281827672,1,2297.58704969905,3.44553026047773
"11962","CXADR",0.00369669462911734,0.942008010143212,8.44441362007447,1,2297.58704969905,1.86708017038654
"10668","TCF3",0.00372132793117376,0.942008010143212,8.43229112135803,1,2297.58704969905,0.927834363169121
"3315","SH3RF1",0.00381264058196569,0.942008010143212,8.38805628055001,1,2297.58704969905,-0.697361303968963
"12015","PIGP",0.00381741651654026,0.942008010143212,8.38577243223125,1,2297.58704969905,-0.943162999531775
"9142","GFER",0.00388952436887416,0.942008010143212,8.35163965906836,1,2297.58704969905,-1.28000622957082
"4824","CCDC146",0.00408669509926856,0.942008010143212,8.26149853752367,1,2297.58704969905,-0.671952002468589
"7307","ZNF202",0.00413278016514457,0.942008010143212,8.24106855519183,1,2297.58704969905,-10
"7597","LARP4",0.00414071178286507,0.942008010143212,8.23757580383501,1,2297.58704969905,0.449652355295184
"3873","LMAN2",0.00421927626630726,0.942008010143212,8.20334283566084,1,2297.58704969905,-0.528295799699259
"6807","MDK",0.00434834946935034,0.942008010143212,8.14848718485194,1,2297.58704969905,1.24254995385847
"3925","RIPK1",0.00468994936483212,0.942008010143212,8.01095124862154,1,2297.58704969905,0.495304566751835
"7735","HELB",0.00471152863587627,0.942008010143212,8.00260895129871,1,2297.58704969905,0.763386745275538
