"name","pval","adj_pval","f_statistic","df1","df2","lfc"
"TP53",3.86311091907194e-54,4.96062073118028e-50,252.937574866962,1,2322.0801524611,2.65968651241258
"MDM2",6.31101246742998e-45,4.05198555471342e-41,206.514143744632,1,2322.0801524611,1.49678643526819
"CDKN1A",3.39696908095853e-10,1.45401599895295e-06,39.7772593404854,1,2322.0801524611,0.831371280451662
"LAPTM5",2.09060337519424e-06,0.0067113594852173,22.6242759684165,1,2322.0801524611,0.270985817811121
"CYFIP2",3.42310685734002e-06,0.00811562692860219,21.6685822066908,1,2322.0801524611,1.68069239545763
"VWCE",3.79205370077199e-06,0.00811562692860219,21.4704402366724,1,2322.0801524611,1.98669167851834
"ZMAT3",7.90074801169236e-06,0.0144933578883059,20.0521162537403,1,2322.0801524611,0.628108390287028
"ZBTB33",1.63932918793532e-05,0.0263132826278468,18.6466607245983,1,2322.0801524611,1.19111183795351
"ITPR2",4.08354271664439e-05,0.0582630800271451,16.8969606706977,1,2322.0801524611,0.379788553271416
"RASGRP3",7.97450247254005e-05,0.102400586249887,15.6199784747343,1,2322.0801524611,-0.691658785480042
"SULF2",9.28396287934815e-05,0.108377606667009,15.3306833564324,1,2322.0801524611,0.775872307552165
"ASCC3",0.000140530521824,0.150379369228498,14.5434950405967,1,2322.0801524611,0.489677695230071
"ARHGAP6",0.000215231124405273,0.212598682191393,13.736629581148,1,2322.0801524611,0.584245946997331
"CHMP4B",0.000245761880175928,0.225416307381364,13.4861273171435,1,2322.0801524611,-0.551696327967156
"TRIAP1",0.000355105614681184,0.275793717602128,12.7926076692252,1,2322.0801524611,0.800472282849213
"S100A4",0.000385897008340168,0.275793717602128,12.6362416774707,1,2322.0801524611,0.529061388924717
"APMAP",0.000390006936726269,0.275793717602128,12.6163294418068,1,2322.0801524611,0.415576981589665
"GNAI2",0.000421220570239489,0.275793717602128,12.4716778489381,1,2322.0801524611,0.241160084475334
"CASP4",0.000455106949412733,0.275793717602128,12.3264143560445,1,2322.0801524611,-0.538212452957984
"DCP1B",0.000456593495263573,0.275793717602128,12.3202945830183,1,2322.0801524611,0.751584814653926
"EIF2AK4",0.000459153773964158,0.275793717602128,12.3098015152307,1,2322.0801524611,-0.517358955317796
"PCNA",0.000490894804475681,0.275793717602128,12.184409525049,1,2322.0801524611,0.732498156609173
"NFE2L3",0.000493984542079973,0.275793717602128,12.1726439378513,1,2322.0801524611,-1.3527922554055
"PPM1G",0.000531619410576343,0.284438535467118,12.0350169144345,1,2322.0801524611,-0.679200852022982
"TP53I3",0.000554739150733963,0.284936217382993,11.9552697800871,1,2322.0801524611,0.730125357164005
"DNAJC10",0.00065338964936754,0.305625850979048,11.6489858377842,1,2322.0801524611,-0.932160936594386
"GPR82",0.000661235411293708,0.305625850979048,11.6266706091702,1,2322.0801524611,0.7716112936998
"APOBEC3C",0.000666421916315969,0.305625850979048,11.6120654095431,1,2322.0801524611,0.655087541260023
"REPS2",0.000745177367697675,0.32995939926227,11.4033990140704,1,2322.0801524611,-0.949850319252348
"ARL4A",0.000777009464287575,0.332585951030558,11.3253221593524,1,2322.0801524611,-2.04776009431772
"TBCA",0.000831927971863309,0.339239153745837,11.1979309909109,1,2322.0801524611,-0.391521349581459
"CTU1",0.0008636509277732,0.339239153745837,11.1281665483517,1,2322.0801524611,-1.80371955083372
"SEPTIN6",0.000918228559282112,0.339239153745837,11.0139968824855,1,2322.0801524611,-0.601760854763776
"PADI4",0.000929599685438875,0.339239153745837,10.9910756384783,1,2322.0801524611,3.373710827584
"PRELID2",0.00095461437623265,0.339239153745837,10.9416353202666,1,2322.0801524611,-2.03033193956946
"SFSWAP",0.000963043419931297,0.339239153745837,10.9252705650601,1,2322.0801524611,-0.674992305536333
"DHTKD1",0.000993517348343181,0.339239153745837,10.8672922037332,1,2322.0801524611,-1.35293795577162
"PHLDA3",0.00100390061851427,0.339239153745837,10.8479477550074,1,2322.0801524611,0.844996171977011
"SRD5A1",0.00105566365973336,0.347584027041951,10.7544365910266,1,2322.0801524611,-0.988941825434769
"GSDMB",0.00109635731995792,0.351958108639491,10.6841252054496,1,2322.0801524611,-10
"HEXA",0.00119785721524356,0.375163036608353,10.5196623240525,1,2322.0801524611,0.286265307157616
"MTRES1",0.00123822437039832,0.378572360482972,10.4581452451962,1,2322.0801524611,-1.26001045066052
"NXT2",0.00134103862740644,0.395931560335979,10.3102028225126,1,2322.0801524611,-1.58614831220702
"COX10",0.00139705988822545,0.395931560335979,10.2343576607538,1,2322.0801524611,-1.30286568502345
"HINT3",0.0013996007200988,0.395931560335979,10.2309911696956,1,2322.0801524611,-0.871992176961357
"TNFRSF10D",0.0014612741573115,0.395931560335979,10.1511221838718,1,2322.0801524611,0.819971029307031
"FKBP1B",0.00149287892343885,0.395931560335979,10.111507106578,1,2322.0801524611,-2.18213826186417
"PTCHD4",0.00154388587237651,0.395931560335979,10.0493311733522,1,2322.0801524611,2.08123870921041
"YBX3",0.00156913575873289,0.395931560335979,10.0193186041435,1,2322.0801524611,0.406470351041041
"SLITRK4",0.00157875677844516,0.395931560335979,10.0080114659113,1,2322.0801524611,2.00132194433547
"RNF13",0.00160137044760895,0.395931560335979,9.98170736241534,1,2322.0801524611,0.244793770624053
"ZNF276",0.00160333627735152,0.395931560335979,9.97943853609613,1,2322.0801524611,-1.84187378632857
"FBLIM1",0.0016590337688812,0.396894800865841,9.91630178361458,1,2322.0801524611,2.02173974804299
"RNF26",0.00166905375334907,0.396894800865841,9.90517190493388,1,2322.0801524611,-2.05084889949927
"KHK",0.00170090761975813,0.397115540823893,9.87023442457346,1,2322.0801524611,-10
"HNRNPF",0.00179356851957115,0.405969531723974,9.77225420786063,1,2322.0801524611,-0.486036850881411
"CYB561A3",0.00180206084481477,0.405969531723974,9.76353258579738,1,2322.0801524611,0.410875260931753
"BOD1L1",0.00192217671234428,0.419534420295376,9.64445137626235,1,2322.0801524611,0.364262038077471
"FPR1",0.00192761707012127,0.419534420295376,9.63923812025108,1,2322.0801524611,-0.712331613376354
"ARPC2",0.00201394493437007,0.421382841020542,9.55845450251832,1,2322.0801524611,-0.207330038963698
"SPATA18",0.00203444955677956,0.421382841020542,9.53978330302306,1,2322.0801524611,2.03646028104966
"PIGS",0.00203455619837035,0.421382841020542,9.53968669675861,1,2322.0801524611,0.66546135694835
"FDXR",0.00221045451376222,0.450546768432074,9.38695446677789,1,2322.0801524611,0.866207270177739
"PIBF1",0.00226265548238833,0.453327308184807,9.34399678047892,1,2322.0801524611,-0.516453061588481
"KHDRBS2",0.00230324139661332,0.453327308184807,9.31128705189643,1,2322.0801524611,-3.68165802012863
"CCSER1",0.002330005633533,0.453327308184807,9.29003538334557,1,2322.0801524611,-1.06657860042477
"SPTSSA",0.00244706135769221,0.468995744688443,9.19991268938084,1,2322.0801524611,-0.656308170147044
"FOXN2",0.00266693857729945,0.503619974575033,9.04188109763461,1,2322.0801524611,0.438499313392067
"CCAR1",0.00293189948373824,0.545630743053373,8.86816690588297,1,2322.0801524611,0.381463508129749
"CD300LB",0.00301987174999083,0.549569824650793,8.81400232684307,1,2322.0801524611,-0.958008849569848
"JMJD6",0.0030386619071884,0.549569824650793,8.80264125504969,1,2322.0801524611,-1.41985109337233
"LMNB2",0.00311118752803911,0.550970669687322,8.75945019484288,1,2322.0801524611,1.36250823768122
"CDRT4",0.00313869737876598,0.550970669687322,8.74333455451563,1,2322.0801524611,0.684422959854779
"FADD",0.00321495302567472,0.550970669687322,8.69940289232239,1,2322.0801524611,-1.31332879005571
"ZKSCAN2",0.00321803599614899,0.550970669687322,8.69764912215378,1,2322.0801524611,1.58728433925024
"ANXA1",0.00334576112560452,0.565301560709047,8.62645500099112,1,2322.0801524611,-0.399859863084693
"OVGP1",0.00344381059350726,0.574311322483464,8.57365333273913,1,2322.0801524611,2.63708135171666
"CCL4L2",0.00350946332451289,0.577756648077821,8.53914605837871,1,2322.0801524611,3.12097688665534
"FBXO22",0.00357441316385637,0.58100049920354,8.50564858508612,1,2322.0801524611,0.554559961368709
"RBM34",0.00362217721702567,0.581404720547833,8.48140746469078,1,2322.0801524611,1.79466773116568
"CENPA",0.0038405618376389,0.602058702655955,8.37456536241407,1,2322.0801524611,0.901430652390335
"BATF",0.00384462375342951,0.602058702655955,8.3726372197256,1,2322.0801524611,0.792075761888127
"CCDC9",0.0039740134938788,0.60806813281015,8.31227896860213,1,2322.0801524611,-1.94051089283427
"TK1",0.00400440654348283,0.60806813281015,8.29839138232697,1,2322.0801524611,-10
"FAM102A",0.00404985075940338,0.60806813281015,8.27782538074549,1,2322.0801524611,-10
"MTDH",0.00407603997794024,0.60806813281015,8.26607979932341,1,2322.0801524611,-0.277865114732965
"EIF5B",0.00411976696164497,0.60806813281015,8.24663896409733,1,2322.0801524611,0.378865969445301
"FABP3",0.00420815478780114,0.612365867506124,8.20797583582268,1,2322.0801524611,-1.10453246477583
"UPF1",0.00433636936728733,0.612365867506124,8.15333721739831,1,2322.0801524611,0.580540232212398
"GLCE",0.00437146470046474,0.612365867506124,8.1386680967108,1,2322.0801524611,-0.777653775746481
"MRPL43",0.00438187375887326,0.612365867506124,8.13434039100704,1,2322.0801524611,0.540450654937622
"UBB",0.00443498269004212,0.612365867506124,8.11242144548778,1,2322.0801524611,-0.289281714455412
"SLC25A33",0.00447425279893496,0.612365867506124,8.09638532625471,1,2322.0801524611,-1.32424700935181
"PIGQ",0.00455313892618319,0.612365867506124,8.06460081265239,1,2322.0801524611,1.00042197539965
"GALNT4",0.00457550600825211,0.612365867506124,8.05569082172325,1,2322.0801524611,0.823792901416481
"ICAM2",0.00459017306483918,0.612365867506124,8.04987222338096,1,2322.0801524611,-1.11553778026287
"FAHD2B",0.00462576817600608,0.612365867506124,8.03582964082245,1,2322.0801524611,-10
"MYEF2",0.00474197446088992,0.621343816860077,7.99074018452725,1,2322.0801524611,-10
"LYPLA1",0.00493045226366069,0.639514520380474,7.91995070885182,1,2322.0801524611,0.348926950970738
"FRMD6",0.00511747788545538,0.650900730861671,7.85238314022975,1,2322.0801524611,-10
"LIN54",0.00511961481325666,0.650900730861671,7.85162575877563,1,2322.0801524611,0.572709187317606
"PLEK2",0.00525493562813345,0.656333507269981,7.80430993983733,1,2322.0801524611,-10
"MTMR9",0.00532085604936095,0.656333507269981,7.78170876527134,1,2322.0801524611,-0.79580658757491
"TNFSF15",0.00532802062108551,0.656333507269981,7.77926958280008,1,2322.0801524611,1.20313097394745
"CRIM1",0.00544741482743511,0.656333507269981,7.73910709913749,1,2322.0801524611,-1.82239604437088
