"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4189","TREM1",1.4172531675567e-105,1.81989479245955e-101,529.75295283037,1,2279.32725265638,5.10072194582461
"521","PTGER3",1.89879300874495e-05,0.096166148339799,18.3658102106807,1,2279.32725265638,5.10153017336364
"11865","SLC9A8",2.2466976483093e-05,0.096166148339799,18.0428086174408,1,2279.32725265638,0.944909448540476
"12814","PCDH11Y",3.433623390411e-05,0.110227894890669,17.2298489260216,1,2279.32725265638,3.66405274297995
"11544","ZNF787",0.000105059265551311,0.265132191577215,15.096612671146,1,2279.32725265638,-1.63268211474061
"12362","HDAC10",0.000123883899187236,0.265132191577215,14.7835923761497,1,2279.32725265638,1.34504960125444
"3047","CEP135",0.000152069883789837,0.278961339677899,14.3948134542586,1,2279.32725265638,0.892139426136242
"1613","CAPG",0.000264483492789786,0.377474218223562,13.3483810782407,1,2279.32725265638,-0.433810025820043
"8756","JMJD7",0.000285662913997528,0.377474218223562,13.2031160281966,1,2279.32725265638,-10
"8706","KATNBL1",0.00029396014190761,0.377474218223562,13.1491495841895,1,2279.32725265638,0.574184486840372
"9360","HIRIP3",0.000452639167203323,0.500142962803233,12.3372818937339,1,2279.32725265638,-10
"523","NEGR1",0.00050207183405292,0.500142962803233,12.1428399100104,1,2279.32725265638,1.40653495091645
"1732","PAX8",0.000531296529312025,0.500142962803233,12.0367880828356,1,2279.32725265638,0.903784573953219
"118","TMEM51",0.000545284750350071,0.500142962803233,11.9880954151669,1,2279.32725265638,0.482330967196771
"3489","ERBIN",0.000703218466176318,0.563160226734884,11.5122134814376,1,2279.32725265638,0.364723099858701
"4987","BCAP29",0.000796947888418529,0.563160226734884,11.2786071252147,1,2279.32725265638,0.644821220178811
"5864","ABCA1",0.000962560483663571,0.563160226734884,10.9267298712884,1,2279.32725265638,0.36024733531744
"800","S100A4",0.00104422010584136,0.563160226734884,10.7752155335665,1,2279.32725265638,-0.677696101819623
"82","PIK3CD",0.00108305743827115,0.563160226734884,10.707315792613,1,2279.32725265638,0.82431974998396
"4894","ATP5MF",0.00115952033124702,0.563160226734884,10.5805550602007,1,2279.32725265638,-0.497883478247108
"12498","ZNF630",0.00116419402907692,0.563160226734884,10.5730837710772,1,2279.32725265638,-10
"1754","TSN",0.00119641023131263,0.563160226734884,10.5223952734219,1,2279.32725265638,-1.24830748035559
"6990","CFL1",0.00119674708808899,0.563160226734884,10.521872600991,1,2279.32725265638,-0.30702746888181
"10868","RGL3",0.00124103894425059,0.563160226734884,10.4544150658374,1,2279.32725265638,1.8033908046947
"1744","DBI",0.00131092527552202,0.563160226734884,10.3527839322235,1,2279.32725265638,-0.46268883351773
"863","LAMTOR2",0.0013483105134858,0.563160226734884,10.3006477900433,1,2279.32725265638,-0.476802539926442
"6577","ADAM12",0.00136750747727305,0.563160226734884,10.2744426800452,1,2279.32725265638,-2.39201792670375
"507","MIER1",0.00137226763650855,0.563160226734884,10.2680024171292,1,2279.32725265638,0.422180875002431
"1013","AXDND1",0.00144291635705218,0.563160226734884,10.1749920998452,1,2279.32725265638,3.02067554099393
"2357","CCDC71",0.00146552752591524,0.563160226734884,10.1461966827368,1,2279.32725265638,-10
"2721","P2RY13",0.00153879566326655,0.563160226734884,10.0558902060979,1,2279.32725265638,2.64367212950311
"6660","AC104389.5",0.00158343948394872,0.563160226734884,10.0029773212652,1,2279.32725265638,0.825143896096884
"7328","FOXRED1",0.00160496326878523,0.563160226734884,9.97800476871287,1,2279.32725265638,1.16696479126729
"10138","KANSL1",0.00162712298935975,0.563160226734884,9.95264661449781,1,2279.32725265638,0.289021497601769
"2538","NECTIN3",0.00163754861360754,0.563160226734884,9.94083706737621,1,2279.32725265638,2.45637915596724
"4547","AGPAT4",0.00166468427235157,0.563160226734884,9.91045320757276,1,2279.32725265638,0.613774355239983
"12350","GRAMD4",0.00171846030874296,0.563160226734884,9.8516962424428,1,2279.32725265638,0.522617519062088
"12109","RTN4R",0.00179269260224829,0.563160226734884,9.77358092072458,1,2279.32725265638,2.74092758900736
"524","LRRIQ3",0.00181729887604103,0.563160226734884,9.74840979886405,1,2279.32725265638,2.77761311520993
"5385","UBE2W",0.00194074959089309,0.563160226734884,9.62712777664894,1,2279.32725265638,0.356905284326799
"12738","RTL8A",0.00195764157162752,0.563160226734884,9.61114423733861,1,2279.32725265638,-1.82737119776136
"7667","RPS26",0.00196048219435967,0.563160226734884,9.60847013194872,1,2279.32725265638,-0.315347916797837
"9767","TXNDC17",0.00204553716878457,0.563160226734884,9.53017132005268,1,2279.32725265638,-0.650567903714648
"2690","GK5",0.0020715937777606,0.563160226734884,9.50684448882588,1,2279.32725265638,0.789619192352585
"8160","ALG11",0.00207448939720277,0.563160226734884,9.50427062819258,1,2279.32725265638,-3.03055406961794
"1464","SLC3A1",0.00209360442311471,0.563160226734884,9.48737058451562,1,2279.32725265638,3.00086394971929
"4941","AP1S1",0.00212389062976633,0.563160226734884,9.46091185383218,1,2279.32725265638,-0.970692541125368
"12672","PRPS1",0.00214756563064904,0.563160226734884,9.44049413989178,1,2279.32725265638,-1.81601518092242
"7423","CD163",0.00214896434156291,0.563160226734884,9.43929502565606,1,2279.32725265638,0.406777746934935
"9227","NUBP1",0.00231364332851396,0.588518932773664,9.30338464953615,1,2279.32725265638,0.711968255369787
"9137","FAHD1",0.00239913577117693,0.588518932773664,9.23665197974813,1,2279.32725265638,-1.9837535844577
"11073","ZNF681",0.00241943733524402,0.588518932773664,9.22116012007741,1,2279.32725265638,2.55632907402389
"11955","SMIM34B",0.00242905563717812,0.588518932773664,9.2138665479583,1,2279.32725265638,2.88424507892754
"196","RUNX3",0.0024834071721996,0.590545027744724,9.17319507698438,1,2279.32725265638,0.501936875120828
"5630","MLANA",0.00276838390932953,0.644793850845167,8.97374282432655,1,2279.32725265638,2.81159133384867
"4376","AK9",0.00286422856789527,0.644793850845167,8.91132463635446,1,2279.32725265638,0.843580576436675
"968","TIPRL",0.00288894189992793,0.644793850845167,8.89557442226169,1,2279.32725265638,-0.761907908005099
"3109","HNRNPD",0.00291239337660772,0.644793850845167,8.88075454009345,1,2279.32725265638,0.3947414149327
"12689","PGRMC1",0.0031251807704154,0.669731077741118,8.7515790567918,1,2279.32725265638,0.813776874525509
"10757","NDUFA11",0.00320049707310759,0.669731077741118,8.7079902178827,1,2279.32725265638,-0.468485651841148
"9924","PIGS",0.00320930776239308,0.669731077741118,8.70295937964572,1,2279.32725265638,0.751766563070666
"666","ST7L",0.00337518028876225,0.669731077741118,8.61078251151384,1,2279.32725265638,0.707797818273109
"138","CROCC",0.00341288081477452,0.669731077741118,8.59047514207419,1,2279.32725265638,1.19400838566265
"9773","RNASEK",0.0034532246942689,0.669731077741118,8.56899517933856,1,2279.32725265638,-0.272325113438104
"4650","FAM126A",0.00353822828968653,0.669731077741118,8.52456113079042,1,2279.32725265638,0.698563203058231
"9957","CRLF3",0.00357676791347318,0.669731077741118,8.50477195290872,1,2279.32725265638,0.450829187123207
"1647","ANKRD36C",0.00359861613521845,0.669731077741118,8.49364956024052,1,2279.32725265638,-1.00254229827431
"9750","CAMTA2",0.00367939422742339,0.669731077741118,8.45311588719968,1,2279.32725265638,-1.12149718258171
"215","CD52",0.00369429792608783,0.669731077741118,8.44573640952572,1,2279.32725265638,-0.932996330963443
"8015","ADGRD1",0.00372761198180374,0.669731077741118,8.42935013230612,1,2279.32725265638,2.40748468418867
"398","TMEM53",0.00382132714534578,0.669731077741118,8.38404156473919,1,2279.32725265638,-1.92766649387143
"5575","CYC1",0.00387843981877939,0.669731077741118,8.35698068901187,1,2279.32725265638,-1.03119716669068
"12571","LAS1L",0.00395799458695079,0.669731077741118,8.31995498914073,1,2279.32725265638,-2.22501505297398
"11332","CALM3",0.00401922418879993,0.669731077741118,8.29197046386259,1,2279.32725265638,-0.416569754226868
"5887","SUSD1",0.00403258281533852,0.669731077741118,8.28592271018433,1,2279.32725265638,-0.684792783439765
"8299","AP1G2",0.00414068222095253,0.669731077741118,8.23772134836618,1,2279.32725265638,-2.22624771179142
"7896","BRAP",0.00415438772543887,0.669731077741118,8.23170182307079,1,2279.32725265638,0.690819100696328
"5670","SMIM27",0.00415780827350956,0.669731077741118,8.2302026554058,1,2279.32725265638,-2.24178924947657
"9527","RANBP10",0.0041674791112711,0.669731077741118,8.22597087968097,1,2279.32725265638,-0.928571146198619
"6466","NPM3",0.00417245434306436,0.669731077741118,8.22379770720253,1,2279.32725265638,-2.92129118631484
"2338","ATRIP",0.00434148743596491,0.684665326884475,8.15149145243332,1,2279.32725265638,-10
"11185","EIF3K",0.00437213276259847,0.684665326884475,8.13869013231657,1,2279.32725265638,-0.434644373339561
"1593","HTRA2",0.00449439460909349,0.695331580426139,8.08851250915023,1,2279.32725265638,1.15566493235726
"6843","TIMM10",0.00462358865692954,0.699221735289592,8.03697937187351,1,2279.32725265638,-0.972429487867753
"5889","HSDL2",0.00462844385169499,0.699221735289592,8.03507144843543,1,2279.32725265638,0.445072294497548
"10838","ZGLP1",0.00468322908864019,0.699271450316612,8.01368303317449,1,2279.32725265638,-1.94132688899744
"12809","TMLHE",0.0051418911660811,0.755012950687214,7.84402952621579,1,2279.32725265638,0.588565711272433
"6682","OR6A2",0.00517414061681137,0.755012950687214,7.83268790347082,1,2279.32725265638,3.6680659643546
"4735","PPIA",0.00546527199094452,0.767000164284318,7.7334500628159,1,2279.32725265638,-0.310332950221115
"11056","ZNF626",0.00547507583910255,0.767000164284318,7.73020282522786,1,2279.32725265638,1.36330096124855
"9464","NUP93",0.00549980555075991,0.767000164284318,7.72203812000059,1,2279.32725265638,0.694051646692178
"11536","ZNF524",0.00553323508177093,0.767000164284318,7.71106045422431,1,2279.32725265638,-1.12423315426582
"195","CLIC4",0.00558430501762064,0.767000164284318,7.69441999278691,1,2279.32725265638,0.559779668600007
"1657","ARID5A",0.00564966007376574,0.767000164284318,7.67335003400511,1,2279.32725265638,0.611117096320073
"1203","SNAP47",0.00567989564361223,0.767000164284318,7.66368634607077,1,2279.32725265638,1.11803926274431
"7867","UNG",0.00573413408389491,0.767000164284318,7.64648187542252,1,2279.32725265638,-10
"1102","NUAK2",0.00592522010135781,0.769894683422071,7.58716586576499,1,2279.32725265638,1.3598246949531
"5962","RPL12",0.00594505090759008,0.769894683422071,7.58112228283365,1,2279.32725265638,-0.263298312692082
"11062","ZNF708",0.0059839952686848,0.769894683422071,7.56931337777413,1,2279.32725265638,0.71825721449978
"8250","TTC5",0.00606951455752693,0.769894683422071,7.54365482985634,1,2279.32725265638,0.978347162449372
"12043","CSTB",0.0061957754040803,0.769894683422071,7.50643964383693,1,2279.32725265638,-0.355337005185607
"6269","RHOBTB1",0.00620511484104379,0.769894683422071,7.50371769711966,1,2279.32725265638,0.655083093859862
"2859","TCTEX1D2",0.00624424947535235,0.769894683422071,7.49235736458117,1,2279.32725265638,-2.95752655003093
"3976","GMPR",0.00630484672892436,0.769894683422071,7.47490938424001,1,2279.32725265638,-0.715169378446051
"4501","LATS1",0.00631560059658701,0.769894683422071,7.4718308900423,1,2279.32725265638,0.471739834500715
"769","PRUNE1",0.00639749735621465,0.769894683422071,7.44856062248407,1,2279.32725265638,-1.87226598925353
"1932","CCDC150",0.00645700596424007,0.769894683422071,7.43184187520455,1,2279.32725265638,1.97634158856063
"6573","UROS",0.00656948698556358,0.769894683422071,7.40066636392795,1,2279.32725265638,-0.71098296474504
"4646","CDCA7L",0.00659159639751178,0.769894683422071,7.39460264073902,1,2279.32725265638,1.15058464750997
"3302","FSTL5",0.00692443535892181,0.769894683422071,7.30574905284348,1,2279.32725265638,2.99040989154082
"6739","UEVLD",0.00698570805102877,0.769894683422071,7.28986867013295,1,2279.32725265638,-0.784639693162461
"5375","NCOA2",0.00699992841486741,0.769894683422071,7.28620346015172,1,2279.32725265638,0.309818992995006
"9095","NME4",0.00702646007589866,0.769894683422071,7.27938539597377,1,2279.32725265638,-0.65222714042179
"8221","ABHD13",0.00715128313097787,0.769894683422071,7.2476578323947,1,2279.32725265638,0.632647521752957
"6792","TTC17",0.00717776746960541,0.769894683422071,7.24099888005885,1,2279.32725265638,0.35216686977794
"8707","EMC4",0.00722355303888173,0.769894683422071,7.22954606734064,1,2279.32725265638,-0.927875659975661
