"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8753","TYRO3",5.15555660854105e-35,6.62025024102756e-31,157.440424934759,1,2374.95891391783,7.15740233370787
"1789","LRP1B",5.5832028027109e-10,3.58469535948053e-06,38.7832860664609,1,2374.95891391783,3.84837206330869
"10638","CFD",2.70113248677713e-06,0.0115617474209017,22.1249990067791,1,2374.95891391783,0.564419228820918
"4436","AKAP7",8.34975024068342e-06,0.026804785710154,19.9435115086315,1,2374.95891391783,0.730322328247318
"7401","PTMS",1.05635898570666e-05,0.0271294114709185,19.490321488869,1,2374.95891391783,0.400608652191454
"1026","GLUL",0.000158696782386069,0.339637563769919,14.312061592702,1,2374.95891391783,0.270715981489447
"1594","LOXL3",0.000284378593646771,0.461481451812757,13.2099549636061,1,2374.95891391783,-1.08369990966724
"9028","PDE8A",0.000288487271964257,0.461481451812757,13.1829213682119,1,2374.95891391783,-0.412728700879039
"12583","PDZD11",0.000346953913395779,0.461481451812757,12.8354486911068,1,2374.95891391783,0.853754265095395
"5901","ALAD",0.000374048194995628,0.461481451812757,12.6940373313911,1,2374.95891391783,0.791568215582152
"12348","TRMU",0.000459684335881773,0.461481451812757,12.306850435228,1,2374.95891391783,-1.22748802589479
"6864","MS4A6A",0.000477138321689022,0.461481451812757,12.236942480254,1,2374.95891391783,0.407285567362163
"9651","CYBA",0.00054122498891379,0.461481451812757,12.000719890288,1,2374.95891391783,0.215719173621454
"7659","MMP19",0.00055824112854501,0.461481451812757,11.942743993114,1,2374.95891391783,-0.537053059374872
"6478","FBXL15",0.000598938563790951,0.461481451812757,11.8110245564852,1,2374.95891391783,0.51931784773215
"3235","JADE1",0.000640815516328666,0.461481451812757,11.6846112108656,1,2374.95891391783,-1.20611940872763
"934","FCGR3A",0.000641484309724705,0.461481451812757,11.6826607762497,1,2374.95891391783,0.352951028229814
"6365","BMPR1A",0.00064688623414295,0.461481451812757,11.6669818175495,1,2374.95891391783,-1.19404413063909
"4632","CRPPA",0.000742080868298474,0.481754455653585,11.4104952440139,1,2374.95891391783,-10
"5658","CDKN2B",0.000750337910838073,0.481754455653585,11.3898392680871,1,2374.95891391783,-10
"1185","CNIH3",0.000803237649428242,0.491160697919431,11.262722331709,1,2374.95891391783,-0.832415845743176
"12389","DHRSX",0.00101945043602843,0.541296035184459,10.8187410118718,1,2374.95891391783,0.273704751263321
"11659","SMOX",0.00103715595806086,0.541296035184459,10.7867185206776,1,2374.95891391783,-0.708632557938629
"2514","FILIP1L",0.00106067562630217,0.541296035184459,10.7450257432023,1,2374.95891391783,-0.993110785507265
"3653","ISOC1",0.00109366225914306,0.541296035184459,10.6881012626097,1,2374.95891391783,-1.80319001115836
"5314","KAT6A",0.00109599695621805,0.541296035184459,10.6841384131246,1,2374.95891391783,-0.397961922506922
"5873","ABITRAM",0.00124349288879595,0.551643471201825,10.4496936367825,1,2374.95891391783,-1.89390573957963
"2360","C3orf62",0.00124884632522686,0.551643471201825,10.4417233666982,1,2374.95891391783,-1.08111417473207
"7742","SLC35E3",0.00127287617324946,0.551643471201825,10.4063685362546,1,2374.95891391783,-0.569177732269614
"12573","VSIG4",0.00128878624219724,0.551643471201825,10.3833302728961,1,2374.95891391783,0.528596685679129
"7788","BTG1",0.00141709816695466,0.586998631027895,10.2074267970146,1,2374.95891391783,-0.308442639548571
"9484","SETD6",0.0016138556896554,0.598080305197881,9.96682201931241,1,2374.95891391783,1.61540243258513
"6380","LIPA",0.00164655382911254,0.598080305197881,9.92974005493047,1,2374.95891391783,0.256107475581244
