"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11135","TYROBP",1.55452198199177e-15,1.99616167707563e-11,64.4921835371381,1,2225.89041908344,0.631900398538108
"4504","LRP11",3.75759424712225e-05,0.155674379516788,17.0589151023935,1,2225.89041908344,2.85605231934078
"7355","NINJ2",4.23508793993821e-05,0.155674379516788,16.8300811954158,1,2225.89041908344,1.66396562591644
"9595","CFDP1",4.8492914731497e-05,0.155674379516788,16.5712207254172,1,2225.89041908344,0.869700469291062
"279","MARCKSL1",0.000160049224588862,0.320168263356611,14.2990685490387,1,2225.89041908344,1.87631555253735
"5309","IDO1",0.00016998622586862,0.320168263356611,14.1849749158529,1,2225.89041908344,2.72578836152279
"568","GBP3",0.000208010514808323,0.320168263356611,13.8030132324235,1,2225.89041908344,1.13039531446079
"2795","LAMP3",0.00023248445659716,0.320168263356611,13.5928184966572,1,2225.89041908344,3.96528746443618
"4603","FSCN1",0.000242856500441363,0.320168263356611,13.5103945540861,1,2225.89041908344,1.84144251428956
"8671","CRIP1",0.000249332811585243,0.320168263356611,13.460710727529,1,2225.89041908344,1.33282034518611
"1490","ACYP2",0.000309335403962393,0.341318591907852,13.0540551228203,1,2225.89041908344,-0.989281577908086
"7123","EMSY",0.000318964496759927,0.341318591907852,12.9963113927887,1,2225.89041908344,1.05032950555903
"12615","CYSLTR1",0.000348698769769581,0.344433915585476,12.828508119805,1,2225.89041908344,1.35111275003533
"4843","ABCB4",0.00039715432050411,0.36427561639952,12.5837881739898,1,2225.89041908344,-10
"12328","MCAT",0.000435558850212356,0.372867413038457,12.4103683934733,1,2225.89041908344,2.40610294300579
"4553","RPS6KA2",0.000572270582377592,0.433757185035819,11.8984318075174,1,2225.89041908344,-0.860955123134767
"8733","IVD",0.000574244384830537,0.433757185035819,11.8919838857215,1,2225.89041908344,-2.20574842024211
"2301","ZNF35",0.000679016542514058,0.481404407872264,11.5784249502684,1,2225.89041908344,1.87578994183052
"1096","PPP1R15B",0.000712303072157388,0.481404407872264,11.4889879632266,1,2225.89041908344,1.33719177374641
"6853","CTNND1",0.000802490650049938,0.515239121864563,11.2664032344103,1,2225.89041908344,-0.730325270228323
"2540","PLCXD2",0.00125986540074546,0.77037769576059,10.4271039641518,1,2225.89041908344,3.72282912173829
"7377","DYRK4",0.00137920375159173,0.805016153372248,10.2592661176939,1,2225.89041908344,-2.46240239927324
"875","MEF2D",0.00148479639392111,0.828968282362652,10.122602980967,1,2225.89041908344,-1.41119732975494
"12511","TIMM17B",0.00180937945124523,0.923049977000691,9.75702514616887,1,2225.89041908344,-2.3926683678995
"12686","DOCK11",0.00192685868620963,0.923049977000691,9.64091735298257,1,2225.89041908344,0.661241037051621
"3132","AFF1",0.00207369234429369,0.923049977000691,9.50550401087874,1,2225.89041908344,-0.560186549540091
"8342","NPAS3",0.00227877884320755,0.923049977000691,9.33182765440257,1,2225.89041908344,3.04666099836147
"4091","STK19",0.00241051302281966,0.923049977000691,9.2284503471364,1,2225.89041908344,-10
"1473","CRIPT",0.00257219732765232,0.923049977000691,9.10914367554328,1,2225.89041908344,-2.04494873262008
"12256","POLR2F",0.00260099906462304,0.923049977000691,9.0886927302063,1,2225.89041908344,0.843914536383714
"6502","GSTO1",0.00286841186887452,0.923049977000691,8.90911326038074,1,2225.89041908344,0.420501307838284
"9953","NSRP1",0.0029830946899523,0.923049977000691,8.83725631706348,1,2225.89041908344,-0.725897424791379
