"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10343","UNC13D",5.63488690484115e-56,7.23575827450652e-52,262.63786019608,1,2267.90748041095,2.7567563445341
"6089","PTGDS",2.34514665977609e-09,1.50570141290924e-05,35.9533828840574,1,2267.90748041095,3.27791276753929
"11346","INAFM1",4.93019738821364e-08,0.000211028882206838,29.9465823527962,1,2267.90748041095,2.31203592455724
"7299","SC5D",2.84674714650278e-05,0.0867987912861009,17.5892218275679,1,2267.90748041095,-2.89403845879916
"2688","ATP1B3",3.37975201643567e-05,0.0867987912861009,17.2604699754011,1,2267.90748041095,0.664290763425914
"4367","FOXO3",5.78328932157753e-05,0.121861539871627,16.2337137123927,1,2267.90748041095,0.527366372305408
"304","KIAA0319L",6.64302452380181e-05,0.121861539871627,15.9693695919026,1,2267.90748041095,-0.767324674117824
"3962","TMEM170B",0.000214044333346372,0.294960833613541,13.7481183783353,1,2267.90748041095,0.725558003608354
"10465","MYL12A",0.000251574663373174,0.294960833613541,13.4430081850946,1,2267.90748041095,-0.433451864060625
"2356","LAMB2",0.000267914499431457,0.294960833613541,13.3242793164381,1,2267.90748041095,1.39650843052831
"10012","TADA2A",0.000290312402186644,0.294960833613541,13.1728891184246,1,2267.90748041095,-2.07591066197456
"5790","SPIN1",0.000317783098731927,0.294960833613541,13.0025441073081,1,2267.90748041095,0.590890731516751
"6730","NUCB2",0.000321549477847004,0.294960833613541,12.9803551685046,1,2267.90748041095,1.12360133652461
"6713","USP47",0.000321583340128462,0.294960833613541,12.9801568668982,1,2267.90748041095,0.508562897608762
"4999","IFRD1",0.000352259619768292,0.301557718496309,12.8086536275733,1,2267.90748041095,0.833268448210051
"9628","COTL1",0.000389205636115295,0.312361848334781,12.6210777667074,1,2267.90748041095,-0.49741944867804
"4527","ZDHHC14",0.000415923878861155,0.314169325203299,12.4963113359714,1,2267.90748041095,0.675529288269649
"1869","CIR1",0.000521333409350288,0.371913461637059,12.0724399247224,1,2267.90748041095,0.55218361311512
"9240","GSPT1",0.000575531228548838,0.383764300260864,11.887155519573,1,2267.90748041095,-0.807496268945409
"2204","HACL1",0.000597717156391035,0.383764300260864,11.8163469906195,1,2267.90748041095,-2.2848055885044
"4941","AP1S1",0.000638243910248056,0.390270954833109,11.6936029393846,1,2267.90748041095,-1.26185978124856
"7448","CLEC7A",0.000714763338944194,0.417194365244654,11.4819505346323,1,2267.90748041095,0.493185656452566
"9298","CDR2",0.000792134643124405,0.442252215320021,11.2900629202813,1,2267.90748041095,0.705468024428901
"5898","PRPF4",0.000904433303158472,0.471945895699372,11.0428762964271,1,2267.90748041095,-1.73503791980041
"3358","FRG1",0.000976538003486838,0.471945895699372,10.9000368409618,1,2267.90748041095,0.675704680768017
"5328","SPIDR",0.000985594225472393,0.471945895699372,10.8828556596755,1,2267.90748041095,0.359187617917634
"9620","MLYCD",0.000992332309312596,0.471945895699372,10.8701757210175,1,2267.90748041095,1.12482684557918
"180","RPL11",0.0012230837471155,0.543190861500658,10.4815954835311,1,2267.90748041095,-0.298349290437029
"11484","ZNF331",0.00126034564712128,0.543190861500658,10.4259016081603,1,2267.90748041095,0.622438185330699
"7604","CSRNP2",0.00130032047772072,0.543190861500658,10.3679774787353,1,2267.90748041095,1.16179693783598
"1790","KYNU",0.00132528520582323,0.543190861500658,10.3327112074725,1,2267.90748041095,0.429358195044195
"3990","SOX4",0.0013536412715537,0.543190861500658,10.2934614807851,1,2267.90748041095,0.844782089437444
"800","S100A4",0.00142210593712186,0.55337158601763,10.202027331215,1,2267.90748041095,-0.714230644810942
"2893","TMEM175",0.00152874177320855,0.577369797346205,10.0681438485147,1,2267.90748041095,-1.86175748742132
"2405","ABHD14A",0.00163553478888681,0.59189198335865,9.94323230677941,1,2267.90748041095,1.32497469459906
"11595","ZNF274",0.00168362924756845,0.59189198335865,9.88965551219294,1,2267.90748041095,0.792066215757263
"9830","NDEL1",0.0017054749150588,0.59189198335865,9.8658301436015,1,2267.90748041095,0.724616170414452
"5773","IDNK",0.00184377207823214,0.615119704443248,9.72182703190019,1,2267.90748041095,-3.12094906901731
"10962","FAM32A",0.00188669812820284,0.615119704443248,9.67935152426496,1,2267.90748041095,-0.864425977612638
"134","SZRD1",0.00191611153163538,0.615119704443248,9.65080910166933,1,2267.90748041095,-0.717501878146452
"1355","ADCY3",0.00196630717171294,0.615837814438191,9.60311123077646,1,2267.90748041095,-1.49433261078407
"7373","CCND2",0.0021275711738098,0.650479558164086,9.45783170042576,1,2267.90748041095,-10
"11638","IDH3B",0.00219023903016887,0.654066497358105,9.40437032569517,1,2267.90748041095,-1.63489158730422
"12497","ZNF182",0.0022451455530246,0.65522531923611,9.35879110525226,1,2267.90748041095,1.38106531129201
"9115","LMF1",0.00231290689922053,0.660000833175352,9.30407607546245,1,2267.90748041095,0.79742210914615
"10193","ANKRD40",0.00250360520953412,0.667702867558051,9.15841344754403,1,2267.90748041095,-1.63059274366761
"12486","RBM10",0.00250788042399063,0.667702867558051,9.15527854468701,1,2267.90748041095,-1.43226311150148
"2769","TNIK",0.00255018345896777,0.667702867558051,9.12454824403489,1,2267.90748041095,0.549443389059392
"1193","PYCR2",0.00259558742876006,0.667702867558051,9.0921362310121,1,2267.90748041095,1.14115355954272
"12755","IDS",0.00259988656474594,0.667702867558051,9.08909715974032,1,2267.90748041095,0.546281015559514
"2855","TFRC",0.00266350232085689,0.670628103963202,9.04471425955746,1,2267.90748041095,0.584874133886768
"5843","TBC1D2",0.0029125119501847,0.698272379178436,8.88077674144357,1,2267.90748041095,0.57097120348238
"7511","STK38L",0.00295263818630044,0.698272379178436,8.85569908838362,1,2267.90748041095,0.682206287198054
"4411","PLN",0.00298204881673465,0.698272379178436,8.83753740814381,1,2267.90748041095,3.89147498326902
"9731","UBE2G1",0.00310982319796798,0.698272379178436,8.76069255131603,1,2267.90748041095,0.511410581371132
"7107","POLD3",0.00322134285902673,0.698272379178436,8.69620312274282,1,2267.90748041095,0.741490604946347
"8906","SNAPC5",0.00324369463271724,0.698272379178436,8.68355101049515,1,2267.90748041095,-1.29619079626885
"5101","EPHB6",0.00341000742787491,0.698272379178436,8.59210578089462,1,2267.90748041095,-2.32508942271304
"5563","ZNF707",0.00347833482764788,0.698272379178436,8.5558447433687,1,2267.90748041095,-10
"443","OSBPL9",0.00356349461322477,0.698272379178436,8.51165221234112,1,2267.90748041095,0.449826656691333
"9239","RSL1D1",0.00359410499497061,0.698272379178436,8.49602945806202,1,2267.90748041095,-0.74896194536511
"3131","C4orf36",0.00363577344427866,0.698272379178436,8.47497918646565,1,2267.90748041095,2.02040504653038
"12255","C22orf23",0.00364171757203657,0.698272379178436,8.47199632914517,1,2267.90748041095,3.02729411995466
"8494","PCNX1",0.00365642277423983,0.698272379178436,8.46463826656934,1,2267.90748041095,0.380527222611479
"7257","BACE1",0.00371410438731482,0.698272379178436,8.43606395489665,1,2267.90748041095,-1.20580698773431
