"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11806","ADA2",9.93839748425129e-32,1.24637442849995e-27,141.322861248598,1,2459.49488360724,-1.48766390433787
"7413","IGFBP6",2.57357585167927e-10,1.61376073779549e-06,40.3089274411174,1,2459.49488360724,3.28971180194014
"7532","RAP1B",6.16355447704713e-07,0.0025765712232216,24.9915719316218,1,2459.49488360724,0.367353915821776
"2994","PF4",2.27000401575296e-06,0.00711703009038945,22.4582552000383,1,2459.49488360724,3.95313538098598
"4409","SOD2",5.39390783172624e-06,0.0120230042066371,20.7835912730858,1,2459.49488360724,0.472091190214526
"10505","TNFSF14",6.50202036683456e-06,0.0120230042066371,20.4228818313721,1,2459.49488360724,3.09649880800975
"6040","MPP7",6.71087069982137e-06,0.0120230042066371,20.3618761877058,1,2459.49488360724,4.20131055781286
"3964","HSPA1A",2.31836345339625e-05,0.036343245086303,17.9770868930451,1,2459.49488360724,0.646322899463713
"11941","TIMP3",4.16309485799997e-05,0.0580104140157529,16.8564580441837,1,2459.49488360724,1.16128656664463
"10670","PRKACA",7.81347645600549e-05,0.0947412110648596,15.6556851080593,1,2459.49488360724,-0.862436534396776
"7124","CHEK1",8.30996987252576e-05,0.0947412110648596,15.5384551707868,1,2459.49488360724,1.54638229257069
"9865","ITGA2B",9.5416193070968e-05,0.0997178731085841,15.2756424388675,1,2459.49488360724,4.26136598679154
"11392","CDS2",0.000108596415155563,0.104762126343532,15.0298285184573,1,2459.49488360724,0.554305516005583
"11763","WDR4",0.000144217572718424,0.129188041390126,14.4917011040448,1,2459.49488360724,-10
"541","COL24A1",0.000189927051515795,0.158791676870639,13.9705635538377,1,2459.49488360724,1.8976819833952
"7761","PSMD9",0.000219086891154999,0.169410585994424,13.7006628225195,1,2459.49488360724,0.52504779325536
"1326","OTOF",0.000244711169199426,0.169410585994424,13.4918650675482,1,2459.49488360724,2.09793011592159
"11608","ATP9A",0.000248304128841472,0.169410585994424,13.4643652906131,1,2459.49488360724,3.69424545581167
"5595","ANXA1",0.000256662238569019,0.169410585994424,13.4019162477702,1,2459.49488360724,0.370327773752639
"8237","PPP1R36",0.000281745075153883,0.176044428735102,13.2261310347632,1,2459.49488360724,2.74475083496821
"614","SORT1",0.000294787736499253,0.176044428735102,13.1408693628008,1,2459.49488360724,0.752779191036383
"923","PBX1",0.000425922981059039,0.238844623909932,12.4488171223438,1,2459.49488360724,2.49927816832421
"9299","SMPD3",0.000438037345501031,0.238844623909932,12.3961742413839,1,2459.49488360724,3.06546586317937
"6807","CTSW",0.000588564601864182,0.307549527999113,11.8426221960157,1,2459.49488360724,2.22251517607708
"6092","PRKG1",0.00071266120193631,0.344743525256478,11.4849929905477,1,2459.49488360724,2.65761179655989
"3699","LSM11",0.000714722243574549,0.344743525256478,11.4796004501519,1,2459.49488360724,-10
"12362","TCEAL8",0.000771690941078373,0.354965752933107,11.3364591232155,1,2459.49488360724,0.508596465700869
"1486","MEIS1",0.000796603073099859,0.354965752933107,11.2771922576075,1,2459.49488360724,3.55758029094975
"8713","SEMA7A",0.00082082823020972,0.354965752933107,11.2213306408455,1,2459.49488360724,1.85089878127892
"8417","CDC42BPB",0.000929096005661178,0.388393100233228,10.9905013240933,1,2459.49488360724,-0.537962644349435
"1709","BIN1",0.00102720784911794,0.395626042596669,10.8037203672508,1,2459.49488360724,0.811990965306016
