"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11736","CBR3",6.10513747621554e-12,7.65645290892191e-08,47.7813182876302,1,2367.28528242504,3.09622665687436
"8577","FBN1",3.5034409565704e-07,0.00219683265181747,26.0984636273045,1,2367.28528242504,3.08232005514728
"9744","CCL5",7.64621359347025e-06,0.0319637215585701,20.113546419407,1,2367.28528242504,1.89041010167878
"5756","TRAF1",1.22126174804827e-05,0.0382896089556833,19.2113246831895,1,2367.28528242504,2.69727609829603
"6600","SLC1A2",2.09160951194086e-05,0.0524617497785007,18.1772595384922,1,2367.28528242504,5.64027756557187
"6996","BIRC3",4.11472414469094e-05,0.0860045924976152,16.8811777917067,1,2367.28528242504,2.03536285239131
"3087","NFKB1",9.94095210262684e-05,0.178099257598633,15.1996732523926,1,2367.28528242504,0.667237766367838
"5812","PTGES2",0.000125034176629945,0.196006701139518,14.7641573723803,1,2367.28528242504,-1.84571769259761
"1151","CNIH3",0.00023232825308155,0.323736513543968,13.5914311803447,1,2367.28528242504,-1.75863018484146
"8305","YLPM1",0.000408127377238721,0.511832543795079,12.5302957184512,1,2367.28528242504,0.639546228559473
"4852","SLC26A4",0.00051083068022998,0.582393414614925,12.1091225065099,1,2367.28528242504,3.94866745943319
"3177","LSM6",0.000738003344196529,0.70843595852123,11.4208782133549,1,2367.28528242504,0.800792631444272
"9550","POLR2A",0.000781936544404,0.70843595852123,11.3129549839229,1,2367.28528242504,-0.708560021988731
"11510","MYL9",0.000790854271533149,0.70843595852123,11.2917983600744,1,2367.28528242504,3.2938676982646
"389","RNF220",0.00106480282691211,0.762437972989988,10.7378920741984,1,2367.28528242504,0.995705164591972
"2714","FXR1",0.00106539292106153,0.762437972989988,10.7368621413534,1,2367.28528242504,0.491366695889457
"9546","TMEM102",0.00108655184542472,0.762437972989988,10.7003085830834,1,2367.28528242504,-10
"7899","VWA8",0.0011418343143372,0.762437972989988,10.6081038112097,1,2367.28528242504,0.707038034298091
"6371","SEC23IP",0.00122896037653409,0.762437972989988,10.4715881940276,1,2367.28528242504,0.595760823645237
"10029","SLC16A6",0.00123713407492639,0.762437972989988,10.4592876992333,1,2367.28528242504,0.846400979249791
"5425","SCX",0.00129989005146521,0.762437972989988,10.3675020000487,1,2367.28528242504,3.46741479640418
"7752","ANAPC5",0.001337503819933,0.762437972989988,10.3146162828728,1,2367.28528242504,0.614022917606848
"6788","DPF2",0.00151286807999213,0.779286079725207,10.0864287822706,1,2367.28528242504,0.75163739565592
"12113","XG",0.00158301404149355,0.779286079725207,10.002578363999,1,2367.28528242504,4.26595727740366
"5658","FBP1",0.00171237093975359,0.779286079725207,9.85738392253051,1,2367.28528242504,-0.802135914882096
"1086","RASSF5",0.00173163481263932,0.779286079725207,9.83671791690338,1,2367.28528242504,0.783195872046258
"10672","ADGRL1",0.0017389698997581,0.779286079725207,9.82891016390207,1,2367.28528242504,2.0239451380704
"6083","WDFY4",0.00173989396637475,0.779286079725207,9.82792892077934,1,2367.28528242504,0.555774395793078
"1675","ZC3H8",0.00202476562229943,0.828680685182277,9.54816375286676,1,2367.28528242504,1.04325101056283
"6815","EIF1AD",0.00211662796750784,0.828680685182277,9.46641488352569,1,2367.28528242504,-2.01274573047399
"4084","MRPS10",0.00212176243428553,0.828680685182277,9.46195253768902,1,2367.28528242504,-1.00860862660594
"1690","DPP10",0.00222317685298635,0.828680685182277,9.37599109975463,1,2367.28528242504,2.91895807289725
"6174","COMTD1",0.00222904974097264,0.828680685182277,9.37113573220458,1,2367.28528242504,-3.03054212467126
"5246","FABP5",0.00236574454869261,0.828680685182277,9.26165040409593,1,2367.28528242504,-0.474065750338674
"2544","ZXDC",0.00245086942901724,0.828680685182277,9.19666965471045,1,2367.28528242504,0.62086057143456
"4949","MRPS33",0.00256566454582018,0.828680685182277,9.11257947224136,1,2367.28528242504,0.781550961346851
"9760","SYNRG",0.00261463340390122,0.828680685182277,9.07786533067219,1,2367.28528242504,0.448691500830567
"7069","JAML",0.00272047446222808,0.828680685182277,9.00503817708869,1,2367.28528242504,1.0618679845877
"4500","SCIN",0.00280008497171499,0.828680685182277,8.95213237277283,1,2367.28528242504,2.26779915009894
"509","NEGR1",0.00280210913782243,0.828680685182277,8.95080720815911,1,2367.28528242504,-3.9391625438821
"7778","C12orf65",0.0028409547537708,0.828680685182277,8.92556284168685,1,2367.28528242504,0.856975625406603
"3401","OCLN",0.00284098211304779,0.828680685182277,8.92554518578178,1,2367.28528242504,2.53815626862515
"9335","TXNL4B",0.0029900208175715,0.828680685182277,8.83184298176639,1,2367.28528242504,1.06877332177543
"2191","MLH1",0.00303256201393504,0.828680685182277,8.80596686144405,1,2367.28528242504,-1.40708370828249
"4201","SLC35A1",0.0031147011649157,0.828680685182277,8.75703281761027,1,2367.28528242504,0.726589934689292
"196","SYF2",0.00325015983272063,0.828680685182277,8.67913115641488,1,2367.28528242504,-0.583733020352313
"1548","PCGF1",0.00335635169070084,0.828680685182277,8.62033577539569,1,2367.28528242504,1.4854804018083
"3758","RGS14",0.00336315818670259,0.828680685182277,8.61663199349841,1,2367.28528242504,-10
"2070","THAP4",0.00339455819605823,0.828680685182277,8.5996436994953,1,2367.28528242504,-1.58060880422846
"5135","FUT10",0.00340380027042796,0.828680685182277,8.59467391689893,1,2367.28528242504,1.04165881775586
"9433","RFLNB",0.00346585216742283,0.828680685182277,8.56165783454583,1,2367.28528242504,-1.67116807342298
"5532","SIGMAR1",0.00355425076097808,0.828680685182277,8.51564759374478,1,2367.28528242504,-2.9266720699328
"7837","LATS2",0.00356995302974902,0.828680685182277,8.5075967052579,1,2367.28528242504,0.571769533403363
"6234","TBC1D12",0.00363410821391092,0.828680685182277,8.47507316110055,1,2367.28528242504,0.625648495514089
"11268","ZNF581",0.00368604327691329,0.828680685182277,8.44916974917275,1,2367.28528242504,-1.93473274040924
"10144","SLC38A10",0.00370035231402659,0.828680685182277,8.44209814719062,1,2367.28528242504,0.669270143014009
"4455","EIF3B",0.00396311245588488,0.835454030525767,8.31696804609373,1,2367.28528242504,0.692280099039163
"7307","MED21",0.00403329330961798,0.835454030525767,8.28497517472447,1,2367.28528242504,-1.1070665751972
