"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11697","APP",3.31097253864634e-05,0.237213276895215,17.2963985377618,1,2385.69625746621,-0.72802349464053
"242","MED18",3.78300417662411e-05,0.237213276895215,17.0414012154283,1,2385.69625746621,1.55006142103083
"8595","GLDN",0.000149277353088433,0.481632266240508,14.4277653370586,1,2385.69625746621,3.82474997399154
"5167","VDAC3",0.000153618456659121,0.481632266240508,14.373456494049,1,2385.69625746621,-0.873960371724723
"5853","NCS1",0.000267850461985565,0.552532694326892,13.3226562563915,1,2385.69625746621,-2.72972566719988
"11753","DSCAM",0.000285417541765272,0.552532694326892,13.2029046196752,1,2385.69625746621,4.48622354919573
"785","INTS3",0.000332198692030322,0.552532694326892,12.9170544551511,1,2385.69625746621,1.04542917685654
"7399","TFCP2",0.000352464839695011,0.552532694326892,12.8056361513398,1,2385.69625746621,-0.701021304126588
"7131","TIRAP",0.000452668792918776,0.60052996447565,12.3355523394775,1,2385.69625746621,0.994187252638139
"10485","MICOS13",0.00047885333264943,0.60052996447565,12.2300601774999,1,2385.69625746621,-0.871063237941136
"2722","KLHL6",0.000686150210277545,0.782273617008244,11.5567091268965,1,2385.69625746621,-0.992164575679464
"8024","TMEM255B",0.000847901809264731,0.886128049165749,11.1616931789239,1,2385.69625746621,0.944857161004951
"12365","BEX3",0.00109643068504863,0.944725114935718,10.683285032883,1,2385.69625746621,0.483674973661197
"12140","PIGA",0.00112623967150451,0.944725114935718,10.6334468170995,1,2385.69625746621,-10
"2068","FARP2",0.00112996385647363,0.944725114935718,10.6273143323709,1,2385.69625746621,-1.11262631971949
"9304","SNTB2",0.00137817827970168,0.959442574423674,10.2589085815942,1,2385.69625746621,-1.00766238562341
"5331","EIF3H",0.00145422720251865,0.959442574423674,10.159423326182,1,2385.69625746621,-0.485292843851076
"7316","TMTC1",0.00145567640387171,0.959442574423674,10.1575791219684,1,2385.69625746621,-2.17850380336548
"9276","PARD6A",0.00147558010307633,0.959442574423674,10.1324369280088,1,2385.69625746621,-10
"11018","ZNF225",0.00173559810754937,0.959442574423674,9.83232166374074,1,2385.69625746621,1.44317938844945
"7588","NDUFA12",0.00185698688067927,0.959442574423674,9.70751468563505,1,2385.69625746621,0.401972169449182
"6311","SFXN2",0.00191966737770691,0.959442574423674,9.64627196664169,1,2385.69625746621,-10
"10877","ZNF565",0.00204487900732959,0.959442574423674,9.52978396807744,1,2385.69625746621,-2.41951385380896
"2126","CHCHD4",0.00207107784014774,0.959442574423674,9.50632760862917,1,2385.69625746621,-10
"3412","TNPO1",0.00224753205384131,0.959442574423674,9.35578216567974,1,2385.69625746621,0.38422100034985
"6527","MTRNR2L8",0.00233468332088973,0.959442574423674,9.28579875113189,1,2385.69625746621,0.695284986920423
"6360","CACUL1",0.00238170413280716,0.959442574423674,9.24913418187288,1,2385.69625746621,0.398768299331551
"12264","GNL3L",0.0024114730967084,0.959442574423674,9.22629982038146,1,2385.69625746621,-1.30386478834232
"9407","PIEZO1",0.00242746874571793,0.959442574423674,9.2141482603437,1,2385.69625746621,-2.99718416152998
"2704","PIK3CA",0.00244267189684583,0.959442574423674,9.20267388293151,1,2385.69625746621,0.494378808666124
"4752","ARPC1A",0.0025697634430497,0.959442574423674,9.10949809320242,1,2385.69625746621,-0.627316537516134
"3395","MRPS36",0.00262212508277135,0.959442574423674,9.07246398093727,1,2385.69625746621,-0.859872566819709
"2344","ACY1",0.00271130879879232,0.959442574423674,9.01108313743988,1,2385.69625746621,-10
"5807","ST6GALNAC4",0.00301240519118622,0.959442574423674,8.81804015959516,1,2385.69625746621,-2.91749452694108
"8719","ULK3",0.00319794200714266,0.959442574423674,8.70862558455663,1,2385.69625746621,-2.90525273902469
"2731","ABCF3",0.00334972085327616,0.959442574423674,8.62381617580866,1,2385.69625746621,-1.59209535923705
"432","RNF11",0.00349167573338245,0.959442574423674,8.54796178333882,1,2385.69625746621,0.592583277829156
"10297","SMAD7",0.00358095157272448,0.959442574423674,8.50184739521762,1,2385.69625746621,0.890021660442819
"8752","WDR61",0.00362023861172236,0.959442574423674,8.48192362500719,1,2385.69625746621,-1.24043075584192
"2147","OXNAD1",0.00364743652476643,0.959442574423674,8.46825912504895,1,2385.69625746621,1.00163997047651
"11737","DOP1B",0.00371324763100048,0.959442574423674,8.43561939646998,1,2385.69625746621,-0.554413208023538
"2349","TWF2",0.00373812368126275,0.959442574423674,8.42343494796581,1,2385.69625746621,-0.625497113727181
"5760","GSN",0.0038739988753736,0.959442574423674,8.35830590516366,1,2385.69625746621,-0.396739360635131
"9690","PHF12",0.00398120394178326,0.959442574423674,8.3085399908326,1,2385.69625746621,0.574772987755251
"9665","TNFAIP1",0.0040300286639275,0.959442574423674,8.28632547887152,1,2385.69625746621,1.02746513162757
"1553","M1AP",0.00409964761696444,0.959442574423674,8.25511940479905,1,2385.69625746621,-10
"11155","EMC10",0.00419348044329681,0.959442574423674,8.2139030027929,1,2385.69625746621,0.50578210096043
"578","ALG14",0.00421772686370046,0.959442574423674,8.20340537082799,1,2385.69625746621,-2.00823839220808
"5952","DIP2C",0.00443167306152972,0.959442574423674,8.11335536568947,1,2385.69625746621,1.2412455479912
"6005","TRDMT1",0.0044699777401939,0.959442574423674,8.09770145297904,1,2385.69625746621,-2.9574035197876
"9463","MNT",0.00456706545608779,0.959442574423674,8.05862911684742,1,2385.69625746621,-1.54712199628968
"6150","NUDT13",0.00477635460913544,0.959442574423674,7.97720515627288,1,2385.69625746621,-10
"4885","ZNF800",0.00480396963136052,0.959442574423674,7.96673404510201,1,2385.69625746621,-0.611834406675368
