"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"172","C1QB",3.44245850564309e-11,4.317187211927e-07,44.3002378643806,1,2526.27258613851,-0.818040082285826
"7628","TXNRD1",3.35998795315562e-07,0.00210688044602623,26.1706616427471,1,2526.27258613851,-0.684303182283319
"2486","NAA50",2.48714715168841e-05,0.103971041431081,17.8405589320201,1,2526.27258613851,-0.633625617383997
"10221","CHMP1B",0.000105641690306784,0.313088436051467,15.080914651655,1,2526.27258613851,0.523999873850948
"12083","HDAC10",0.000146315346942798,0.313088436051467,14.4631382669377,1,2526.27258613851,0.967961945466271
"11433","RALGAPA2",0.000149791134383925,0.313088436051467,14.4186665032278,1,2526.27258613851,0.529714948866891
"6520","IPO7",0.000184039492848826,0.32391071779345,14.0289803229046,1,2526.27258613851,-0.626265406588357
"7578","BTG1",0.000248242072701006,0.32391071779345,13.4637919165489,1,2526.27258613851,0.303137076398975
"2021","NCL",0.000254015201747078,0.32391071779345,13.4204308833547,1,2526.27258613851,-0.337485767942456
"6326","SFR1",0.000288148617608093,0.32391071779345,13.182780419154,1,2526.27258613851,1.09478133682436
"2678","NMD3",0.000291484199491625,0.32391071779345,13.1610995950317,1,2526.27258613851,-0.880248580297182
"2243","TMEM42",0.000309937693447205,0.32391071779345,13.0455024642491,1,2526.27258613851,-2.07401600344059
"4500","SCIN",0.000365320357497086,0.352421738720843,12.7362256208734,1,2526.27258613851,1.91619906458704
"2783","TM4SF19",0.00041407758140965,0.370924782032744,12.5008682184467,1,2526.27258613851,0.918076057352212
"6649","FNBP4",0.000471929351241319,0.38215612349126,12.2554858258068,1,2526.27258613851,0.372623247675828
"168","CDC42",0.000487560639172328,0.38215612349126,12.1943931709245,1,2526.27258613851,-0.252411977692428
"3724","STK10",0.000570290296084554,0.408180331722631,11.9008273031502,1,2526.27258613851,-0.402011161854697
"4670","GTF2I",0.000607176647916165,0.408180331722631,11.7835675587472,1,2526.27258613851,0.277696028740586
"10883","ZNF529",0.000618405733412805,0.408180331722631,11.7492971752599,1,2526.27258613851,0.875719409316416
"10642","JUNB",0.000702783572242352,0.440680438974567,11.5102849198425,1,2526.27258613851,0.486240402748451
"1535","MOB1A",0.000743124827956566,0.443787069876347,11.4060885437573,1,2526.27258613851,-0.262512485888042
"12184","MID1IP1",0.001108843971445,0.607143181445712,10.6609180527829,1,2526.27258613851,0.820626167439791
"302","TFAP2E",0.00122653692253585,0.607143181445712,10.4736554387671,1,2526.27258613851,-10
"11136","PRMT1",0.00124023735793221,0.607143181445712,10.4530494390615,1,2526.27258613851,-0.843704220264414
"10437","GNA11",0.00131348565108752,0.607143181445712,10.3466505606217,1,2526.27258613851,-1.61759189010388
"1321","RAB10",0.00132828196357998,0.607143181445712,10.3258887205999,1,2526.27258613851,-0.227854274947262
