"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9744","CCL5",1.60798533761461e-08,0.000201657441190248,32.1428683459938,1,2350.13422245479,2.25697607441065
"119","CASP9",1.28409046451916e-07,0.00080518892577674,28.0621875687932,1,2350.13422245479,1.91555765538785
"2446","CMSS1",1.27506149210585e-06,0.00533018205749981,23.5830081684255,1,2350.13422245479,1.91513318234618
"1604","DUSP2",1.71572649264927e-06,0.00536828500647934,23.006402732221,1,2350.13422245479,2.68737811608291
"7882","EXOSC8",2.14029383880047e-06,0.00536828500647934,22.5773403133266,1,2350.13422245479,-2.76192907745576
"171","C1QC",8.91297699837553e-06,0.0186296074227713,19.8185884267932,1,2350.13422245479,-0.643324994809518
"6870","GAL",1.36904819504046e-05,0.0245274763057177,18.9921287321252,1,2350.13422245479,2.79737370894915
"3002","AREG",2.57171379227034e-05,0.0403148283360779,17.7814305432755,1,2350.13422245479,3.51554921102106
"9746","CCL18",3.67865078893125e-05,0.0512599550488743,17.0958829031242,1,2350.13422245479,1.41582710903769
"4643","RABGEF1",0.000109948475168705,0.137886382709073,15.0086020127655,1,2350.13422245479,0.574985784880445
"5595","ANXA1",0.000143646310001991,0.163769852157725,14.5013445494032,1,2350.13422245479,0.528621123279054
"10001","CCDC47",0.000205338732505777,0.212162407474237,13.8250246174401,1,2350.13422245479,-0.863980368974468
"590","DBT",0.000219927541437292,0.212162407474237,13.6953307761616,1,2350.13422245479,1.00470387247601
"6268","CUTC",0.00025829953241168,0.231381031141063,13.3917435651132,1,2350.13422245479,1.06140283622802
"3475","SLF1",0.000315147044004428,0.246853304765964,13.0168270963861,1,2350.13422245479,-2.75211573163483
"4861","DOCK4",0.000319404133738439,0.246853304765964,12.9915616755581,1,2350.13422245479,0.297298819981891
"6029","ARHGAP21",0.000349627330223366,0.246853304765964,12.8214019799724,1,2350.13422245479,0.50773072980456
"10480","PTPRS",0.000371806163351825,0.246853304765964,12.7057268092696,1,2350.13422245479,3.0787295143927
"561","ZNF644",0.000373990334945643,0.246853304765964,12.6947141782268,1,2350.13422245479,0.515069177060922
"83","LZIC",0.000408906249273809,0.256404663607142,12.5269751033475,1,2350.13422245479,-1.39542026007998
"6526","AMPD3",0.000464694662029525,0.277511226500584,12.2868745643799,1,2350.13422245479,0.782177524029197
"1061","CHIT1",0.000539404060054179,0.296024973636455,12.007379591635,1,2350.13422245479,1.68961154172999
"2007","AGFG1",0.000561732872742274,0.296024973636455,11.9314108361716,1,2350.13422245479,0.522007237301967
"4256","WASF1",0.000583812276750114,0.296024973636455,11.8592334136931,1,2350.13422245479,1.45848155547405
"1577","C2orf68",0.000590114372132317,0.296024973636455,11.8391374676245,1,2350.13422245479,-2.19246479184344
"6737","PLAAT3",0.000653279864584123,0.315107030067288,11.6489217920997,1,2350.13422245479,1.47868603652788
"6659","SMTNL1",0.000740884564118554,0.333672414653232,11.4138218638402,1,2350.13422245479,2.94100242021849
"7376","SPATS2",0.000744982665679811,0.333672414653232,11.4035238019234,1,2350.13422245479,0.517869645491845
"3510","DCP2",0.000862375440120889,0.365850308249282,11.1305745948628,1,2350.13422245479,0.457422590166001
"6583","CCDC73",0.000875170181602621,0.365850308249282,11.1031284505966,1,2350.13422245479,2.31161162086248
"7592","METAP2",0.00105168954304701,0.425459308366213,10.7611247539825,1,2350.13422245479,0.619463725224806
"989","LHX4",0.00113258268618803,0.443866233358877,10.6234053445428,1,2350.13422245479,3.67241276308796
"8879","TPSAB1",0.00117754674696454,0.447503447081282,10.5510999748025,1,2350.13422245479,-10
"4406","EZR",0.00131891483170044,0.486485614833976,10.3407423484631,1,2350.13422245479,0.632462460673991
"3266","CEP72",0.00153702799671476,0.550739088765708,10.0572830236587,1,2350.13422245479,2.02339730508206
"6550","NCR3LG1",0.00160851736856134,0.552098297478158,9.97319138220789,1,2350.13422245479,3.48132389325548
"9368","PLCG2",0.00171923143825857,0.552098297478158,9.85016172160135,1,2350.13422245479,0.515878223521911
"6906","MRPL48",0.0017484208241382,0.552098297478158,9.81906288374631,1,2350.13422245479,-3.11170625880274
