"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7228","C3AR1",2.75433238037132e-22,3.45420823822368e-18,96.1704279464524,1,2393.4926488078,-2.37717465928036
"8130","BAZ1A",3.02129897137909e-05,0.189450552000326,17.4714664860607,1,2393.4926488078,0.449378094305891
"133","SPATA21",0.000180124483368904,0.58825011348531,14.0719684843941,1,2393.4926488078,3.28873869339676
"12522","MT-ND1",0.000278829799500705,0.58825011348531,13.2467890162308,1,2393.4926488078,0.204301206871573
"2630","PLSCR2",0.000295595620087433,0.58825011348531,13.1367533945935,1,2393.4926488078,-10
"760","PSMD4",0.000383702932747908,0.58825011348531,12.6458525843368,1,2393.4926488078,-0.673638830726634
"10347","ZNF407",0.000401083703527118,0.58825011348531,12.5626074527964,1,2393.4926488078,0.499443974652474
"3379","ADAMTS6",0.000531766497566045,0.58825011348531,12.0334923394743,1,2393.4926488078,0.684125347928713
"6390","EEF1AKMT2",0.000580267147563064,0.58825011348531,11.8700466068628,1,2393.4926488078,-1.05635267868806
"5397","ZC3H3",0.000608075813093196,0.58825011348531,11.7824510643157,1,2393.4926488078,0.998068322327926
"10127","TBC1D16",0.000658520929663774,0.58825011348531,11.633417854328,1,2393.4926488078,1.0190606887505
"12532","MT-ND5",0.00067903608724743,0.58825011348531,11.576084001936,1,2393.4926488078,0.23551589264483
"7227","FOXJ2",0.000727417392241117,0.58825011348531,11.4475251364739,1,2393.4926488078,-1.67312769804876
"3708","CCNG1",0.000777084970346148,0.58825011348531,11.3242453519762,1,2393.4926488078,-1.10914505295064
"81","CLSTN1",0.000790261852180427,0.58825011348531,11.292875698712,1,2393.4926488078,0.712554778089055
"1599","ZNF2",0.00101899021390294,0.58825011348531,10.8193726526054,1,2393.4926488078,-10
"7063","DSCAML1",0.00104229077480255,0.58825011348531,10.7773283939178,1,2393.4926488078,2.54791048799969
"1891","C2orf69",0.00114979430557485,0.58825011348531,10.5949172312398,1,2393.4926488078,-1.8879771006589
"6829","PELI3",0.00115914904465443,0.58825011348531,10.579869462252,1,2393.4926488078,1.49323393671506
"11543","SGK2",0.00118031792571392,0.58825011348531,10.5462668675748,1,2393.4926488078,2.50644633860146
"7900","DGKH",0.00134505510300676,0.58825011348531,10.3039117324813,1,2393.4926488078,0.594731548952351
"9586","NTN1",0.00145343487181768,0.58825011348531,10.1603550850249,1,2393.4926488078,4.46063821065165
"6567","FANCF",0.00149110277482015,0.58825011348531,10.1129895689444,1,2393.4926488078,-10
"6311","SFXN2",0.00156501561794137,0.58825011348531,10.0234732384891,1,2393.4926488078,-10
"8873","HAGHL",0.00163961176972712,0.58825011348531,9.93737303613929,1,2393.4926488078,-10
"7135","FLI1",0.00165131667647554,0.58825011348531,9.92422448991096,1,2393.4926488078,0.309060155890898
"1001","LAMC1",0.00168183143319139,0.58825011348531,9.89038550674765,1,2393.4926488078,-0.921293950309941
"7165","CACNA1C",0.00171522711618645,0.58825011348531,9.85405793455579,1,2393.4926488078,2.64354871441424
"8840","ADAMTS17",0.00174150091338512,0.58825011348531,9.82597806111029,1,2393.4926488078,2.73878885879636
"8716","CLK3",0.00175013375071725,0.58825011348531,9.81684548411549,1,2393.4926488078,-1.31149458966096
"12531","MT-ND4",0.0017771555180355,0.58825011348531,9.78855197384535,1,2393.4926488078,0.177800986694603
"2863","BLOC1S4",0.00178870759853595,0.58825011348531,9.77658909194321,1,2393.4926488078,-1.47156311550276
