"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7304","INTS13",5.18817466473694e-07,0.00452279288265686,25.3369983488099,1,2293.30521226469,2.03934075482176
"1728","LYPD1",7.21281059350429e-07,0.00452279288265686,24.6947811194165,1,2293.30521226469,5.60538763036944
"3866","TPMT",7.65500247271245e-05,0.313799418258165,15.6985411705267,1,2293.30521226469,-2.24756241398686
"11584","NCOA3",0.000100087526754857,0.313799418258165,15.1884268954529,1,2293.30521226469,0.692010855501349
"5992","FRMD4A",0.000135543245424799,0.339969568174482,14.6126282013485,1,2293.30521226469,0.739641877975397
"3655","AFAP1L1",0.000238342348001103,0.498175231046971,13.5445235616768,1,2293.30521226469,3.08330748093686
"9870","ADAM11",0.000305238669373557,0.524649645731258,13.0779606962845,1,2293.30521226469,4.83287302861722
"3088","MANBA",0.000334678029331797,0.524649645731258,12.904573279342,1,2293.30521226469,0.645542488874648
"4932","KIAA1549",0.000484988176524133,0.603404036288842,12.2075463052988,1,2293.30521226469,4.34680470659734
"5508","C9orf72",0.00050242896636749,0.603404036288842,12.1412936521478,1,2293.30521226469,-1.20548632100213
"10971","CCDC97",0.00056767855290575,0.603404036288842,11.9125059089062,1,2293.30521226469,-10
"6999","MMP7",0.000586718821441933,0.603404036288842,11.8507396999646,1,2293.30521226469,3.07169314003843
"4878","CPED1",0.000646235506883221,0.603404036288842,11.6699702007623,1,2293.30521226469,-3.58744945306402
"2665","SHOX2",0.000732611564161551,0.603404036288842,11.4355362879734,1,2293.30521226469,2.04478870817224
"8522","NDUFAF1",0.000772329231252822,0.603404036288842,11.3369739927253,1,2293.30521226469,-10
"9228","CIAPIN1",0.000900938748388315,0.603404036288842,11.0497641460287,1,2293.30521226469,-10
"11224","MBOAT7",0.000911553144060492,0.603404036288842,11.0279448456164,1,2293.30521226469,1.09439807797933
"11194","ZNF808",0.000932160266974026,0.603404036288842,10.9863086113307,1,2293.30521226469,-3.17954057798724
"5313","ATP6V1C1",0.000982510227097267,0.603404036288842,10.888372873335,1,2293.30521226469,-0.979206237694114
"7033","DIXDC1",0.000988667443898672,0.603404036288842,10.8767465314562,1,2293.30521226469,2.01211742059919
"3038","HPSE",0.00102491930432185,0.603404036288842,10.80974586397,1,2293.30521226469,-2.28441682552023
"10930","GMFG",0.00121042010949018,0.603404036288842,10.5006208607852,1,2293.30521226469,0.590862502457508
"6214","KIF20B",0.00124233863993728,0.603404036288842,10.45231276687,1,2293.30521226469,1.54079925627434
"9867","FZD2",0.00125854289607462,0.603404036288842,10.4282668636474,1,2293.30521226469,-10
"3384","TRAPPC13",0.00129059320130764,0.603404036288842,10.3816165464565,1,2293.30521226469,1.1900072699026
"3106","HADH",0.00129219296652322,0.603404036288842,10.379318882949,1,2293.30521226469,-10
"11956","IFT27",0.00129909169761572,0.603404036288842,10.3694434707421,1,2293.30521226469,1.64702881635623
"9161","STX4",0.00183838029033823,0.807530070399957,9.72697853762423,1,2293.30521226469,0.816573161610817
"5977","USP6NL",0.00186734487214726,0.807530070399957,9.69812595514135,1,2293.30521226469,0.919361405560448
"8044","RNASE2",0.00203076158948908,0.848926036459417,9.54339892530328,1,2293.30521226469,1.58911711390736
"3746","RNF44",0.00218655498394617,0.884567292053835,9.40723115945848,1,2293.30521226469,1.66033951542966
"7405","SLC4A8",0.00235986277292283,0.920492219721164,9.26687515560578,1,2293.30521226469,1.001482035998
"6414","ADAM8",0.00244818921280277,0.920492219721164,9.1993190181885,1,2293.30521226469,1.0240641789881
"8897","NUBP2",0.00249555342241604,0.920492219721164,9.16410521841103,1,2293.30521226469,-10
"9728","CCL7",0.0026078299726902,0.934422733928795,9.08327195640096,1,2293.30521226469,-2.12110124289045
"673","CD58",0.00272128833807476,0.944290833841965,9.0051025963816,1,2293.30521226469,-1.18609658242197
"4539","SNX10",0.00302242408786448,0.944290833841965,8.81268829303147,1,2293.30521226469,-1.4442228479665
