"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"863","CD1D",1.1060362352565e-06,0.0138708004263517,23.852034798657,1,2497.95395181969,-1.7674302744754
"1838","SESTD1",3.75810047327471e-05,0.1828548235315,17.0511399432052,1,2497.95395181969,-0.486262677123211
"9327","ZNF19",5.51046213128437e-05,0.1828548235315,16.320209817592,1,2497.95395181969,1.9492394962345
"9744","CCL5",6.98722672962186e-05,0.1828548235315,15.8676537775708,1,2497.95395181969,1.24480910632786
"10755","CRTC1",0.000104914729258047,0.1828548235315,15.094571803657,1,2497.95395181969,0.695429824521783
"1968","SLC11A1",0.000109815485913355,0.1828548235315,15.0078809096752,1,2497.95395181969,-0.392756866199975
"9030","SYT17",0.000124242702260913,0.1828548235315,14.7736359110134,1,2497.95395181969,-1.56173588550247
"5152","FGFR1",0.000130946743810126,0.1828548235315,14.6739687220864,1,2497.95395181969,1.20784006792994
"3732","BNIP1",0.000131225054763057,0.1828548235315,14.6699430908346,1,2497.95395181969,1.34662379442534
"10773","NDUFA13",0.000211359509180477,0.239004591014793,13.7678521326169,1,2497.95395181969,0.245839351564794
"7465","MYL6",0.000215877972024548,0.239004591014793,13.7278987463324,1,2497.95395181969,0.201261040181705
"12162","MBTPS2",0.000228694290102664,0.239004591014793,13.6190020964859,1,2497.95395181969,0.949702289609181
"5247","FABP4",0.000276435926121865,0.266587243346764,13.2613928333583,1,2497.95395181969,0.919446603032554
"4265","SLC16A10",0.000311050241376637,0.266587243346764,13.0391669799583,1,2497.95395181969,-0.48040575325653
"8226","HIF1A",0.000318858835037195,0.266587243346764,12.9924932163663,1,2497.95395181969,-0.246520157811224
"3498","FBXL17",0.000345794438156057,0.271038003057194,12.8399068363633,1,2497.95395181969,-0.364023304262458
"7078","CXCR5",0.0003961737318827,0.275830225710167,12.5842574939042,1,2497.95395181969,-3.40288782167814
"1563","TMSB10",0.000414632838697783,0.275830225710167,12.4987302378759,1,2497.95395181969,0.165463134729045
"9568","TRAPPC1",0.000417891259747482,0.275830225710167,12.4840329435301,1,2497.95395181969,0.424680060485044
"4861","DOCK4",0.000477875650358208,0.299651926557114,12.2323706879649,1,2497.95395181969,-0.198721789347371
"11214","ZNF331",0.000518778750636257,0.309809729129967,12.0784438921991,1,2497.95395181969,-0.453554746744838
"211","SH3BGRL3",0.000555396244310145,0.315773663082617,11.9507091050387,1,2497.95395181969,0.254709901971932
"1715","POLR2D",0.000605329170769117,0.315773663082617,11.7896050966672,1,2497.95395181969,-1.37661334208016
"6055","CREM",0.000609335060026216,0.315773663082617,11.7772679710402,1,2497.95395181969,-0.280448361769876
"10194","ENOSF1",0.000629482623161264,0.315773663082617,11.7164358217762,1,2497.95395181969,-0.445004034429084
"3031","SCD5",0.000805622638050785,0.383538503202112,11.2557642272776,1,2497.95395181969,-10
"4512","ITGB8",0.000825734756913884,0.383538503202112,11.2097918867002,1,2497.95395181969,-0.801350042845091
"10016","GNA13",0.000886432347227538,0.392176587059638,11.0776211509387,1,2497.95395181969,-0.319880723128099
"6957","CCDC90B",0.00092576339222607,0.392176587059638,10.9967788895657,1,2497.95395181969,0.490208339535292
"3382","TRIM23",0.00103921189480783,0.392176587059638,10.7817207036253,1,2497.95395181969,-0.964499302903804
"3166","INPP4B",0.00109187384073648,0.392176587059638,10.6898487082326,1,2497.95395181969,-2.10540857105544
"375","TIE1",0.00110052189973668,0.392176587059638,10.6751916034335,1,2497.95395181969,2.37374200789176
"7687","BRAP",0.00113818302069074,0.392176587059638,10.6126927289743,1,2497.95395181969,-0.712585979806048
"1035","ZNF281",0.00114124278370432,0.392176587059638,10.6077073339817,1,2497.95395181969,-0.647824593211892
"1504","MXD1",0.00126313967847958,0.392176587059638,10.4193795014414,1,2497.95395181969,-0.443711900769081
"3273","NDUFS6",0.00130158217874128,0.392176587059638,10.3637898723365,1,2497.95395181969,0.351608355154557
"2022","PTMA",0.00132801147465028,0.392176587059638,10.3265282953863,1,2497.95395181969,0.152897970396044
"7549","RAB21",0.00133129011837938,0.392176587059638,10.3219583290181,1,2497.95395181969,-0.392843348567887
"5618","SLC28A3",0.00138960028887505,0.392176587059638,10.2425332658268,1,2497.95395181969,2.06210208061654
"8104","CIDEB",0.00140192536769643,0.392176587059638,10.2261778499167,1,2497.95395181969,1.0597029615431
"8446","CRIP1",0.00141820199646296,0.392176587059638,10.2048005463196,1,2497.95395181969,0.704967539337923
"6877","CCND1",0.00143946261847663,0.392176587059638,10.1772487957701,1,2497.95395181969,0.8214058360437
"9444","MYO1C",0.00147450014627475,0.392176587059638,10.1327309112354,1,2497.95395181969,0.721057962779382
"10640","GET3",0.00148779877309487,0.392176587059638,10.1161140414792,1,2497.95395181969,0.528683200843174
"4643","RABGEF1",0.00150840005853962,0.392176587059638,10.090667268095,1,2497.95395181969,-0.36306661384036
"4534","CYCS",0.00151511376349738,0.392176587059638,10.0824505179559,1,2497.95395181969,0.457912534610512
"9498","PFN1",0.001539104193202,0.392176587059638,10.0533877493034,1,2497.95395181969,0.231264831866683
"1318","DTNB",0.00157322731318859,0.392176587059638,10.012831325664,1,2497.95395181969,-0.46638007858173
"3283","CCT5",0.0016443597945545,0.392176587059638,9.93108058274584,1,2497.95395181969,0.429137079015456
"8495","THBS1",0.00165438019370382,0.392176587059638,9.91985338334966,1,2497.95395181969,-0.499113970700524
"8488","AQR",0.00167833730172153,0.392176587059638,9.89328806001506,1,2497.95395181969,-0.552496915901431
"354","RIMS3",0.00179125611285766,0.392176587059638,9.77304164977873,1,2497.95395181969,1.31729067615881
"9939","NME2",0.00179855180838543,0.392176587059638,9.76553897975433,1,2497.95395181969,0.287757323338257
"6983","PIWIL4",0.0018093477668018,0.392176587059638,9.75449318660764,1,2497.95395181969,-0.734227031171628
"7208","TPI1",0.00181465424718104,0.392176587059638,9.7490883839878,1,2497.95395181969,0.246344979125025
"8952","DNASE1",0.00182515247520603,0.392176587059638,9.7384427028486,1,2497.95395181969,-0.929968953650365
"7374","TUBA1A",0.0018308089740179,0.392176587059638,9.73273247231761,1,2497.95395181969,0.461766930231412
"152","MICOS10",0.00185924138919027,0.392176587059638,9.70429834015549,1,2497.95395181969,0.276164652943175
"3194","TLR2",0.00186591147430566,0.392176587059638,9.69769172893309,1,2497.95395181969,-0.396531144340278
"480","ATG4C",0.00187629337561425,0.392176587059638,9.68745613441475,1,2497.95395181969,0.365458372389189
"10029","SLC16A6",0.00202726241155497,0.416785211529687,9.54478153049629,1,2497.95395181969,-0.770609828964414
"10321","MALT1",0.00210478478573778,0.425743645128024,9.47565409260802,1,2497.95395181969,-0.387230102077955
"3048","SLC10A6",0.00222964105004153,0.443840133469379,9.3695751222517,1,2497.95395181969,-10
"6171","KAT6B",0.00226618860466157,0.444066738922824,9.33966301261786,1,2497.95395181969,-0.521134211077852
"5582","TJP2",0.00241025396875464,0.463645424946824,9.22634147741239,1,2497.95395181969,-1.98647947133541
"6221","FGFBP3",0.00244004449776656,0.463645424946824,9.20376796584144,1,2497.95395181969,2.19991261891483
"1962","ARPC2",0.00250987926251811,0.469796952705069,9.15192986739214,1,2497.95395181969,0.155267966946809
"9944","STXBP4",0.00258786839889331,0.472654677520784,9.09574277494289,1,2497.95395181969,-1.0203105194674
