"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"12322","ATRX",5.62549196825586e-05,0.33540270167698,16.2852447923714,1,2315.08086150139,-0.687933006329325
"9218","MT1G",8.01915409192018e-05,0.33540270167698,15.6095170837552,1,2315.08086150139,3.1101479908672
"10871","THAP8",0.000113373773879629,0.33540270167698,14.9511083830842,1,2315.08086150139,1.99772484919485
"1231","AKT3",0.000122998933458526,0.33540270167698,14.7964094063262,1,2315.08086150139,-2.1666026541389
"12362","TCEAL8",0.000133722470966024,0.33540270167698,14.6378114373915,1,2315.08086150139,0.945141622306189
"2479","CD200R1",0.00016668546095409,0.348400394304207,14.2202403365213,1,2315.08086150139,-2.47503196804279
"11834","RANBP1",0.00030537343186694,0.547098315577613,13.0767522434153,1,2315.08086150139,1.15830653603544
"11414","DSTN",0.000351578853056803,0.55114379952317,12.8114997047361,1,2315.08086150139,0.737215767005405
"592","CDC14A",0.000471547851309223,0.657075733696551,12.259932556241,1,2315.08086150139,-1.83763057456385
"1825","MTX2",0.000535364525998106,0.667842898809094,12.0219655671298,1,2315.08086150139,1.06565004005107
"2322","TUSC2",0.000620903126073391,0.667842898809094,11.7444589743318,1,2315.08086150139,1.1263430561488
"6981","ANKRD49",0.000639033154111246,0.667842898809094,11.6906259438052,1,2315.08086150139,-3.18828526052146
"5067","ASAH1",0.000729831915676315,0.669540996438022,11.4423436749759,1,2315.08086150139,-0.442688948539947
"682","PHGDH",0.000747434331403581,0.669540996438022,11.3978449647071,1,2315.08086150139,3.28529628794996
"168","CDC42",0.00112484434898696,0.888699440583683,10.6365399391956,1,2315.08086150139,-0.498225340771806
"2760","TP63",0.00117604969360302,0.888699440583683,10.5538543290828,1,2315.08086150139,2.32339838834855
"11170","ZNF175",0.00120467988915737,0.888699440583683,10.5091975544135,1,2315.08086150139,-10
"6837","RBM4B",0.00151455243412866,0.950974630451137,10.0849013379677,1,2315.08086150139,1.66734914279057
"8845","SELENOS",0.00162370628699171,0.950974630451137,9.9561644317313,1,2315.08086150139,0.79828871252064
"3920","GNL1",0.00170312142422955,0.950974630451137,9.86790075800474,1,2315.08086150139,1.06231346001924
"4454","SNX8",0.00186835534332261,0.950974630451137,9.6969151233209,1,2315.08086150139,-1.09383098254631
"2699","ECT2",0.00188213109278472,0.950974630451137,9.68335954185433,1,2315.08086150139,-3.06057623168298
"7442","MUCL1",0.00194823787412399,0.950974630451137,9.61967915199907,1,2315.08086150139,3.53315120685766
"2364","NEK4",0.00204404217651218,0.950974630451137,9.53117914452746,1,2315.08086150139,-2.04077322309497
