"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10046","CD300A",1.67734506541108e-13,2.10355844653203e-09,54.9699992223748,1,2446.72873634562,-1.77549769834392
"4500","SCIN",8.84881605394973e-06,0.0554865010662918,19.8290540991165,1,2446.72873634562,2.51594581416269
"8595","GLDN",3.55783610770749e-05,0.116918849823337,17.1571619623733,1,2446.72873634562,3.67932990165109
"4048","STK38",3.72917151178811e-05,0.116918849823337,17.067204697488,1,2446.72873634562,0.551790801027321
"4217","MAP3K7",7.80809483838113e-05,0.195842634736276,15.6572726015641,1,2446.72873634562,-0.744990916366573
"1265","RSAD2",0.000195216245417645,0.40803448896378,13.9188532956522,1,2446.72873634562,0.38218963799681
"3010","CXCL10",0.000276439297645449,0.49526074739594,13.2621612397467,1,2446.72873634562,1.62752908265498
"6338","PDCD4",0.000344827110809254,0.500683829459235,12.845920008801,1,2446.72873634562,0.493805871209619
"10047","CD300LB",0.000375412487435936,0.500683829459235,12.6861222125289,1,2446.72873634562,0.776978265602187
"10761","ARMC6",0.000408657349573341,0.500683829459235,12.5266976218069,1,2446.72873634562,-10
"4974","ZNF282",0.000439161320791929,0.500683829459235,12.3915405189881,1,2446.72873634562,1.03414792922099
"6159","USP54",0.000562531046637901,0.54172876464556,11.9274586056243,1,2446.72873634562,-2.7829967347034
"3812","BPHL",0.000628636701995028,0.54172876464556,11.7195739479064,1,2446.72873634562,-2.55463564104473
"3135","KIAA1109",0.000648598110439094,0.54172876464556,11.6611301418642,1,2446.72873634562,0.321910076045418
"8348","GPR65",0.000679400183660287,0.54172876464556,11.5744216720797,1,2446.72873634562,-0.461174241763039
"8591","SPPL2A",0.000718904094266375,0.54172876464556,11.4688586246822,1,2446.72873634562,0.311076903464776
"10421","SPPL2B",0.000763019744650992,0.54172876464556,11.3576918713917,1,2446.72873634562,-1.56918962000013
"2081","SETMAR",0.00077753909286501,0.54172876464556,11.3225219491822,1,2446.72873634562,-10
"11026","ZNF180",0.000890253043142742,0.587613863897533,11.0701696583605,1,2446.72873634562,-3.17806676995683
"2735","EIF4G1",0.00107545051673402,0.650444493164652,10.7185357582239,1,2446.72873634562,-0.531756339062897
"8220","DHRS7",0.00111917526338636,0.650444493164652,10.6444888955941,1,2446.72873634562,0.509143354067919
"9744","CCL5",0.00114103969776113,0.650444493164652,10.6085532577787,1,2446.72873634562,1.18318851974718
"9747","CCL3",0.00129085240227074,0.696398367005127,10.3796309537077,1,2446.72873634562,1.02898482398873
"7778","C12orf65",0.0013528536558712,0.696398367005127,10.2926694556023,1,2446.72873634562,0.727384412163294
"4623","MRPS17",0.00139565258214354,0.696398367005127,10.2349648848823,1,2446.72873634562,-1.28896370692511
"8994","SOCS1",0.0014542653196062,0.696398367005127,10.1587828066087,1,2446.72873634562,1.28971182252912
"3072","UNC5C",0.00154866706501155,0.696398367005127,10.0423949420725,1,2446.72873634562,0.678122733922637
"10418","PEAK3",0.00166180135711836,0.696398367005127,9.91203555561031,1,2446.72873634562,-10
"9901","COPZ2",0.00201656505891413,0.696398367005127,9.55495269304751,1,2446.72873634562,-2.42268595771203
"1987","STK16",0.0020406396815172,0.696398367005127,9.53308374973425,1,2446.72873634562,-1.06314480949727
"5698","NIPSNAP3A",0.00205799618999551,0.696398367005127,9.51747921684734,1,2446.72873634562,-0.994829513371035
"366","YBX1",0.00206059969756665,0.696398367005127,9.51515003338768,1,2446.72873634562,-0.229580470138321
"10720","GTPBP3",0.0021405832801043,0.696398367005127,9.44501272351717,1,2446.72873634562,-2.37390036308804
"1061","CHIT1",0.00216612707730979,0.696398367005127,9.4231728207577,1,2446.72873634562,1.20179621902107
"9282","THAP11",0.0022806412403968,0.696398367005127,9.32837258120051,1,2446.72873634562,-1.14698673074601
"10279","PIK3C3",0.00234053984568015,0.696398367005127,9.28069311919309,1,2446.72873634562,0.429198919300433
"5590","ABHD17B",0.0024773179135668,0.696398367005127,9.17630623438106,1,2446.72873634562,0.607075211023648
"11145","IL4I1",0.00248450082277687,0.696398367005127,9.17098729365878,1,2446.72873634562,0.441436980453489
"6569","SVIP",0.00249389188913783,0.696398367005127,9.164056722993,1,2446.72873634562,0.826601787008421
"5707","KLF4",0.00249669273917683,0.696398367005127,9.16199483738806,1,2446.72873634562,2.58705195042636
"4675","GTF2IRD2B",0.00253395863389796,0.696398367005127,9.13478242193236,1,2446.72873634562,1.05937768358313
"10237","ROCK1",0.00260827756021627,0.696398367005127,9.0817062141602,1,2446.72873634562,-0.260565907539151
"3263","AHRR",0.00262757863490839,0.696398367005127,9.06817324157345,1,2446.72873634562,-0.382213939841042
"1165","PSEN2",0.00266461964909673,0.696398367005127,9.04248245415285,1,2446.72873634562,0.895751275087652
"2693","EIF5A2",0.00268546520533219,0.696398367005127,9.02818354186645,1,2446.72873634562,-2.99538000277548
"2570","TMCC1",0.00273400027051611,0.696398367005127,8.99532341452863,1,2446.72873634562,-0.292853912019156
"11894","XBP1",0.00274198814450777,0.696398367005127,8.98997217121007,1,2446.72873634562,0.836667191018674
"5560","PAX5",0.00280519169079784,0.696398367005127,8.94818110092859,1,2446.72873634562,1.82236410311875
"7353","SLC48A1",0.00282990683698654,0.696398367005127,8.93209877756116,1,2446.72873634562,-0.863065541137105
"4609","ADCY1",0.00286976577699207,0.696398367005127,8.90646062639933,1,2446.72873634562,1.18859827455665
"8622","AQP9",0.00298898113328391,0.696398367005127,8.83188509714989,1,2446.72873634562,0.426513160601251
"2342","ABHD14B",0.00302114017697426,0.696398367005127,8.81228543847786,1,2446.72873634562,-1.42459568413316
"5453","DOCK8",0.0030652334844991,0.696398367005127,8.78575434748718,1,2446.72873634562,0.196314709447943
"1677","RGPD8",0.00307879084520318,0.696398367005127,8.77767478491161,1,2446.72873634562,1.10211905751136
"546","LMO4",0.00318103369140766,0.696398367005127,8.71788332730971,1,2446.72873634562,0.368728624494533
"2484","SIDT1",0.00320113112603089,0.696398367005127,8.70636044654476,1,2446.72873634562,1.49385137547375
"6293","KCNIP2",0.00321803823027227,0.696398367005127,8.6967235796341,1,2446.72873634562,-10
"11231","LILRA5",0.00328051992482361,0.696398367005127,8.66155108445829,1,2446.72873634562,0.417046934802239
