"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11941","TIMP3",6.90801218818117e-06,0.0866333808519801,20.3076718534818,1,2413.93522421648,1.31841597082988
"374","EBNA1BP2",0.000180557681590719,0.601497061928407,14.0670496325816,1,2413.93522421648,-2.37582576063758
"2883","C1QTNF7",0.000195670409271458,0.601497061928407,13.9150356359493,1,2413.93522421648,3.81463981519414
"9339","PSMD7",0.000232309795408012,0.601497061928407,13.5907730518782,1,2413.93522421648,0.460455785830582
"7473","PAN2",0.000345587030036904,0.601497061928407,12.8422718287037,1,2413.93522421648,1.45038006497353
"320","ZC3H12A",0.000356735610235975,0.601497061928407,12.7825513873353,1,2413.93522421648,1.71248000749061
"9067","PRKCB",0.000374369933763624,0.601497061928407,12.6918311060519,1,2413.93522421648,0.501563812262251
"7563","SYT1",0.000443942104020511,0.601497061928407,12.3716795259656,1,2413.93522421648,-2.90000598228473
"4747","TECPR1",0.000474591283699425,0.601497061928407,12.2464308714864,1,2413.93522421648,0.965607802670018
"6060","ZNF37A",0.000479624481244244,0.601497061928407,12.2266464803074,1,2413.93522421648,0.621184492243532
"5366","EFR3A",0.000527638501096387,0.601555858386345,12.0478149002681,1,2413.93522421648,0.361947430108911
"4354","LTV1",0.000594160210294542,0.620946933108655,11.8254984749505,1,2413.93522421648,-2.00941357377831
"10384","GPX4",0.000658376373747754,0.635130623320814,11.6335685586879,1,2413.93522421648,-0.277126127912641
"8845","SELENOS",0.000985708353606473,0.743034450421904,10.8809179882384,1,2413.93522421648,0.558914552874832
"7801","GLT1D1",0.00098919274272932,0.743034450421904,10.8743527964378,1,2413.93522421648,1.13113517742476
"6467","KCNQ1",0.0010513272143446,0.743034450421904,10.7610546175484,1,2413.93522421648,0.603029808845136
"1535","MOB1A",0.00107991893235262,0.743034450421904,10.7111779010086,1,2413.93522421648,-0.331816864974195
"2172","RBMS3",0.00109292832613635,0.743034450421904,10.6889245810399,1,2413.93522421648,-10
"2221","SEC22C",0.00112572000303135,0.743034450421904,10.6340012088537,1,2413.93522421648,0.775058446164277
"7824","ZNF891",0.00129888903918999,0.773055919096447,10.3684499546368,1,2413.93522421648,-10
"4630","ZNF680",0.00137712278374132,0.773055919096447,10.2600452392768,1,2413.93522421648,0.716427126967823
"8357","KCNK13",0.00138719777661632,0.773055919096447,10.2465403883201,1,2413.93522421648,0.51376360762724
"5441","C8orf82",0.00141777259701924,0.773055919096447,10.2061571552401,1,2413.93522421648,0.844103156464077
"7195","NOP2",0.00167922384826605,0.836506983493189,9.8930622978023,1,2413.93522421648,-2.05262955889306
"212","UBXN11",0.00171079507064537,0.836506983493189,9.85864842517715,1,2413.93522421648,0.700250810368963
"7484","ZBTB39",0.00174869286077378,0.836506983493189,9.81817890626115,1,2413.93522421648,-10
"6277","SCD",0.00185415660184599,0.836506983493189,9.71007460321509,1,2413.93522421648,0.994988712302718
"8700","SENP8",0.00193300174850718,0.836506983493189,9.63325446513355,1,2413.93522421648,1.68523039991168
"3797","TRIM41",0.00193435152869009,0.836506983493189,9.63196720206914,1,2413.93522421648,-1.68403364675477
"2670","MFSD1",0.002069881936545,0.860145265372088,9.50714709274033,1,2413.93522421648,0.276833963723233
"4360","FBXO30",0.00212618636683954,0.860145265372088,9.4577132002585,1,2413.93522421648,0.931816179762583
"8569","GATM",0.0022936335614213,0.870740770076226,9.31819018647806,1,2413.93522421648,-1.42637631460124
"6542","CYP2R1",0.00235858878693082,0.870740770076226,9.26683263447018,1,2413.93522421648,-1.52171437761712
"4201","SLC35A1",0.00236725916356945,0.870740770076226,9.26008617680681,1,2413.93522421648,0.650099602637132
"12441","ZNF75D",0.00254955955455892,0.870740770076226,9.12376693408084,1,2413.93522421648,0.526089211689572
"6423","BET1L",0.00277716799976814,0.870740770076226,8.96683930224454,1,2413.93522421648,-1.07998585033642
"4543","TAX1BP1",0.00283074005883658,0.870740770076226,8.93180510886062,1,2413.93522421648,-0.316508112133315
"1383","CRIM1",0.00284535425776603,0.870740770076226,8.92236488933675,1,2413.93522421648,1.4576839690156
"5239","ZC2HC1A",0.00286958920477237,0.870740770076226,8.9068181213844,1,2413.93522421648,0.781879714573522
"10024","BPTF",0.00290515207769235,0.870740770076226,8.88424439781839,1,2413.93522421648,0.304805717771497
"11857","MAPK1",0.00310671327157743,0.870740770076226,8.7613848646447,1,2413.93522421648,0.346549388146923
"9848","NBR1",0.00311256042006138,0.870740770076226,8.7579429254856,1,2413.93522421648,0.487385181761331
"4916","SLC35B4",0.00314369424849495,0.870740770076226,8.73972591611341,1,2413.93522421648,0.604721511660203
"9421","VPS9D1",0.00318933337243479,0.870740770076226,8.71335048460229,1,2413.93522421648,0.765572770302446
"12253","GPR173",0.00337732306410282,0.870740770076226,8.60861118420415,1,2413.93522421648,3.22934536453019
"4666","LAT2",0.00339959689364482,0.870740770076226,8.59659608487503,1,2413.93522421648,-0.797030558600213
"4522","KLHL7",0.00359596871462534,0.870740770076226,8.49400802269118,1,2413.93522421648,-0.863897230965505
"8274","PCNX1",0.00379235228486657,0.870740770076226,8.39696375828595,1,2413.93522421648,0.292697919286391
"1385","STRN",0.00381960225995145,0.870740770076226,8.38390366922489,1,2413.93522421648,0.43014064397774
"12351","ARMCX3",0.00386630179549454,0.870740770076226,8.36174101020715,1,2413.93522421648,-0.681287772655121
"5471","KIAA2026",0.00396275915058781,0.870740770076226,8.31681455822948,1,2413.93522421648,0.357714253926389
"9444","MYO1C",0.00401618220143238,0.870740770076226,8.2924086928743,1,2413.93522421648,0.8013667586953
"12029","XRCC6",0.00402433013932333,0.870740770076226,8.28871545487642,1,2413.93522421648,-0.453562423445231
"11457","HCK",0.00405183587226548,0.870740770076226,8.27630385740626,1,2413.93522421648,-0.495499683700479
"9023","XYLT1",0.0040699728242554,0.870740770076226,8.26816665011324,1,2413.93522421648,0.414382046696592
"451","LRP8",0.00408210075422068,0.870740770076226,8.26274598797173,1,2413.93522421648,-10
"4069","NFYA",0.00430847480236192,0.870740770076226,8.16447054421945,1,2413.93522421648,0.858958878413069
"1103","C1orf74",0.00453154659837616,0.870740770076226,8.07264498926808,1,2413.93522421648,2.07721679338644
"1068","PIK3C2B",0.00466878495142034,0.870740770076226,8.01841336935851,1,2413.93522421648,1.15715304322484
"11154","POLD1",0.00471882248249924,0.870740770076226,7.99904360179532,1,2413.93522421648,-1.55052671259404
