"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8844","CHSY1",3.43033684534548e-05,0.430198543774777,17.229162978731,1,2366.01681680935,0.773107082865473
"8474","GREM1",9.95256621102578e-05,0.479580787202603,15.1974819099997,1,2366.01681680935,2.16375047842807
"10047","CD300LB",0.000135794871724659,0.479580787202603,14.6075855490479,1,2366.01681680935,1.04036973460799
"1791","DHRS9",0.000152964129559877,0.479580787202603,14.3819275779521,1,2366.01681680935,-1.94599967971974
"11563","TNNC2",0.000241279441004567,0.582153572095722,13.520087757768,1,2366.01681680935,3.58670608159259
"9362","CENPN",0.0003444169390699,0.582153572095722,12.8493974936132,1,2366.01681680935,1.66883337804223
"7413","IGFBP6",0.000362381698106628,0.582153572095722,12.7537560100665,1,2366.01681680935,2.48368037839787
"12106","SLC25A6",0.000371360224604559,0.582153572095722,12.707734862862,1,2366.01681680935,0.561597883343764
"3456","RPS23",0.00054989262804574,0.712497494725749,11.9710851206645,1,2366.01681680935,0.307946982890731
"3275","MED10",0.0005681345145728,0.712497494725749,11.909973634732,1,2366.01681680935,-1.05483275862658
"2865","TBC1D14",0.000664896096221891,0.729399165001938,11.6157649868433,1,2366.01681680935,-0.730265794226786
"12220","EBP",0.000746421752679241,0.729399165001938,11.3997195160431,1,2366.01681680935,1.32769538028118
"7776","PITPNM2",0.000764175091971631,0.729399165001938,11.3558453771889,1,2366.01681680935,2.08953995389151
"11106","PLEKHA4",0.000937119307801288,0.729399165001938,10.9755484309493,1,2366.01681680935,2.15188382649377
"1271","ITGB1BP1",0.000958315043289425,0.729399165001938,10.9339115466864,1,2366.01681680935,0.800556216623165
"10428","SLC39A3",0.00122671485087668,0.729399165001938,10.4749955607869,1,2366.01681680935,-2.11828883068949
"5432","SLC39A4",0.0012514506199649,0.729399165001938,10.4379534383953,1,2366.01681680935,-10
"7380","TMBIM6",0.00129311481656927,0.729399165001938,10.3772060311022,1,2366.01681680935,0.283516734507976
"8840","ADAMTS17",0.00133365698654527,0.729399165001938,10.3199685983151,1,2366.01681680935,2.71023221061457
"6393","CTBP2",0.00144460187665372,0.729399165001938,10.1719175160142,1,2366.01681680935,-0.640902310198677
"11285","ZNF805",0.00154209766250743,0.729399165001938,10.0510318733478,1,2366.01681680935,-10
"2418","EIF4E3",0.00162940077580345,0.729399165001938,9.9491853279852,1,2366.01681680935,0.76238681656073
"6942","AAMDC",0.00163161776969369,0.729399165001938,9.94667162250366,1,2366.01681680935,-0.825228004256505
"9596","MAP2K4",0.0016813528604053,0.729399165001938,9.89117242511213,1,2366.01681680935,-0.664835538567171
"217","ARID1A",0.00180614177854861,0.729399165001938,9.75893690867359,1,2366.01681680935,-0.512988871875599
"12471","SLC6A8",0.0018633538075944,0.729399165001938,9.70137963643407,1,2366.01681680935,-3.06189146951849
"288","AZIN2",0.00186904838418565,0.729399165001938,9.69574908465576,1,2366.01681680935,1.97389157862244
"9608","NCOR1",0.00187652428646509,0.729399165001938,9.68838359526007,1,2366.01681680935,-0.377279733390346
"1519","DYSF",0.00202286835721222,0.729399165001938,9.54990294176157,1,2366.01681680935,-0.764986362962846
"10207","EPB41L3",0.00205489632995355,0.729399165001938,9.52095385896281,1,2366.01681680935,-0.302267191596069
"2409","SUCLG2",0.00207774772376749,0.729399165001938,9.50057772200718,1,2366.01681680935,0.45671645790059
"672","ATP1A1",0.00208196171317049,0.729399165001938,9.49684503795398,1,2366.01681680935,0.579068572697736
"2152","EFHB",0.00210162531078188,0.729399165001938,9.47952809725517,1,2366.01681680935,2.21877628011477
"6650","NUP160",0.002106754338392,0.729399165001938,9.47503820497451,1,2366.01681680935,0.67160596575851
"6218","HECTD2",0.00212607542530317,0.729399165001938,9.45822378355444,1,2366.01681680935,-1.10994827641771
"9392","C16orf95",0.00222174617618285,0.729399165001938,9.37718688071523,1,2366.01681680935,-10
"7055","SIK3",0.00226980265707945,0.729399165001938,9.33780801316427,1,2366.01681680935,-0.40646211713328
"4103","DNPH1",0.00234529096822175,0.729399165001938,9.27762837657477,1,2366.01681680935,0.647139051350671
"11393","GPCPD1",0.00235968552092225,0.729399165001938,9.26637651661332,1,2366.01681680935,-0.543803220787385
"9032","GDE1",0.00235969231202492,0.729399165001938,9.26637122464399,1,2366.01681680935,0.517911201184709
"211","SH3BGRL3",0.00244891484751984,0.729399165001938,9.19814643813595,1,2366.01681680935,0.316490122103643
"7822","ZNF84",0.0024946885576476,0.729399165001938,9.16411862871784,1,2366.01681680935,-1.30109501867537
"10994","PHLDB3",0.00258382334817534,0.729399165001938,9.09963914438672,1,2366.01681680935,-10
