"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"7248","CLEC7A",4.43632645451317e-08,0.000556359700660497,30.1499513139059,1,2313.14626741079,-1.42271195900863
"3186","FAM160A1",6.37272147430425e-07,0.00399601500046248,24.9348634484422,1,2313.14626741079,4.95598777679637
"934","MPZL1",1.73039029281404e-06,0.00723360822072694,22.9917520830431,1,2313.14626741079,1.05288778888859
"3312","IL7R",4.01518195244905e-05,0.114873043197302,16.9294936826202,1,2313.14626741079,2.1374282838782
"1643","RPL31",4.57989965701706e-05,0.114873043197302,16.6779489018038,1,2313.14626741079,-1.14537526026144
"109","TNFRSF8",0.000123909981266282,0.258992512510074,14.7824459396109,1,2313.14626741079,1.78924808348934
"7456","RAB5B",0.000167648411891274,0.267262906135076,14.2093723413723,1,2313.14626741079,-2.38791892133469
"5879","SURF1",0.000170489055823348,0.267262906135076,14.1775614454343,1,2313.14626741079,-1.59359926865619
"10281","SLC14A1",0.000337847151676756,0.430972911038713,12.8864998101947,1,2313.14626741079,5.16831626955417
"3729","RPL26L1",0.000344593741218676,0.430972911038713,12.8492900577969,1,2313.14626741079,1.07005142653174
"12279","FAAH2",0.000378016268353866,0.430972911038713,12.6751731724666,1,2313.14626741079,2.86199660642351
"1991","DNPEP",0.000423128704246506,0.442204756662952,12.4633288276146,1,2313.14626741079,-2.64921315993044
"4264","RPF2",0.000528997917576873,0.510320221871658,12.0444100675479,1,2313.14626741079,1.33710789264535
"1864","INPP1",0.000635327307537309,0.569117125987528,11.7015298206056,1,2313.14626741079,-10
"11873","ADORA2A",0.000722157812024786,0.603772074706856,11.4621102377851,1,2313.14626741079,4.48262016612834
"10847","LSR",0.00118844958422436,0.803324403795514,10.5344014915444,1,2313.14626741079,3.05281839532878
"4990","GIMAP4",0.00127021578788285,0.803324403795514,10.4109167851556,1,2313.14626741079,0.561490579291339
"10263","GAREM1",0.00136026167284379,0.803324403795514,10.2839179043955,1,2313.14626741079,-2.51219031135026
"6968","TMEM135",0.00137335751084837,0.803324403795514,10.2661605545734,1,2313.14626741079,0.907497859822361
"4402","TULP4",0.00147952615005538,0.803324403795514,10.1282331120724,1,2313.14626741079,0.789945383137324
"9946","PCTP",0.00150452330239884,0.803324403795514,10.0972184007761,1,2313.14626741079,-2.45350661240786
"1162","LIN9",0.00163245428509415,0.803324403795514,9.94624929843974,1,2313.14626741079,1.71877070362505
"3109","COL25A1",0.001717323979809,0.803324403795514,9.85257588987455,1,2313.14626741079,3.35123254166284
"6788","DPF2",0.00180782976667876,0.803324403795514,9.75771884130335,1,2313.14626741079,0.948224190916951
"2731","ABCF3",0.00184635416519325,0.803324403795514,9.71879515048782,1,2313.14626741079,1.30877384130649
"10877","ZNF565",0.00196111422734319,0.803324403795514,9.60754919173577,1,2313.14626741079,-10
"10343","TIMM21",0.00200867197035004,0.803324403795514,9.56337108564806,1,2313.14626741079,-10
"7146","ADAMTS15",0.00202589370715015,0.803324403795514,9.54763446590486,1,2313.14626741079,3.18659966675822
"8082","DHRS4",0.00209007247606475,0.803324403795514,9.49016249773492,1,2313.14626741079,-3.03134991186189
"8625","MINDY2",0.00209685491000383,0.803324403795514,9.48419378137322,1,2313.14626741079,0.868172418299508
"5771","ZBTB26",0.0021487043163282,0.803324403795514,9.43920219785383,1,2313.14626741079,1.52142025584303
"2561","RAB43",0.00236374742576579,0.803324403795514,9.26367277517822,1,2313.14626741079,-2.01934977023881
"561","ZNF644",0.00243311366902835,0.803324403795514,9.21049683078367,1,2313.14626741079,0.543620050116579
"10073","TSEN54",0.00243837763227738,0.803324403795514,9.20652454824665,1,2313.14626741079,1.67053214397308
"8519","CHP1",0.00251815103428017,0.803324403795514,9.1473696919291,1,2313.14626741079,-1.21992382939223
"5954","GTPBP4",0.00253095618620206,0.803324403795514,9.13805182644665,1,2313.14626741079,-2.39715149972818
"9999","STRADA",0.00254378707413034,0.803324403795514,9.12876314131865,1,2313.14626741079,0.67421777556763
"1665","SEPTIN10",0.00260800531536042,0.803324403795514,9.08297740842328,1,2313.14626741079,-1.19283732768394
"5898","UBAC1",0.00262915261497813,0.803324403795514,9.06815033838602,1,2313.14626741079,0.637502132743039
"9547","FGF11",0.00264221363680551,0.803324403795514,9.05905322848257,1,2313.14626741079,2.54867520605266
"10604","CCDC151",0.00269278649510297,0.803324403795514,9.02425464663134,1,2313.14626741079,2.82326590436581
"7750","P2RX4",0.00276474950869221,0.803324403795514,8.97586583216994,1,2313.14626741079,-1.24780075975211
"609","WDR47",0.00278742253474124,0.803324403795514,8.9608850429855,1,2313.14626741079,1.10418470530616
"8241","FNTB",0.00285442943915704,0.803324403795514,8.91732471512353,1,2313.14626741079,1.02056388158798
"11163","IGLON5",0.00290427007933087,0.803324403795514,8.88559275156049,1,2313.14626741079,1.93127812599299
"7893","WBP4",0.00305830915333638,0.803324403795514,8.79090960447195,1,2313.14626741079,0.863139151118164
"12033","SREBF2",0.00306194920254426,0.803324403795514,8.78873126453165,1,2313.14626741079,1.02148434001995
"3233","SPCS3",0.0032651095598438,0.803324403795514,8.67115086215989,1,2313.14626741079,0.58693512125924
"6977","C11orf54",0.00329771776711969,0.803324403795514,8.65297419935396,1,2313.14626741079,-1.5996649281885
"11320","ZSCAN18",0.00334551786393123,0.803324403795514,8.6266569459776,1,2313.14626741079,1.58594600617125
"3994","PSMB8",0.00335211751512289,0.803324403795514,8.62305346358103,1,2313.14626741079,0.550457518373327
"5439","RECQL4",0.00338246996765972,0.803324403795514,8.60657307924026,1,2313.14626741079,3.60040088742502
"11890","TTC28",0.00340652684027293,0.803324403795514,8.59361750966941,1,2313.14626741079,0.891227776197998
"3806","WRNIP1",0.00354822992384172,0.803324403795514,8.51914469327154,1,2313.14626741079,-1.71148016956279
"7196","CHD4",0.00356212678780828,0.803324403795514,8.51200472139764,1,2313.14626741079,-0.699533566159236
"7785","TMED2",0.00364622914065068,0.803324403795514,8.46939017942577,1,2313.14626741079,0.721598849024508
"733","RPRD2",0.00373419466978382,0.803324403795514,8.42587544988734,1,2313.14626741079,-0.757338035892007
"2537","HEG1",0.00373917296968047,0.803324403795514,8.42344407567969,1,2313.14626741079,1.22893022484217
"10987","GSK3A",0.00377929509799341,0.803324403795514,8.40396810618083,1,2313.14626741079,1.09687343108864
"3998","HLA-DMA",0.00388676133508406,0.810327991986602,8.35282140011688,1,2313.14626741079,0.515581172893985
"12157","PDHA1",0.00394147257086219,0.810327991986602,8.32733292039578,1,2313.14626741079,1.12447881476179
"8886","CCDC154",0.00429772268967689,0.869318391148999,8.16969355927361,1,2313.14626741079,2.01255190759906
"10794","ZNF708",0.00447974220071056,0.889067417902592,8.09421629834947,1,2313.14626741079,-1.46343335882815
"5835","LRRC8A",0.00460319368577494,0.889067417902592,8.04478309879799,1,2313.14626741079,-10
"11778","CFAP410",0.00473730476994552,0.889067417902592,7.99258997688852,1,2313.14626741079,-10
"11206","ZNF347",0.00480651109811646,0.889067417902592,7.96624253391195,1,2313.14626741079,1.3264964188564
"12046","ATP5MGL",0.00486190140795416,0.889067417902592,7.94543212367743,1,2313.14626741079,3.37002549459008
"9466","CLUH",0.00496818652324448,0.889067417902592,7.90616867097274,1,2313.14626741079,1.47932499455595
"11406","BTBD3",0.00516337520593908,0.889067417902592,7.83624400740932,1,2313.14626741079,-2.83669515130535
"12275","NBDY",0.00520039570839339,0.889067417902592,7.82328632888365,1,2313.14626741079,-0.740264196206551
"4700","MAGI2",0.0053892014534323,0.889067417902592,7.75863227931331,1,2313.14626741079,1.46003260764782
"11413","SNRPB2",0.00541214716037977,0.889067417902592,7.75093277455052,1,2313.14626741079,0.665470772702682
"11382","AP5S1",0.00549671561690169,0.889067417902592,7.7228403649664,1,2313.14626741079,-10
"994","MR1",0.00560208348517851,0.889067417902592,7.68844947271564,1,2313.14626741079,0.640031068544966
"8592","AP4E1",0.00560296079542223,0.889067417902592,7.68816590783513,1,2313.14626741079,-1.12605542367671
"3137","NUDT6",0.0056074438274099,0.889067417902592,7.68671760588286,1,2313.14626741079,1.66056233346774
"4961","ZYX",0.0056604292870543,0.889067417902592,7.66968893186133,1,2313.14626741079,0.526431301112328
"4787","PPP1R35",0.0056687971838647,0.889067417902592,7.66701450801267,1,2313.14626741079,1.11831691937434
"6233","NOC3L",0.00577838151186602,0.889067417902592,7.63235801716473,1,2313.14626741079,1.41138476051138
"11386","SMOX",0.00580304077096222,0.889067417902592,7.62465191939582,1,2313.14626741079,-1.00413794090772
"1580","ST3GAL5",0.00597728246966504,0.889067417902592,7.57113530535963,1,2313.14626741079,-0.706073571685164
"8689","SPESP1",0.00608905535894863,0.889067417902592,7.53763755674164,1,2313.14626741079,-10
"5995","HSPA14",0.00618510577253023,0.889067417902592,7.50934963299227,1,2313.14626741079,1.84576029322505
"10175","CSNK1D",0.00620949403366277,0.889067417902592,7.50223843050246,1,2313.14626741079,0.635121411937287
"5240","IL7",0.00624196758677285,0.889067417902592,7.49281384749805,1,2313.14626741079,-3.11634831404113
"4398","SNX9",0.0063619530433807,0.889067417902592,7.45842047326303,1,2313.14626741079,0.505064196250879
"377","MED8",0.00637282826495658,0.889067417902592,7.45533594679574,1,2313.14626741079,-1.39146193631737
"7425","MAP3K12",0.00641398488749605,0.889067417902592,7.44371122693109,1,2313.14626741079,-10
"3880","ACOT13",0.00647301707641001,0.889067417902592,7.42716990046875,1,2313.14626741079,-0.569813376797315
