"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9747","CCL3",1.55701692812884e-22,1.95265492956638e-18,97.3851513250293,1,2346.32043939997,2.7361855056634
"5595","ANXA1",6.06241819506342e-09,3.80143932921452e-05,34.0666766015344,1,2346.32043939997,0.771573110073083
"7242","CLECL1",3.75826930519638e-06,0.0157108184521559,21.4866883057372,1,2346.32043939997,-2.84383157524185
"742","CTSK",1.30032302215101e-05,0.0407683775519894,19.0913426361759,1,2346.32043939997,1.70121158694727
"7825","ZNF10",2.03727625189083e-05,0.0452332693288164,18.2284350659369,1,2346.32043939997,1.5789682568735
"11110","DHDH",2.16409868409934e-05,0.0452332693288164,18.1125321811014,1,2346.32043939997,1.84508941101863
"3093","BDH2",9.41683861522229e-05,0.168709390105004,15.303105056429,1,2346.32043939997,-1.86993913708539
"7451","MMP19",0.000139245967052355,0.218285459100448,14.5604027150716,1,2346.32043939997,0.700224332408358
"1647","RFX8",0.000159355111593194,0.222052494943361,14.3047829856329,1,2346.32043939997,2.94755042859114
"7376","SPATS2",0.000251335214896344,0.315199493001505,13.4433769644256,1,2346.32043939997,0.579433916214687
"4606","MYO1G",0.000323430404001536,0.368740063325751,12.9680394325586,1,2346.32043939997,1.08939739558558
"213","CD52",0.000354861216821834,0.370859543346885,12.7935108369882,1,2346.32043939997,0.8530696756889
"6301","NFKB2",0.000452881383379796,0.407239488232582,12.3352489583982,1,2346.32043939997,-2.58744464650897
"8465","ARHGAP11B",0.000515053696796728,0.407239488232582,12.0939905696482,1,2346.32043939997,-10
"5314","BAALC",0.000518281239985237,0.407239488232582,12.0822829107065,1,2346.32043939997,2.58985366325292
"5532","SIGMAR1",0.000527794279449175,0.407239488232582,12.0481988183999,1,2346.32043939997,-10
"10813","URI1",0.00055203502910086,0.407239488232582,11.9640773831449,1,2346.32043939997,-0.895935919566751
"12191","CASK",0.0006110168616984,0.425709025697758,11.7740554712539,1,2346.32043939997,-1.07238633672888
"7898","RGCC",0.00067139438743455,0.44315563225351,11.5978458355572,1,2346.32043939997,0.885211337213574
"1059","PPFIA4",0.000710657230473585,0.445617616368462,11.4916569327972,1,2346.32043939997,2.52117761018201
"3854","RANBP9",0.000958298597425955,0.525775546475966,10.9341746768742,1,2346.32043939997,0.634578708600601
"5981","DHTKD1",0.000982612887342894,0.525775546475966,10.8875416212137,1,2346.32043939997,1.12284650553713
"8104","CIDEB",0.00100358994646455,0.525775546475966,10.8482380376297,1,2346.32043939997,-10
"911","FCGR2B",0.00100680613562108,0.525775546475966,10.8422856434861,1,2346.32043939997,-1.7409684023398
"3148","JADE1",0.00104811328138898,0.525775546475966,10.7675021018419,1,2346.32043939997,1.23824283091649
"2929","SMIM14",0.00123788973997796,0.586309341448973,10.4583805451936,1,2346.32043939997,-0.829429361700646
"888","LY9",0.00126228787330534,0.586309341448973,10.4221684589442,1,2346.32043939997,-10
"4878","CPED1",0.00134971513345359,0.598725003600059,10.2979897335814,1,2346.32043939997,-1.43879952779499
