"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11941","TIMP3",1.79023315789544e-06,0.0224513140331667,22.9202283261024,1,2426.38225386326,1.47073670604328
"11959","CSF2RB",2.51705702720636e-05,0.157832060890975,17.8203778075953,1,2426.38225386326,-1.36031448205174
"6480","RRM1",4.07207133122191e-05,0.159874012988371,16.8995450425256,1,2426.38225386326,-1.76476338008176
"1402","DHX57",5.09924289891941e-05,0.159874012988371,16.469878886123,1,2426.38225386326,-1.2737878023206
"950","SCYL3",0.000108410424134839,0.271915025815002,15.0337510685196,1,2426.38225386326,-1.68107629334022
"6997","BIRC2",0.000245383937648243,0.512893327007769,13.4872261855233,1,2426.38225386326,0.60329884934747
"949","METTL18",0.000510876081900306,0.702347251780111,12.1081405630223,1,2426.38225386326,-10
"2277","PFKFB4",0.000512051330900696,0.702347251780111,12.1038343956484,1,2426.38225386326,0.695784584006335
"4697","RSBN1L",0.000520511057649261,0.702347251780111,12.0731290373222,1,2426.38225386326,0.441590575166965
"2517","CD86",0.000589200480011781,0.702347251780111,11.841022944779,1,2426.38225386326,-0.341221584998495
"482","ITGB3BP",0.000616044954116994,0.702347251780111,11.7576700709091,1,2426.38225386326,-1.18786733635735
"6264","HPS1",0.000813120571356251,0.816140583624083,11.2393022262568,1,2426.38225386326,0.506077865202243
"12048","ARFGAP3",0.00090540786195883,0.816140583624083,11.0389584343307,1,2426.38225386326,-0.697247787488286
"8122","ARHGAP5",0.000916965319543259,0.816140583624083,11.0153373296888,1,2426.38225386326,0.474348944754995
"4868","FOXP2",0.000976166873005442,0.816140583624083,10.8988790861601,1,2426.38225386326,2.83278960341383
"8886","CCDC154",0.00113279604507908,0.833072372761353,10.6222310039078,1,2426.38225386326,1.54692455594639
"4568","ANLN",0.00120483959065935,0.833072372761353,10.5077548414823,1,2426.38225386326,2.55119263995915
"1999","ACSL3",0.00128066168455031,0.833072372761353,10.3945307964427,1,2426.38225386326,-0.515124711336448
"3047","PTPN13",0.00146522260066958,0.833072372761353,10.1450803418765,1,2426.38225386326,2.16403477945934
"1315","DNAJC27",0.00156282607023215,0.833072372761353,10.0257502092953,1,2426.38225386326,-2.1349049298765
"3539","LMNB1",0.00157246235504427,0.833072372761353,10.0143811892018,1,2426.38225386326,1.15532589691205
"10204","TGIF1",0.001593080952013,0.833072372761353,9.99029047365464,1,2426.38225386326,-0.808183704464759
"7770","DENR",0.00188708058541636,0.833072372761353,9.67749103320864,1,2426.38225386326,-0.637229150600543
"8303","AREL1",0.00188893183914268,0.833072372761353,9.67568223041823,1,2426.38225386326,0.62660938083027
"10517","ZNF358",0.00191823056385516,0.833072372761353,9.6472923668787,1,2426.38225386326,-0.818545597881533
"12332","HDX",0.00199271551892645,0.833072372761353,9.57705335800859,1,2426.38225386326,0.648004616604204
"5189","MRPL15",0.00208829572043707,0.833072372761353,9.49072594260626,1,2426.38225386326,-1.10204714195897
"11088","LIG1",0.00218072781077763,0.833072372761353,9.41097404721379,1,2426.38225386326,-1.8214146330024
"6629","ZNF408",0.00218745238838802,0.833072372761353,9.40530652856241,1,2426.38225386326,-3.00766812932987
"4911","COPG2",0.00221960898236911,0.833072372761353,9.37844696090393,1,2426.38225386326,1.10264780814666
"10551","ZNF177",0.00235412757145896,0.833072372761353,9.27021268441429,1,2426.38225386326,1.88339209081866
"11510","MYL9",0.00247710341852,0.833072372761353,9.17662517471079,1,2426.38225386326,2.67811581844384
"4977","ZNF777",0.00247774037713395,0.833072372761353,9.17615281751859,1,2426.38225386326,1.13051070148686
"11438","NXT1",0.0026403021713101,0.833072372761353,9.05946324563513,1,2426.38225386326,1.14574996700313
"5566","TOMM5",0.00274299052301759,0.833072372761353,8.98945550483063,1,2426.38225386326,0.455823415967634
"6277","SCD",0.00275102751788783,0.833072372761353,8.98408913376097,1,2426.38225386326,0.934143611895596
"12448","HTATSF1",0.00278714981188382,0.833072372761353,8.96016504878357,1,2426.38225386326,-0.959381002745415
"3640","NDFIP1",0.00302632459728374,0.833072372761353,8.8092935395833,1,2426.38225386326,0.319857395731723
"9852","DHX8",0.00307331586758929,0.833072372761353,8.78108029399796,1,2426.38225386326,-0.761868806478774
"2721","B3GNT5",0.00309967184156386,0.833072372761353,8.76544770694562,1,2426.38225386326,-1.26311851603407
"540","ZNHIT6",0.0032193700322917,0.833072372761353,8.69611100710549,1,2426.38225386326,-1.1294650709389
"5535","AL162231.1",0.00328033636761754,0.833072372761353,8.66179668579813,1,2426.38225386326,2.41702021603799
"4179","PHIP",0.00328422035918563,0.833072372761353,8.65963264536423,1,2426.38225386326,0.264345511354345
"9701","EFCAB5",0.00328494622569616,0.833072372761353,8.65922850361156,1,2426.38225386326,-10
"9200","HNRNPA1P48",0.00332328361730857,0.833072372761353,8.63801142571969,1,2426.38225386326,1.67313773645095
"7169","RHNO1",0.0033330151299876,0.833072372761353,8.63266532619718,1,2426.38225386326,-1.59517691963444
"5278","FSBP",0.00336372597278601,0.833072372761353,8.6158975566933,1,2426.38225386326,2.41638638217079
"5215","VCPIP1",0.00341359257041758,0.833072372761353,8.58899991158789,1,2426.38225386326,-0.559237732232164
"3101","AIMP1",0.00348291893362893,0.833072372761353,8.55226261847404,1,2426.38225386326,-0.674037412574841
"82","CTNNBIP1",0.00351208762687349,0.833072372761353,8.53702744508788,1,2426.38225386326,-0.756737626583683
"9831","TUBG2",0.00355993949532388,0.833072372761353,8.51231051220428,1,2426.38225386326,-1.38542818735964
"7234","RIMKLB",0.00356159827753093,0.833072372761353,8.51145977531656,1,2426.38225386326,-1.31455639522057
"4181","LCA5",0.00360137727042703,0.833072372761353,8.4911782661725,1,2426.38225386326,1.10750154042164
"11098","LMTK3",0.00364178499861707,0.833072372761353,8.47080826771606,1,2426.38225386326,1.86960077391586
"3104","SGMS2",0.00365353484585555,0.833072372761353,8.4649281863025,1,2426.38225386326,-1.80902901718714
"5017","RBM33",0.00383379550075366,0.857773617584518,8.37705540403979,1,2426.38225386326,0.379282408239713
"4291","ASF1A",0.00410288031679375,0.857773617584518,8.25341535303246,1,2426.38225386326,-0.994916989483246
