"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"319","CSF3R",3.4639652260462e-14,4.34415878998454e-10,58.1751909425157,1,2340.20632897846,-2.46326521013231
"6400","ADAM12",4.10164273509742e-09,2.57193507704284e-05,34.8390458403113,1,2340.20632897846,2.66052427682609
"11941","TIMP3",4.98178243341957e-05,0.163572331081733,16.5165560402498,1,2340.20632897846,1.56849430915958
"2220","TRAK1",5.21720217149297e-05,0.163572331081733,16.4283973473923,1,2340.20632897846,-0.926079220306038
"961","TNFSF18",7.87155426450439e-05,0.197434324062299,15.6442832074504,1,2340.20632897846,4.31272491290642
"3989","HLA-DQA1",0.000120729242978424,0.221809763198126,14.8312175240222,1,2340.20632897846,-1.52288027088917
"3102","DKK2",0.000127387870564017,0.221809763198126,14.7293396160114,1,2340.20632897846,5.48821314975441
"9433","RFLNB",0.000159613970301613,0.221809763198126,14.3018305132016,1,2340.20632897846,1.29466495464628
"10142","TEPSIN",0.000163506612925462,0.221809763198126,14.2561987138711,1,2340.20632897846,-10
"9295","PLA2G15",0.000191802005007442,0.221809763198126,13.9541484399261,1,2340.20632897846,-1.62783251874947
"3216","CPE",0.000194554453008483,0.221809763198126,13.927203218583,1,2340.20632897846,4.3029810196877
"8924","KCTD5",0.000213294850107542,0.222910892933224,13.7533676814093,1,2340.20632897846,-2.68396626155832
"10901","ZNF540",0.000234157744546352,0.225890174950446,13.577105094388,1,2340.20632897846,2.12586995929496
"10643","PRDX2",0.000289304971586031,0.259155260618601,13.178170762422,1,2340.20632897846,1.35363622478509
"9396","KLHDC4",0.000335796979573953,0.28074866138913,12.8975085872085,1,2340.20632897846,-10
"1042","CSRP1",0.00047429127983982,0.371755433779449,12.2486741593971,1,2340.20632897846,-1.82329822234036
"9988","INTS2",0.000537457124071271,0.394828511920077,12.0142944715617,1,2340.20632897846,-3.30001546877925
"3743","HIGD2A",0.000566694299861366,0.394828511920077,11.9150839934195,1,2340.20632897846,-0.712663089713318
"5377","COL22A1",0.0006460708239409,0.409377745567664,11.6698016223373,1,2340.20632897846,2.57699889451059
"12004","SYNGR1",0.000652863002260847,0.409377745567664,11.6502479759375,1,2340.20632897846,1.30053870436014
"3988","HLA-DRB1",0.000864262463604171,0.493489475248267,11.1266225435966,1,2340.20632897846,-0.635778740866193
"7061","BACE1",0.000870997868045381,0.493489475248267,11.1121549916109,1,2340.20632897846,1.11573912365463
"2762","IL1RAP",0.000991863933929058,0.493489475248267,10.870176529692,1,2340.20632897846,1.05392982195039
"3704","PWWP2A",0.000995058383172363,0.493489475248267,10.8641936012714,1,2340.20632897846,-1.65364127773311
"8867","RHOT2",0.00107238096308326,0.493489475248267,10.7250160789618,1,2340.20632897846,-2.16025157320767
"6318","TAF5",0.00107955725301251,0.493489475248267,10.7126181666717,1,2340.20632897846,-10
"11478","AHCY",0.00110991708442382,0.493489475248267,10.6610748959521,1,2340.20632897846,-2.47914030711835
"2124","NUP210",0.00113375584732153,0.493489475248267,10.6215934266302,1,2340.20632897846,-10
"12053","TTLL12",0.00115972296970377,0.493489475248267,10.5795322386227,1,2340.20632897846,-10
"8582","GALK2",0.00118050269176685,0.493489475248267,10.5465547768723,1,2340.20632897846,0.744516375658237
"8077","PABPN1",0.00121998718799609,0.493543849182546,10.4854815627028,1,2340.20632897846,-0.857147408288087
"5247","FABP4",0.00126803954478458,0.496952622848233,10.4138011075509,1,2340.20632897846,1.19785814056311
"5072","LPL",0.00149119169166019,0.556844508502524,10.1134131702477,1,2340.20632897846,1.27284178991571
"11872","SPECC1L",0.00152538544200927,0.556844508502524,10.0714529622687,1,2340.20632897846,-0.80330051875422
"6835","RBM14",0.00155406728311844,0.556844508502524,10.0369853419915,1,2340.20632897846,1.2185380582548
"6619","CRY2",0.00164236423417538,0.572135829466484,9.93478867531283,1,2340.20632897846,1.14386783058149
"1554","SEMA4F",0.00197758993615462,0.670296091603111,9.59186876458715,1,2340.20632897846,3.20342198583596
"6887","NUMA1",0.00210329747166875,0.680021064176973,9.47829431051626,1,2340.20632897846,-0.776655305231712
"4658","DNAJC30",0.00213908801674758,0.680021064176973,9.4472163634949,1,2340.20632897846,1.52292371995574
