"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"909","FCGR3A",2.29267468298232e-44,2.87524331992813e-40,203.328823826129,1,2431.05747415731,-1.90982358931424
"2446","CMSS1",2.58666345978897e-08,0.000162196732246067,31.2000898795256,1,2431.05747415731,1.77304035304158
"1611","NEURL3",5.76839318604983e-06,0.024113806315417,20.6550321846491,1,2431.05747415731,2.71894827692762
"7251","GABARAPL1",8.880449574225e-05,0.278424295275889,15.4127660202275,1,2431.05747415731,0.607448664095665
"8350","SPATA7",0.000121293075985054,0.301121314762363,14.8205050742658,1,2431.05747415731,0.892524752483753
"5373","ST3GAL1",0.000178273023740572,0.301121314762363,14.0908311600073,1,2431.05747415731,0.461488236260078
"10221","CHMP1B",0.000188585947160923,0.301121314762363,13.9844599498584,1,2431.05747415731,0.609797443290817
"3213","TMEM192",0.000204452817833167,0.301121314762363,13.8317464576606,1,2431.05747415731,-1.39061324047782
"11442","CST7",0.000216098543406528,0.301121314762363,13.7270816712306,1,2431.05747415731,0.752785739591763
"4147","LRRC1",0.000312869688254134,0.392369876039509,13.0291921324682,1,2431.05747415731,2.70230022778892
"3088","MANBA",0.000392052255519527,0.446975212406399,12.6048458871644,1,2431.05747415731,0.342388468681237
"9461","TSR1",0.000543399834531326,0.458066350903039,11.9924521616334,1,2431.05747415731,-2.2645662103802
"5242","TPD52",0.000617865971023812,0.458066350903039,11.7520901054929,1,2431.05747415731,-1.8580413044347
"3681","SPARC",0.000621251758000399,0.458066350903039,11.7418693104616,1,2431.05747415731,1.0313514891952
"8768","CFAP161",0.00062763887550142,0.458066350903039,11.7227406503544,1,2431.05747415731,2.19761031769682
"3087","NFKB1",0.000676706244618842,0.458066350903039,11.5820366643943,1,2431.05747415731,0.501730018545436
"11798","PCNT",0.00068068185345525,0.458066350903039,11.5710917691505,1,2431.05747415731,0.89278976029573
"11585","SULF2",0.000683023514651325,0.458066350903039,11.5646753499065,1,2431.05747415731,0.701627327832601
"10611","ZNF823",0.000693984583937305,0.458066350903039,11.5349334601536,1,2431.05747415731,-2.53749162468707
"11695","ATP5PF",0.000741715899898697,0.465092955031478,11.4107264948616,1,2431.05747415731,-0.394681915191462
"8494","RASGRP1",0.000808576988575511,0.469586258016867,11.2496969254791,1,2431.05747415731,5.3187626686766
"5321","LRP12",0.000900916263754519,0.469586258016867,11.0481680843069,1,2431.05747415731,-0.628576989420019
"8982","PMM2",0.0009075679684707,0.469586258016867,11.0344679598239,1,2431.05747415731,-1.21224864879715
"9754","DHRS11",0.000975486783254489,0.469586258016867,10.9001245669522,1,2431.05747415731,-10
"8704","HEXA",0.000996205517468816,0.469586258016867,10.8610224684043,1,2431.05747415731,-0.323117520177896
"7649","FICD",0.00101413461590882,0.469586258016867,10.8278437913698,1,2431.05747415731,-10
"4190","PGM3",0.00105946011490453,0.469586258016867,10.7465448753273,1,2431.05747415731,0.975119112241559
"2783","TM4SF19",0.00106789022296881,0.469586258016867,10.73181304632,1,2431.05747415731,-2.07473917634814
"10642","JUNB",0.00108587843732471,0.469586258016867,10.7007678910109,1,2431.05747415731,0.563738752985292
"5493","MLLT3",0.00116018596967854,0.484996408191286,10.5778142146586,1,2431.05747415731,0.851666143790156
"7769","KNTC1",0.00127377474311318,0.515303517851045,10.4044838257205,1,2431.05747415731,-1.81679950547262
"4406","EZR",0.00133121546703795,0.521711661628841,10.3227052583927,1,2431.05747415731,-0.642692097167676
"1905","CFLAR",0.00139449729649895,0.529951230163433,10.2366501960554,1,2431.05747415731,0.289267309734484
"10832","PDCD2L",0.00148773567395115,0.53430678216769,10.1168112650761,1,2431.05747415731,1.80370117500398
"7948","NEK3",0.00149116795916348,0.53430678216769,10.1125463184396,1,2431.05747415731,1.11732884686348
"6893","INPPL1",0.00158420429784989,0.549597214831705,10.0005794117796,1,2431.05747415731,0.587514826556279
