"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"909","FCGR3A",5.66738906019952e-10,7.10747262039622e-06,38.7460450230719,1,2431.87188498599,-0.681704950650135
"8614","NEDD4",1.31004182815985e-08,8.21461728347634e-05,32.5387840364797,1,2431.87188498599,1.81129253284239
"9727","CCL2",1.79136781908713e-05,0.0594165949718674,18.4727497161736,1,2431.87188498599,0.774423753882351
"4730","FAM133B",1.89511506169739e-05,0.0594165949718674,18.3646509738428,1,2431.87188498599,0.564211971663644
"1542","WBP1",5.37458042717897e-05,0.134805226274503,16.3693828693578,1,2431.87188498599,1.037814051554
"10818","ANKRD27",8.96083873685371e-05,0.182897610395324,15.3956111599652,1,2431.87188498599,-1.55695442614363
"11381","CDC25B",0.000125667474116775,0.182897610395324,14.7532699959077,1,2431.87188498599,-2.4028046246481
"9393","FBXO31",0.000134091164964982,0.182897610395324,14.6302211598024,1,2431.87188498599,1.65656080702629
"1997","SGPP2",0.000152412132549139,0.182897610395324,14.3875117841788,1,2431.87188498599,2.02507884414362
"8703","CELF6",0.00015261477944048,0.182897610395324,14.3849949158598,1,2431.87188498599,-1.35895189843941
"133","SPATA21",0.000160423707387654,0.182897610395324,14.2904896871283,1,2431.87188498599,3.12402010934949
"1096","CR1",0.000177359764073538,0.185355733437186,14.1005334155121,1,2431.87188498599,-1.67063892749163
"3468","POLR3G",0.000343698237040859,0.319423157167974,12.852310398729,1,2431.87188498599,2.8425615239201
"2589","CEP63",0.000356584339394915,0.319423157167974,12.7830802631173,1,2431.87188498599,-0.864422861655095
"7585","PLXNC1",0.000585701076447073,0.464465457351179,11.8520997166331,1,2431.87188498599,0.494929049663868
"1456","PPP4R3B",0.000592572148761571,0.464465457351179,11.8302749130443,1,2431.87188498599,0.399703587638587
"9076","IL4R",0.000943638521584732,0.539317092564927,10.961891974809,1,2431.87188498599,0.577443764693769
"6938","PAK1",0.000951227722845787,0.539317092564927,10.9469817333641,1,2431.87188498599,0.500491524479853
"5735","HDHD3",0.000955518543130598,0.539317092564927,10.938604882963,1,2431.87188498599,0.996141315554641
"8689","SPESP1",0.00100520536065725,0.539317092564927,10.8442841160768,1,2431.87188498599,-2.51834602775607
"2787","FBXO45",0.00101156956787863,0.539317092564927,10.8325451623095,1,2431.87188498599,-2.15610925927968
"1435","CALM2",0.00101947863282546,0.539317092564927,10.8180604046924,1,2431.87188498599,0.230649131593275
"8089","PSME2",0.00110879924891396,0.539317092564927,10.661947041205,1,2431.87188498599,0.333317306878438
"6614","EXT2",0.00115165831110335,0.539317092564927,10.5915046996948,1,2431.87188498599,0.634319302924273
"5513","NDUFB6",0.00119270872324712,0.539317092564927,10.5264806794203,1,2431.87188498599,0.624556437365462
"9716","COPRS",0.00120914312766806,0.539317092564927,10.5010815496358,1,2431.87188498599,0.592798956279908
"12132","TCEANC",0.00121933222850732,0.539317092564927,10.4855094086901,1,2431.87188498599,1.3323701313228
"3339","HMGCS1",0.00122930180414756,0.539317092564927,10.4703997995552,1,2431.87188498599,1.11186698289303
"6637","MYBPC3",0.00124712508447356,0.539317092564927,10.4436940138453,1,2431.87188498599,-10
"8350","SPATA7",0.00142263506988004,0.580889404995345,10.1996419105638,1,2431.87188498599,0.736895499800855
"7956","DACH1",0.00147383075389094,0.580889404995345,10.1341843424448,1,2431.87188498599,3.51082583412891
"4806","PLOD3",0.00149254933274728,0.580889404995345,10.1108249061766,1,2431.87188498599,0.740531968424261
"973","KIAA0040",0.00152853443623685,0.580889404995345,10.0667405400279,1,2431.87188498599,-1.12682752525776
"10842","SCN1B",0.00163932029034989,0.604668110625821,9.9373437436781,1,2431.87188498599,-1.57672133927639
"7376","SPATS2",0.00169535410471224,0.607469595062747,9.87523460009458,1,2431.87188498599,0.379499554207141
"989","LHX4",0.00174495850176156,0.607875682516436,9.82196476713592,1,2431.87188498599,3.21138545724892
"5040","CLDN23",0.00184123359979971,0.61779405318315,9.72282196743193,1,2431.87188498599,-1.99970728148755
"9864","GRN",0.00189611694665084,0.61779405318315,9.66863094564195,1,2431.87188498599,0.196106880495451
"7362","CCNT1",0.00198388966223342,0.61779405318315,9.58518855675002,1,2431.87188498599,0.71785226678884
"7166","FKBP4",0.00199341219157949,0.61779405318315,9.57636198359679,1,2431.87188498599,0.803867382463692
"8038","PNP",0.00201973974806707,0.61779405318315,9.55217945023095,1,2431.87188498599,1.05041441564885
"10443","FZR1",0.00228014551948856,0.680840594283476,9.32889263104316,1,2431.87188498599,-1.06900195108678
"221","GPATCH3",0.00249278772822702,0.713730264196144,9.16498640280469,1,2431.87188498599,-1.2953296225524
"3232","WDR17",0.00250713974961633,0.713730264196144,9.15444072714141,1,2431.87188498599,-10
"692","NBPF20",0.00259001295902799,0.713730264196144,9.09472097896532,1,2431.87188498599,-10
"5340","DEPTOR",0.00270888879487173,0.713730264196144,9.01236272251793,1,2431.87188498599,-10
"11555","STK4",0.00273001656144986,0.713730264196144,8.99811032823797,1,2431.87188498599,-0.322175688309382
"10894","ZNF585B",0.00273176402849971,0.713730264196144,8.9969365422464,1,2431.87188498599,0.743395353649373
"12185","BCOR",0.00284210500337057,0.717408197754607,8.92432434079828,1,2431.87188498599,-1.25749858088898
"3","PLEKHN1",0.00286025116719004,0.717408197754607,8.91265778994308,1,2431.87188498599,1.4732792743259
"1079","RAB29",0.00297009217467276,0.721432562715549,8.84360592814186,1,2431.87188498599,0.536012301795282
"5593","TMC1",0.00299256386933719,0.721432562715549,8.82979923190203,1,2431.87188498599,2.00033694130501
"10885","ZNF461",0.00304887375998119,0.721432562715549,8.79565996429066,1,2431.87188498599,-1.80085132855445
"12441","ZNF75D",0.00319908698616789,0.734409211434458,8.70763452126153,1,2431.87188498599,0.490772212670335
"8408","HSP90AA1",0.00322083618761623,0.734409211434458,8.69523888798965,1,2431.87188498599,0.236695406858404
"1764","NR4A2",0.00331585640323156,0.742574199159411,8.64206363670773,1,2431.87188498599,-1.48345255418585
"917","UHMK1",0.00341517729653455,0.749308439988666,8.58811342146625,1,2431.87188498599,0.390011231667102
"10520","XAB2",0.00350832087511032,0.749308439988666,8.53894975781463,1,2431.87188498599,0.775994468306147
"5618","SLC28A3",0.00352517326842607,0.749308439988666,8.53019665549188,1,2431.87188498599,2.04394104388627
"5107","PPP2R2A",0.00371660548133859,0.776832489024454,8.4336535285729,1,2431.87188498599,-0.35841573450532
"9889","CDC27",0.00384683826541924,0.789012647159761,8.37082497932597,1,2431.87188498599,0.367948949572431
"5247","FABP4",0.00390070840633962,0.789012647159761,8.3454669475907,1,2431.87188498599,0.878854545804385
"6519","TMEM41B",0.0039969775593601,0.793068751335607,8.30102605678478,1,2431.87188498599,-0.658142220632193
"8362","RPS6KA5",0.00413473773935904,0.793068751335607,8.23929185135941,1,2431.87188498599,0.680099370979679
"11321","ZNF329",0.00420070924761701,0.793068751335607,8.21046611336638,1,2431.87188498599,-1.80089643078658
"12507","VBP1",0.00427453444069049,0.793068751335607,8.17875049653855,1,2431.87188498599,0.715438582412091
"8483","SLC12A6",0.0043179685705923,0.793068751335607,8.16035068587508,1,2431.87188498599,-0.503820827693538
"834","RIT1",0.00442848560092856,0.793068751335607,8.11437012308147,1,2431.87188498599,0.436823326439344
