"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6748","FERMT3",1.17901075746713e-07,0.00147859739093952,28.2255970001205,1,2402.47927072869,-1.02483538537859
"11365","IDH3B",1.20556335749916e-05,0.0755948503319845,19.2350229928111,1,2402.47927072869,1.10213973103708
"4478","AIMP2",8.29305552852836e-05,0.346677364610914,15.5435697444412,1,2402.47927072869,-3.5550095597253
"9440","TIMM22",0.000452254504937041,0.915697540985461,12.3370299625998,1,2402.47927072869,1.25019820025389
"4761","ZKSCAN5",0.000464967706302277,0.915697540985461,12.2850170288336,1,2402.47927072869,1.11557518217261
"128","ZBTB17",0.000518737876441588,0.915697540985461,12.0798464715149,1,2402.47927072869,1.07694104921924
"7360","ZNF641",0.000564313105171738,0.915697540985461,11.9221163703111,1,2402.47927072869,0.903511966217137
"5365","ASAP1",0.000892129991597927,0.915697540985461,11.0667486412209,1,2402.47927072869,-0.342399848541238
"2332","MAPKAPK3",0.000969410470433737,0.915697540985461,10.9120693887366,1,2402.47927072869,-0.997662534970194
"2259","TMIE",0.00122650227403023,0.915697540985461,10.4749321032779,1,2402.47927072869,3.9071716850426
"8991","DEXI",0.0012331537627748,0.915697540985461,10.4648965187804,1,2402.47927072869,0.780891593960038
"4427","WDR27",0.00136154902224654,0.915697540985461,10.2812334655635,1,2402.47927072869,-1.6734526987577
"1843","ITPRID2",0.00140677225893388,0.915697540985461,10.2206970197169,1,2402.47927072869,-0.68990525967499
"5814","CIZ1",0.00140946412229787,0.915697540985461,10.2171560830839,1,2402.47927072869,0.858232326351439
"10285","ATP5F1A",0.00175639624821945,0.915697540985461,9.81016622989307,1,2402.47927072869,-0.640323091901968
"1186","GALNT2",0.00176357759311569,0.915697540985461,9.80263131759472,1,2402.47927072869,-0.67621012028286
"7599","CFAP54",0.00188553358915897,0.915697540985461,9.67921562767823,1,2402.47927072869,2.35020029092465
"8125","EGLN3",0.00189756163978122,0.915697540985461,9.66748518264431,1,2402.47927072869,-10
"5505","LRRC19",0.00208868511957885,0.915697540985461,9.4905864072995,1,2402.47927072869,3.32747027508938
"3411","ZNF366",0.00212941045332095,0.915697540985461,9.45502041452661,1,2402.47927072869,-3.11689362012247
"2165","NGLY1",0.0021619097855641,0.915697540985461,9.42713010146472,1,2402.47927072869,0.534642303879729
"2582","UBA5",0.00217072654555544,0.915697540985461,9.41963708901155,1,2402.47927072869,0.911052830998734
"941","TBX19",0.00218320587004285,0.915697540985461,9.40908404630273,1,2402.47927072869,-1.03919458952169
"1807","DYNC1I2",0.00235142749485534,0.915697540985461,9.27251786413811,1,2402.47927072869,-0.515807451565863
"10550","ZNF559",0.00249015355104834,0.915697540985461,9.16716286025703,1,2402.47927072869,-1.64757623973175
"7807","MMP17",0.00251808982640543,0.915697540985461,9.14666911880395,1,2402.47927072869,-10
"4982","ATP6V0E2",0.00275780758655004,0.915697540985461,8.97975794500389,1,2402.47927072869,1.04151158710159
"10923","RINL",0.00303823471036041,0.915697540985461,8.80227759170284,1,2402.47927072869,-10
"5247","FABP4",0.00310861951599489,0.915697540985461,8.76034639427503,1,2402.47927072869,-1.56114916006479
"4072","TREM1",0.00314037082359165,0.915697540985461,8.74174577917895,1,2402.47927072869,1.49639989394994
"12480","TMEM187",0.00317596719046842,0.915697540985461,8.72111867573796,1,2402.47927072869,-2.95292879937083
"4922","TMEM140",0.00326283120964264,0.915697540985461,8.67175426081093,1,2402.47927072869,0.534670296677055
"7484","ZBTB39",0.00327295926712242,0.915697540985461,8.66608574031016,1,2402.47927072869,-10
"4494","UMAD1",0.00327982391892264,0.915697540985461,8.66225383348248,1,2402.47927072869,-0.522459816214013
"5726","INIP",0.00355146172993327,0.915697540985461,8.51683081910971,1,2402.47927072869,0.642341579613782
"5810","NAIF1",0.00355256486720222,0.915697540985461,8.51626361489246,1,2402.47927072869,-10
"8548","ZSCAN29",0.00358544739345461,0.915697540985461,8.49943807188258,1,2402.47927072869,-1.94046967690024
"1261","ADI1",0.00362757469054445,0.915697540985461,8.47811010327013,1,2402.47927072869,-0.575700587730423
"2275","ATRIP",0.00375317037485287,0.915697540985461,8.41598905903798,1,2402.47927072869,-10
"3193","TMEM131L",0.00378994295987659,0.915697540985461,8.39820095158248,1,2402.47927072869,1.04141185957531
"10659","CCDC130",0.00380063117019568,0.915697540985461,8.39306365638928,1,2402.47927072869,0.624830835480948
