"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"10700","CHERP",2.45844631153594e-06,0.0308313751929722,22.3073697079831,1,2376.6782799577,-10
"4464","SDK1",2.18035955677133e-05,0.136719446007346,18.0972291532789,1,2376.6782799577,2.24577023799612
"3426","POC5",3.56844123751589e-05,0.149172738532289,17.1533400161214,1,2376.6782799577,-2.58995415186856
"4311","EPB41L2",0.000127615556652579,0.400106673994998,14.7251937070719,1,2376.6782799577,-0.780677584900261
"9099","LAT",0.000353539298388504,0.789246343513531,12.8000511735058,1,2376.6782799577,1.33596990868076
"9387","GINS2",0.000377599717812071,0.789246343513531,12.6762457976746,1,2376.6782799577,3.93982196127219
"9927","EME1",0.000466363910697911,0.789509798662684,12.2797604387148,1,2376.6782799577,3.48643090349744
"4715","SRI",0.000545813205414972,0.789509798662684,11.9848842579691,1,2376.6782799577,0.583543387312572
"1245","ZNF670",0.000699770109917007,0.789509798662684,11.5201036546087,1,2376.6782799577,-3.38842905912645
"931","CD247",0.000744216898997905,0.789509798662684,11.4051079888365,1,2376.6782799577,-3.6153888071374
"11197","ZNF611",0.000759536892472864,0.789509798662684,11.3670744947168,1,2376.6782799577,-0.9879092156492
"3019","CXCL13",0.000829370354591725,0.789509798662684,11.202997004201,1,2376.6782799577,3.33216133405336
"12439","RTL8C",0.000871641715439711,0.789509798662684,11.1103373563808,1,2376.6782799577,0.90004654699506
"10761","ARMC6",0.000945408186375902,0.789509798662684,10.959029302587,1,2376.6782799577,1.64022888158806
"2957","OCIAD2",0.00101699768484842,0.789509798662684,10.8232019681701,1,2376.6782799577,2.12047729406851
"172","C1QB",0.00106755450674269,0.789509798662684,10.7329893102591,1,2376.6782799577,-0.555806557612982
"820","MTX1",0.0011821189303279,0.789509798662684,10.5436159077084,1,2376.6782799577,-1.20069016622874
"2912","ARAP2",0.00124700182455534,0.789509798662684,10.4444473877159,1,2376.6782799577,-0.635863915870072
"10868","SDHAF1",0.00132429597591585,0.789509798662684,10.3329155503242,1,2376.6782799577,1.25099255490334
"3946","LTB",0.00144027684186061,0.789509798662684,10.1773622878624,1,2376.6782799577,1.90645310702853
"4778","MAP11",0.00146843969647674,0.789509798662684,10.1415066335424,1,2376.6782799577,-10
"969","RC3H1",0.00157682250151066,0.789509798662684,10.0097345865146,1,2376.6782799577,-0.487419863365136
"7240","KLRB1",0.00158046785161598,0.789509798662684,10.0054637567676,1,2376.6782799577,4.29973928099441
"7119","SLC37A2",0.00162400064129078,0.789509798662684,9.95521945709776,1,2376.6782799577,-0.733039727650616
"6566","ANO5",0.00179362107474327,0.789509798662684,9.77168000696675,1,2376.6782799577,-1.40148171975632
"7447","GDF11",0.00207045435144552,0.789509798662684,9.50696167439684,1,2376.6782799577,2.85120026126805
"6473","OSBPL5",0.00208956836906085,0.789509798662684,9.4900322836247,1,2376.6782799577,0.837375697825918
"10077","SAP30BP",0.00223435266234602,0.789509798662684,9.36668175480323,1,2376.6782799577,-0.806585610534458
"10176","CD7",0.00229762728809713,0.789509798662684,9.31530181073729,1,2376.6782799577,2.36541122204967
"11791","COL6A1",0.00236437976872842,0.789509798662684,9.26263218612696,1,2376.6782799577,1.84977551053526
"8231","SYNE2",0.00243270638020663,0.789509798662684,9.21026170979769,1,2376.6782799577,2.97889562992588
"10002","DDX42",0.00257380357048421,0.789509798662684,9.10668655317098,1,2376.6782799577,0.535146817201658
"5844","IER5L",0.00260205031853952,0.789509798662684,9.08664562655435,1,2376.6782799577,-0.674587152264491
"9557","FXR2",0.00263364991031067,0.789509798662684,9.06448613892168,1,2376.6782799577,-1.77038303658716
"3134","BBS7",0.00264033726074673,0.789509798662684,9.05983121634354,1,2376.6782799577,-2.06958930861915
"3815","SLC22A23",0.00265257789364723,0.789509798662684,9.05134171637099,1,2376.6782799577,1.04726075363367
