"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11176","FPR3",1.6990878660016e-19,2.13082609275261e-15,83.0267403552325,1,2325.22360995169,-1.19304643607782
"2241","KIAA1143",7.38856415573307e-06,0.0463299915385242,20.1812985430162,1,2325.22360995169,-10
"1436","MSH2",3.76631203032318e-05,0.157444397240943,17.0515328871693,1,2325.22360995169,2.03593540996707
"2621","PLS1",5.45072699605375e-05,0.167428574227896,16.3452072649614,1,2325.22360995169,4.02668335590453
"6002","PTER",6.67524815516689e-05,0.167428574227896,15.9586765137008,1,2325.22360995169,-1.90907640728997
"8978","TMEM114",0.000105970066576952,0.221495100823592,15.0791617383197,1,2325.22360995169,3.89484744387242
"4757","CPSF4",0.000154460433418237,0.24899114581294,14.3643030465302,1,2325.22360995169,-10
"7442","MUCL1",0.00015883335989981,0.24899114581294,14.3114173300569,1,2325.22360995169,3.7202867503123
"2594","STAG1",0.000292646727258898,0.40778695628376,13.1567838484519,1,2325.22360995169,0.565410694349898
"9856","LSM12",0.000411945556549638,0.477204671625004,12.5134495955081,1,2325.22360995169,-1.24359097826971
"789","CRTC2",0.000418567210579303,0.477204671625004,12.4834971804691,1,2325.22360995169,-10
"3370","ERCC8",0.000547796905162996,0.572493415637428,11.97881227652,1,2325.22360995169,-2.68425396033797
"9512","DHX33",0.000896074292568284,0.771392604876054,11.0594520959585,1,2325.22360995169,-10
"12518","UTY",0.000917006722456256,0.771392604876054,11.0164383733309,1,2325.22360995169,0.545437486734848
"5816","GOLGA2",0.00100992198028665,0.771392604876054,10.8367849742192,1,2325.22360995169,0.915641024982247
"2098","TTLL3",0.00105123265025726,0.771392604876054,10.7622208529822,1,2325.22360995169,1.02210575193298
"9032","GDE1",0.00117807340401703,0.771392604876054,10.5505471497892,1,2325.22360995169,0.670413688172403
"12521","EIF1AY",0.00118806020500153,0.771392604876054,10.5348736385467,1,2325.22360995169,-1.24068633638358
"221","GPATCH3",0.00120032689449048,0.771392604876054,10.5158035945866,1,2325.22360995169,-3.09704965607143
"5688","ERP44",0.00123174732814666,0.771392604876054,10.467842928986,1,2325.22360995169,0.541493348958617
"3468","POLR3G",0.00136134788747717,0.771392604876054,10.2823083853883,1,2325.22360995169,3.61384517723578
"4779","GAL3ST4",0.00138417525847896,0.771392604876054,10.2514917539522,1,2325.22360995169,-10
"3203","RXFP1",0.00141472210446928,0.771392604876054,10.2110499203713,1,2325.22360995169,4.07573525514678
"6432","PTDSS2",0.00150432531403444,0.786072656804412,10.0973363356716,1,2325.22360995169,-10
"5648","FGD3",0.00160300314128823,0.804130495795827,9.97979096052117,1,2325.22360995169,-0.912172130463183
"4123","CDC5L",0.00178690984735798,0.809052170021339,9.77909136237885,1,2325.22360995169,0.71888653513384
"10169","RFNG",0.00187126874632309,0.809052170021339,9.69394229429175,1,2325.22360995169,-3.03540638294151
"1762","PRPF40A",0.00189127425359398,0.809052170021339,9.67432078559146,1,2325.22360995169,-0.580476027278868
"5039","PRAG1",0.00192849475915883,0.809052170021339,9.638368653356,1,2325.22360995169,1.08597287276896
"516","RABGGTB",0.00210975119137418,0.809052170021339,9.47278731557184,1,2325.22360995169,-2.97127842163296
"7123","STT3A",0.00220337113146946,0.809052170021339,9.39283442059184,1,2325.22360995169,1.20205190865421
"12172","ZFX",0.00220838747288319,0.809052170021339,9.38864826225173,1,2325.22360995169,0.695644553962253
"8615","RFX7",0.00224976428753479,0.809052170021339,9.35448288003138,1,2325.22360995169,0.708491869353006
"4336","ARFGEF3",0.0024784706451544,0.809052170021339,9.17644766020025,1,2325.22360995169,3.27888278592773
"10374","MED16",0.00248410404372203,0.809052170021339,9.17227591750535,1,2325.22360995169,1.35326475090637
"8753","IREB2",0.00261943631486719,0.809052170021339,9.07484511208133,1,2325.22360995169,0.590848318648292
"7560","OSBPL8",0.00271732161386166,0.809052170021339,9.00750972851785,1,2325.22360995169,0.445421492703902
"228","AHDC1",0.00273660596424755,0.809052170021339,8.99453496615181,1,2325.22360995169,-10
"7161","FBXL14",0.00274768024243142,0.809052170021339,8.98712597803638,1,2325.22360995169,-10
"10879","ZFP14",0.00287572544134897,0.809052170021339,8.90359895398054,1,2325.22360995169,1.04317536060972
"11649","MRGBP",0.00306702994206888,0.809052170021339,8.7855987330585,1,2325.22360995169,-2.90760890328513
"1194","GNPAT",0.00311778168115016,0.809052170021339,8.75554924622164,1,2325.22360995169,0.869819391212455
"11066","PRKD2",0.00312075589186154,0.809052170021339,8.7538037117913,1,2325.22360995169,-1.516071234845
"1306","FAM228B",0.00315399673483326,0.809052170021339,8.73440929901489,1,2325.22360995169,-1.43783973321683
"2292","USP19",0.0033881798638391,0.809052170021339,8.60339693964765,1,2325.22360995169,-10
"3438","LHFPL2",0.00345004403109288,0.809052170021339,8.57032453241604,1,2325.22360995169,-0.520898585706153
"940","SFT2D2",0.00349929777029063,0.809052170021339,8.544422194363,1,2325.22360995169,-0.633537533544701
