"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9864","GRN",1.41337340710928e-21,1.77251158985575e-17,92.848780356389,1,2337.0646258326,-1.09101741387735
"6802","AP5B1",4.86995759705627e-05,0.305370691123413,16.5599945156545,1,2337.0646258326,-1.25387041645338
"6600","SLC1A2",0.000140433934701727,0.587060658364787,14.5444870164188,1,2337.0646258326,5.12320945042681
"6553","SAAL1",0.000263473562859254,0.668125930044042,13.3545608622617,1,2337.0646258326,1.99806010594205
"3749","TSPAN17",0.000310640221133441,0.668125930044042,13.04417035291,1,2337.0646258326,-10
"11088","LIG1",0.000356988927946258,0.668125930044042,12.7824147197838,1,2337.0646258326,-10
"9727","CCL2",0.000378619883798533,0.668125930044042,12.6717908067538,1,2337.0646258326,0.873997296290247
"11761","SLC37A1",0.000426202650534434,0.668125930044042,12.4493651554429,1,2337.0646258326,1.32622564242421
"11941","TIMP3",0.000713911650932175,0.824438654008876,11.4832438134265,1,2337.0646258326,-4.04686203683128
"7417","RARG",0.000823004972276118,0.824438654008876,11.2178506789508,1,2337.0646258326,1.97291101248417
"1189","C1orf198",0.000872855336414898,0.824438654008876,11.1082236626721,1,2337.0646258326,2.2617629359773
"2179","CMTM6",0.000875273059727383,0.824438654008876,11.1030690868689,1,2337.0646258326,0.498882386888701
"8688","ANP32A",0.00090066223882265,0.824438654008876,11.0497931582077,1,2337.0646258326,-0.647694167369313
"11888","MN1",0.00105834794447583,0.824438654008876,10.7495406217251,1,2337.0646258326,2.42948777470862
"7604","APAF1",0.00112848462631714,0.824438654008876,10.6302861665525,1,2337.0646258326,0.845030592020221
"4512","ITGB8",0.00113818062070717,0.824438654008876,10.6143930963034,1,2337.0646258326,0.913022808641531
"1617","ANKRD23",0.00124813988068407,0.824438654008876,10.443180575719,1,2337.0646258326,1.89604150868519
"11644","MTG2",0.00133700851897889,0.824438654008876,10.3156212622457,1,2337.0646258326,-1.71228550123871
"12365","BEX3",0.00136291432038437,0.824438654008876,10.2800508656354,1,2337.0646258326,0.580449226539156
"1478","PELI1",0.00139044101190197,0.824438654008876,10.242997793203,1,2337.0646258326,0.780419464469349
"3930","MDC1",0.00148456725678717,0.824438654008876,10.12168718606,1,2337.0646258326,-10
"11080","C5AR2",0.00148838964598366,0.824438654008876,10.1169270339947,1,2337.0646258326,1.11983806550237
"12461","CD99L2",0.00151553617649632,0.824438654008876,10.0834728199579,1,2337.0646258326,0.786073854070431
"4257","CDC40",0.00157774720486508,0.824438654008876,10.0090427349359,1,2337.0646258326,-0.874340500312949
"12032","CCDC134",0.00171341611164055,0.829945927414938,9.85654856173368,1,2337.0646258326,-10
"1709","BIN1",0.00176283762021517,0.829945927414938,9.80402258147915,1,2337.0646258326,1.11749750829671
"11071","ARHGAP35",0.00182514956604078,0.829945927414938,9.73988530424329,1,2337.0646258326,0.606401870922986
"242","MED18",0.0018617701529913,0.829945927414938,9.70322016729978,1,2337.0646258326,-10
"4352","FUCA2",0.00191917964237566,0.829945927414938,9.6471880844018,1,2337.0646258326,0.575956839895426
"1285","E2F6",0.00241457554816115,0.941303921407959,9.22434743419225,1,2337.0646258326,1.26491582253069
"4865","TMEM168",0.00256589915170639,0.941303921407959,9.11266298174429,1,2337.0646258326,-1.57018085339912
"5654","PHF2",0.00268328309645605,0.941303921407959,9.03054269484817,1,2337.0646258326,-1.40820893743324
"8525","RPAP1",0.00277356971825918,0.941303921407959,8.96982561939143,1,2337.0646258326,-10
"3708","CCNG1",0.00299989048779769,0.941303921407959,8.8260430811893,1,2337.0646258326,0.843182546103314
"1456","PPP4R3B",0.00321937492815258,0.941303921407959,8.69677168071906,1,2337.0646258326,0.499112773640775
"10809","POP4",0.00322938355728502,0.941303921407959,8.69109249824158,1,2337.0646258326,-1.23497979148949
"4967","CNTNAP2",0.00339341714996449,0.941303921407959,8.60048352243924,1,2337.0646258326,2.46742139256878
"7025","ZC3H12C",0.00349549451136519,0.941303921407959,8.54632025385648,1,2337.0646258326,0.72455618771929
