"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5059","MICU3",0.000168101069386336,0.568198397878729,14.2049651774552,1,2279.00427029748,2.51775577118475
"1408","TMEM178A",0.000181434552860691,0.568198397878729,14.0604766380701,1,2279.00427029748,4.97942498120969
"5041","MFHAS1",0.00023536052363902,0.568198397878729,13.568564068356,1,2279.00427029748,-3.49269089936019
"7920","SUCLA2",0.000259325989485787,0.568198397878729,13.3855385021562,1,2279.00427029748,-10
"2914","RELL1",0.00026782095934256,0.568198397878729,13.3247334304166,1,2279.00427029748,-10
"5106","KCTD9",0.000316925616332757,0.568198397878729,13.0074376177098,1,2279.00427029748,1.82625665828329
"6529","CTR9",0.000317150848030548,0.568198397878729,13.006099660139,1,2279.00427029748,-10
"10886","ZNF567",0.000482532116612506,0.75642940930468,12.2172896113592,1,2279.00427029748,2.01667834535218
"1223","MTR",0.000618739664732095,0.771736012402411,11.7515002911576,1,2279.00427029748,-2.57762383386318
"3352","NDUFS4",0.000668728038043403,0.771736012402411,11.60620283037,1,2279.00427029748,-2.18951325903204
"5858","FAM78A",0.000676907434528867,0.771736012402411,11.5834783027807,1,2279.00427029748,-10
"7819","CHFR",0.00109274890402707,0.94609222948952,10.6907602468687,1,2279.00427029748,-2.07421222961275
"5676","ANP32B",0.00115186653315231,0.94609222948952,10.5928602030428,1,2279.00427029748,-1.56377070037707
"6203","LIPN",0.00138030762329389,0.94609222948952,10.2571795215291,1,2279.00427029748,3.63569961182605
"2830","NELFA",0.00143561371868648,0.94609222948952,10.1843933487226,1,2279.00427029748,1.8366214393956
"5847","TOR1B",0.00143568434834617,0.94609222948952,10.1843022240746,1,2279.00427029748,1.12622371726136
"7389","LIMA1",0.00173997730753752,0.94609222948952,9.82871016880537,1,2279.00427029748,1.65857723161607
"4509","TWIST1",0.0019307180822735,0.94609222948952,9.63668991527711,1,2279.00427029748,5.79868805203866
"2587","RYK",0.00205452149261803,0.94609222948952,9.52209744459241,1,2279.00427029748,1.1210088031724
"2966","CLOCK",0.00233807797454411,0.94609222948952,9.28406246324273,1,2279.00427029748,1.04569541053935
"2690","PRKCI",0.00243242116452005,0.94609222948952,9.21132430978473,1,2279.00427029748,1.50479833828814
"779","S100A4",0.00284820724927326,0.94609222948952,8.9216120088878,1,2279.00427029748,0.89604639189393
"1280","ODC1",0.00301499213730892,0.94609222948952,8.81731636537731,1,2279.00427029748,2.41092751158492
"6113","SIRT1",0.00308006179418872,0.94609222948952,8.77820868657083,1,2279.00427029748,-10
"1055","KLHL12",0.00309260764251222,0.94609222948952,8.77076514414978,1,2279.00427029748,-10
"2785","RNF168",0.00316910484371397,0.94609222948952,8.72603278553729,1,2279.00427029748,-2.94081028086635
"541","COL24A1",0.0032486964190122,0.94609222948952,8.68064179685703,1,2279.00427029748,3.24081551299818
"4717","GTPBP10",0.00325615149807302,0.94609222948952,8.67644824957205,1,2279.00427029748,-10
"10189","METRNL",0.00329382926198029,0.94609222948952,8.65540247779357,1,2279.00427029748,-1.27210449462589
"3832","BMP6",0.00385920277376863,0.94609222948952,8.36605236165048,1,2279.00427029748,2.13748880659856
"1815","SP3",0.00392633599237191,0.94609222948952,8.33460011069908,1,2279.00427029748,-1.09644533421304
"9559","SAT2",0.00416551109533489,0.94609222948952,8.22683359266748,1,2279.00427029748,-1.58521017260592
"6387","OAT",0.00444875855411927,0.94609222948952,8.10707979545755,1,2279.00427029748,-10
"1941","PIKFYVE",0.00466252667917011,0.94609222948952,8.02173747462645,1,2279.00427029748,0.829619560646886
"3727","DUSP1",0.004714180324534,0.94609222948952,8.00171422153043,1,2279.00427029748,-10
"11217","OSCAR",0.00478065263847417,0.94609222948952,7.97627317909073,1,2279.00427029748,-1.69177937710828
"7719","TESC",0.00482155817377667,0.94609222948952,7.96079596921495,1,2279.00427029748,2.08423587159761
"10123","CANT1",0.00492485402846158,0.94609222948952,7.92230069581207,1,2279.00427029748,-10
"4882","WASL",0.00501050969280857,0.94609222948952,7.89099870256879,1,2279.00427029748,-1.70731438196192
"9317","DDX19B",0.00508463498294123,0.94609222948952,7.86434770832689,1,2279.00427029748,-10
"9169","FUS",0.00518784862179827,0.94609222948952,7.82789098255792,1,2279.00427029748,-1.14978743876746
"6786","POLA2",0.00521243029757231,0.94609222948952,7.819317427882,1,2279.00427029748,-10
"11973","LGALS1",0.0052127766909051,0.94609222948952,7.81919690831209,1,2279.00427029748,0.601881300260144
"3201","GASK1B",0.0053852156105941,0.94609222948952,7.76019309257419,1,2279.00427029748,0.928555583057385
"8153","MIS18BP1",0.00567550946651116,0.94609222948952,7.66508702882682,1,2279.00427029748,-1.72121286593703
"12390","IL13RA1",0.00573514369363578,0.94609222948952,7.64616525705069,1,2279.00427029748,0.878296529270876
"9391","MTHFSD",0.00578509694926367,0.94609222948952,7.63046916677674,1,2279.00427029748,2.11213373796546
