"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6817","CST6",3.70234940187432e-06,0.0464311638489058,21.5146046711331,1,2371.55344647304,4.72499655167022
"11537","ZHX3",5.39720089258682e-05,0.338431481969656,16.3628514830142,1,2371.55344647304,1.21435782490512
"2736","FAM131A",8.35689545889359e-05,0.349346086499948,15.5296736527169,1,2371.55344647304,-10
"2188","PDCD6IP",0.000313126713951241,0.96904228223228,13.0285876577472,1,2371.55344647304,-0.537026636559435
"6499","DNHD1",0.000744907724346653,0.96904228223228,11.4034401808046,1,2371.55344647304,-1.37144500464114
"10643","PRDX2",0.000798451532402066,0.96904228223228,11.2739113699093,1,2371.55344647304,-2.6567276643456
"4646","TYW1",0.000847313197260151,0.96904228223228,11.1631570762415,1,2371.55344647304,0.803956083151269
"6571","LGR4",0.00101181329551487,0.96904228223228,10.8327665166328,1,2371.55344647304,1.608367186254
"1765","GPD2",0.00108673494972852,0.96904228223228,10.6999478834649,1,2371.55344647304,0.392681438510515
"8242","MAX",0.00113736312425347,0.96904228223228,10.6153446185077,1,2371.55344647304,-0.441675226070009
"2960","USP46",0.00131913116055002,0.96904228223228,10.3402132188819,1,2371.55344647304,0.997818954831402
"3084","PPP3CA",0.00137142442052689,0.96904228223228,10.2681556691946,1,2371.55344647304,0.370286126357453
"1247","ZNF124",0.00137597492817674,0.96904228223228,10.2620174902765,1,2371.55344647304,0.474121218976537
"10843","HPN",0.00147161312720394,0.96904228223228,10.1375613982028,1,2371.55344647304,3.27718099298029
"12433","HPRT1",0.00147276397124403,0.96904228223228,10.1361142099828,1,2371.55344647304,0.786664844684155
"3105","CYP2U1",0.00156856915394271,0.96904228223228,10.0194913012058,1,2371.55344647304,1.68127724311625
"9658","MTRNR2L1",0.00168548402802813,0.96904228223228,9.88658454645972,1,2371.55344647304,0.500125098227777
"9916","PHB",0.00185719356160155,0.96904228223228,9.70743908543801,1,2371.55344647304,-1.00568916147695
"9052","MOSMO",0.00193190730710579,0.96904228223228,9.63467773194268,1,2371.55344647304,-0.91384319811755
"2123","IQSEC1",0.00208062711138428,0.96904228223228,9.49797723660048,1,2371.55344647304,0.49962868584374
"9044","TMEM159",0.00209526288407209,0.96904228223228,9.48506415899993,1,2371.55344647304,1.12227260915797
"11727","ITSN1",0.00226190551109574,0.96904228223228,9.34417306830701,1,2371.55344647304,0.302907027422007
"7318","CAPRIN2",0.00229013386583193,0.96904228223228,9.32135477688386,1,2371.55344647304,1.06312853871906
"7637","NUAK1",0.00237556361267185,0.96904228223228,9.25399880338464,1,2371.55344647304,2.54218202164032
"361","RIMKLA",0.00253180676850464,0.96904228223228,9.1369420033427,1,2371.55344647304,2.07838437574152
"3732","BNIP1",0.00268123689845411,0.96904228223228,9.03166107207458,1,2371.55344647304,-10
"12510","TMLHE",0.00282463011981221,0.96904228223228,8.93609491805014,1,2371.55344647304,-0.876336738108646
"2078","TRNT1",0.00284511564874671,0.96904228223228,8.92284603018642,1,2371.55344647304,-1.60220893619957
"7721","KSR2",0.00288124793691278,0.96904228223228,8.89971229361723,1,2371.55344647304,3.09731987545175
"385","B4GALT2",0.00306055916239336,0.96904228223228,8.78910521385485,1,2371.55344647304,2.19210336862965
"11258","ISOC2",0.00318908141835906,0.96904228223228,8.71380804378728,1,2371.55344647304,-1.66687738954494
"7682","CCDC63",0.00320154641833672,0.96904228223228,8.70667001490116,1,2371.55344647304,3.95303235459883
"7545","KCNMB4",0.00322328875615305,0.96904228223228,8.69428673855151,1,2371.55344647304,-1.59553284657802
"9879","MAP3K14",0.00341440952500528,0.96904228223228,8.58895457345324,1,2371.55344647304,-0.897825866834298
