"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6324","STN1",3.30609238527633e-05,0.33022685477864,17.2987815876412,1,2401.66656846764,1.32122979839067
"1650","IL1R1",5.26635602868415e-05,0.33022685477864,16.408937480885,1,2401.66656846764,-1.57623160090852
"1938","FZD5",8.51384262401702e-05,0.355907001159325,15.4935959135488,1,2401.66656846764,1.68525584563173
"4413","MRPL18",0.00016896744363984,0.479002542657961,14.1928190241289,1,2401.66656846764,0.66173872367924
"11075","SAE1",0.000224524041838978,0.479002542657961,13.6553484231684,1,2401.66656846764,0.867877855722846
"8804","POLG",0.00026998145005798,0.479002542657961,13.3074491320716,1,2401.66656846764,-1.67153379415036
"5807","ST6GALNAC4",0.000294203313167116,0.479002542657961,13.1455164115037,1,2401.66656846764,1.34588131852975
"11109","NUCB1",0.000305559392493716,0.479002542657961,13.0741747925713,1,2401.66656846764,-0.639391907821513
"9694","TIAF1",0.000456270498230067,0.541656858010967,12.3204531746364,1,2401.66656846764,2.78366659853502
"2251","LZTFL1",0.000469982691534339,0.541656858010967,12.2649048702735,1,2401.66656846764,1.5075359191324
"2395","PXK",0.000475099708007387,0.541656858010967,12.2445941183009,1,2401.66656846764,0.857603935236792
"7195","NOP2",0.000552105833560436,0.547506265429045,11.9630766461669,1,2401.66656846764,-2.55910424901735
"5454","KANK1",0.000614474198597687,0.547506265429045,11.7627632115046,1,2401.66656846764,1.40170168172366
"3981","RNF5",0.000648496665684301,0.547506265429045,11.6619879311826,1,2401.66656846764,-1.00615498494521
"1524","SMYD5",0.000655773050919235,0.547506265429045,11.6411296876468,1,2401.66656846764,2.67450528848506
"4201","SLC35A1",0.000737465671109375,0.547506265429045,11.4218104659695,1,2401.66656846764,0.717837996725357
"4899","KCP",0.000742174189641477,0.547506265429045,11.4099294218304,1,2401.66656846764,1.35940126390965
"6681","MS4A6E",0.00109959755594423,0.661856489313094,10.6777520016246,1,2401.66656846764,1.64328951548349
"9652","LGALS9B",0.00111548544916596,0.661856489313094,10.6510986003308,1,2401.66656846764,3.11572340515541
"5165","IKBKB",0.00121037959604969,0.661856489313094,10.4994965971638,1,2401.66656846764,0.558712857052289
"11037","RELB",0.00129462658035028,0.661856489313094,10.3746695388663,1,2401.66656846764,0.711159393685949
"11114","RUVBL2",0.00135962802452695,0.661856489313094,10.2838580063442,1,2401.66656846764,1.31572252966698
"5687","STX17",0.00147521077179212,0.661856489313094,10.1327432949905,1,2401.66656846764,-0.604937784417183
"4471","FBXL18",0.00150159344503084,0.661856489313094,10.0999342284759,1,2401.66656846764,-2.09929917123231
"11423","POLR3F",0.00152511363884389,0.661856489313094,10.0711737610836,1,2401.66656846764,1.10757397927861
"9831","TUBG2",0.00152975797791944,0.661856489313094,10.0655478423144,1,2401.66656846764,-1.69977997165028
"11705","GRIK1",0.00154902493205746,0.661856489313094,10.0423922417473,1,2401.66656846764,-10
"1616","CNNM3",0.00156940493097704,0.661856489313094,10.018214527889,1,2401.66656846764,-10
"3238","CDKN2AIP",0.00160028084882148,0.661856489313094,9.98218473267823,1,2401.66656846764,0.88079406712644
"7800","SLC15A4",0.00164276786999887,0.661856489313094,9.93374119191949,1,2401.66656846764,0.627974183594732
"7834","IFT88",0.00164950867701045,0.661856489313094,9.92617227623186,1,2401.66656846764,-1.01307030089822
"713","GPR89B",0.00169662746256284,0.661856489313094,9.8741248205851,1,2401.66656846764,1.28981887859476
"3070","SMARCAD1",0.0017415887207824,0.661856489313094,9.82580939501117,1,2401.66656846764,-1.03769475492942
"2294","CCDC71",0.00190749775819854,0.688397933666317,9.65785890164132,1,2401.66656846764,-3.02298573670522
"9727","CCL2",0.00192121263681693,0.688397933666317,9.64464497554673,1,2401.66656846764,0.622694767653948
"150","SLC66A1",0.0021245005696563,0.730896191804385,9.45927847376041,1,2401.66656846764,1.0332646451737
"2069","STK25",0.00219075684459552,0.730896191804385,9.40273519698217,1,2401.66656846764,0.724161968883909
"8414","ANKRD9",0.0022983863956771,0.730896191804385,9.31448408241565,1,2401.66656846764,-0.784239032037177
"1260","TRAPPC12",0.00239874694918641,0.730896191804385,9.23589460133847,1,2401.66656846764,0.539914690789957
"4772","MCM7",0.00240988222968216,0.730896191804385,9.22738145310058,1,2401.66656846764,-2.98562258673327
"9506","ZNF594",0.00244315446622662,0.730896191804385,9.20218015190109,1,2401.66656846764,-2.01075129714595
"2783","TM4SF19",0.00247093757343676,0.730896191804385,9.18140207558302,1,2401.66656846764,1.02993305317215
"9169","FUS",0.00254996392068328,0.730896191804385,9.12357332674886,1,2401.66656846764,-0.430600810576524
"6909","UCP2",0.00264365444948223,0.730896191804385,9.05732744030091,1,2401.66656846764,0.465256952775311
"10558","FBXL12",0.00271647108259649,0.730896191804385,9.00746775547256,1,2401.66656846764,0.867799474516528
"11538","LPIN3",0.00272411471486436,0.730896191804385,9.00231289308637,1,2401.66656846764,1.9031131779368
"2841","ADD1",0.00277050378192004,0.730896191804385,8.97133997733802,1,2401.66656846764,0.378982042456136
"5453","DOCK8",0.00279746568906869,0.730896191804385,8.95357938396524,1,2401.66656846764,0.22644105975004
"378","SZT2",0.00298392747972263,0.763702745371459,8.83531743492451,1,2401.66656846764,-0.878229309065119
"934","MPZL1",0.00308492138150695,0.771653070653642,8.77436165278006,1,2401.66656846764,0.473606197996581
"1036","KIF14",0.00313805171862975,0.771653070653642,8.74310386767231,1,2401.66656846764,3.92829711358745
"9488","ZMYND15",0.00320100161550617,0.771995408847362,8.7067581984862,1,2401.66656846764,-0.81397063365558
"9495","CHRNE",0.00329199887871573,0.778961470527812,8.65548356814169,1,2401.66656846764,-10
"8561","EIF3J",0.00341910202756374,0.789012750739256,8.58622709135038,1,2401.66656846764,0.546890248621091
"2865","TBC1D14",0.00349019239948874,0.789012750739256,8.54862441996052,1,2401.66656846764,-0.527428952204511
"7542","RAB3IP",0.00352322095856776,0.789012750739256,8.53141856927259,1,2401.66656846764,1.23129618125404
"7846","PARP4",0.00379464140954471,0.832813384529404,8.39594637509855,1,2401.66656846764,0.295234836246295
"7536","CPM",0.00385162078803169,0.832813384529404,8.36876170160261,1,2401.66656846764,0.423230016123238
"11648","CABLES2",0.00412560639304548,0.862389564788657,8.24351544530836,1,2401.66656846764,1.58415622276034
"12438","RTL8B",0.0041259368381564,0.862389564788657,8.24336956099734,1,2401.66656846764,-2.86384850407875
"2757","BCL6",0.00423052859415212,0.869755067201013,8.19778256261811,1,2401.66656846764,0.62139452887603
"6431","SIGIRR",0.00445366638513695,0.892959026554788,8.10424787518454,1,2401.66656846764,-0.894130011496858
"9738","SLFN12",0.00448736936228947,0.892959026554788,8.09053670008778,1,2401.66656846764,0.5193468417739
"5458","RFX3",0.00455700324531588,0.892959026554788,8.06253733329844,1,2401.66656846764,-0.513403687169069
"11854","SDF2L1",0.00469256963073003,0.905377165215159,8.00925624010673,1,2401.66656846764,0.616719739033606
"5248","IMPA1",0.00490433404128901,0.90975132774632,7.92908923225062,1,2401.66656846764,0.592751877861669
"2082","ITPR1",0.00492961959502579,0.90975132774632,7.91975368462394,1,2401.66656846764,0.316254629028234
"5513","NDUFB6",0.00529975850845117,0.90975132774632,7.78842292461299,1,2401.66656846764,0.590190966890965
"3735","C5orf47",0.0053234751032171,0.90975132774632,7.78032965510114,1,2401.66656846764,2.62976336228384
"3525","TNFAIP8",0.0053562063782768,0.90975132774632,7.76922034143465,1,2401.66656846764,0.309155589339772
"2869","SORCS2",0.00549570371446356,0.90975132774632,7.72263763231727,1,2401.66656846764,-2.97877278615916
"3800","DUSP22",0.00552658354632793,0.90975132774632,7.71248901294862,1,2401.66656846764,-0.719804932145726
"1059","PPFIA4",0.00564851328128317,0.90975132774632,7.67297454361347,1,2401.66656846764,1.95217425006594
"1832","OSBPL6",0.00565469069539968,0.90975132774632,7.67099582768861,1,2401.66656846764,2.86414956601612
"6289","POLL",0.00576927611456223,0.90975132774632,7.63468716153663,1,2401.66656846764,-1.24389928715638
"9220","MT1X",0.00584983078882167,0.90975132774632,7.60959978048503,1,2401.66656846764,-1.54376465923613
"286","RNF19B",0.00617425831726781,0.90975132774632,7.5120127229748,1,2401.66656846764,0.462715929871723
"296","ZMYM6",0.00618527170596089,0.90975132774632,7.50879251311669,1,2401.66656846764,-0.527730031270185
"11678","PCMTD2",0.00623627031144927,0.90975132774632,7.49395695134538,1,2401.66656846764,-1.19348095317967
"2731","ABCF3",0.00663660720509689,0.90975132774632,7.3816310942653,1,2401.66656846764,0.802749703784221
"6059","ZNF33A",0.00665444679364788,0.90975132774632,7.37678815199943,1,2401.66656846764,0.397630916187338
"10988","ERF",0.00666099384311631,0.90975132774632,7.37501414104554,1,2401.66656846764,-1.51012988693108
"4496","ICA1",0.00666303566664698,0.90975132774632,7.37446124603689,1,2401.66656846764,0.704703792333197
"5837","DOLK",0.00676656798198641,0.90975132774632,7.34665089751739,1,2401.66656846764,1.48252089287029
"8141","SEC23A",0.0068059376508988,0.90975132774632,7.33618957411455,1,2401.66656846764,0.452335607436756
"6486","UBQLNL",0.00689365864918497,0.90975132774632,7.31310105390306,1,2401.66656846764,2.77497688477616
"10323","SEC11C",0.00693463835274081,0.90975132774632,7.30241775056297,1,2401.66656846764,0.64994651642202
"4722","AKAP9",0.00704858927527376,0.90975132774632,7.27304688590562,1,2401.66656846764,0.311652791177629
"11419","PET117",0.00716500743860672,0.90975132774632,7.243537215269,1,2401.66656846764,1.09847502453541
"4577","VPS41",0.00724394693735504,0.90975132774632,7.22380524036671,1,2401.66656846764,0.314781380063974
"530","RPF1",0.00739274798696592,0.90975132774632,7.18720125014947,1,2401.66656846764,0.682418082003773
"6894","CLPB",0.00750224840308654,0.90975132774632,7.16074304150656,1,2401.66656846764,-0.971683075665995
"9360","CDYL2",0.00750626827513329,0.90975132774632,7.15977926570819,1,2401.66656846764,0.558913903061576
"8403","YY1",0.00753924000126982,0.90975132774632,7.15189406829449,1,2401.66656846764,0.30328564162884
"3408","MCCC2",0.00758802956092218,0.90975132774632,7.14029051802537,1,2401.66656846764,-1.32526349229546
"4545","CREB5",0.0075997711817184,0.90975132774632,7.13750941976899,1,2401.66656846764,-2.02053169469784
"412","IPP",0.00761036900500389,0.90975132774632,7.13500301093566,1,2401.66656846764,-10
"4464","SDK1",0.00761151138916937,0.90975132774632,7.13473304775683,1,2401.66656846764,1.52182795922031
"1550","HTRA2",0.00763355031968718,0.90975132774632,7.12953300313536,1,2401.66656846764,-1.82264170882941
"11161","SIGLEC7",0.00769266212823288,0.90975132774632,7.11566117055307,1,2401.66656846764,-0.694239523518669
"9747","CCL3",0.00776757377027929,0.90975132774632,7.0982374295164,1,2401.66656846764,0.950111735572505
"105","KIAA2013",0.00778568568171636,0.90975132774632,7.09405058039935,1,2401.66656846764,0.444013499755937
"1918","ICA1L",0.00782868228497821,0.90975132774632,7.08415102915415,1,2401.66656846764,2.32526778270979
"3676","ANXA6",0.00784379647631663,0.90975132774632,7.08068434373263,1,2401.66656846764,0.500203642404835
"1161","ACBD3",0.00790611121493668,0.90975132774632,7.06646327472326,1,2401.66656846764,0.392688640634751
"5897","CAMSAP1",0.00794021913618885,0.90975132774632,7.05872788112639,1,2401.66656846764,0.713992163673513
"1816","OLA1",0.00806794760124216,0.90975132774632,7.03005922795095,1,2401.66656846764,0.427380394090928
"3112","CASP6",0.00808647145003118,0.90975132774632,7.02594016145287,1,2401.66656846764,0.783509005943779
"6758","ESRRA",0.00813238628392244,0.90975132774632,7.01577177896684,1,2401.66656846764,-0.862978786951737
"7516","SRGAP1",0.00813777221507228,0.90975132774632,7.01458285373532,1,2401.66656846764,0.750744089713145
"10889","ZNF345",0.00817462500283223,0.90975132774632,7.00646927986348,1,2401.66656846764,-1.34927155602827
"9889","CDC27",0.00828593254484153,0.90975132774632,6.98218905844769,1,2401.66656846764,0.366112955403579
"10714","BABAM1",0.00830640407492587,0.90975132774632,6.9777598475549,1,2401.66656846764,-0.669823635826508
"1390","CEBPZ",0.00832993027601917,0.90975132774632,6.97268351081873,1,2401.66656846764,0.540488140017954
