"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1683","IL1RN",3.40418212235745e-11,4.26918479964847e-07,44.3483052099922,1,2371.60989995785,-1.53552207166257
"6313","BORCS7",2.522400599703e-05,0.158167129604376,17.8179049181423,1,2371.60989995785,-1.02844957890707
"6654","PRG2",6.52875162868717e-05,0.272923580584553,15.9998341482627,1,2371.60989995785,2.20781985195867
"1891","C2orf69",0.000170311556209294,0.389736613701339,14.1783886502273,1,2371.60989995785,-2.71493429551484
"1974","RNF25",0.000173008947307825,0.389736613701339,14.1486463255007,1,2371.60989995785,-10
"5334","MED30",0.000186461979284589,0.389736613701339,14.006961468869,1,2371.60989995785,1.2339324406564
"9350","TMEM231",0.000273130844331044,0.456398728050529,13.2860832810668,1,2371.60989995785,3.31512929639565
"10058","KCTD2",0.000291140245945637,0.456398728050529,13.1657267387868,1,2371.60989995785,1.18500039955259
"5435","CYHR1",0.000437506756018554,0.609641358580965,12.3996987276943,1,2371.60989995785,-1.4430209245943
"3600","SIL1",0.000530609960176819,0.665437951057749,12.0378733892925,1,2371.60989995785,0.503557227049962
"9676","RSKR",0.000798153807679483,0.902162692113086,11.2746063376574,1,2371.60989995785,1.79560872800311
"10986","ZNF526",0.000863244741675866,0.902162692113086,11.1284371502854,1,2371.60989995785,-10
"7267","CDKN1B",0.00109989667286055,0.962435413360789,10.6775751864577,1,2371.60989995785,-1.07676357604821
"9456","RPA1",0.00118574279444393,0.962435413360789,10.5379879479605,1,2371.60989995785,0.800056245191736
"9492","AC233723.1",0.00134783501695712,0.962435413360789,10.3003092456604,1,2371.60989995785,-10
"11301","ZIK1",0.00146291851092908,0.962435413360789,10.1485315315631,1,2371.60989995785,2.24062616819986
"8728","COMMD4",0.00147919849836919,0.962435413360789,10.1280432744435,1,2371.60989995785,-1.00206969444727
"7557","PHLDA1",0.00175891042509514,0.962435413360789,9.80781154063295,1,2371.60989995785,0.711287838903698
"11930","PATZ1",0.00179055273175638,0.962435413360789,9.77488838603659,1,2371.60989995785,-3.06795755101631
"2906","ANAPC4",0.00180489783585222,0.962435413360789,9.76015652050528,1,2371.60989995785,-1.02104955251887
"7181","GALNT8",0.00184258326289574,0.962435413360789,9.72201373825599,1,2371.60989995785,1.5996775135214
"2228","POMGNT2",0.00207801676523167,0.962435413360789,9.5002895171146,1,2371.60989995785,-10
"9541","ACAP1",0.00219343101010974,0.962435413360789,9.40074735031847,1,2371.60989995785,-10
"10714","BABAM1",0.00224985617176048,0.962435413360789,9.35400080052694,1,2371.60989995785,-0.91422861575935
"5992","FRMD4A",0.0023697038655418,0.962435413360789,9.25853920014691,1,2371.60989995785,0.383018015010322
"7582","MRPL42",0.00279532768937941,0.962435413360789,8.95521636666019,1,2371.60989995785,0.656272839979312
"1811","ITGA6",0.00286192059217665,0.962435413360789,8.91204928379065,1,2371.60989995785,-10
"8836","TTC23",0.00327352033081777,0.962435413360789,8.665998933623,1,2371.60989995785,0.840759105708767
"7715","MAP1LC3B2",0.00329743267485432,0.962435413360789,8.65268768584755,1,2371.60989995785,1.67096587215147
"5377","COL22A1",0.00350587955568301,0.962435413360789,8.54064659743678,1,2371.60989995785,2.22930698768804
"2681","SERPINI1",0.00354227541786519,0.962435413360789,8.52178075008801,1,2371.60989995785,-10
"11939","FBXO7",0.00356009224686631,0.962435413360789,8.51261716056563,1,2371.60989995785,0.453551616412602
"6921","NEU3",0.00358214800243715,0.962435413360789,8.50133782298036,1,2371.60989995785,0.56352325001128
"9098","SPNS1",0.00371406499024733,0.962435413360789,8.43531671294008,1,2371.60989995785,-0.92508259398034
"3542","FBN2",0.00376340084599262,0.962435413360789,8.4112367275654,1,2371.60989995785,0.786375160851835
"2410","EOGT",0.00393100490056733,0.962435413360789,8.33176761255367,1,2371.60989995785,-1.25791015462701
"550","RBMXL1",0.00406376086537201,0.962435413360789,8.27123270847994,1,2371.60989995785,0.993490361206216
"5814","CIZ1",0.0040945839770439,0.962435413360789,8.25746594283467,1,2371.60989995785,0.844956556718176
"11199","ZNF28",0.00418068247612967,0.962435413360789,8.21956316325315,1,2371.60989995785,1.21072967146124
"5234","TMEM70",0.00421473242749952,0.962435413360789,8.20479242647256,1,2371.60989995785,0.58934439497022
"10933","MED29",0.00454295206685086,0.962435413360789,8.06834482818914,1,2371.60989995785,-0.826086306661888
"6028","KIAA1217",0.00456566062916266,0.962435413360789,8.05927922860104,1,2371.60989995785,2.35108075301495
"2793","NCBP2",0.00468656683242697,0.962435413360789,8.01177244039552,1,2371.60989995785,0.611413248698826
"9524","RNASEK",0.0047798308509044,0.962435413360789,7.97597268016462,1,2371.60989995785,-0.256573337755787
"9412","ACSF3",0.00478048445652702,0.962435413360789,7.97572431155239,1,2371.60989995785,0.765642833058097
"1902","ORC2",0.00496760426567411,0.962435413360789,7.90600654625972,1,2371.60989995785,-0.909167570427451
"3717","C5orf58",0.00518788618050902,0.962435413360789,7.82728640980969,1,2371.60989995785,4.20170967891981
"4646","TYW1",0.00558456699489657,0.962435413360789,7.6937645410322,1,2371.60989995785,-0.941299127614501
"6053","PARD3",0.00566162469583328,0.962435413360789,7.66895265570165,1,2371.60989995785,2.30882531063826
"8947","ZNF174",0.00569226837499585,0.962435413360789,7.65918131790286,1,2371.60989995785,-10
"5438","MFSD3",0.00588100373875408,0.962435413360789,7.60015832959314,1,2371.60989995785,-10
"12155","PHKA2",0.00593791638312422,0.962435413360789,7.58273912144169,1,2371.60989995785,-1.01772177165244
"11987","DDX17",0.00626532297410395,0.962435413360789,7.48572826035466,1,2371.60989995785,-0.271472841635936
"11704","BACH1",0.00628223317033059,0.962435413360789,7.48085933626186,1,2371.60989995785,-0.362380119519211
"5856","ABL1",0.00633574102567574,0.962435413360789,7.46554064458691,1,2371.60989995785,0.336559382469927
"11204","ZNF160",0.00657788256928973,0.962435413360789,7.39783144470604,1,2371.60989995785,-0.73842060128619
"12179","DMD",0.00670477584688087,0.962435413360789,7.36335877959782,1,2371.60989995785,-2.82657214276837
"1315","DNAJC27",0.00672715411548694,0.962435413360789,7.35734856940165,1,2371.60989995785,-2.2015930010329
"891","TSTD1",0.00681143548685772,0.962435413360789,7.33489478733164,1,2371.60989995785,-1.20969801520131
"1918","ICA1L",0.00692996242033865,0.962435413360789,7.30379338279252,1,2371.60989995785,2.54622660135133
"12026","POLR3H",0.00703828892973523,0.962435413360789,7.27584051971289,1,2371.60989995785,-2.17511271117456
"9245","CMTM1",0.00713745293384151,0.962435413360789,7.25063492701213,1,2371.60989995785,-2.74799097647255
"10629","ZNF709",0.00718630922310518,0.962435413360789,7.23834794945879,1,2371.60989995785,-2.1821845174436
"2988","DCK",0.00741375108202602,0.962435413360789,7.18225034437828,1,2371.60989995785,0.87786274884157
"1703","RALB",0.00750610638849995,0.962435413360789,7.1599721029996,1,2371.60989995785,0.475269602074453
"3070","SMARCAD1",0.00759539177489334,0.962435413360789,7.13869938065873,1,2371.60989995785,-0.974939774429693
"4389","IPCEF1",0.00761282077433836,0.962435413360789,7.13457668184104,1,2371.60989995785,1.58718829939473
"10542","PRAM1",0.00769481486135276,0.962435413360789,7.11531028368103,1,2371.60989995785,-0.837418123112918
"2586","SRPRB",0.00772424084755283,0.962435413360789,7.10844714526022,1,2371.60989995785,-2.14815576968796
"4766","CYP3A5",0.0077998400626442,0.962435413360789,7.09093676801145,1,2371.60989995785,3.24411695485145
"1581","POLR1A",0.00786674680610479,0.962435413360789,7.07558400825103,1,2371.60989995785,0.937165540743666
"2314","RBM5",0.00788417170844746,0.962435413360789,7.07160753122275,1,2371.60989995785,-0.511757700202434
"4365","SASH1",0.00792616661619173,0.962435413360789,7.06206085657575,1,2371.60989995785,-0.682339150532403
"5070","CSGALNACT1",0.00801881680475723,0.962435413360789,7.04118056401687,1,2371.60989995785,2.44317039455802
"6658","TIMM10",0.00812039635510668,0.962435413360789,7.01856978930654,1,2371.60989995785,-0.973675138627415
"1145","TP53BP2",0.0082593359583258,0.962435413360789,6.98810742093711,1,2371.60989995785,0.641422459864684
"8021","DCUN1D2",0.00839308961277754,0.962435413360789,6.95927369022494,1,2371.60989995785,-1.29629984516659
"8808","AP3S2",0.00847664786680621,0.962435413360789,6.94149855188181,1,2371.60989995785,-0.442960739343863
"3829","RIOK1",0.00853402632551658,0.962435413360789,6.92939617951542,1,2371.60989995785,1.05862474084891
"579","RWDD3",0.00865608121961857,0.962435413360789,6.90392695788195,1,2371.60989995785,0.792607441319333
"10811","C19orf12",0.00868227427332052,0.962435413360789,6.89850919724074,1,2371.60989995785,-1.14022802578028
"8668","RAB11A",0.0087949668085441,0.962435413360789,6.87538931827233,1,2371.60989995785,0.449427269242082
"6501","ILK",0.00879940188788303,0.962435413360789,6.87448563942551,1,2371.60989995785,0.48096511703622
"6408","BNIP3",0.00889707410064973,0.962435413360789,6.85470165264969,1,2371.60989995785,0.463765241191262
"3928","PPP1R18",0.00889829635954422,0.962435413360789,6.85445549011371,1,2371.60989995785,0.395304653013145
