"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3094","CENPE",2.70858555889801e-06,0.03396837149414,22.1155694842219,1,2469.04097206081,1.76085458385949
"6654","PRG2",2.72874892470733e-05,0.171106201323773,17.6644532578723,1,2469.04097206081,2.16817140687965
"3381","PPWD1",9.04933498715799e-05,0.201225218467325,15.3761455472743,1,2469.04097206081,-0.99511549320386
"4464","SDK1",0.000107458283703045,0.201225218467325,15.0496460467342,1,2469.04097206081,1.84990923618156
"7991","CLYBL",0.000108146459440247,0.201225218467325,15.0375236450845,1,2469.04097206081,-0.931594095620086
"6713","MTA2",0.000109807147694313,0.201225218467325,15.0085872366078,1,2469.04097206081,-1.99875714593843
"3137","NUDT6",0.000112317720219382,0.201225218467325,14.9656685317173,1,2469.04097206081,1.3261957760997
"3065","TIGD2",0.000138702199540112,0.217433035554068,14.5654237032956,1,2469.04097206081,1.59487939954178
"8132","FAM177A1",0.000358617452421762,0.457458058117007,12.7718449476826,1,2469.04097206081,0.570767775783701
"10069","SLC25A19",0.000431066217636316,0.457458058117007,12.4261539226387,1,2469.04097206081,0.521504485485619
"9341","RFWD3",0.000436488118517052,0.457458058117007,12.4026933705992,1,2469.04097206081,-1.10467767967692
"2362","GLT8D1",0.000437724001068821,0.457458058117007,12.3973868982659,1,2469.04097206081,-1.29677770205429
"8934","HCFC1R1",0.000549007159732826,0.529622983862259,11.9727355743028,1,2469.04097206081,0.503829406403795
"12055","SAMM50",0.000667313065669339,0.597769511182799,11.6076941273658,1,2469.04097206081,-1.16659608812373
"1457","PNPT1",0.000866087415071889,0.724106818161104,11.1211902226509,1,2469.04097206081,-0.401433548275818
"6415","TUBGCP2",0.00117404003493791,0.839319080126096,10.5553892962111,1,2469.04097206081,0.379241100502376
"911","FCGR2B",0.0012515257268035,0.839319080126096,10.4367907152429,1,2469.04097206081,0.732536509179781
"2813","SLC49A3",0.00130252358066619,0.839319080126096,10.3627251908721,1,2469.04097206081,0.868505349393828
"1700","PTPN4",0.00130599121047347,0.839319080126096,10.3577962189746,1,2469.04097206081,-1.01470618186165
"9257","C16orf70",0.00133852018200478,0.839319080126096,10.3121939162183,1,2469.04097206081,-0.627959358514203
"5224","TRAM1",0.0016625720510297,0.878544944473827,9.91097923613002,1,2469.04097206081,-0.336863981883679
"8494","RASGRP1",0.00170478713554046,0.878544944473827,9.86465248776816,1,2469.04097206081,4.93676812298932
"4271","FAM229B",0.00174756252948729,0.878544944473827,9.81888244827705,1,2469.04097206081,-10
"3270","CLPTM1L",0.00179235621659363,0.878544944473827,9.77215482774319,1,2469.04097206081,0.558635301644594
"10880","ZFP82",0.00194804412796022,0.878544944473827,9.61848839675536,1,2469.04097206081,-2.39454759004686
"11009","ZNF404",0.00202166738910725,0.878544944473827,9.55010991434727,1,2469.04097206081,2.59461215150182
"4454","SNX8",0.00204390711070499,0.878544944473827,9.52995074448882,1,2469.04097206081,-0.536523891449931
"2268","SMARCC1",0.00210118034898656,0.878544944473827,9.47904309489966,1,2469.04097206081,-0.54057074919828
"4975","ZNF212",0.00238541353350803,0.878544944473827,9.24560359741188,1,2469.04097206081,-1.31375410035205
"1913","ALS2",0.00245046745282874,0.878544944473827,9.1961556578013,1,2469.04097206081,0.663932048501999
"10600","PLPPR2",0.00254976512286765,0.878544944473827,9.12319232814074,1,2469.04097206081,-2.01193870435716
"2513","GOLGB1",0.00255360168085802,0.878544944473827,9.12043147526214,1,2469.04097206081,-0.332955527377671
"2120","MKRN2",0.0025569095704262,0.878544944473827,9.1180544415728,1,2469.04097206081,-0.930760977235847
"1132","BPNT1",0.00297123826392176,0.878544944473827,8.84263006412244,1,2469.04097206081,-1.25607062155246
"6623","DGKZ",0.00299884361562475,0.878544944473827,8.82569161087994,1,2469.04097206081,0.435796546232644
"3536","GRAMD2B",0.00305468143423432,0.878544944473827,8.79190923323559,1,2469.04097206081,-2.4343311201378
"11316","ZNF256",0.00310474451701276,0.878544944473827,8.76215018863472,1,2469.04097206081,2.44493264666284
"5007","NUB1",0.00322607174634962,0.878544944473827,8.69200716313339,1,2469.04097206081,-0.37751208056076
"5695","RNF20",0.00328159690382324,0.878544944473827,8.66079644328631,1,2469.04097206081,0.559910045186416
"4520","TOMM7",0.00330772621271734,0.878544944473827,8.64629451823924,1,2469.04097206081,0.2529006678134
"3487","ERAP1",0.00335025920488361,0.878544944473827,8.62293584232158,1,2469.04097206081,0.532400446212376
"7681","PPP1CC",0.00342852672216208,0.878544944473827,8.58072985557775,1,2469.04097206081,-0.523217753005493
"302","TFAP2E",0.00347442739436172,0.878544944473827,8.55643139330295,1,2469.04097206081,-10
"1854","COL5A2",0.00353011242840658,0.878544944473827,8.52738809230399,1,2469.04097206081,2.2658758323177
"2762","IL1RAP",0.00353024377809364,0.878544944473827,8.52732013753665,1,2469.04097206081,0.626997528508501
"6779","VPS51",0.00361083342490508,0.878544944473827,8.48610418402368,1,2469.04097206081,-0.863902268974216
"4687","SSC4D",0.00363117023159848,0.878544944473827,8.47585123380447,1,2469.04097206081,-10
"8458","NSMCE3",0.00364306138945468,0.878544944473827,8.46988325842345,1,2469.04097206081,-1.00061154062183
"2360","PBRM1",0.00371161558476385,0.878544944473827,8.43585902418795,1,2469.04097206081,-0.289796445599786
"4014","ZBTB22",0.00375014982413493,0.878544944473827,8.41701374466334,1,2469.04097206081,-2.90778010066875
"5659","AOPEP",0.00380053518080864,0.878544944473827,8.392667827333,1,2469.04097206081,0.425105611770326
"3415","ANKRA2",0.0038149953895672,0.878544944473827,8.3857413894758,1,2469.04097206081,0.629193731185081
"2998","CXCL2",0.00385373105991034,0.878544944473827,8.36731788214629,1,2469.04097206081,0.558120847096279
"10394","GAMT",0.0039411147602359,0.878544944473827,8.32643942818079,1,2469.04097206081,-1.76152605439434
"3983","PBX2",0.00396881317917791,0.878544944473827,8.31367439954011,1,2469.04097206081,-0.812145479942368
"6004","CUBN",0.0040730353188605,0.878544944473827,8.26644247938259,1,2469.04097206081,-10
"11490","EDEM2",0.00407876082015431,0.878544944473827,8.26388354689127,1,2469.04097206081,-0.575213759283184
"11421","ZNF133",0.0041996500215576,0.878544944473827,8.21069140487294,1,2469.04097206081,-0.989363641185781
"8461","GOLGA8R",0.00422551652620332,0.878544944473827,8.19951261838814,1,2469.04097206081,-10
"12041","NFAM1",0.00424101322526312,0.878544944473827,8.19284871432546,1,2469.04097206081,-0.412623638098166
"421","MKNK1",0.00436105865466952,0.878544944473827,8.14205180604325,1,2469.04097206081,0.272437514145824
"5639","NOL8",0.00444004437405616,0.878544944473827,8.1094003387222,1,2469.04097206081,-0.583829895426972
"4843","SYPL1",0.00449581949363093,0.878544944473827,8.08669833014785,1,2469.04097206081,0.460923268490922
"2416","MITF",0.00459600843655273,0.878544944473827,8.04663027105892,1,2469.04097206081,-0.301476466884103
"12150","REPS2",0.00481346406119679,0.878544944473827,7.96264360771791,1,2469.04097206081,-0.622253753894604
"11208","ZNF677",0.0049276107667714,0.878544944473827,7.92009253393164,1,2469.04097206081,-1.57247983823768
"12451","FGF13",0.00495106552815843,0.878544944473827,7.91147372116961,1,2469.04097206081,-3.80955411698204
"6515","TMEM9B",0.00505959173190096,0.878544944473827,7.87212864210864,1,2469.04097206081,-0.490722276286353
"5760","GSN",0.00539821560604455,0.878544944473827,7.75467767759433,1,2469.04097206081,-0.29495325187776
"7100","TBCEL",0.00547421551371879,0.878544944473827,7.7293510818498,1,2469.04097206081,-0.672101718108733
"12428","STK26",0.00548567788007308,0.878544944473827,7.72556246669308,1,2469.04097206081,1.08566612277944
"6624","MDK",0.00549999796558509,0.878544944473827,7.72084063326142,1,2469.04097206081,-1.01985023874698
"9077","IL21R",0.00552396913592713,0.878544944473827,7.71296450492552,1,2469.04097206081,-10
"9183","GPT2",0.00576395081009262,0.878544944473827,7.63598387159342,1,2469.04097206081,-10
"7347","ARID2",0.00582102826789425,0.878544944473827,7.61815640225215,1,2469.04097206081,-0.30492979567783
"7420","PFDN5",0.00582997051287145,0.878544944473827,7.61537957497099,1,2469.04097206081,0.139038735340985
"12439","RTL8C",0.00584203881754405,0.878544944473827,7.61163890089446,1,2469.04097206081,0.620897446132647
"5807","ST6GALNAC4",0.005887555329967,0.878544944473827,7.59760130552908,1,2469.04097206081,0.949893920040959
"9560","TP53",0.00589663733346175,0.878544944473827,7.59481361691502,1,2469.04097206081,-0.936044570931633
"5489","PLIN2",0.00597139485176797,0.878544944473827,7.57203224195925,1,2469.04097206081,0.311270749180177
"10440","NCLN",0.00600138158628382,0.878544944473827,7.56297589701734,1,2469.04097206081,0.706547352281759
"12504","CMC4",0.00603232512636915,0.878544944473827,7.55367889635431,1,2469.04097206081,-0.94756206670375
"6472","NAP1L4",0.00603389396534092,0.878544944473827,7.55320883585203,1,2469.04097206081,-0.417886830293546
"7532","RAP1B",0.00629510779911091,0.878544944473827,7.47663445241767,1,2469.04097206081,0.194156453804081
"2952","TXK",0.00634075512389243,0.878544944473827,7.46358678980475,1,2469.04097206081,-0.442551239296135
"2038","ACKR3",0.00636168385747143,0.878544944473827,7.45763664456257,1,2469.04097206081,-10
"1919","WDR12",0.00637624854093576,0.878544944473827,7.45350761903298,1,2469.04097206081,-1.25898753374238
"11215","MYADM",0.00645466448097857,0.878544944473827,7.4314413177799,1,2469.04097206081,1.03314866649872
"206","STMN1",0.00649959929238785,0.878544944473827,7.41891973189999,1,2469.04097206081,0.54761940459746
"8606","FAM214A",0.00663015505132262,0.878544944473827,7.38303459286637,1,2469.04097206081,0.459817475017799
"5817","SWI5",0.00663047272818731,0.878544944473827,7.38294815818367,1,2469.04097206081,-0.964767456333926
"9696","TAOK1",0.00678588393147403,0.878544944473827,7.3411628860747,1,2469.04097206081,-0.230835460017284
"9052","MOSMO",0.00709240786190159,0.878544944473827,7.26154109721982,1,2469.04097206081,-0.54512472153355
"8467","MTMR10",0.00711181046693382,0.878544944473827,7.25662014912209,1,2469.04097206081,-0.540296255946367
"9820","STAT5A",0.00720715566850934,0.878544944473827,7.23263617633594,1,2469.04097206081,-0.479221981792959
"10673","ADGRE5",0.00724094213643933,0.878544944473827,7.22421500644436,1,2469.04097206081,-0.564522904577992
"8183","ERO1A",0.00741523914910638,0.878544944473827,7.18140067482034,1,2469.04097206081,0.316130275037254
"8772","EFL1",0.00750062934538873,0.878544944473827,7.16079961059207,1,2469.04097206081,-0.599567688188575
"7149","VPS26B",0.00757115264245479,0.878544944473827,7.14396538271026,1,2469.04097206081,-0.745499715750782
"3763","PDLIM7",0.00760256881710482,0.878544944473827,7.13651777940792,1,2469.04097206081,-0.755857664182419
"9537","CLDN7",0.00771980095183825,0.878544944473827,7.10900169526468,1,2469.04097206081,-1.89697052052109
"9314","WWP2",0.00793722259381377,0.878544944473827,7.05908313889729,1,2469.04097206081,-0.371651867379062
"10436","TLE5",0.00794240200659333,0.878544944473827,7.0579111138493,1,2469.04097206081,-0.327433630018592
"676","TTF2",0.0081106743281896,0.878544944473827,7.02025315724483,1,2469.04097206081,-0.88192669982667
"1819","GPR155",0.00820901233944016,0.878544944473827,6.99861440091615,1,2469.04097206081,-0.33988065597186
"5302","POLR2K",0.00820901790964847,0.878544944473827,6.99861318275185,1,2469.04097206081,0.372336792754925
"9061","EARS2",0.00830837006216465,0.878544944473827,6.9770191082927,1,2469.04097206081,-2.74604024088347
"357","CTPS1",0.00838455681173644,0.878544944473827,6.96063834966403,1,2469.04097206081,-10
"7748","OASL",0.008395665508064,0.878544944473827,6.95826262950091,1,2469.04097206081,-0.313350901951645
"3848","HIVEP1",0.00843492765416862,0.878544944473827,6.94989169173894,1,2469.04097206081,-0.389926698605887
"6318","TAF5",0.00844139716313172,0.878544944473827,6.94851618119373,1,2469.04097206081,-1.49580180800104
"184","HMGCL",0.00849384039910857,0.878544944473827,6.93740567660746,1,2469.04097206081,-0.554326042491388
"3227","SAP30",0.00854495121210309,0.878544944473827,6.92664484368357,1,2469.04097206081,-0.64681729020669
"7871","BRCA2",0.0086598911303223,0.878544944473827,6.90268434359845,1,2469.04097206081,-0.472916766554846
"10902","ZNF571",0.00877321791332524,0.878544944473827,6.87937691004795,1,2469.04097206081,1.43601723151663
"8255","RDH12",0.008790761882187,0.878544944473827,6.87579630410161,1,2469.04097206081,2.67808840384217
"11325","ERVK3-1",0.00881106425823107,0.878544944473827,6.87166185138437,1,2469.04097206081,-0.51818876104051
"9445","INPP5K",0.00885753953110909,0.878544944473827,6.86223407364551,1,2469.04097206081,0.924344682693605
"1154","ENAH",0.00893480389882533,0.878544944473827,6.84667214459291,1,2469.04097206081,2.7519318969197
"2178","CMTM7",0.00897940132356481,0.878544944473827,6.83775234645873,1,2469.04097206081,0.255283309027149
"3469","LYSMD3",0.00899956555927191,0.878544944473827,6.83373424778158,1,2469.04097206081,0.635682808330669
"215","HMGN2",0.00919997610455268,0.878544944473827,6.79429295346641,1,2469.04097206081,-0.275956409397762
"1201","MAP10",0.00925894843770718,0.878544944473827,6.78285458322203,1,2469.04097206081,0.966846420056891
"7058","TAGLN",0.00926034107392197,0.878544944473827,6.78258536848216,1,2469.04097206081,-1.38590368290767
"10748","ISYNA1",0.00938354606230946,0.878544944473827,6.75893100271391,1,2469.04097206081,-10
"7182","ANO2",0.00947805075937019,0.878544944473827,6.74100160813707,1,2469.04097206081,2.31524467463278
"7471","CS",0.00971707271837828,0.878544944473827,6.69646002676385,1,2469.04097206081,0.530514229323224
"4272","MARCKS",0.00973075824231063,0.878544944473827,6.69394384397215,1,2469.04097206081,-0.206101311165796
"637","WDR77",0.0100922019738438,0.878544944473827,6.62877162355767,1,2469.04097206081,-1.19414323142841
"8629","MYO1E",0.0101171908245627,0.878544944473827,6.62435471250828,1,2469.04097206081,-0.347698804490965
"2087","SRGAP3",0.0101307694353134,0.878544944473827,6.62195931169891,1,2469.04097206081,0.774044494204015
"6596","CAT",0.010204968849813,0.878544944473827,6.60892770064014,1,2469.04097206081,0.300790855096539
"2697","TNFSF10",0.0102583390864763,0.878544944473827,6.59961427077155,1,2469.04097206081,-0.328235761618072
"7966","KCTD12",0.0102822959635268,0.878544944473827,6.59544980371134,1,2469.04097206081,0.238474233761122
"2466","BBX",0.0103869367040525,0.878544944473827,6.57737586576352,1,2469.04097206081,-0.25594777362774
