"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"2446","CMSS1",1.42676385887509e-06,0.0178930455541525,23.3651126520878,1,2339.63168805227,1.99725920542787
"3384","TRAPPC13",3.85006808622347e-05,0.214776242161747,17.0090563784307,1,2339.63168805227,-2.30286937637728
"10221","CHMP1B",5.13777790036871e-05,0.214776242161747,16.4576992074488,1,2339.63168805227,0.888127792205101
"1674","TMEM87B",6.94942369197142e-05,0.217881806302534,15.8816097910259,1,2339.63168805227,-1.11571852604897
"8824","HDDC3",0.000108932481798844,0.247967992607184,15.0264644235837,1,2339.63168805227,-10
"10661","C19orf53",0.000148909494236642,0.247967992607184,14.4333578146346,1,2339.63168805227,0.586959435056595
"7822","ZNF84",0.000149342765903519,0.247967992607184,14.4278520731155,1,2339.63168805227,-2.38877865198221
"2485","USF3",0.000158180682629573,0.247967992607184,14.3189269247206,1,2339.63168805227,-1.68590139076602
"7671","ATP2A2",0.00026674262343459,0.371691026721466,13.3312587659166,1,2339.63168805227,-0.737777897032826
"7566","ACSS3",0.000358328261104622,0.449379472251306,12.7753298213397,1,2339.63168805227,3.7925521182425
"12049","PACSIN2",0.000532487816825662,0.607084519164603,12.0317057818891,1,2339.63168805227,0.514887192621896
"10580","KEAP1",0.000692088311085612,0.723289959110388,11.5412063054356,1,2339.63168805227,-2.18621683736402
"9631","MYO15A",0.000782922891719953,0.755279691158457,11.3109501330503,1,2339.63168805227,3.60151240168928
"5588","TRPM3",0.00085739459420782,0.763791944320996,11.1414996400723,1,2339.63168805227,3.18739449762488
"5404","TSTA3",0.00105632006887686,0.763791944320996,10.7530769147711,1,2339.63168805227,-3.12863932923018
"7820","ZNF605",0.00116633043723446,0.763791944320996,10.5689881402074,1,2339.63168805227,-10
"1604","DUSP2",0.00123039726798879,0.763791944320996,10.469719254852,1,2339.63168805227,2.1111358423331
"4527","TRA2A",0.00130390283006713,0.763791944320996,10.362080139861,1,2339.63168805227,-0.708848165597127
"10853","HAUS5",0.00139756435853946,0.763791944320996,10.2335032911431,1,2339.63168805227,2.43343906887693
"1323","HADHB",0.00139869127192155,0.763791944320996,10.2320100131285,1,2339.63168805227,-0.627985390504335
"3006","USO1",0.00148778742819173,0.763791944320996,10.117649800077,1,2339.63168805227,-0.770445775637984
"3610","CYSTM1",0.00165695771210322,0.763791944320996,9.91844159252465,1,2339.63168805227,-0.581995648415966
"3314","SKP2",0.00168354915938691,0.763791944320996,9.88901644352346,1,2339.63168805227,-10
"10742","JUND",0.00172486737664457,0.763791944320996,9.84421743658582,1,2339.63168805227,-0.53129430976692
"10602","EPOR",0.00187603918212383,0.763791944320996,9.68910717532783,1,2339.63168805227,2.38136758760361
"7245","CLEC2B",0.00196293067503711,0.763791944320996,9.60559294560868,1,2339.63168805227,0.573161524231028
"588","TRMT13",0.00199496788004505,0.763791944320996,9.57574399447191,1,2339.63168805227,-10
"9964","MTMR4",0.00210263016242905,0.763791944320996,9.47888404459792,1,2339.63168805227,1.26365475222621
"5186","RGS20",0.00212852138215126,0.763791944320996,9.45634161493449,1,2339.63168805227,2.2934817846674
"9497","RNF167",0.00220939002178578,0.763791944320996,9.38768379213602,1,2339.63168805227,-1.51082917240045
"1046","TIMM17A",0.00229633836588541,0.763791944320996,9.31665386457546,1,2339.63168805227,-1.3123055983853
"3372","SMIM15",0.00235925147796838,0.763791944320996,9.26694127924138,1,2339.63168805227,-1.01751376056922
"6917","POLD3",0.00239145740782839,0.763791944320996,9.24201130628348,1,2339.63168805227,-1.19097638622034
"9696","TAOK1",0.0024116877676776,0.763791944320996,9.22652512592637,1,2339.63168805227,-0.427424081525428
