"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8978","TMEM114",6.34771609723628e-09,7.34896645972853e-05,33.9758661742855,1,2346.62577947234,4.58879459492638
"6600","SLC1A2",1.17199050470114e-08,7.34896645972853e-05,32.7663570996528,1,2346.62577947234,5.71479661018463
"1061","CHIT1",3.21322680482587e-08,0.000134323591197737,30.7809342289585,1,2346.62577947234,2.28806947866861
"3780","ADAMTS2",4.64411656466179e-05,0.145604664593559,16.6504403232397,1,2346.62577947234,3.91552720375757
"4331","MAP7",7.29657910231555e-05,0.183012797044279,15.7885718399252,1,2346.62577947234,1.49932821797165
"7861","SLC46A3",9.10299828854152e-05,0.190267835894332,15.3675558569573,1,2346.62577947234,-1.90954691309056
"8581","COPS2",0.000342245605749613,0.589982281614688,12.8616077862569,1,2346.62577947234,-1.10444560422856
"10653","LYL1",0.000376354218397058,0.589982281614688,12.6829234710134,1,2346.62577947234,-1.75452221145912
"1654","MRPS9",0.000480540105679504,0.65666201497456,12.2240288568596,1,2346.62577947234,1.1945780938947
"6870","GAL",0.000523612164081461,0.65666201497456,12.0631013929638,1,2346.62577947234,2.46252729914015
"2543","CFAP100",0.000801102494261398,0.79847702534955,11.2680378731947,1,2346.62577947234,3.65511184810977
"3855","MCUR1",0.000878736295169814,0.79847702534955,11.0955936868069,1,2346.62577947234,0.996926752616147
"8225","PRKCH",0.000967535164010597,0.79847702534955,10.9163164574002,1,2346.62577947234,-1.32208992259915
"647","ST7L",0.00105980202506501,0.79847702534955,10.7468780387463,1,2346.62577947234,-1.30372978384516
"5968","IL2RA",0.00106465043651443,0.79847702534955,10.738392238499,1,2346.62577947234,-2.76438068791868
"8744","TSPAN3",0.00109569547973244,0.79847702534955,10.684966614736,1,2346.62577947234,0.618474196618511
"9597","ELAC2",0.00118185988276949,0.79847702534955,10.5443503451001,1,2346.62577947234,1.18314050343196
"2773","XXYLT1",0.00120837455777803,0.79847702534955,10.5031627822662,1,2346.62577947234,-2.1373773091527
"3528","SRFBP1",0.00120971720609532,0.79847702534955,10.5011015452677,1,2346.62577947234,-1.22851779544611
"9569","CNTROB",0.00128360460832569,0.798957676620627,10.3911021609679,1,2346.62577947234,-10
"4488","ZNF316",0.00136990840859457,0.798957676620627,10.2704641284735,1,2346.62577947234,-3.05977409433368
"11486","ACSS2",0.00140156836660982,0.798957676620627,10.2281300210448,1,2346.62577947234,0.837394558786528
"3769","RMND5B",0.00155956691720848,0.814312049956526,10.0303854367071,1,2346.62577947234,-2.07827336077335
"11891","CHEK2",0.00170492857700682,0.814312049956526,9.86563028348104,1,2346.62577947234,-3.09125780659815
"8450","CYFIP1",0.00176051003194515,0.814312049956526,9.80637041353861,1,2346.62577947234,-0.43810280678313
"10669","SAMD1",0.00186653570573056,0.814312049956526,9.69841234766101,1,2346.62577947234,-2.06477357406151
"2354","BAP1",0.00188751151933857,0.814312049956526,9.67779272868613,1,2346.62577947234,-2.01661002656692
"6396","UROS",0.00189213385243223,0.814312049956526,9.67328014949246,1,2346.62577947234,-1.22715863938845
"9357","WWOX",0.00203654267906485,0.814312049956526,9.53766196836828,1,2346.62577947234,0.601574803806832
"6142","PSAP",0.00207554023923529,0.814312049956526,9.50271023584464,1,2346.62577947234,0.218870262263824
"11435","XRN2",0.0021328499495619,0.814312049956526,9.45253721239983,1,2346.62577947234,-0.53259754538496
"3698","THG1L",0.00218834512463195,0.814312049956526,9.40524009804383,1,2346.62577947234,-10
"4866","BMT2",0.00221738805610732,0.814312049956526,9.38097059199026,1,2346.62577947234,-1.00182937382619
"3330","C7",0.00227203623342353,0.814312049956526,9.33616673128664,1,2346.62577947234,3.37188180031264
"4370","PPIL4",0.00235027214905553,0.814312049956526,9.27389300140123,1,2346.62577947234,0.647287667085135
"9370","CDH13",0.00238855408945097,0.814312049956526,9.24418442747716,1,2346.62577947234,3.11245629823154
"11250","PPP6R1",0.00240248352191942,0.814312049956526,9.23349435872211,1,2346.62577947234,-0.895984413704933
"227","WASF2",0.00247417239818672,0.81654200120157,9.17945408762106,1,2346.62577947234,-0.401450870403095
"5313","ATP6V1C1",0.0028038929719755,0.848585568148011,8.94980560425138,1,2346.62577947234,-0.575291946023412
"1378","BIRC6",0.00281272197097238,0.848585568148011,8.94404038184422,1,2346.62577947234,0.328796568427688
"11835","ZDHHC8",0.00289659343946156,0.848585568148011,8.89017311083674,1,2346.62577947234,-10
"7531","MDM1",0.00289711923602173,0.848585568148011,8.88984043667572,1,2346.62577947234,-2.94070200905451
"5323","OXR1",0.00316589542254867,0.848585568148011,8.7273511400902,1,2346.62577947234,-0.814646209931419
"8427","ZFYVE21",0.00318284091625075,0.848585568148011,8.71758184378097,1,2346.62577947234,-1.95400257725685
"11769","PDXK",0.00323874291332841,0.848585568148011,8.68572464279289,1,2346.62577947234,-0.573468792160736
"10017","RGS9",0.00333648618208765,0.848585568148011,8.63134395362032,1,2346.62577947234,-1.35247470707515
"783","SNAPIN",0.0034003818773443,0.848585568148011,8.59666376060027,1,2346.62577947234,-1.45702578866395
"546","LMO4",0.00346165222811318,0.848585568148011,8.56402561534056,1,2346.62577947234,-0.678516971946901
"5432","SLC39A4",0.00350573450649668,0.848585568148011,8.54090491530453,1,2346.62577947234,1.53075897427281
"8972","UBN1",0.00350607291016486,0.848585568148011,8.54072857248555,1,2346.62577947234,-0.831310461376095
"11510","MYL9",0.00355251409319647,0.848585568148011,8.51669081024817,1,2346.62577947234,3.11887549364644
"2007","AGFG1",0.00363195864800583,0.848585568148011,8.47630261265937,1,2346.62577947234,-0.58870712989973
"6247","ARHGAP19",0.003643161580071,0.848585568148011,8.47067968159304,1,2346.62577947234,-1.61659733596648
"9204","AKTIP",0.00365390484650288,0.848585568148011,8.46530396865564,1,2346.62577947234,-10
"713","GPR89B",0.00382253850414142,0.856787444543122,8.38296894526753,1,2346.62577947234,-10
"8362","RPS6KA5",0.00382585893424885,0.856787444543122,8.38138512198277,1,2346.62577947234,0.928069305313235
"2431","CGGBP1",0.00397998035640435,0.875665502625736,8.30936993268604,1,2346.62577947234,-0.811233448942987
"7301","BHLHE41",0.00420237900472775,0.886173090987442,8.2103067787713,1,2346.62577947234,1.14108521526653
"9293","DDX28",0.00424310833539573,0.886173090987442,8.19274452269869,1,2346.62577947234,-10
"9695","NUFIP2",0.00424470396046032,0.886173090987442,8.19205999832745,1,2346.62577947234,-0.518075860529881
"11136","PRMT1",0.0043103866159185,0.886173090987442,8.1641072440306,1,2346.62577947234,-1.45840542321984
"8594","CYP19A1",0.00446842140508593,0.903846336148107,8.09859169790256,1,2346.62577947234,1.46991018934275
"12387","KLHL13",0.0046834177831629,0.932297498708665,8.01315582521904,1,2346.62577947234,2.71238141951297
"4478","AIMP2",0.00482351890465319,0.937759696331796,7.95960697597646,1,2346.62577947234,-2.84400355022956
"10648","FARSA",0.00486040828176116,0.937759696331796,7.94577090143005,1,2346.62577947234,0.858379176151684
"11744","VPS26C",0.00495495008551148,0.941515591248476,7.91079428242705,1,2346.62577947234,0.653919332110348
"6767","MEN1",0.0053900026813883,0.949780463378745,7.75815349247887,1,2346.62577947234,-10
"846","SMG5",0.0054616146700395,0.949780463378745,7.73423832937398,1,2346.62577947234,-1.14377152937034
"11194","ZNF808",0.00546772410099745,0.949780463378745,7.73221288920126,1,2346.62577947234,0.803618722959757
"2207","GORASP1",0.00559765109377195,0.949780463378745,7.68967690635023,1,2346.62577947234,-1.84505026511654
"9928","LRRC59",0.00559814739550057,0.949780463378745,7.68951636422602,1,2346.62577947234,-1.19922730676763
"1240","SMYD3",0.00561945918089254,0.949780463378745,7.68263616411677,1,2346.62577947234,0.540158500328728
"6543","CALCB",0.00563753824910221,0.949780463378745,7.67682044513913,1,2346.62577947234,1.76249548039435
"12174","POLA1",0.00567859196063481,0.949780463378745,7.66368456825738,1,2346.62577947234,0.882942433379899
"4756","PTCD1",0.00568005220902686,0.949780463378745,7.66321912234494,1,2346.62577947234,-2.76965151578786
"11946","MCM5",0.00581785005599461,0.954066042619702,7.61983762734515,1,2346.62577947234,1.18217542849133
"5355","TATDN1",0.00596479799219598,0.954066042619702,7.57471634244108,1,2346.62577947234,-1.3060651350656
"11433","RALGAPA2",0.00608011175445304,0.954066042619702,7.54009627992217,1,2346.62577947234,0.629655540974183
"5880","SURF2",0.00614027433422558,0.954066042619702,7.5222992009099,1,2346.62577947234,-2.15139671968038
"4683","STYXL1",0.00621675110978662,0.954066042619702,7.49993145691369,1,2346.62577947234,-0.896664436331573
"1413","MTA3",0.00648050766499978,0.954066042619702,7.42488924076436,1,2346.62577947234,-1.55574540682319
"9548","CHRNB1",0.00664691525055429,0.954066042619702,7.37913281009402,1,2346.62577947234,-2.12365569846602
"11096","KCNJ14",0.00670213477611674,0.954066042619702,7.36420760206195,1,2346.62577947234,2.7266668437772
"11737","DOP1B",0.00676623068723142,0.954066042619702,7.34704000899464,1,2346.62577947234,-0.652361103902314
"3045","ARHGAP24",0.00689003530129199,0.954066042619702,7.3143454930968,1,2346.62577947234,0.653666561126608
"466","PARS2",0.00691200830549582,0.954066042619702,7.30860562417883,1,2346.62577947234,2.3373219518198
"7451","MMP19",0.00703407634831357,0.954066042619702,7.27705439488338,1,2346.62577947234,-0.682259711763304
"2184","CRTAP",0.00714329560266486,0.954066042619702,7.2492951481394,1,2346.62577947234,0.58147970875452
