"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4310","L3MBTL3",0.000111545217922998,0.945808188047451,14.9823936943043,1,2297.06807539766,-10
"7670","IFT81",0.000372637384224392,0.945808188047451,12.702382182755,1,2297.06807539766,1.94497553117952
"194","CLIC4",0.000392813998842963,0.945808188047451,12.6032521933582,1,2297.06807539766,1.01412816943797
"7117","ROBO3",0.000394388149105469,0.945808188047451,12.59573567471,1,2297.06807539766,4.73051885305629
"12055","SAMM50",0.000467033376643006,0.945808188047451,12.2782562585922,1,2297.06807539766,-10
"3696","MED7",0.000475271855665159,0.945808188047451,12.2454498435211,1,2297.06807539766,1.59719039000733
"5930","DPP7",0.000888375482791609,0.945808188047451,11.0758805163394,1,2297.06807539766,0.715339309839104
"6171","KAT6B",0.000918893917476708,0.945808188047451,11.0129575696859,1,2297.06807539766,0.952052074312739
"7742","POP5",0.00123256143783356,0.945808188047451,10.466932731702,1,2297.06807539766,-10
"3509","REEP5",0.00133287174885445,0.945808188047451,10.3218006855102,1,2297.06807539766,-0.96003342390862
"9959","DYNLL2",0.0013488328905401,0.945808188047451,10.2997327830095,1,2297.06807539766,1.34592043490468
"5786","MAPKAP1",0.00135364268621305,0.945808188047451,10.2931346013469,1,2297.06807539766,-0.742723947566207
"8969","ZNF500",0.00146739311275473,0.945808188047451,10.1436497115243,1,2297.06807539766,1.91785138954963
"4784","PILRA",0.00168842303692352,0.945808188047451,9.88409981614672,1,2297.06807539766,0.553137777315179
"5875","GBGT1",0.00195708960779229,0.945808188047451,9.6114917001105,1,2297.06807539766,-10
"8148","KLHL28",0.00199009138371721,0.945808188047451,9.58065684563739,1,2297.06807539766,-2.0537714715706
"2588","ANAPC13",0.00221927153993287,0.945808188047451,9.37985488614169,1,2297.06807539766,-2.35866856943681
"3646","PLAC8L1",0.00232910428425448,0.945808188047451,9.29097096963199,1,2297.06807539766,3.99008351321884
"8950","CLUAP1",0.00242822293634275,0.945808188047451,9.21433753986489,1,2297.06807539766,-10
"6634","ACP2",0.00245118107082999,0.945808188047451,9.19704081500294,1,2297.06807539766,-1.34888952917649
"6366","RGS10",0.00247423224602908,0.945808188047451,9.17983874314084,1,2297.06807539766,0.580896956293895
"4282","RWDD1",0.00248422686931476,0.945808188047451,9.1724307264525,1,2297.06807539766,-1.18526675996612
"2953","TEC",0.00268004815958993,0.945808188047451,9.03309375998477,1,2297.06807539766,-0.94896914672747
"5950","EHMT1",0.00273396125484631,0.945808188047451,8.99654564224936,1,2297.06807539766,-0.960101868475783
"1395","RMDN2",0.00292194076730111,0.945808188047451,8.8746075760919,1,2297.06807539766,1.38606395642063
"4909","TMEM209",0.00292604346871974,0.945808188047451,8.87203603923442,1,2297.06807539766,-10
"5672","TSTD2",0.00309060622385459,0.945808188047451,8.77180280243264,1,2297.06807539766,-10
"7526","IRAK3",0.00313540119785856,0.945808188047451,8.74545753376276,1,2297.06807539766,-1.27601894923139
"9839","PSME3",0.00340343851338668,0.945808188047451,8.59540013803203,1,2297.06807539766,-2.96453610761344
"351","ZFP69",0.00350661236841455,0.945808188047451,8.54082170133422,1,2297.06807539766,2.64205632906655
"2653","RAP2B",0.00362658282187073,0.945808188047451,8.47937622054679,1,2297.06807539766,-0.925160275817421
"8738","NRG4",0.00365557608438656,0.945808188047451,8.46483708808685,1,2297.06807539766,2.89173010339726
"829","MSTO1",0.00365734502409325,0.945808188047451,8.4639538274589,1,2297.06807539766,2.95485624172188
"2078","TRNT1",0.00367900710522357,0.945808188047451,8.45317272087514,1,2297.06807539766,1.33752461714177
"874","SLAMF9",0.00375039946258765,0.945808188047451,8.41809302568844,1,2297.06807539766,1.27554224343906
"11792","COL6A2",0.00390398900987628,0.945808188047451,8.34487416849311,1,2297.06807539766,2.89453037739913
"9079","KIAA0556",0.003957316891309,0.945808188047451,8.32013593237695,1,2297.06807539766,1.10015121810111
"12205","UBA1",0.00397909365003675,0.945808188047451,8.3101313893903,1,2297.06807539766,0.955683828018943
"3317","NIPBL",0.00413498358262844,0.945808188047451,8.24010131825566,1,2297.06807539766,0.451304431829887
"12474","IDH3G",0.00416834364945811,0.945808188047451,8.22546461804912,1,2297.06807539766,-1.57927316089856
"9625","SREBF1",0.00420365074286365,0.945808188047451,8.21010305820054,1,2297.06807539766,1.28853353472597
"8994","SOCS1",0.00432002779149409,0.945808188047451,8.16038407922594,1,2297.06807539766,1.94929856783675
"9064","PALB2",0.00432930854384277,0.945808188047451,8.15647804829583,1,2297.06807539766,-10
