"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4583","INHBA",3.85086097647673e-05,0.39877790647719,17.0051894781102,1,2471.03646863108,3.25816090086105
"2472","CD96",6.35958705808453e-05,0.39877790647719,16.0475603970367,1,2471.03646863108,3.89432236215493
"905","MPZ",0.000119549848596408,0.499758217082519,14.8471938598088,1,2471.03646863108,2.43552914356069
"10606","ZNF653",0.000212516723397426,0.549556786859788,13.757980294905,1,2471.03646863108,-10
"6159","USP54",0.000219104053448604,0.549556786859788,13.7003239535357,1,2471.03646863108,1.24586949589278
"8350","SPATA7",0.000321376036269014,0.556046838971829,12.9780878048799,1,2471.03646863108,0.74919736937325
"9200","HNRNPA1P48",0.000329252608238107,0.556046838971829,12.93251783042,1,2471.03646863108,1.84406521499984
"7116","MSANTD2",0.000462206471933497,0.556046838971829,12.2952481893874,1,2471.03646863108,-1.36529663567545
"4400","SERAC1",0.000463965784539158,0.556046838971829,12.2881221405785,1,2471.03646863108,0.850778141743869
"3438","LHFPL2",0.000504579906019044,0.556046838971829,12.1307894410832,1,2471.03646863108,-0.355243113456904
"3856","CD83",0.000534447442941128,0.556046838971829,12.0230462371366,1,2471.03646863108,0.594187622674626
"2457","TRMT10C",0.000538710398087463,0.556046838971829,12.0081662601467,1,2471.03646863108,-0.887857431487528
"4694","FGL2",0.000585535333845689,0.556046838971829,11.8521336328839,1,2471.03646863108,-0.38171147343211
"10021","PSMD12",0.000620736444111762,0.556046838971829,11.7429239828733,1,2471.03646863108,-0.48910497940161
"7645","BTBD11",0.00069165783301619,0.578272058923736,11.5407260129542,1,2471.03646863108,1.65127642975632
"11887","CRYBB1",0.00100010043352346,0.749030092800638,10.8533360601034,1,2471.03646863108,0.982058122961976
"2572","PIK3R4",0.00102071263634278,0.749030092800638,10.8153947668293,1,2471.03646863108,-0.925236763956259
"6341","GPAM",0.00107507708080787,0.749030092800638,10.7189289876814,1,2471.03646863108,1.52214098268638
"12156","ADGRG2",0.0012592727445546,0.811638561876148,10.4253252542885,1,2471.03646863108,-10
"9798","TOP2A",0.00130319403820495,0.811638561876148,10.361751920184,1,2471.03646863108,3.47139925085278
"6053","PARD3",0.00137106385003508,0.811638561876148,10.267661973165,1,2471.03646863108,2.20447895641665
"9615","ZNF624",0.00151336369520269,0.811638561876148,10.0848322967833,1,2471.03646863108,1.03967250924109
"1115","ATF3",0.00156024861292056,0.811638561876148,10.0283917689169,1,2471.03646863108,0.536498608984998
"8494","RASGRP1",0.00179600900394193,0.811638561876148,9.76837952080568,1,2471.03646863108,4.83622469633319
"2673","SMC4",0.00180118768971351,0.811638561876148,9.76306477873947,1,2471.03646863108,0.644784816479336
"10444","MFSD12",0.00181022241917734,0.811638561876148,9.75382968101574,1,2471.03646863108,-0.425596941600581
"4473","FSCN1",0.00198508476680254,0.811638561876148,9.58374824259297,1,2471.03646863108,-2.50628338760605
"5340","DEPTOR",0.00208869239528022,0.811638561876148,9.49000574766913,1,2471.03646863108,1.49740270144359
"321","MEAF6",0.00231347090376332,0.811638561876148,9.30189234222228,1,2471.03646863108,-0.60419197310927
"7447","GDF11",0.00235934645820072,0.811638561876148,9.26578723822454,1,2471.03646863108,2.34129783248064
"9139","ITGAL",0.00243859979437503,0.811638561876148,9.20506082205962,1,2471.03646863108,-1.22756214336469
"1189","C1orf198",0.00244973406767149,0.811638561876148,9.19669032461878,1,2471.03646863108,-10
"9729","CCL8",0.00254660229629807,0.811638561876148,9.12545643164147,1,2471.03646863108,0.634861953988531
"9905","SKAP1",0.00256799846947158,0.811638561876148,9.11009368981931,1,2471.03646863108,2.29652027771105
"10105","SRSF2",0.0026029300468068,0.811638561876148,9.08528961404924,1,2471.03646863108,-0.610656625431112
"10943","PSMC4",0.00261720926837244,0.811638561876148,9.0752475035472,1,2471.03646863108,-0.672559006457731
"8727","C15orf39",0.00263231888618855,0.811638561876148,9.06468183077586,1,2471.03646863108,0.862157450660311
"7240","KLRB1",0.00263310668172077,0.811638561876148,9.06413264172345,1,2471.03646863108,3.51374671365312
"11608","ATP9A",0.00263322932350205,0.811638561876148,9.06404716054069,1,2471.03646863108,3.13419016415742
"9037","ACSM5",0.00265929170042632,0.811638561876148,9.04597286640586,1,2471.03646863108,-1.37435683239172
"4339","CCDC28A",0.00270621271591017,0.811638561876148,9.01388214553942,1,2471.03646863108,0.471974425458368
"1040","TMEM9",0.00271818990501541,0.811638561876148,9.00578113880485,1,2471.03646863108,0.808084996286472
"12330","HMGN5",0.00287302863585047,0.815545524006671,8.9042008191581,1,2471.03646863108,0.58333405655543
"6962","SYTL2",0.00304633799444703,0.815545524006671,8.79690291807305,1,2471.03646863108,2.27377025544175
"11522","MANBAL",0.00307819657088456,0.815545524006671,8.77785580943258,1,2471.03646863108,-0.805352406202258
"546","LMO4",0.00310466102380296,0.815545524006671,8.76218543687454,1,2471.03646863108,-0.418063036563411
"11342","C20orf96",0.00314312259009339,0.815545524006671,8.73965169031017,1,2471.03646863108,0.904539382560357
"4099","KLC4",0.00318202296849477,0.815545524006671,8.71714427111163,1,2471.03646863108,-1.52699982738427
"10622","ZNF625",0.00318648677747603,0.815545524006671,8.71457946508785,1,2471.03646863108,0.842820096705461
"3041","ABRAXAS1",0.00329867522519072,0.827373719982336,8.65129099771514,1,2471.03646863108,-0.833878073367348
"3470","ADGRV1",0.00345325911046247,0.83796713204056,8.56758303298598,1,2471.03646863108,2.42805521326904
"8428","PPP1R13B",0.00353204000271073,0.83796713204056,8.52637783375808,1,2471.03646863108,-10
"8700","SENP8",0.00358236364441059,0.83796713204056,8.50054338643155,1,2471.03646863108,1.47750156629613
"1934","KLF7",0.00363171751517412,0.83796713204056,8.4755630029998,1,2471.03646863108,0.399182606658392
"10490","NDUFA11",0.00367500137646366,0.83796713204056,8.45393766466987,1,2471.03646863108,-0.333890770453872
"11124","FLT3LG",0.0038139639139273,0.854123597224327,8.38622171896053,1,2471.03646863108,-2.96402801292228
"6014","NSUN6",0.00417242757033609,0.917621768074224,8.22251979914632,1,2471.03646863108,0.541727050414814
"7443","TESPA1",0.00427659667387935,0.917621768074224,8.17762821984685,1,2471.03646863108,3.98758619836443
"3028","HNRNPDL",0.00431701493631921,0.917621768074224,8.16050924400568,1,2471.03646863108,-0.373388102150037
"1402","DHX57",0.00452373592367825,0.927828456717397,8.07543113855249,1,2471.03646863108,-0.716450648847851
"3590","PKD2L2",0.0046425056749727,0.927828456717397,8.02832447322678,1,2471.03646863108,1.2330440395357
