"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9171","ITGAM",7.65860899803258e-08,0.000960466154443266,29.0753886199073,1,2346.01716873935,-2.51447382995311
"7285","PLEKHA5",5.93807838956374e-05,0.372347205417595,16.1812804719824,1,2346.01716873935,1.15925844406868
"8000","ARGLU1",0.000184783296877625,0.580658555962951,14.0245516782768,1,2346.01716873935,-0.777975630212883
"1553","M1AP",0.000281920190952276,0.580658555962951,13.2268073550503,1,2346.01716873935,1.97068811720647
"103","MTHFR",0.000298100597161218,0.580658555962951,13.1216378528236,1,2346.01716873935,0.95343392381194
"5952","DIP2C",0.000320185448876646,0.580658555962951,12.9870292867672,1,2346.01716873935,1.6175359943595
"8203","TMEM260",0.000394756481199234,0.580658555962951,12.5932049815382,1,2346.01716873935,0.832663965110337
"2010","FBXO36",0.000420477381263583,0.580658555962951,12.4746256943937,1,2346.01716873935,-10
"6088","TIMM23B",0.000503273881189352,0.580658555962951,12.137363314746,1,2346.01716873935,2.53885603742201
"2867","TADA2B",0.000528235409970822,0.580658555962951,12.0466377168861,1,2346.01716873935,1.19796899271899
"5875","GBGT1",0.000578096418217016,0.580658555962951,11.8777074960363,1,2346.01716873935,1.18781353235222
"10114","AFMID",0.000615376492325183,0.580658555962951,11.7607585824835,1,2346.01716873935,0.89273884587722
"9697","ABHD15",0.000647018619087437,0.580658555962951,11.6669825236469,1,2346.01716873935,-10
"11845","SNAP29",0.000648211449125374,0.580658555962951,11.6635386972118,1,2346.01716873935,-0.929056529974354
"8162","NEMF",0.00080204410296124,0.64689376580525,11.2658543089608,1,2346.01716873935,0.490678386390276
"2933","RHOH",0.000943597495319271,0.64689376580525,10.9629583663611,1,2346.01716873935,-3.37403221256289
"2177","CMTM8",0.00098947599640818,0.64689376580525,10.8745934325086,1,2346.01716873935,1.75784754478897
"11411","MACROD2",0.000991781997264986,0.64689376580525,10.8702620488174,1,2346.01716873935,2.36542280569444
"9318","DDX19A",0.00100668900190172,0.64689376580525,10.8425056246503,1,2346.01716873935,-1.89017491716991
"11822","C22orf39",0.00103164622566821,0.64689376580525,10.7969542124039,1,2346.01716873935,-1.76257034155757
"2975","NOA1",0.00119819649598501,0.715551536007048,10.5188707034144,1,2346.01716873935,-3.09046956588182
"9215","MT1E",0.001313237840992,0.716920269432662,10.3487839370606,1,2346.01716873935,1.90779374655155
"2702","TBL1XR1",0.00131482068391286,0.716920269432662,10.3465504809599,1,2346.01716873935,0.442716581615247
"2932","N4BP2",0.00147496924623316,0.755585964473403,10.1336028810821,1,2346.01716873935,-1.63808694583388
"11389","SLC23A2",0.0016275931792504,0.755585964473403,9.95143351864427,1,2346.01716873935,0.416271873326933
