"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11784","ITGB2",1.34183721416299e-12,1.6827980502818e-08,50.8138623927912,1,2373.72904294481,-0.975845570963467
"7956","DACH1",7.87876897703795e-08,0.000494038208705165,29.0176438124535,1,2373.72904294481,5.27604458116423
"673","CD58",1.87802907061247e-05,0.0785078752485032,18.3838284064706,1,2373.72904294481,0.66173292913088
"8635","RORA",4.04325678888444e-05,0.107148435110918,16.9145011980727,1,2373.72904294481,2.35003511811524
"3883","RIPOR2",4.27192548883336e-05,0.107148435110918,16.8093405853275,1,2373.72904294481,1.54470348204478
"2087","SRGAP3",0.000104601155451004,0.218633848418507,15.1027992932546,1,2373.72904294481,1.36351690180348
"6681","MS4A6E",0.000183090209382996,0.328019187981736,14.0414408718291,1,2373.72904294481,1.96399152691115
"4700","MAGI2",0.000342004979071685,0.500049385558728,12.8624980945133,1,2373.72904294481,1.36616371663722
"9123","YPEL3",0.000358858501716653,0.500049385558728,12.7720094451824,1,2373.72904294481,0.693475782263216
"5380","AGO2",0.000400496634317515,0.502206062820566,12.5656553295843,1,2373.72904294481,-0.97365280471919
"4278","DSE",0.00053617035990431,0.502206062820566,12.0183137962004,1,2373.72904294481,0.593499982881889
"12465","NSDHL",0.000615918570991568,0.502206062820566,11.7587386108317,1,2373.72904294481,-10
"5367","LRRC6",0.000627814443455306,0.502206062820566,11.722957434185,1,2373.72904294481,1.17002516445425
"5090","EGR3",0.000641443623091665,0.502206062820566,11.6827955139618,1,2373.72904294481,3.11768524448851
"6705","RAB3IL1",0.000676928744707172,0.502206062820566,11.5821452493436,1,2373.72904294481,-1.45418225851912
"5888","VAV2",0.000700363086767982,0.502206062820566,11.5185590218779,1,2373.72904294481,0.785127421451762
"11196","ZNF83",0.000706263137443978,0.502206062820566,11.5028888784191,1,2373.72904294481,0.678291533057851
"7108","CLMP",0.000720812465574531,0.502206062820566,11.4648054932457,1,2373.72904294481,2.75176534146715
"7162","ADIPOR2",0.000885901046065575,0.553309050993636,11.0801380405938,1,2373.72904294481,0.594455572372205
"697","PIAS3",0.000894831914438124,0.553309050993636,11.0614514016539,1,2373.72904294481,-10
"10557","ZNF846",0.000938219956004051,0.553309050993636,10.9732728726197,1,2373.72904294481,-1.04633270049789
"8994","SOCS1",0.00104716310830848,0.553309050993636,10.7688770923511,1,2373.72904294481,1.53325651517338
"4154","KHDRBS2",0.0010791179848823,0.553309050993636,10.7129964978371,1,2373.72904294481,2.04131322889376
"9600","PMP22",0.00108642902929635,0.553309050993636,10.7004469748776,1,2373.72904294481,-0.524150496731521
"508","ZRANB2",0.00116667322981721,0.553309050993636,10.5680675953908,1,2373.72904294481,0.475617958465873
"8145","MIA2",0.00118240498340975,0.553309050993636,10.5431984808968,1,2373.72904294481,0.53375844058527
"4264","RPF2",0.00119727186543583,0.553309050993636,10.5200026002686,1,2373.72904294481,-1.734264183372
"4305","CENPW",0.00123536029246646,0.553309050993636,10.4618813645728,1,2373.72904294481,-3.13678122518965
"7825","ZNF10",0.0013633092028168,0.565133689248426,10.2791312964074,1,2373.72904294481,1.15731544396168
"5468","PDCD1LG2",0.00143054511415572,0.565133689248426,10.1899474371023,1,2373.72904294481,-1.14880287459184
"3572","CDKL3",0.00149716196389928,0.565133689248426,10.1056787944229,1,2373.72904294481,1.08257455024945
"6906","MRPL48",0.00151763340087265,0.565133689248426,10.0805449207107,1,2373.72904294481,-2.47652155496269
"11144","TBC1D17",0.00153978504059919,0.565133689248426,10.0537323504761,1,2373.72904294481,1.02172693055772
"2618","GK5",0.00160339571341531,0.565133689248426,9.97885726399826,1,2373.72904294481,-1.42472576411471
"11926","SELENOM",0.00160800664158261,0.565133689248426,9.97354741090294,1,2373.72904294481,0.706964153760395
"10837","ZNF181",0.00164727371332295,0.565133689248426,9.92894390356908,1,2373.72904294481,-10
"11258","ISOC2",0.00175288849866048,0.565133689248426,9.81412526468715,1,2373.72904294481,-1.74701075726952
"5157","ADAM9",0.00177409247879392,0.565133689248426,9.79192075557063,1,2373.72904294481,-0.40938809986717
"11565","ACOT8",0.00181908964402596,0.565133689248426,9.74567878871144,1,2373.72904294481,0.946362013309469
"11811","MICAL3",0.00186500635696618,0.565133689248426,9.69967269243024,1,2373.72904294481,-3.16002249443075
"8078","NGDN",0.00187186589470517,0.565133689248426,9.69289859917881,1,2373.72904294481,1.04349245387539
"3012","NUP54",0.0019167303658971,0.565133689248426,9.64920447020427,1,2373.72904294481,-1.18764249799737
"4585","C7orf25",0.00193770422116915,0.565133689248426,9.62913241036633,1,2373.72904294481,-10
"5501","TUSC1",0.00206916839956721,0.582208034841564,9.50813242440744,1,2373.72904294481,-10
"2907","SEL1L3",0.00208909668829203,0.582208034841564,9.49047415466422,1,2373.72904294481,0.852823410053058
"11184","ZNF841",0.00222262148153061,0.605954260866857,9.37639519764764,1,2373.72904294481,1.584787592213
"3746","RNF44",0.0023440631351096,0.616103180685546,9.27852597448436,1,2373.72904294481,1.10694197800984
"7135","FLI1",0.00235810164045182,0.616103180685546,9.2675459137432,1,2373.72904294481,0.307178053819715
"6895","PDE2A",0.00268923073643838,0.680879607309212,9.02618076105854,1,2373.72904294481,-10
"6567","FANCF",0.00271461449369752,0.680879607309212,9.00894277673812,1,2373.72904294481,-10
"293","ZSCAN20",0.0028743207454166,0.706801107220972,8.90410748115328,1,2373.72904294481,-10
"4611","PKD1L1",0.00302853563644539,0.730401258012723,8.8083505978022,1,2373.72904294481,1.44196119491678
"9788","GSDMA",0.00319058465516793,0.745133315115975,8.71292938135578,1,2373.72904294481,-10
"11760","ABCG1",0.00323055752153033,0.745133315115975,8.69014952059679,1,2373.72904294481,0.717006929658695
"5558","RNF38",0.00326786797953741,0.745133315115975,8.66914410896521,1,2373.72904294481,-0.435954483869662
"8779","RAMAC",0.00354403525282494,0.772178435974432,8.52085828818898,1,2373.72904294481,-2.27185915077823
"6282","MRPL43",0.00356100018646404,0.772178435974432,8.51213621235155,1,2373.72904294481,-0.958675596663043
"3321","RICTOR",0.0035952111419146,0.772178435974432,8.49467542902314,1,2373.72904294481,0.324430172993602
"8677","SMAD3",0.00363276674288266,0.772178435974432,8.47570121596436,1,2373.72904294481,1.13031730943925
"8245","MPP5",0.00374675682419789,0.783134622204429,8.41930937699399,1,2373.72904294481,0.457280733935414
"5617","RMI1",0.00404335912774141,0.806277782995136,8.28038905663546,1,2373.72904294481,-1.13716049706346
"2700","NLGN1",0.00405162810486997,0.806277782995136,8.2766664089479,1,2373.72904294481,3.92482983671633
"9189","SIAH1",0.00412780420924582,0.806277782995136,8.24273188366596,1,2373.72904294481,0.766692186586322
"1715","POLR2D",0.00427530475313738,0.806277782995136,8.17880023297715,1,2373.72904294481,-1.69619302369845
"5952","DIP2C",0.0043019197319717,0.806277782995136,8.16750406232773,1,2373.72904294481,-2.9861713868708
"7560","OSBPL8",0.00430217355810517,0.806277782995136,8.16739667420355,1,2373.72904294481,0.327226731274014
"10822","CEP89",0.00436626325521283,0.806277782995136,8.14048629126597,1,2373.72904294481,-1.60146373314848
"10221","CHMP1B",0.00438979169687781,0.806277782995136,8.13070788875096,1,2373.72904294481,0.5438912882896
"11146","NUP62",0.00443916006613752,0.806277782995136,8.11036285248398,1,2373.72904294481,-0.694241893981063
"5760","GSN",0.00462682726089915,0.806277782995136,8.03507367026932,1,2373.72904294481,-0.401132478594116
"6218","HECTD2",0.00470229995798775,0.806277782995136,8.00566901787774,1,2373.72904294481,-0.937649477945504
"11783","PTTG1IP",0.00481053672853539,0.806277782995136,7.96432832456737,1,2373.72904294481,0.339232475398854
"5313","ATP6V1C1",0.00485537368559723,0.806277782995136,7.94748004971159,1,2373.72904294481,-0.434765578350929
"7163","CACNA2D4",0.00485947057809346,0.806277782995136,7.94594848691425,1,2373.72904294481,-1.01496358660342
"5631","SECISBP2",0.00488594222651907,0.806277782995136,7.93608407451712,1,2373.72904294481,0.608563339677502
"7251","GABARAPL1",0.00493892331239275,0.806277782995136,7.91650379678099,1,2373.72904294481,0.512191937178186
"11744","VPS26C",0.00498421167795991,0.806277782995136,7.89993556441088,1,2373.72904294481,0.553829998282289
"1576","USP39",0.0050147250676677,0.806277782995136,7.88885892053101,1,2373.72904294481,0.668722929141155
"9357","WWOX",0.00512807681478334,0.81406596625567,7.84830468536237,1,2373.72904294481,0.473827012396507
"9894","TBKBP1",0.00521584987517009,0.817649666056351,7.81752500608819,1,2373.72904294481,0.969787101146367
"1445","ERLEC1",0.00533686175075401,0.826291150817358,7.77594476336578,1,2373.72904294481,-0.785401985469944
"11942","LARGE1",0.00547111477357763,0.836746955798013,7.73092570796159,1,2373.72904294481,2.35822075174296
"4318","VNN2",0.00565743244270308,0.842370254709908,7.67028112706936,1,2373.72904294481,0.985539883617797
