"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9215","MT1E",6.64866034105083e-07,0.00833808493371185,24.8505960279791,1,2341.37177571237,2.90011076519837
"7923","ITM2B",1.63816662264096e-06,0.0102721238072701,23.0966578080452,1,2341.37177571237,-0.501107953426593
"9220","MT1X",2.12816244656325e-05,0.0889642841411655,18.1448221092111,1,2341.37177571237,1.66805443669348
"30","SLC35E2B",0.000157596723786849,0.458688534731999,14.3258977462162,1,2341.37177571237,-3.44611878995298
"2616","ATP1B3",0.000182875581983892,0.458688534731999,14.0442737600903,1,2341.37177571237,0.694283364312349
"4955","CLEC5A",0.000340051500643894,0.550017641753113,12.8737955128923,1,2341.37177571237,-2.21525296411261
"4397","ZDHHC14",0.000342354851418944,0.550017641753113,12.8610923485177,1,2341.37177571237,0.768603686205341
"9199","CYLD",0.000364429502489315,0.550017641753113,12.7435480429653,1,2341.37177571237,-0.752832149272197
"6172","SAMD8",0.000394718026933898,0.550017641753113,12.5934603211466,1,2341.37177571237,-0.954869754817946
"4451","MAD1L1",0.000455621313823086,0.571394689665532,12.3240036564604,1,2341.37177571237,-0.924954013014233
"1198","TSNAX",0.000751845423635696,0.817671297261257,11.3865182288513,1,2341.37177571237,0.672010718631245
"12332","HDX",0.000783446263986716,0.817671297261257,11.3096811826066,1,2341.37177571237,-1.51375751718943
"11753","DSCAM",0.00084759802762111,0.817671297261257,11.1628990742876,1,2341.37177571237,4.63362636459631
"8855","AXIN1",0.00103872419421496,0.930474294260697,10.7842922146622,1,2341.37177571237,1.14475043621583
"11994","CBX6",0.00120149243200445,0.930753001577414,10.5138225926819,1,2341.37177571237,0.773142518397642
"9236","CSNK2A2",0.00136881405595359,0.930753001577414,10.2720004030608,1,2341.37177571237,0.798759993887597
"5732","CDC26",0.00144613033024739,0.930753001577414,10.1702117074234,1,2341.37177571237,-1.01759689266194
"10096","UBE2O",0.00149056825079817,0.930753001577414,10.1141752935993,1,2341.37177571237,-1.54359476960172
"7720","FBXO21",0.00150391336091429,0.930753001577414,10.0976772698333,1,2341.37177571237,-1.56031605664669
"6408","BNIP3",0.00160623463150036,0.930753001577414,9.97590455486471,1,2341.37177571237,-0.830425340019673
"5604","VPS13A",0.00169159983895634,0.930753001577414,9.88018367053913,1,2341.37177571237,0.826481462899523
"4857","PNPLA8",0.0017702126225775,0.930753001577414,9.79627101869296,1,2341.37177571237,-0.938490924593269
"5079","NUDT18",0.00184310386027373,0.930753001577414,9.72177586394156,1,2341.37177571237,-10
"7621","NT5DC3",0.00194770331027296,0.930753001577414,9.6199377612644,1,2341.37177571237,3.30292633864005
"4327","AHI1",0.00194775792155861,0.930753001577414,9.61988605391362,1,2341.37177571237,-1.04281601677663
"8446","CRIP1",0.00222984833751978,0.930753001577414,9.37070342588336,1,2341.37177571237,0.976899844154376
"9603","TRIM16",0.00228229979869695,0.930753001577414,9.32792020418274,1,2341.37177571237,1.72732370692582
