"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1061","CHIT1",6.51611674321312e-18,8.17186200766358e-14,75.5573704464614,1,2361.27236619142,2.92118601462356
"254","LAPTM5",4.56935943353578e-11,2.86521683279861e-07,43.7631966413307,1,2361.27236619142,-0.448387407205119
"5322","ZFPM2",1.22028528682233e-07,0.000510119926067962,28.1611860300048,1,2361.27236619142,2.54159638754313
"11941","TIMP3",5.21599380662173e-07,0.00163534445822108,25.3223989993419,1,2361.27236619142,1.69450452640235
"2783","TM4SF19",1.73631208537034e-05,0.0435501797252588,18.5349203891362,1,2361.27236619142,1.50065146418343
"11510","MYL9",2.96925481940348e-05,0.062062374483565,17.5056646564162,1,2361.27236619142,3.64393555566627
"8752","WDR61",5.48344641087833e-05,0.0982398591983216,16.3328575631411,1,2361.27236619142,-2.23593059213359
"3316","SLC1A3",6.85913977671237e-05,0.101578023088118,15.9060021870342,1,2361.27236619142,0.853439579280051
"934","MPZL1",7.28970742200036e-05,0.101578023088118,15.790016845684,1,2361.27236619142,0.709696242083417
"9922","ITGA3",9.33910715145991e-05,0.117121742786459,15.3185293544865,1,2361.27236619142,2.14684695681501
"5152","FGFR1",0.000119256879189461,0.135963683810458,14.8540604878776,1,2361.27236619142,1.58706644866645
"4415","SLC22A1",0.000133647250928048,0.139672514490721,14.6379132364169,1,2361.27236619142,-10
"6635","NR1H3",0.00018139713216313,0.174992418035216,14.0592512643265,1,2361.27236619142,0.872988355061068
"1914","SUMO1",0.000222014819044718,0.198877703259986,13.6772867267969,1,2361.27236619142,-0.707353496174354
"11818","ESS2",0.000264325608423953,0.220993830349653,13.3480517643706,1,2361.27236619142,-10
"6325","SLK",0.000345041510167517,0.256074938782601,12.8460641127436,1,2361.27236619142,0.691082045357878
"8212","KIAA0586",0.00035937058932445,0.256074938782601,12.769522678157,1,2361.27236619142,-1.4667836581286
"5711","TMEM245",0.000367542372863952,0.256074938782601,12.7272392945313,1,2361.27236619142,-0.922330145406259
"12483","FLNA",0.000496190630799744,0.321913506447858,12.1637171986259,1,2361.27236619142,0.737718657118429
"11519","RBL1",0.000513377731357719,0.321913506447858,12.0998856903385,1,2361.27236619142,1.05523864428711
"12150","REPS2",0.000549600661734492,0.328216280895822,11.9721456467641,1,2361.27236619142,-1.17742338026903
"10425","GADD45B",0.000633083078258676,0.360886131111002,11.7074935868563,1,2361.27236619142,-1.80411475201777
"7536","CPM",0.000679565046672415,0.368515459634307,11.575043306319,1,2361.27236619142,0.555571966425003
"9229","COQ9",0.000705236506755711,0.368515459634307,11.5057656787949,1,2361.27236619142,-2.16680916920978
"6140","CDH23",0.000814648621360164,0.395087874087733,11.2365815190695,1,2361.27236619142,1.16978828271818
"11891","CHEK2",0.00081909614275425,0.395087874087733,11.2264281291666,1,2361.27236619142,1.19822067053551
"9990","METTL2A",0.000980130221792303,0.455252337462862,10.8920747900637,1,2361.27236619142,-10
"9847","BRCA1",0.00104447455994573,0.467812694867122,10.7737978929881,1,2361.27236619142,1.24499341063304
"5121","HMBOX1",0.00108535310462488,0.469359078796572,10.7024274393773,1,2361.27236619142,0.541103051248859
"8856","MRPL28",0.00113534410199874,0.474611679438875,10.6187580342374,1,2361.27236619142,-1.04775162017872
"5529","FAM219A",0.00117749541172053,0.476353869625392,10.5510587604987,1,2361.27236619142,0.947212007125594
"899","USP21",0.00138696170230365,0.521225005905529,10.2473874763952,1,2361.27236619142,2.14069206175204
"2416","MITF",0.00138957983625812,0.521225005905529,10.243893361879,1,2361.27236619142,0.429216924168337
"8571","C15orf48",0.00141309705771374,0.521225005905529,10.212803488991,1,2361.27236619142,0.564594364951997
"3265","SLC9A3",0.0014632844832746,0.524315734421335,10.1481727222035,1,2361.27236619142,3.26257456084375
"5439","RECQL4",0.00159871354980031,0.550154399103628,9.98438674145188,1,2361.27236619142,3.36064552173984
"667","SIKE1",0.00162313314463234,0.550154399103628,9.95635685591187,1,2361.27236619142,-0.953472528552306
"10827","CEBPA",0.00173472519168207,0.565489242260673,9.83348154844729,1,2361.27236619142,0.899173731972539
"709","FMO5",0.00175855836441801,0.565489242260673,9.80827895758958,1,2361.27236619142,-10
"1875","STK17B",0.00182914648041146,0.573483150271002,9.73561843032416,1,2361.27236619142,-0.735280999508564
"11824","UFD1",0.00202360937716713,0.618977687781781,9.54927064358584,1,2361.27236619142,-0.924442113659395
"1317","DNMT3A",0.00217439998160267,0.629457889201263,9.4168801727781,1,2361.27236619142,0.863340194405524
"7399","TFCP2",0.00222384579232372,0.629457889201263,9.37548966555505,1,2361.27236619142,-0.648847532915156
"10763","TMEM161A",0.00225709340445291,0.629457889201263,9.34818044976388,1,2361.27236619142,-10
"6735","SLC3A2",0.00226996589006611,0.629457889201263,9.33771664714608,1,2361.27236619142,0.522609312512151
"5870","AK8",0.0023088320630937,0.629457889201263,9.30648478942946,1,2361.27236619142,1.98428114498032
"11283","ZNF264",0.00248884082781972,0.664096868546535,9.16846983484884,1,2361.27236619142,0.864779304037127
"1953","MREG",0.0026735638946148,0.687322372565788,9.03700342762108,1,2361.27236619142,1.20103318708616
"2620","ATR",0.00268549527595276,0.687322372565788,9.02883195497589,1,2361.27236619142,0.554590374611592
"457","TMEM59",0.00277794741371903,0.696764770309006,8.96673710425661,1,2361.27236619142,-0.430699811590522
"3452","RASGRF2",0.00289215486799854,0.70234407480602,8.89286770786503,1,2361.27236619142,4.21329390704233
"6123","DDX21",0.00293319429127568,0.70234407480602,8.86704538886913,1,2361.27236619142,0.837533314183474
"4811","COL26A1",0.00299807147510627,0.70234407480602,8.82696409913236,1,2361.27236619142,3.10632053182982
"3151","SLC7A11",0.00302420700418827,0.70234407480602,8.81106608711421,1,2361.27236619142,0.845030533339058
"3532","PPIC",0.0032257915630822,0.721820455514065,8.69294400147775,1,2361.27236619142,0.916207796206756
"5133","WRN",0.00324783557639565,0.721820455514065,8.68048492840376,1,2361.27236619142,0.878665793650384
"10964","MIA",0.00328540605012474,0.721820455514065,8.6594473400864,1,2361.27236619142,3.83819350239337
"10843","HPN",0.00341332965457873,0.721820455514065,8.58960825217472,1,2361.27236619142,3.01301045844774
"11584","NCOA3",0.00343073993715563,0.721820455514065,8.58030964541611,1,2361.27236619142,-0.408384530850368
"6940","AQP11",0.00352836158930423,0.721820455514065,8.52904455674848,1,2361.27236619142,2.53540385124686
"8218","RTN1",0.00357279766105311,0.721820455514065,8.50618550775701,1,2361.27236619142,0.88972389532606
