"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3874","PRL",1.17518169443152e-06,0.0147379536298657,23.739942453992,1,2381.26726405553,4.11597446035077
"1832","OSBPL6",1.36281657275345e-05,0.0854554131945052,18.999849910289,1,2381.26726405553,4.02556149125145
"69","TNFRSF9",2.09545073184435e-05,0.0875968254268665,18.1733071565583,1,2381.26726405553,2.20296753036991
"4583","INHBA",7.42733521075295e-05,0.201294883442416,15.7539254444888,1,2381.26726405553,3.62398279681407
"6870","GAL",8.0254717902247e-05,0.201294883442416,15.6064649645633,1,2381.26726405553,2.48133208705611
"4702","CD36",0.000145592082926444,0.304311718663422,14.4752206415028,1,2381.26726405553,0.425928590239013
"1435","CALM2",0.000179195039588873,0.321040713069151,14.0819836099593,1,2381.26726405553,-0.328238305024675
"68","PER3",0.000222498969172884,0.348794946549643,13.6728161764424,1,2381.26726405553,0.805689097061349
"837","SSR2",0.00034508703740075,0.373176738275487,12.8455001305653,1,2381.26726405553,-0.663709480437104
"5247","FABP4",0.000347025133273529,0.373176738275487,12.8349636655194,1,2381.26726405553,1.18442351090853
"3322","FYB1",0.000424928528244184,0.373176738275487,12.4543227956812,1,2381.26726405553,-0.317849917151155
"4617","COBL",0.000432475922789469,0.373176738275487,12.4212680590111,1,2381.26726405553,2.88407994954547
"7011","GUCY1A2",0.000434639326573532,0.373176738275487,12.411900531651,1,2381.26726405553,3.01391555644715
"9296","SLC7A6",0.000434697574694031,0.373176738275487,12.4116489689558,1,2381.26726405553,1.11878943092887
"4746","LMTK2",0.000446348064279747,0.373176738275487,12.362004944208,1,2381.26726405553,1.70183084050711
"6402","INSYN2A",0.000526987802880822,0.413059627245524,12.0505730061203,1,2381.26726405553,2.75922989343647
"9035","KNOP1",0.00059273295930587,0.437262590744407,11.8304294554978,1,2381.26726405553,-2.53719613554064
"7149","VPS26B",0.000716644298110396,0.491169665320285,11.4755404752891,1,2381.26726405553,-1.40797696571251
"8985","C16orf72",0.000744137121528221,0.491169665320285,11.405250825225,1,2381.26726405553,-1.2287071133362
"2803","RPL35A",0.000830116268100176,0.520524405912215,11.2012655702676,1,2381.26726405553,-0.324781688174282
