"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3116","FAM241A",2.32744684067051e-06,0.0291885108288489,22.4088864677873,1,2481.19997713493,1.18018662465098
"11451","ZNF337",9.69153141418591e-05,0.317558113479948,15.2455744676918,1,2481.19997713493,-1.79790741292434
"4747","TECPR1",0.000131450788818061,0.317558113479948,14.6669943109865,1,2481.19997713493,-1.58170083340961
"835","KHDC4",0.00014715293830656,0.317558113479948,14.453126521943,1,2481.19997713493,-1.18562818364331
"9415","SPG7",0.000159049585164364,0.317558113479948,14.3058851556781,1,2481.19997713493,-0.587816360569012
"2549","PLXNA1",0.000172421456700117,0.317558113479948,14.1530902238469,1,2481.19997713493,-3.43884363790775
"3165","IL15",0.000177251159744808,0.317558113479948,14.1008233080952,1,2481.19997713493,0.548158768551249
"2447","FILIP1L",0.000211661774167995,0.331806288730104,13.7654269403603,1,2481.19997713493,-2.15857520340797
"6103","TMEM26",0.000289157109146883,0.400704483185386,13.1768693643374,1,2481.19997713493,0.561331901432966
"367","P3H1",0.000323356080120631,0.400704483185386,12.9663771760882,1,2481.19997713493,-1.27478638383919
"6276","PKD2L1",0.000351467133006877,0.400704483185386,12.8095431832221,1,2481.19997713493,0.859715073229214
"5844","IER5L",0.000424296757718937,0.432002514195958,12.4557010837166,1,2481.19997713493,-0.615241176991591
"8390","DICER1",0.000447813785547202,0.432002514195958,12.3544587955005,1,2481.19997713493,-0.39881479354932
"5686","NR4A3",0.000495772307940864,0.444105750991884,12.1636618410725,1,2481.19997713493,-10
"7760","HPD",0.000558679766498594,0.467093530110591,11.939882233851,1,2481.19997713493,2.46119595583178
"11040","GEMIN7",0.000684801921240468,0.536756305892294,11.5592145102823,1,2481.19997713493,-1.79851494913225
"4249","CD164",0.000834482381768245,0.58313470609834,11.1903330181797,1,2481.19997713493,-0.320700465329487
"5788","MVB12B",0.000836968719382036,0.58313470609834,11.1847877109036,1,2481.19997713493,0.498050896126274
"10444","MFSD12",0.00105114196344604,0.671857305745712,10.7606724261502,1,2481.19997713493,-0.446751388935762
"10627","ZNF799",0.0010714573092189,0.671857305745712,10.7250928077933,1,2481.19997713493,-10
"5309","RRM2B",0.00135704103902219,0.74421506662212,10.2866134349113,1,2481.19997713493,-0.490481884113273
"6513","RPL27A",0.00136654026430688,0.74421506662212,10.2736889489726,1,2481.19997713493,-0.240179598365086
"10430","THOP1",0.00141924109158801,0.74421506662212,10.2035986122025,1,2481.19997713493,-2.08950672739529
"9727","CCL2",0.0014242214814553,0.74421506662212,10.1971117630797,1,2481.19997713493,0.542002482638303
"12301","IL2RG",0.00179825314344215,0.817901977517876,9.76598746406425,1,2481.19997713493,-0.808005990655173
"9713","EVI2B",0.00186666391577758,0.817901977517876,9.69708800242939,1,2481.19997713493,-0.330188481039657
"3856","CD83",0.00193329159018247,0.817901977517876,9.6324034592372,1,2481.19997713493,-0.700452508742783
"6209","IFIT2",0.00215089438207045,0.817901977517876,9.43588578582794,1,2481.19997713493,0.307102917028614
"5392","ZFP41",0.00218192697956965,0.817901977517876,9.4095165896867,1,2481.19997713493,1.45678095616263
"6599","CD44",0.00218693875556663,0.817901977517876,9.40529368621658,1,2481.19997713493,-0.339492297845569
"6993","MAML2",0.00221039833721099,0.817901977517876,9.38565645256791,1,2481.19997713493,0.222469803937514
"2753","RFC4",0.00231002821311204,0.817901977517876,9.30455168564791,1,2481.19997713493,1.20697999382443
"2596","NCK1",0.00232550621435363,0.817901977517876,9.29227122134502,1,2481.19997713493,-0.498832409716006
"12483","FLNA",0.00240403640307184,0.817901977517876,9.23121603415411,1,2481.19997713493,-0.613401273448816
"10432","ZNF555",0.00247409975121238,0.817901977517876,9.17842938816389,1,2481.19997713493,1.36713377342263
"5602","GCNT1",0.00248590354663757,0.817901977517876,9.16968590314863,1,2481.19997713493,0.398970532219303
"11224","MBOAT7",0.00271949839133659,0.817901977517876,9.0048237166843,1,2481.19997713493,-0.66617090238531
"11594","SPATA2",0.0027229210455533,0.817901977517876,9.00251656376411,1,2481.19997713493,1.37944134144413
"1070","RBBP5",0.00278051880966895,0.817901977517876,8.96412684604731,1,2481.19997713493,-0.812541222604267
"9735","RAD51D",0.00281789621776567,0.817901977517876,8.93964423233243,1,2481.19997713493,-1.8127781493302
"12445","SLC9A6",0.00289369811307012,0.817901977517876,8.89099069680775,1,2481.19997713493,-0.799535981133561
"552","GBP1",0.00309251036941499,0.817901977517876,8.76929232047728,1,2481.19997713493,0.34214898216272
"3016","SEPTIN11",0.00312913208238091,0.817901977517876,8.74774518843384,1,2481.19997713493,-0.698408015373569
"6217","PCGF5",0.00324760836626273,0.817901977517876,8.67975372992724,1,2481.19997713493,0.33538983430976
"3993","TAP2",0.0034260582689168,0.817901977517876,8.58196441183316,1,2481.19997713493,0.477245928644914
"7135","FLI1",0.00350110299429069,0.817901977517876,8.54237890352159,1,2481.19997713493,0.23260063963923
"6473","OSBPL5",0.0035061449093112,0.817901977517876,8.53975036021916,1,2481.19997713493,0.653598074483652
"891","TSTD1",0.00350798306988847,0.817901977517876,8.53879301327801,1,2481.19997713493,-0.945599692315141
"6803","CFL1",0.00353946445069967,0.817901977517876,8.52247570541461,1,2481.19997713493,-0.19112233652907
"5453","DOCK8",0.00359588130893139,0.817901977517876,8.49360000928292,1,2481.19997713493,0.182878714995678
"11916","SEC14L2",0.00366171539886821,0.817901977517876,8.46048158661648,1,2481.19997713493,-10
"11686","SAMSN1",0.00367608236126106,0.817901977517876,8.4533347341854,1,2481.19997713493,0.207618715385115
"8624","ADAM10",0.00378519830913622,0.817901977517876,8.39996527440408,1,2481.19997713493,-0.303481904787577
"11962","KCTD17",0.00396226466322388,0.817901977517876,8.31660730200429,1,2481.19997713493,0.913959385142379
"2807","ZNF141",0.00409020507861183,0.817901977517876,8.25870382452264,1,2481.19997713493,-0.689223569371086
"7020","C11orf65",0.00430284312006851,0.817901977517876,8.16643100425439,1,2481.19997713493,1.38264646788943
"5870","AK8",0.0043796722994256,0.817901977517876,8.1342295941664,1,2481.19997713493,-10
"5792","GARNL3",0.00439645190404105,0.817901977517876,8.12727335331668,1,2481.19997713493,1.19740051810843
"6525","ADM",0.00445275183279104,0.817901977517876,8.10412943691679,1,2481.19997713493,0.586150254393894
"7670","IFT81",0.00449980241176888,0.817901977517876,8.08501533560144,1,2481.19997713493,-1.48742530235665
"3207","FNIP2",0.00453560428629582,0.817901977517876,8.07060692130601,1,2481.19997713493,-0.40615106034242
"3787","SQSTM1",0.00461172823515628,0.817901977517876,8.04035235014727,1,2481.19997713493,-0.243534657767954
"5466","PLGRKT",0.00466163025261404,0.817901977517876,8.02079430512197,1,2481.19997713493,-0.74361495874978
"3319","NUP155",0.00476858769530486,0.817901977517876,7.9795837714951,1,2481.19997713493,0.778598185156364
"4933","ZC3HAV1L",0.00480832845979651,0.817901977517876,7.96451134551768,1,2481.19997713493,2.33698618869251
"4047","KCTD20",0.00486559226847248,0.817901977517876,7.94301483996804,1,2481.19997713493,-0.417850508301992
"11688","USP25",0.00498017232852852,0.817901977517876,7.90076595582835,1,2481.19997713493,0.293671300504471
"9095","RABEP2",0.00510408940999781,0.817901977517876,7.85617565444082,1,2481.19997713493,0.718773447401101
"911","FCGR2B",0.00514832396406502,0.817901977517876,7.84052520487047,1,2481.19997713493,-0.871378393079926
"1739","CXCR4",0.00520135546802609,0.817901977517876,7.82194212171284,1,2481.19997713493,-0.616065789076824
"12109","AKAP17A",0.0052100969008762,0.817901977517876,7.81889754713551,1,2481.19997713493,-0.672068860250872
"8134","PRORP",0.00521057865395194,0.817901977517876,7.81872990772142,1,2481.19997713493,-0.504905624557662
"11685","HSPA13",0.00531108537949206,0.817901977517876,7.78409708830038,1,2481.19997713493,-0.909860111965338
"9420","SPATA2L",0.00535909940469763,0.817901977517876,7.76778760162982,1,2481.19997713493,-2.23992778878894
"9760","SYNRG",0.0054972328359169,0.817901977517876,7.72168463528535,1,2481.19997713493,0.318468492168614
"2787","FBXO45",0.0055350313543722,0.817901977517876,7.7092750039892,1,2481.19997713493,-1.43705577426422
"773","S100A11",0.00564192435582791,0.817901977517876,7.67464356369543,1,2481.19997713493,-0.144209564695338
"6663","CLP1",0.00565192076846673,0.817901977517876,7.67143920723991,1,2481.19997713493,-1.44810457058952
"970","RABGAP1L",0.00566400506558612,0.817901977517876,7.66757329172513,1,2481.19997713493,0.215300371060016
"10587","DNM2",0.00567819788066016,0.817901977517876,7.66304357037602,1,2481.19997713493,0.287853652958357
"2871","ABLIM2",0.00570104085193759,0.817901977517876,7.65577731101545,1,2481.19997713493,2.25623752876516
"11069","SLC1A5",0.00574469763434856,0.817901977517876,7.64197255676343,1,2481.19997713493,-2.83363519867981
"8721","MPI",0.00583282631149094,0.817901977517876,7.61442863885979,1,2481.19997713493,-1.66619388896709
"10239","ESCO1",0.00584620540323993,0.817901977517876,7.61028428688163,1,2481.19997713493,0.375008328349888
"9673","PIGS",0.00596857269220992,0.817901977517876,7.5728225807383,1,2481.19997713493,0.579906195725391
"5445","ZNF517",0.00614212475414407,0.817901977517876,7.5210145453844,1,2481.19997713493,1.27394146990473
"4551","PLEKHA8",0.00627026737139661,0.817901977517876,7.48371245483173,1,2481.19997713493,-0.664502702107147
"3524","DMXL1",0.00636214720888803,0.817901977517876,7.45744259490469,1,2481.19997713493,0.203853655797013
"3564","AFF4",0.0064185281029932,0.817901977517876,7.44151360848864,1,2481.19997713493,-0.301252838061479
"5010","GALNT11",0.00649658535136969,0.817901977517876,7.41969488014214,1,2481.19997713493,-0.518063201522995
"6843","GRK2",0.00660205549185733,0.817901977517876,7.39063532024382,1,2481.19997713493,0.369894227512246
"5730","FKBP15",0.00663197122984447,0.817901977517876,7.38247913144762,1,2481.19997713493,-0.284407168279709
"1456","PPP4R3B",0.00667245838191816,0.817901977517876,7.37150043451152,1,2481.19997713493,0.296776838751336
"6791","SCYL1",0.00670487195267848,0.817901977517876,7.36275996443492,1,2481.19997713493,-0.739242800616168
"1400","SRSF7",0.00682488038380951,0.817901977517876,7.33077086176124,1,2481.19997713493,0.30464303321483
"4179","PHIP",0.0068423795179534,0.817901977517876,7.32615442453367,1,2481.19997713493,0.220569608250012
"10590","CARM1",0.00685769205761397,0.817901977517876,7.32212472057932,1,2481.19997713493,-0.6901766947249
"6603","LDLRAD3",0.00688618930111511,0.817901977517876,7.31464970708429,1,2481.19997713493,-1.20100414389679
"12476","ARHGAP4",0.0069829053542498,0.817901977517876,7.28951416643329,1,2481.19997713493,0.359545729120355
"8525","RPAP1",0.00707388854101287,0.817901977517876,7.26619131690507,1,2481.19997713493,-1.65184490333541
"5211","PDE7A",0.00712556092847732,0.817901977517876,7.2530816581522,1,2481.19997713493,0.303801721155512
"1789","CERS6",0.00731497519029661,0.817901977517876,7.20584349738242,1,2481.19997713493,0.253611985752104
"3312","IL7R",0.00732471029869352,0.817901977517876,7.20344956137114,1,2481.19997713493,-1.92289794282595
"5674","XPA",0.00732758011905801,0.817901977517876,7.20274447202914,1,2481.19997713493,0.416907932457377
"4409","SOD2",0.00736824690417756,0.817901977517876,7.19278324922526,1,2481.19997713493,-0.307057520582519
"3911","HLA-G",0.00748183478414253,0.817901977517876,7.16525526669432,1,2481.19997713493,-10
"9291","DPEP2",0.00749970266845218,0.817901977517876,7.16096393538146,1,2481.19997713493,-0.666145487812936
"10607","ECSIT",0.00749999552059429,0.817901977517876,7.16089368819571,1,2481.19997713493,-1.65502735021962
"7408","NR4A1",0.00753192102154309,0.817901977517876,7.15325241468519,1,2481.19997713493,-10
"1840","UBE2E3",0.00753494596688242,0.817901977517876,7.15253012206945,1,2481.19997713493,0.362159116226066
"5676","ANP32B",0.00755566646837503,0.817901977517876,7.14759046745379,1,2481.19997713493,-0.328435454742682
"8398","SETD3",0.00759097799190507,0.817901977517876,7.13920423711592,1,2481.19997713493,-0.362280011908382
"1791","DHRS9",0.0076185381557352,0.817901977517876,7.13268658054789,1,2481.19997713493,-0.80145164471653
"5246","FABP5",0.00764031322699478,0.817901977517876,7.12755406532378,1,2481.19997713493,-0.295160946009416
"3010","CXCL10",0.00804693241217316,0.817901977517876,7.03436711579549,1,2481.19997713493,1.21790339210207
"4676","TRIM73",0.00807661028264263,0.817901977517876,7.02775550200958,1,2481.19997713493,-1.82672286062512
"7540","FRS2",0.00810943922397825,0.817901977517876,7.02047080066662,1,2481.19997713493,0.369705778850305
"3083","DDIT4L",0.00819855631863162,0.817901977517876,7.00084700293129,1,2481.19997713493,-10
"9996","DCAF7",0.00838488698363425,0.817901977517876,6.96051274332239,1,2481.19997713493,-0.336456255350393
"2953","TEC",0.00839207926629065,0.817901977517876,6.95897430967457,1,2481.19997713493,0.29541097747392
"6402","INSYN2A",0.0084018590688329,0.817901977517876,6.95688456845617,1,2481.19997713493,1.97708764477273
"5760","GSN",0.00842754109281082,0.817901977517876,6.95140868792006,1,2481.19997713493,-0.282849235348317
"1650","IL1R1",0.00847140292983789,0.817901977517876,6.9420959290474,1,2481.19997713493,-0.741150433504142
"2882","CPEB2",0.00849500396785358,0.817901977517876,6.9371053596444,1,2481.19997713493,0.315982698322564
"2826","TACC3",0.00853254282222519,0.817901977517876,6.92919673976881,1,2481.19997713493,-0.639888882955292
"6168","VCL",0.00871876636424445,0.817901977517876,6.89048307613384,1,2481.19997713493,-0.703351479900172
"5784","HSPA5",0.00894885211429318,0.817901977517876,6.84380425448716,1,2481.19997713493,0.351471114864962
