"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3964","HSPA1A",3.03142237271871e-39,3.80170679762653e-35,177.999611166344,1,2441.18154089748,1.69284823655371
"6870","GAL",3.27916104757575e-25,2.05619793488237e-21,110.035634319576,1,2441.18154089748,4.87554634785563
"8408","HSP90AA1",2.17956308639201e-15,9.1113002221474e-12,63.7260500209703,1,2441.18154089748,0.614499203859224
"11231","LILRA5",3.28921598026757e-09,1.03125144021339e-05,35.264072683588,1,2441.18154089748,-1.17335933721508
"4119","HSP90AB1",1.22597963662188e-08,2.82937021077345e-05,32.6685521900823,1,2441.18154089748,0.547913920868142
"9252","RRAD",1.35365770390246e-08,2.82937021077345e-05,32.4734334146604,1,2441.18154089748,6.99350578529658
"1578","GNLY",5.99066943642995e-08,0.00010732712200324,29.5498476143812,1,2441.18154089748,4.40698606396052
"10649","CALR",2.16500961332362e-06,0.00339392319508645,22.5508671554931,1,2441.18154089748,0.45987050982231
"3965","HSPA1B",5.39917516427723e-06,0.00752345063724453,20.7823947613405,1,2441.18154089748,1.41094429501198
"8933","TNFRSF12A",7.06693408964905e-06,0.00886264204182887,20.2627942865173,1,2441.18154089748,1.83995631648137
"7107","HSPA8",8.0348945747656e-06,0.00916051026019413,20.0152323150623,1,2441.18154089748,0.441464833344599
"4560","FKBP9",1.08130035653671e-05,0.0113004898094391,19.4431164039126,1,2441.18154089748,-1.98399877144448
"178","ID3",1.31190289988229e-05,0.0118077059703947,19.0711215415819,1,2441.18154089748,0.80943604037802
"9427","TUBB3",1.31813957089168e-05,0.0118077059703947,19.0619997804796,1,2441.18154089748,3.20668895857879
"1884","HSPE1",2.76679936517571e-05,0.0224721384884362,17.6386839669648,1,2441.18154089748,0.585222274251847
"499","GADD45A",2.86702986855099e-05,0.0224721384884362,17.5705196611428,1,2441.18154089748,0.941030605610155
"2648","MED12L",5.48831117736446e-05,0.0404875943972516,16.329207642978,1,2441.18154089748,4.17543356437419
"7325","BICD1",5.91188940974321e-05,0.0411894472708831,16.1874041813947,1,2441.18154089748,-1.76284879503352
"8249","TMEM229B",0.000103586497417912,0.0683725402167389,15.1199028903785,1,2441.18154089748,-1.78420614559496
"2228","POMGNT2",0.000113163153364929,0.0709589553174786,14.9519831344905,1,2441.18154089748,-10
"2114","HRH1",0.000198229190832031,0.118380584867834,13.8899972199218,1,2441.18154089748,-2.14594124033947
"12044","POLDIP3",0.000245480822033924,0.13993522677852,13.4862376538332,1,2441.18154089748,-0.980843113411097
"4131","MEP1A",0.000272555775819418,0.148613999328318,13.2889179582052,1,2441.18154089748,1.12447674004386
"375","TIE1",0.000284893321352264,0.148868630961614,13.2054769786543,1,2441.18154089748,2.7320606941912
"1880","ANKRD44",0.000325289572900893,0.163178261350004,12.9557535651214,1,2441.18154089748,0.397897554324611
"10061","ARMC7",0.000354952062976822,0.171209762376628,12.7915705427359,1,2441.18154089748,-2.04113209460308
"3355","GZMA",0.00043922336906205,0.204011121163228,12.3913523136425,1,2441.18154089748,4.39502094495697
"12472","BCAP31",0.000474731457742216,0.209610463989878,12.2455025674583,1,2441.18154089748,0.373970337680849
"3857","JARID2",0.000494844763969663,0.209610463989878,12.1677005101111,1,2441.18154089748,0.290895029702808
"8094","TM9SF1",0.000501420454484996,0.209610463989878,12.1429558931367,1,2441.18154089748,-1.28159847683331
"2060","CROCC2",0.000523087579719844,0.211098491157303,12.0636807954337,1,2441.18154089748,3.07127067850357
"5135","FUT10",0.000539758917467697,0.211098491157303,12.0049103981916,1,2441.18154089748,0.963907455303452
"11308","ZNF776",0.00055547804865569,0.211098491157303,11.9511528631699,1,2441.18154089748,1.19305071679649
"3742","NOP16",0.000826766069979782,0.304955096576954,11.2081012394337,1,2441.18154089748,1.76728210040211
"3753","NSD1",0.000947297029084223,0.334992638985465,10.9545865882339,1,2441.18154089748,-0.410554262930924
"1883","HSPD1",0.000961624671356091,0.334992638985465,10.926647396452,1,2441.18154089748,0.516511559362952
"1231","AKT3",0.00104110578226394,0.352878584199244,10.7789260550989,1,2441.18154089748,0.614398318153043
"7392","DIP2B",0.00113451268346432,0.37441904114016,10.6192645541306,1,2441.18154089748,-0.316750827850908
"2903","SEPSECS",0.00118227748243476,0.377553156420156,10.5426912308783,1,2441.18154089748,0.773952076049799
"4463","CARD11",0.00121077057430185,0.377553156420156,10.4984908628608,1,2441.18154089748,2.31073199057056
"4509","TWIST1",0.00123432576455039,0.377553156420156,10.4627386586944,1,2441.18154089748,3.79331202306102
"7868","HSPH1",0.00133679925470223,0.395191687452003,10.3148476282524,1,2441.18154089748,0.493826368083913
"7326","FGD4",0.00135501495577993,0.395191687452003,10.2897652532562,1,2441.18154089748,0.280917936560715
"11047","CD3EAP",0.00144284735760252,0.411244288902118,10.1734291009118,1,2441.18154089748,2.09688437087028
"6387","OAT",0.00153055069008162,0.426547471206968,10.0642144833927,1,2441.18154089748,0.694997680761106
"315","STK40",0.00160139514703288,0.436589055194334,9.98052873124955,1,2441.18154089748,-0.628193839326768
"6848","CLCF1",0.00172339909171654,0.441249356967188,9.84484250885531,1,2441.18154089748,1.62128087315894
"2604","FAIM",0.00172587716068626,0.441249356967188,9.84218856931568,1,2441.18154089748,1.30752606216862
"11167","NKG7",0.00174055008352437,0.441249356967188,9.82655304201105,1,2441.18154089748,1.7799299831031
"11158","CLEC11A",0.00175922716277485,0.441249356967188,9.80684290259837,1,2441.18154089748,-1.22842823858542
"782","CHTOP",0.00182306611113618,0.447073411675467,9.74103992550532,1,2441.18154089748,-0.779155970388638
"11286","ZNF460",0.00185374510861369,0.447073411675467,9.7102439901954,1,2441.18154089748,1.31642485824142
"2669","RARRES1",0.00206375087858225,0.48080383322264,9.51238126102779,1,2441.18154089748,0.971364942329281
"4593","UBE2D4",0.00207028203444881,0.48080383322264,9.50656035625078,1,2441.18154089748,0.824845246088079
"10117","DNAH17",0.00217735501338202,0.489059183817974,9.41370100617368,1,2441.18154089748,0.789238894137752
"938","GPR161",0.00226312141650295,0.489059183817974,9.34260376484839,1,2441.18154089748,1.09603561121839
"449","CZIB",0.00229444376507645,0.489059183817974,9.31731852931872,1,2441.18154089748,0.791346645102516
"6892","FOLR2",0.00231620918892736,0.489059183817974,9.29995372585139,1,2441.18154089748,-1.20027634217167
"3486","CAST",0.00233607211889502,0.489059183817974,9.28425074151032,1,2441.18154089748,-0.273494258929713
