"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11239","LILRB4",1.024223136174e-21,1.28447823507581e-17,93.4520715777319,1,2414.06924697805,-1.6593070893821
"4500","SCIN",1.59990072525415e-09,1.00321774977061e-05,36.692256052829,1,2414.06924697805,3.38785857780045
"2415","FRMD4B",5.87101077807229e-08,0.000245427820559348,29.5915039124673,1,2414.06924697805,-0.63800413231949
"9220","MT1X",1.73011162120828e-07,0.000542433246039325,27.4741841211056,1,2414.06924697805,1.62880121815311
"9215","MT1E",6.46200738022241e-07,0.00162080069110738,24.9019391959069,1,2414.06924697805,2.41584608296459
"5159","IDO1",2.85504746476499e-05,0.0596752504260295,17.5792910341977,1,2414.06924697805,2.2188977226698
"3549","RAPGEF6",5.58497860882473e-05,0.10005888104753,16.2965458956968,1,2414.06924697805,0.56976677984148
"3764","DOK3",8.25172117368255e-05,0.129356044048941,15.552820917072,1,2414.06924697805,-0.921878847620111
"7933","RCBTB1",9.99858679150955e-05,0.139324752169246,15.1876817428792,1,2414.06924697805,0.977960657458915
"1415","HAAO",0.000128803738215485,0.161532768096039,14.7068617919217,1,2414.06924697805,1.44524332309551
"10325","PMAIP1",0.000142156868204088,0.162071753104315,14.5198343491188,1,2414.06924697805,1.77485022824568
"8726","PPCDC",0.000226819670812039,0.229637791020635,13.6359259268396,1,2414.06924697805,-1.7248839124954
"10565","P2RY11",0.000238042523185413,0.229637791020635,13.5447546348317,1,2414.06924697805,-1.09276259720758
"12103","CRLF2",0.00029429375364386,0.263624140317689,13.144738774658,1,2414.06924697805,1.92659216422226
"3102","DKK2",0.000366785295840712,0.306656959675891,12.7303082661614,1,2414.06924697805,4.66634324783954
"9988","INTS2",0.00046716922749016,0.366173080122131,12.2759935292448,1,2414.06924697805,1.04394811312271
"7578","BTG1",0.000569866453546041,0.413805408934364,11.9036296811366,1,2414.06924697805,0.351049252753934
"3515","CCDC112",0.00059393169291273,0.413805408934364,11.8262165374423,1,2414.06924697805,-0.783961454281151
"1676","ZC3H6",0.000634813014738334,0.419010000938602,11.7017029840213,1,2414.06924697805,-0.837039334853909
"2021","NCL",0.000765414263279277,0.479953013789271,11.3522324783566,1,2414.06924697805,-0.402771067186638
"11202","ZNF888",0.000838430363663293,0.497369552127473,11.1822979197057,1,2414.06924697805,1.35568122652561
"11976","GCAT",0.000872508583590177,0.497369552127473,11.1080473780541,1,2414.06924697805,2.77976500734483
