"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1240","SMYD3",1.06975677407613e-05,0.0974708360749163,19.4623857938834,1,2483.74589348279,0.542447074676166
"5529","FAM219A",1.55443483095313e-05,0.0974708360749163,18.7436984807372,1,2483.74589348279,0.899406376377726
"10725","SLC27A1",0.000100120327827411,0.412602045479313,15.1837027076235,1,2483.74589348279,0.6526629655848
"3681","SPARC",0.000131601003262678,0.412602045479313,14.6647813981284,1,2483.74589348279,1.02017918263917
"4572","EPDR1",0.000196845636251728,0.430372762309804,13.9025106789219,1,2483.74589348279,0.729934247391572
"7956","DACH1",0.000205903562224609,0.430372762309804,13.8174929069745,1,2483.74589348279,3.41113349545542
"210","CEP85",0.000592501518849182,0.878647176496241,11.8298470625949,1,2483.74589348279,-1.73111891563425
"6060","ZNF37A",0.000728295078417423,0.878647176496241,11.4441938923695,1,2483.74589348279,0.522231591194731
"6712","TUT1",0.000799256867351662,0.878647176496241,11.270715411564,1,2483.74589348279,1.24303647979899
"1804","METTL8",0.000869256559431221,0.878647176496241,11.1142238380707,1,2483.74589348279,0.667172225674353
"9455","SMYD4",0.00090229383789065,0.878647176496241,11.0447426755648,1,2483.74589348279,0.763211636493299
"7011","GUCY1A2",0.000932662742036874,0.878647176496241,10.9831072625901,1,2483.74589348279,2.58131029917821
"2907","SEL1L3",0.000978856757983352,0.878647176496241,10.8931429953312,1,2483.74589348279,0.7135362038746
"12397","NKRF",0.0010131016248219,0.878647176496241,10.829180972086,1,2483.74589348279,1.17262522306269
"4970","PDIA4",0.00121594621483271,0.878647176496241,10.4901526325514,1,2483.74589348279,0.537813374370416
"983","SOAT1",0.00130281947284717,0.878647176496241,10.3621630852866,1,2483.74589348279,0.334552594008947
"2575","NEK11",0.0013824063227619,0.878647176496241,10.2522796873989,1,2483.74589348279,0.930820288730564
"6820","PACS1",0.0017175867748719,0.878647176496241,9.85070776159396,1,2483.74589348279,0.367374977135665
"5095","TNFRSF10D",0.0017510478217823,0.878647176496241,9.8150762110202,1,2483.74589348279,-1.06050503277616
"5548","TPM2",0.00184187085627937,0.878647176496241,9.72173626446705,1,2483.74589348279,1.36881161585094
"697","PIAS3",0.00185424928414298,0.878647176496241,9.7093776217264,1,2483.74589348279,-2.41084797090806
"8037","PIP4P1",0.00191441052449894,0.878647176496241,9.6504802003292,1,2483.74589348279,-0.883924913708397
"8797","DET1",0.0019246065718162,0.878647176496241,9.64068471505635,1,2483.74589348279,-1.8473129773363
"6431","SIGIRR",0.0020307327680218,0.878647176496241,9.54174510099671,1,2483.74589348279,-0.773811467455547
"8350","SPATA7",0.00203603156284075,0.878647176496241,9.53694360195926,1,2483.74589348279,0.639981663336125
