"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1923","ABI2",2.90300281081997e-06,0.0364065582504933,21.9820316612862,1,2451.96905644341,-1.32641104042412
"11510","MYL9",4.66020744045138e-05,0.200454603610784,16.6411505019212,1,2451.96905644341,3.05591769039447
"8078","NGDN",4.79518228875171e-05,0.200454603610784,16.5866290967557,1,2451.96905644341,1.07705466233088
"11941","TIMP3",0.000153980386970537,0.444017703358639,14.367749961619,1,2451.96905644341,1.11019614373495
"5746","TNFSF8",0.00020238192782268,0.444017703358639,13.8506261311439,1,2451.96905644341,0.703253821349994
"6400","ADAM12",0.000246903771050966,0.444017703358639,13.4751568339952,1,2451.96905644341,1.50060828635777
"2468","IFT57",0.000265694190057286,0.444017703358639,13.3368167963334,1,2451.96905644341,1.18313393485109
"9936","TOB1",0.00028324229542055,0.444017703358639,13.2162604593736,1,2451.96905644341,0.747250719376496
"1716","AMMECR1L",0.000524493592433641,0.638738292061317,12.0585100159806,1,2451.96905644341,1.18221592636741
"3799","TRIM52",0.000571254527002866,0.638738292061317,11.8985848253375,1,2451.96905644341,-1.70857710246783
"5291","CPQ",0.000592458595447573,0.638738292061317,11.830378063921,1,2451.96905644341,-0.305144502118016
"5801","SH2D3C",0.000616924470446817,0.638738292061317,11.7546796730012,1,2451.96905644341,1.26030172285365
"6272","ERLIN1",0.000662116082991557,0.638738292061317,11.6225111602749,1,2451.96905644341,1.01501039550434
"5167","VDAC3",0.00075659654554032,0.670393263092442,11.3734057375264,1,2451.96905644341,-0.59059867784175
"888","LY9",0.000801841874363019,0.670393263092442,11.2650537833074,1,2451.96905644341,-2.65269978645556
"4757","CPSF4",0.000884879767263348,0.68019138774677,11.0813883016528,1,2451.96905644341,0.901776926657291
"6820","PACS1",0.000922036009225349,0.68019138774677,11.0047850450732,1,2451.96905644341,0.41799800663143
"375","TIE1",0.00102605485848691,0.69918531548118,10.8058882328604,1,2451.96905644341,2.39302220500887
"6287","BTRC",0.00111023826374702,0.69918531548118,10.6593283087035,1,2451.96905644341,0.482040113689966
"2210","SLC25A38",0.00111503917627172,0.69918531548118,10.6513125788091,1,2451.96905644341,-3.1585088383796
"11927","RNF185",0.00124211589877161,0.699789097780459,10.4509589148419,1,2451.96905644341,0.625906335895248
"5571","SHB",0.00128111770176983,0.699789097780459,10.3936162166388,1,2451.96905644341,-1.08256803662221
"600","VAV3",0.00129788890843474,0.699789097780459,10.3694998546414,1,2451.96905644341,-0.247795316432485
"11132","RRAS",0.0013392024835923,0.699789097780459,10.3114137267305,1,2451.96905644341,-0.645725914625385
"8556","HYPK",0.00161756129899544,0.811433450028073,9.96186022095891,1,2451.96905644341,2.09229788912937
"8965","UBALD1",0.00198273136028241,0.837942324572685,9.58609430134767,1,2451.96905644341,-1.68126526054769
"11214","ZNF331",0.00199947930240355,0.837942324572685,9.57059026464219,1,2451.96905644341,-0.440666250662983
"2666","RSRC1",0.00205484284160446,0.837942324572685,9.52026061648393,1,2451.96905644341,-0.336274673772903
"3642","NR3C1",0.00217496097145571,0.837942324572685,9.41563785356689,1,2451.96905644341,0.254401443413372
"9515","NLRP1",0.00220737541315241,0.837942324572685,9.38840899336341,1,2451.96905644341,0.819069731562812
"1193","C1orf131",0.00234468037383471,0.837942324572685,9.27740156583632,1,2451.96905644341,0.702538038056141
"429","ELAVL4",0.00234583402801311,0.837942324572685,9.276497093746,1,2451.96905644341,1.91725341174623
"5247","FABP4",0.00241195575725034,0.837942324572685,9.22539810513284,1,2451.96905644341,0.849264927208291
"6333","ADD3",0.0024356778204421,0.837942324572685,9.20741165994158,1,2451.96905644341,-0.498193774853979
"2964","SRD5A3",0.0024633998478155,0.837942324572685,9.18661645133634,1,2451.96905644341,0.646808862310199
"3382","TRIM23",0.00259298677020466,0.837942324572685,9.09245975272088,1,2451.96905644341,-0.979513220570243
"1589","RMND5A",0.0026870187309925,0.837942324572685,9.02708293409773,1,2451.96905644341,0.5920902562639
"7737","GATC",0.00271136519551075,0.837942324572685,9.01053449888078,1,2451.96905644341,0.709351000942855
"4061","BTBD9",0.002727306215264,0.837942324572685,8.99978088428488,1,2451.96905644341,-0.425272906012545
"4746","LMTK2",0.00278816519550383,0.837942324572685,8.95930542355602,1,2451.96905644341,1.28125459909674
"6704","FADS3",0.00279575666086695,0.837942324572685,8.954319660814,1,2451.96905644341,-1.55525103860888
"4095","MEA1",0.00296147075636694,0.837942324572685,8.8487844415653,1,2451.96905644341,0.571181007035719
"4560","FKBP9",0.00299045434830552,0.837942324572685,8.83094467501999,1,2451.96905644341,-1.08559708619806
"447","SCP2",0.00303072451899411,0.837942324572685,8.80644749151889,1,2451.96905644341,0.323635989459024
"10338","CCDC102B",0.0031184633020324,0.837942324572685,8.75420074238313,1,2451.96905644341,-1.15565282637479
"2208","TTC21A",0.00320874312410606,0.837942324572685,8.70197846120686,1,2451.96905644341,0.945347632033074
"3506","NREP",0.00326553553367164,0.837942324572685,8.66988709599725,1,2451.96905644341,0.905353838270731
"8643","USP3",0.00327593459225569,0.837942324572685,8.66407248683817,1,2451.96905644341,-0.418992887831901
"5327","ENY2",0.00331263621367121,0.837942324572685,8.64369986709444,1,2451.96905644341,-0.298469297462559
"7927","CYSLTR2",0.00334415578439399,0.837942324572685,8.62638615408421,1,2451.96905644341,0.86953974974517
"312","THRAP3",0.00340762766551367,0.837942324572685,8.59201915032921,1,2451.96905644341,0.30216550602689
"7087","HMBS",0.00363120556245209,0.875749018436763,8.47594661373998,1,2451.96905644341,-2.92251119177029
"2869","SORCS2",0.00382877227437054,0.90597420929964,8.37927779078867,1,2451.96905644341,-2.4157454807989
"3755","MXD3",0.00392813732277386,0.912273521572353,8.33256118367325,1,2451.96905644341,1.534718859127
"11227","LILRB3",0.00449311220850307,0.961661526161102,8.08789717229363,1,2451.96905644341,-0.522098478808073
"11438","NXT1",0.00461830877225894,0.961661526161102,8.03793530533066,1,2451.96905644341,1.00861397475917
"12172","ZFX",0.00479796615748155,0.961661526161102,7.96860071017629,1,2451.96905644341,0.413749735722052
"2129","LSM3",0.00505461261407335,0.961661526161102,7.87401329331314,1,2451.96905644341,0.350184728358991
"2136","MRPS25",0.00530100405992731,0.961661526161102,7.78770490165929,1,2451.96905644341,0.568965319005822
"146","UBR4",0.00531024719975377,0.961661526161102,7.78454728153267,1,2451.96905644341,-0.442813495021984
"10653","LYL1",0.00539294791617881,0.961661526161102,7.75654225615876,1,2451.96905644341,-0.736699512909959
"8795","MRPL46",0.00541611078048052,0.961661526161102,7.74877710650981,1,2451.96905644341,0.747029036086343
"11026","ZNF180",0.00544369136460921,0.961661526161102,7.73957502676169,1,2451.96905644341,-2.19844977585259
"7480","ATP5F1B",0.00561928086168363,0.961661526161102,7.68208352701871,1,2451.96905644341,0.3194419952431
"10759","HOMER3",0.00563634906667632,0.961661526161102,7.67659312585746,1,2451.96905644341,0.41004450613891
"3260","CCDC127",0.0056825308787082,0.961661526161102,7.66182227319796,1,2451.96905644341,-1.14573252686755
"3048","SLC10A6",0.00576160994426433,0.961661526161102,7.63681177834021,1,2451.96905644341,-10
"10325","PMAIP1",0.0058781681711995,0.961661526161102,7.60057937304398,1,2451.96905644341,1.30905781206232
"1848","ZNF804A",0.00589483611538448,0.961661526161102,7.59545812387391,1,2451.96905644341,-0.539032726780828
"11935","PRR14L",0.00594513745576755,0.961661526161102,7.58009212434227,1,2451.96905644341,0.334844453240788
"9083","CLN3",0.00601029047303082,0.961661526161102,7.56038539002731,1,2451.96905644341,-0.470024036858342
"6411","PWWP2B",0.00603002165611336,0.961661526161102,7.55446034145361,1,2451.96905644341,0.824706834147542
"6004","CUBN",0.00613312614144022,0.961661526161102,7.5238177645133,1,2451.96905644341,-10
"11924","TUG1",0.0061351687826191,0.961661526161102,7.52321602066813,1,2451.96905644341,0.427677446028047
"11765","PKNOX1",0.00616575508743031,0.961661526161102,7.51422995728506,1,2451.96905644341,-0.756980599821307
"11968","LGALS2",0.00622838426116555,0.961661526161102,7.49597109925886,1,2451.96905644341,-1.50934455603103
"10446","HMG20B",0.00628016781673257,0.961661526161102,7.4810152288784,1,2451.96905644341,-0.54710476272875
"12199","CHST7",0.00629065121204481,0.961661526161102,7.47800280104411,1,2451.96905644341,-1.11909409447123
"4036","PPARD",0.00652132742105234,0.961661526161102,7.41298449948981,1,2451.96905644341,-0.548510848266192
"251","SRSF4",0.00667256254413533,0.961661526161102,7.37162041682185,1,2451.96905644341,-0.280427539625311
"1233","C1orf100",0.00668480653490316,0.961661526161102,7.36831360643491,1,2451.96905644341,2.85893797482434
"2283","PRKAR2A",0.0067273747989181,0.961661526161102,7.3568649078098,1,2451.96905644341,-0.463280828568608
"12274","UBQLN2",0.00674489355311766,0.961661526161102,7.3521747418998,1,2451.96905644341,-0.939929004126065
"12076","ALG12",0.00675332232729392,0.961661526161102,7.34992260290819,1,2451.96905644341,0.878420164682218
"8309","ACYP1",0.00676269823931156,0.961661526161102,7.34742076460691,1,2451.96905644341,-2.16618044484042
"12528","MT-CO3",0.00693860804304994,0.961661526161102,7.30112762487701,1,2451.96905644341,0.136054009059308
"4013","TAPBP",0.0069630989684298,0.961661526161102,7.29477780161123,1,2451.96905644341,0.279327552414344
"4893","IMPDH1",0.00696706574319399,0.961661526161102,7.2937514748573,1,2451.96905644341,0.586464518405058
"5489","PLIN2",0.00705477784632117,0.961661526161102,7.27120902634438,1,2451.96905644341,0.312000904999444
"111","VPS13D",0.0071561408156057,0.961661526161102,7.24551243883509,1,2451.96905644341,-0.330784785184462
"5254","CA13",0.00733498757655277,0.961661526161102,7.20106759722768,1,2451.96905644341,-10
"786","SLC27A3",0.00737892387833481,0.961661526161102,7.19031864090511,1,2451.96905644341,-1.5331794409406
"9727","CCL2",0.00741092854286715,0.961661526161102,7.18252987093376,1,2451.96905644341,0.479713990223537
"5874","RALGDS",0.00749018426310897,0.961661526161102,7.16338904655276,1,2451.96905644341,0.596030071771772
"11262","ZNF579",0.00758109167387781,0.961661526161102,7.1416877181035,1,2451.96905644341,-1.62337772301629
"6410","LRRC27",0.00758814638943883,0.961661526161102,7.14001476883355,1,2451.96905644341,-0.975701226895576
"4035","DEF6",0.00759841623072805,0.961661526161102,7.13758222927967,1,2451.96905644341,-0.533621931293806
"5292","TSPYL5",0.00765489570412707,0.961661526161102,7.12426419067678,1,2451.96905644341,0.974015423874141
"8589","USP50",0.00773214952547722,0.961661526161102,7.10620938906887,1,2451.96905644341,-10
"2586","SRPRB",0.0078426766881613,0.961661526161102,7.08069674661652,1,2451.96905644341,0.882868010178037
"6523","SWAP70",0.0080995976873823,0.961661526161102,7.02278670763112,1,2451.96905644341,-0.311837902328577
"2246","CDCP1",0.00813677143507911,0.961661526161102,7.0145637659799,1,2451.96905644341,0.585069689995079
"1637","TXNDC9",0.00847861883273475,0.961661526161102,6.94070088503489,1,2451.96905644341,0.506212923876204
"1167","CDC42BPA",0.00873820050061375,0.961661526161102,6.88662223432803,1,2451.96905644341,-0.655749268106695
"11915","RNF215",0.00885345242280742,0.961661526161102,6.86313716906983,1,2451.96905644341,-1.32302148454839
