"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4613","UPP1",1.22070276639456e-05,0.113206825606327,19.2129416752568,1,2346.18346416443,1.0656422858983
"11573","MMP9",1.8053875385747e-05,0.113206825606327,18.4604705509835,1,2346.18346416443,-1.02177991293757
"5595","ANXA1",7.00319588424345e-05,0.292756931947657,15.8667638379537,1,2346.18346416443,0.547089268244072
"11906","ZMAT5",0.000166209984545477,0.425711224784934,14.2250302967821,1,2346.18346416443,1.24399078427542
"10334","SERPINB2",0.000169727782786434,0.425711224784934,14.1853793099512,1,2346.18346416443,1.36106845809194
"5880","SURF2",0.00033412864471912,0.55557167796528,12.9067850640208,1,2346.18346416443,-3.31837595557252
"8614","NEDD4",0.000339689384587714,0.55557167796528,12.8757223841024,1,2346.18346416443,1.52928568425846
"5337","CCN3",0.000354403430645263,0.55557167796528,12.7959412418572,1,2346.18346416443,4.21124438113722
"4239","BEND3",0.000404553450471088,0.563722758039768,12.547140738541,1,2346.18346416443,3.39062802685458
"11081","DHX34",0.000560758433820808,0.703247151854675,11.9347172006437,1,2346.18346416443,0.847601100304925
"1360","SPDYA",0.00073835864149842,0.780216135551868,11.4202486971906,1,2346.18346416443,1.72008843645553
"4259","DDO",0.000746558777340118,0.780216135551868,11.3996290280807,1,2346.18346416443,-10
"5069","PSD3",0.000837987849110862,0.794239554172394,11.1840975527705,1,2346.18346416443,0.690820966309725
"8100","TGM1",0.000930666222983018,0.794239554172394,10.9886492965053,1,2346.18346416443,1.42727780808246
"9709","ADAP2",0.00096811208576252,0.794239554172394,10.9152121950412,1,2346.18346416443,-0.420189629880451
"12537","AL354822.1",0.00105547732250417,0.794239554172394,10.7544855280405,1,2346.18346416443,1.58590200096472
"8421","CKB",0.00110023938522598,0.794239554172394,10.6772807878686,1,2346.18346416443,1.55482552957162
"2317","IFRD2",0.00115035021692093,0.794239554172394,10.5945363246318,1,2346.18346416443,-10
"11419","PET117",0.00129891720971031,0.794239554172394,10.3691139866326,1,2346.18346416443,-10
"7305","FGFR1OP2",0.0013027270173698,0.794239554172394,10.3636828990739,1,2346.18346416443,0.528987784003341
"6079","NCOA4",0.00132996018161393,0.794239554172394,10.3253228530122,1,2346.18346416443,-0.454655935256004
"3407","BDP1",0.0014040178166745,0.800353974496132,10.2248998290719,1,2346.18346416443,-0.771822697527261
"1320","KIF3C",0.00150659577214195,0.821487720801399,10.0943300363486,1,2346.18346416443,2.07969127790989
"9803","EIF1",0.00168489797430837,0.870877905067348,9.88747230597004,1,2346.18346416443,0.287642048892122
"9386","GSE1",0.0017360615283218,0.870877905067348,9.83220403499048,1,2346.18346416443,0.890524606876457
"4227","CCNC",0.00200849671970737,0.912943775777555,9.56322478284099,1,2346.18346416443,-0.88537357887983
"11094","GRIN2D",0.00236843454193124,0.912943775777555,9.25974116463287,1,2346.18346416443,-3.104350435391
"11872","SPECC1L",0.00236981702886372,0.912943775777555,9.25866818102499,1,2346.18346416443,-0.709166090818886
"1649","IL1R2",0.00251166223954337,0.912943775777555,9.1518272541339,1,2346.18346416443,0.923924754670921
"2807","ZNF141",0.00251537465088699,0.912943775777555,9.14911397840763,1,2346.18346416443,-1.17021285318554
"1159","PYCR2",0.0025317064976718,0.912943775777555,9.13722569371993,1,2346.18346416443,-2.3040329043275
"8899","FAHD1",0.00254192787039163,0.912943775777555,9.12982491548357,1,2346.18346416443,1.20971743846091
"10055","FDXR",0.00260647925456331,0.912943775777555,9.08377357955873,1,2346.18346416443,-2.06774454714261
"10631","ZNF490",0.00266017984632223,0.912943775777555,9.0463376381049,1,2346.18346416443,0.906929519355692
"7799","AACS",0.00267487644314914,0.912943775777555,9.03622606257469,1,2346.18346416443,-10
"10401","UQCR11",0.00287882870114096,0.912943775777555,8.90145270651144,1,2346.18346416443,0.314906336382818
"11514","NDRG3",0.00292378367047542,0.912943775777555,8.87305320785713,1,2346.18346416443,0.769187590451183
"2289","NDUFAF3",0.00298373452843298,0.912943775777555,8.83586332279867,1,2346.18346416443,-0.718694725260975
