"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3216","CPE",1.47459252584364e-05,0.184928648666051,18.8503054432569,1,2320.80361692956,4.96627312888568
"2392","FLNB",0.000131048167227089,0.728223913439188,14.6760087165902,1,2320.80361692956,1.21334287726774
"1471","COMMD1",0.00018463800962214,0.728223913439188,14.0265268355176,1,2320.80361692956,-1.03633045149333
"1718","UGGT1",0.000257803793613055,0.728223913439188,13.3958852216557,1,2320.80361692956,1.0350973354457
"6011","MRC1",0.00033510141777073,0.728223913439188,12.9017309386573,1,2320.80361692956,-1.0520321037319
"4059","CCDC167",0.000348404710998735,0.728223913439188,12.8284685669724,1,2320.80361692956,1.50602251905689
"854","CRABP2",0.000587955046094651,0.84262933620282,11.8464071360338,1,2320.80361692956,2.94977538104706
"7290","GOLT1B",0.000684786435187384,0.84262933620282,11.5612762623635,1,2320.80361692956,-1.92255998051503
"9640","TVP23B",0.000881356864217484,0.84262933620282,11.0903626302669,1,2320.80361692956,1.45566654945712
"8846","SNRPA1",0.000975252275027985,0.84262933620282,10.9018379734142,1,2320.80361692956,-2.16191081673034
"6377","PLEKHA1",0.00108159796529165,0.84262933620282,10.7093315258814,1,2320.80361692956,1.01806775451387
"10184","RAB40B",0.00124369028739479,0.84262933620282,10.4499861908717,1,2320.80361692956,2.71659778064396
"248","GMEB1",0.00128656952945414,0.84262933620282,10.387103141048,1,2320.80361692956,-2.42099957005529
"7923","ITM2B",0.00138966579845471,0.84262933620282,10.2442035420836,1,2320.80361692956,-0.376813791663468
"169","ZBTB40",0.00143344681708833,0.84262933620282,10.1867414749645,1,2320.80361692956,-1.74066138785455
"11040","GEMIN7",0.00170681759694157,0.84262933620282,9.8638380284104,1,2320.80361692956,-10
"5051","FDFT1",0.00172274610697663,0.84262933620282,9.84667573954695,1,2320.80361692956,1.16800338909571
"2960","USP46",0.00180502013597752,0.84262933620282,9.76051560818168,1,2320.80361692956,-3.01793486761256
"10484","RPL36",0.00191260167492308,0.84262933620282,9.65367534342226,1,2320.80361692956,0.323397805030997
"487","AK4",0.00192259005150224,0.84262933620282,9.64406691051064,1,2320.80361692956,1.55284727650051
"10947","MAP3K10",0.00197457408649403,0.84262933620282,9.59486407024009,1,2320.80361692956,-10
"7317","IPO8",0.00203796171441454,0.84262933620282,9.53661623787722,1,2320.80361692956,-1.47311045819306
"10477","ARRDC5",0.00204536917669029,0.84262933620282,9.52992970710953,1,2320.80361692956,-10
"4378","MTHFD1L",0.00214631021707244,0.84262933620282,9.44118503461176,1,2320.80361692956,-2.24378787882859
"2670","MFSD1",0.00216725817496391,0.84262933620282,9.42329960638588,1,2320.80361692956,-0.505495602407318
"9923","PDK2",0.00218548949896092,0.84262933620282,9.40787588610545,1,2320.80361692956,-10
"8636","VPS13C",0.00224773109306729,0.84262933620282,9.3561863970398,1,2320.80361692956,-0.578531410353417
"6104","ARID5B",0.00228397293594542,0.84262933620282,9.32675404118604,1,2320.80361692956,-0.623124216021603
"4333","PEX7",0.00232085565875828,0.84262933620282,9.29728407500015,1,2320.80361692956,1.37477002060511
"10573","ZGLP1",0.00232611456454436,0.84262933620282,9.29312089032397,1,2320.80361692956,-10
