"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6679","MS4A4A",1.49771346372798e-37,1.87828245486127e-33,169.831067399844,1,2383.74670920563,-2.18880030843186
"11849","THAP7",1.59801357239641e-05,0.100203441057117,18.6936770284627,1,2383.74670920563,-2.34426956412777
"1020","RGS18",8.48779697971955e-05,0.316225011350171,15.499824460439,1,2383.74670920563,-1.80216520040457
"11238","LILRB1",0.000100861178965049,0.316225011350171,15.1717643130686,1,2383.74670920563,0.63901744860417
"4859","DNAJB9",0.000161719249891256,0.405624222577249,14.2761640595938,1,2383.74670920563,1.47306560556499
"9898","SP2",0.000401932797563724,0.53008567751972,12.5587797888176,1,2383.74670920563,1.16610171091289
"5560","PAX5",0.000498969155225797,0.53008567751972,12.152929382283,1,2383.74670920563,2.34017948964805
"8841","LINS1",0.000514189540964527,0.53008567751972,12.0966084919848,1,2383.74670920563,1.17765960605153
"7662","MMAB",0.000525386602419679,0.53008567751972,12.0562402981821,1,2383.74670920563,-10
"9858","HDAC5",0.000527385057141635,0.53008567751972,12.049126865473,1,2383.74670920563,0.896692486371419
"6682","MS4A7",0.000564675498881421,0.53008567751972,11.9211660064095,1,2383.74670920563,0.254863731619516
"5003","AGAP3",0.000564855089406053,0.53008567751972,11.920570634124,1,2383.74670920563,-0.84519132759413
"11919","TCN2",0.000579187885618969,0.53008567751972,11.8736615414339,1,2383.74670920563,0.670342212901767
"10556","ZNF562",0.000591755002414167,0.53008567751972,11.833486477884,1,2383.74670920563,-1.35707274967412
"5493","MLLT3",0.000744273782838259,0.564996051696537,11.4048771704452,1,2383.74670920563,0.964833546624458
"2377","WNT5A",0.000763262102235662,0.564996051696537,11.3578560808554,1,2383.74670920563,-2.04606614227152
"5039","PRAG1",0.000765882535590553,0.564996051696537,11.3514601139037,1,2383.74670920563,-1.56961268230148
"2010","FBXO36",0.000842449489348591,0.586953280328927,11.1737416088972,1,2383.74670920563,-3.26337120563642
"9236","CSNK2A2",0.000891612921948859,0.588511455482139,11.068046788065,1,2383.74670920563,0.714583788133649
"8983","CARHSP1",0.00115313568014727,0.713613172533765,10.5896328991557,1,2383.74670920563,-0.988112771061428
"4581","MPLKIP",0.00119495069158832,0.713613172533765,10.5234976885888,1,2383.74670920563,-0.994151917607466
"8207","ARMH4",0.0013110029698497,0.722798737423715,10.3515461523493,1,2383.74670920563,-1.91676831537407
"8640","RPS27L",0.00137645179864282,0.722798737423715,10.2612509575264,1,2383.74670920563,-0.289907797653501
"10168","DCXR",0.00138323655993694,0.722798737423715,10.2521404839007,1,2383.74670920563,-1.45416121460814
"4292","FAM184A",0.0015171098479133,0.739732536764904,10.0810846498244,1,2383.74670920563,3.92001875865104
"11920","SLC35E4",0.00153361342443884,0.739732536764904,10.0610646503874,1,2383.74670920563,-10
"7974","NDFIP2",0.00160535754581898,0.745658851189475,9.97649934054764,1,2383.74670920563,2.96845119269231
"1954","PECR",0.0019166826473663,0.834364779692965,9.64915952956762,1,2383.74670920563,-10
"9615","ZNF624",0.00198589537920457,0.834364779692965,9.58374642312872,1,2383.74670920563,-3.03026501840973
"99","FBXO44",0.00203407917366157,0.834364779692965,9.53955939449887,1,2383.74670920563,1.65195681795088
"10216","PPP4R1",0.00206245978554198,0.834364779692965,9.51402726341223,1,2383.74670920563,0.553313351180264
"3413","FCHO2",0.00230027997847262,0.87685010172517,9.3131194260109,1,2383.74670920563,-0.326427183347212
"10625","ZNF563",0.00230731627118496,0.87685010172517,9.30750147315423,1,2383.74670920563,-10
"3840","TMEM14C",0.00253879065703961,0.902117993851679,9.13178279513115,1,2383.74670920563,-0.564591694427079
"10738","MPV17L2",0.00257165789201038,0.902117993851679,9.10816064556667,1,2383.74670920563,-10
"5601","RFK",0.00258960591489199,0.902117993851679,9.0953902741484,1,2383.74670920563,0.70679587770973
"5995","HSPA14",0.00286865781630108,0.925395389613285,8.90764440971987,1,2383.74670920563,1.46318526178876
"12033","SREBF2",0.00291924353652765,0.925395389613285,8.87560706270312,1,2383.74670920563,0.744497990013217
"3616","APBB3",0.00298166062225836,0.925395389613285,8.8368454760373,1,2383.74670920563,-1.52629107584836
"12169","APOO",0.00301200776324845,0.925395389613285,8.81829663910253,1,2383.74670920563,-2.42976811668839
"10634","WDR83",0.00317572229652704,0.925395389613285,8.72139830819118,1,2383.74670920563,1.07511140041101
"3643","YIPF5",0.00317737230272827,0.925395389613285,8.72044778224491,1,2383.74670920563,0.634340477546877
"7496","MBD6",0.00322645556572747,0.925395389613285,8.69239941132158,1,2383.74670920563,-1.76447428967528
"3624","HARS2",0.00333368042917462,0.925395389613285,8.63260660172475,1,2383.74670920563,-1.94839074270178
"4046","ETV7",0.00344413243643498,0.925395389613285,8.57302580183191,1,2383.74670920563,0.80688820962562
"740","HORMAD1",0.0036431863729457,0.925395389613285,8.47040133061107,1,2383.74670920563,-2.03307282841465
"3913","ZNRD1",0.00364730855871628,0.925395389613285,8.46833690412743,1,2383.74670920563,-1.74843915836993
"5053","LONRF1",0.00367264433633929,0.925395389613285,8.45570044148632,1,2383.74670920563,-10
"3105","CYP2U1",0.00373882403843805,0.925395389613285,8.42310669646269,1,2383.74670920563,-10
"7769","KNTC1",0.00394391774810885,0.925395389613285,8.32570556742817,1,2383.74670920563,-1.81338703549825
"1714","SFT2D3",0.00403548066659287,0.925395389613285,8.28387509858496,1,2383.74670920563,-10
"8118","HECTD1",0.00406489970002032,0.925395389613285,8.27063994283386,1,2383.74670920563,0.371367894478938
"9258","B3GNT9",0.00409752298049118,0.925395389613285,8.25607683221974,1,2383.74670920563,2.74599158306658
"3837","GCNT2",0.00410811477119353,0.925395389613285,8.25137401284735,1,2383.74670920563,0.465682549124569
"4159","LMBRD1",0.00415120964411729,0.925395389613285,8.23236612488549,1,2383.74670920563,0.396312811483817
"9894","TBKBP1",0.00427199256155209,0.925395389613285,8.18014461757625,1,2383.74670920563,-1.73101521875405
"2945","GNPDA2",0.0043018797607651,0.925395389613285,8.16745475279143,1,2383.74670920563,1.08114285773307
"9890","ITGB3",0.00441764281004855,0.925395389613285,8.11913628777196,1,2383.74670920563,2.60761127476576
"4990","GIMAP4",0.00462256561800998,0.925395389613285,8.03668435394046,1,2383.74670920563,0.353174538633594
"12160","EIF1AX",0.0047758807972292,0.925395389613285,7.97739762004681,1,2383.74670920563,-0.570116347854381
"3126","SYNPO2",0.00505372171717643,0.925395389613285,7.87474059111643,1,2383.74670920563,1.7180062214849
"8753","IREB2",0.00521951010774253,0.925395389613285,7.81619201371917,1,2383.74670920563,0.42176257236785
"11162","CD33",0.00546190876543241,0.925395389613285,7.73391683123714,1,2383.74670920563,-1.28626368776816
"6326","SFR1",0.00563433028935426,0.925395389613285,7.67763011535932,1,2383.74670920563,1.15680191740785
"9002","NPIPB2",0.00565336585293671,0.925395389613285,7.67152403530032,1,2383.74670920563,-10
"12521","EIF1AY",0.00567343603125117,0.925395389613285,7.66510876362222,1,2383.74670920563,0.528940921245525
"5411","PLEC",0.00568157811659248,0.925395389613285,7.66251281318408,1,2383.74670920563,-0.660111172118574
"962","TNFSF4",0.00572013494815205,0.925395389613285,7.65027103712126,1,2383.74670920563,3.02769522770688
"6059","ZNF33A",0.00576312282343577,0.925395389613285,7.63672131678007,1,2383.74670920563,0.424930148922127
"9536","ELP5",0.00584542141371507,0.925395389613285,7.61106634487529,1,2383.74670920563,-1.52056164008558
"3900","ZKSCAN4",0.00589705427198611,0.925395389613285,7.59515837219244,1,2383.74670920563,0.727109787474957
"10565","P2RY11",0.00599399381789194,0.925395389613285,7.56567197300281,1,2383.74670920563,-0.800436180064168
"9948","C17orf67",0.00605769986523934,0.925395389613285,7.54655826278726,1,2383.74670920563,0.925141246645481
"5699","NIPSNAP3B",0.00611646427850753,0.925395389613285,7.52910831616793,1,2383.74670920563,-10
"10437","GNA11",0.00618189504810851,0.925395389613285,7.50987913190478,1,2383.74670920563,-2.15604211235084
"327","C1orf122",0.00622481276341882,0.925395389613285,7.49737877365516,1,2383.74670920563,-0.568562189061911
"9361","CMC2",0.00622826234903472,0.925395389613285,7.496377860551,1,2383.74670920563,0.430257844165709
"10790","ZNF85",0.00629125796764507,0.925395389613285,7.47819831451334,1,2383.74670920563,-2.76002789373211
