"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"2973","HOPX",2.47564189561804e-10,3.10470250129459e-06,40.3978030731287,1,2376.32675038425,5.6033037121915
"5247","FABP4",8.65179826262685e-10,5.42511010058017e-06,37.9145363918707,1,2376.32675038425,1.74412305565101
"1249","NLRP3",4.64779649546019e-07,0.00194293386165221,25.5464011296155,1,2376.32675038425,-1.7934686074788
"7142","PRDM10",1.04486422781524e-05,0.0264690734608665,19.5113449659129,1,2376.32675038425,1.29447190001573
"1154","ENAH",1.20712620995057e-05,0.0264690734608665,19.2334189947611,1,2376.32675038425,3.90196537179118
"3773","COL23A1",1.26636185922334e-05,0.0264690734608665,19.1412310844781,1,2376.32675038425,0.508983304485777
"12383","ACSL4",4.40730388560841e-05,0.0706752241701749,16.7496515125217,1,2376.32675038425,0.478332204745437
"5658","FBP1",4.5645744680957e-05,0.0706752241701749,16.682661421937,1,2376.32675038425,0.716794686910364
"4863","IFRD1",5.07198004570269e-05,0.0706752241701749,16.4813597346957,1,2376.32675038425,0.786450786211597
"8046","NDRG2",0.000155792405966792,0.195379256322953,14.347019672387,1,2376.32675038425,1.76023921335446
"8549","TUBGCP4",0.000174960654975963,0.199471052186686,14.1273268916336,1,2376.32675038425,-10
"6769","ATG2A",0.000201816911946489,0.205538833511242,13.8572437415278,1,2376.32675038425,1.20159258362321
"3203","RXFP1",0.000216391794468991,0.205538833511242,13.7254758931837,1,2376.32675038425,4.01033573610303
"10754","KLHL26",0.00025906219292985,0.205538833511242,13.3857311101525,1,2376.32675038425,-10
"9999","STRADA",0.000266971294364528,0.205538833511242,13.329013404629,1,2376.32675038425,0.606625920538288
"3153","ELF2",0.000276863934609068,0.205538833511242,13.260411115471,1,2376.32675038425,0.415849718720109
"5814","CIZ1",0.000278618943440803,0.205538833511242,13.2484994011438,1,2376.32675038425,1.00727949974895
"6949","GAB2",0.000326374961937808,0.219446090645812,12.9504922837692,1,2376.32675038425,0.37271372819407
"1662","RANBP2",0.000338520185900694,0.219446090645812,12.8817281155354,1,2376.32675038425,0.522813877820086
"8159","POLE2",0.000356348577982019,0.219446090645812,12.7851697330185,1,2376.32675038425,2.03591371913642
"7995","TPP2",0.000377302761568377,0.219446090645812,12.6777301175623,1,2376.32675038425,0.590129877587612
"1022","RGS13",0.000392451795261933,0.219446090645812,12.6037430079865,1,2376.32675038425,2.70969254385529
"8446","CRIP1",0.000427326281374452,0.219446090645812,12.4438306411188,1,2376.32675038425,0.986666249567774
"12433","HPRT1",0.00043146006924158,0.219446090645812,12.4257557561268,1,2376.32675038425,0.837466308279456
"7133","ST3GAL4",0.000437457321277833,0.219446090645812,12.3998414150044,1,2376.32675038425,-10
"7444","BLOC1S1",0.000509307866104176,0.227653653109743,12.1145908081364,1,2376.32675038425,-0.416030827463383
"9953","AKAP1",0.000510286705310493,0.227653653109743,12.1109920601538,1,2376.32675038425,1.38204432067758
"6119","SLC25A16",0.000524085294941335,0.227653653109743,12.0609899929192,1,2376.32675038425,-1.6447340735361
"9187","PHKB",0.000526429785518105,0.227653653109743,12.0526266065476,1,2376.32675038425,0.395143354843441
"8096","MDP1",0.000579061833384877,0.235749354080582,11.8741689375465,1,2376.32675038425,0.836623524617725
