"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5489","PLIN2",3.12913356802411e-06,0.0392424640765903,21.8423082431437,1,2325.56352665771,0.7619189283982
"10334","SERPINB2",3.23711054932394e-05,0.202983016995358,17.3413036764124,1,2325.56352665771,1.80412588914164
"5323","OXR1",0.000245891137422351,0.682575914180941,13.4850720334206,1,2325.56352665771,-1.20702440262727
"8975","ALG1",0.000278262798099967,0.682575914180941,13.251776486558,1,2325.56352665771,-10
"5808","DPM2",0.000327055594669821,0.682575914180941,12.94739890195,1,2325.56352665771,1.18763742223331
"11906","ZMAT5",0.000470416927976665,0.682575914180941,12.2642792014375,1,2325.56352665771,1.29012897843267
"3059","HERC6",0.000508237620632553,0.682575914180941,12.1192627650578,1,2325.56352665771,-0.919388100670236
"11196","ZNF83",0.000553504927772394,0.682575914180941,11.9593915115585,1,2325.56352665771,-1.3879321941776
"746","ANXA9",0.000554484287157056,0.682575914180941,11.9560805560838,1,2325.56352665771,3.73602562826872
"7532","RAP1B",0.000556203402345922,0.682575914180941,11.9502829450716,1,2325.56352665771,0.407244332667368
"11826","GNB1L",0.000598703058447521,0.682575914180941,11.8124362381891,1,2325.56352665771,1.73267954517649
"11164","VSIG10L",0.000711275722711718,0.731176473987944,11.4903046420079,1,2325.56352665771,-10
"10777","GMIP",0.000771438040257102,0.731176473987944,11.3387062533606,1,2325.56352665771,-1.19106355327319
"10006","ICAM2",0.000816240382412186,0.731176473987944,11.2333874119415,1,2325.56352665771,-2.17917565312634
"11168","SIGLEC10",0.000952432537697374,0.759853228403221,10.9458530065135,1,2325.56352665771,1.55571324426646
"3438","LHFPL2",0.00101623932583069,0.759853228403221,10.8251805982013,1,2325.56352665771,-0.632952233114106
"1276","TAF1B",0.00117428097196696,0.759853228403221,10.5565305231992,1,2325.56352665771,-1.61479149680967
"3215","MSMO1",0.00125882611967626,0.759853228403221,10.4274894364845,1,2325.56352665771,1.57948326831093
"1205","SLC35F3",0.00128417921027639,0.759853228403221,10.3905002031878,1,2325.56352665771,2.27166518471551
"9361","CMC2",0.00129014197722086,0.759853228403221,10.3819082010888,1,2325.56352665771,0.631418103174179
