"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"11941","TIMP3",2.91747856271924e-08,0.00036588098655062,30.9719517267158,1,2333.70149016156,1.87712070731118
"3002","AREG",2.05878085732063e-07,0.0012909585365829,27.1394897744088,1,2333.70149016156,3.92983047776393
"2768","HES1",5.99586188401565e-07,0.00250647012958134,25.0524271977773,1,2333.70149016156,5.96476848917213
"6600","SLC1A2",7.74230750929784e-06,0.024274069618526,20.0907409694053,1,2333.70149016156,5.07359006514002
"178","ID3",1.24979435611792e-05,0.0313473420401498,19.1680529737378,1,2333.70149016156,1.12028933016424
"7000","MMP12",2.09714589007994e-05,0.0438338443458209,18.1732430210585,1,2333.70149016156,4.41172643771847
"10953","SERTAD1",3.13399557661551e-05,0.0561477693233358,17.403052438036,1,2333.70149016156,1.11891992474183
"1061","CHIT1",3.68866772099903e-05,0.057824477361311,17.0911429543233,1,2333.70149016156,1.95950753128317
"8771","MEX3B",4.16956881501818e-05,0.0581006250101588,16.8567795938331,1,2333.70149016156,3.6081320095135
"7413","IGFBP6",6.63350249388987e-05,0.0831907547758728,15.9704229014666,1,2333.70149016156,2.89252452634529
"5805","AK1",7.40547586902939e-05,0.0844291571577251,15.7606667115763,1,2333.70149016156,1.59930514906666
"10221","CHMP1B",8.08114526534447e-05,0.0844547023105708,15.5944123543912,1,2333.70149016156,0.848530847931438
"2973","HOPX",9.18543458605393e-05,0.088611180879771,15.3507061772676,1,2333.70149016156,4.51756250336306
"5592","ZFAND5",0.000158293989007423,0.140818428042654,14.3176895201984,1,2333.70149016156,0.590894570493734
"3055","SPP1",0.00016842966435211,0.140818428042654,14.2001594228848,1,2333.70149016156,0.74784974439254
"7223","CD163L1",0.000279206734197489,0.214651878579129,13.2452507494397,1,2333.70149016156,0.849534986733616
"9973","YPEL2",0.000290972166162602,0.214651878579129,13.1674527266927,1,2333.70149016156,0.866009548264171
"12504","CMC4",0.000387061341985305,0.269674238324317,12.63039461457,1,2333.70149016156,1.19183668631512
"11102","DBP",0.000485637482596621,0.320546298381275,12.2044296176177,1,2333.70149016156,0.958551321911329
"10204","TGIF1",0.00053429765523629,0.335031344715915,12.025433522057,1,2333.70149016156,0.89903231334165
"9932","CACNA1G",0.00059080625247628,0.347002958565706,11.8371717619147,1,2333.70149016156,3.93255801290789
"11116","LIN7B",0.000608728577341961,0.347002958565706,11.7812486107001,1,2333.70149016156,1.70788662237159
"652","LRIG2",0.000672138408411872,0.366490773038839,11.5959438877931,1,2333.70149016156,-1.69855572841425
"5033","MYOM2",0.000715721979282687,0.373994555924341,11.4785576781058,1,2333.70149016156,2.92328229187323
