"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"1493","PLEK",2.43463502422519e-18,3.05327578388081e-14,77.5547515464432,1,2379.66626282756,-1.36427603076519
"4464","SDK1",6.46889537590224e-06,0.040563208454595,20.4357176347045,1,2379.66626282756,2.35751323621118
"7011","GUCY1A2",1.07833655921817e-05,0.0450780626305169,19.4505013858051,1,2379.66626282756,3.40666004573609
"4290","MCM9",4.25456812851837e-05,0.108593582467439,16.8169647950892,1,2379.66626282756,0.886570029729139
"6320","PDCD11",4.32954239962677e-05,0.108593582467439,16.7835804115383,1,2379.66626282756,-3.69621047957024
"10177","SECTM1",7.22670723346184e-05,0.147149492151613,15.8061161287939,1,2379.66626282756,-0.840225687135389
"3481","SPATA9",8.21343150515343e-05,0.147149492151613,15.5624413830598,1,2379.66626282756,1.80767418736826
"7919","ESD",0.000151697363567479,0.237804579562469,14.397414314403,1,2379.66626282756,-0.950492129371971
"5476","DMAC1",0.000216950244826543,0.302308113374409,13.7205472965136,1,2379.66626282756,-1.83297993932359
"1276","TAF1B",0.000267174313722796,0.31402410064842,13.3275236317703,1,2379.66626282756,-1.22475392105285
"8308","MLH3",0.000275437772676232,0.31402410064842,13.270091267694,1,2379.66626282756,1.00228560853258
"5247","FABP4",0.000645523308397358,0.674625650884273,11.6708636581578,1,2379.66626282756,1.08061424007411
"2095","CAMK1",0.000804320561102908,0.775921858214736,11.2601520437291,1,2379.66626282756,-0.965721797156693
"11999","APOBEC3G",0.00102282445979604,0.857223680736372,10.8125423781314,1,2379.66626282756,-0.827590362409537
"10347","ZNF407",0.00107741278356867,0.857223680736372,10.7158699827376,1,2379.66626282756,0.478645139386048
"133","SPATA21",0.00109365910946352,0.857223680736372,10.6880546534452,1,2379.66626282756,3.04670612190143
"8600","LEO1",0.00129364255372336,0.924822965628713,10.3763064415171,1,2379.66626282756,-1.25920354397931
"7645","BTBD11",0.00132739122727987,0.924822965628713,10.3285568302324,1,2379.66626282756,2.00138188590634
"142","ARHGEF10L",0.00144610591730386,0.942958324305894,10.1698530395078,1,2379.66626282756,-0.824601035607493
"12427","ENOX2",0.00168352797463824,0.942958324305894,9.88865299735371,1,2379.66626282756,-0.829284052067868
"9258","B3GNT9",0.00175787798663329,0.942958324305894,9.80882027479412,1,2379.66626282756,2.85159548924649
"10947","MAP3K10",0.00178420219478219,0.942958324305894,9.78137322010998,1,2379.66626282756,-2.37351269212188
"4279","TSPYL1",0.00202673676184872,0.942958324305894,9.54625990786101,1,2379.66626282756,0.738710374034587
