"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"5229","RPL7",1.08616933353472e-10,1.36216496118589e-06,42.0366534676375,1,2372.68619757469,-1.20265289821155
"5148","DDHD2",8.48841001355836e-07,0.00532265749900177,24.3731435559767,1,2372.68619757469,-10
"10297","SMAD7",3.16568186142098e-05,0.132336054080268,17.3826663000571,1,2372.68619757469,1.2339344461189
"677","MAN1A2",4.89635537291715e-05,0.153512981829385,16.5487392703411,1,2372.68619757469,0.673129970270993
"12190","DDX3X",8.98137480720689e-05,0.225270842914363,15.3925496388368,1,2372.68619757469,0.463530462748579
"8178","GNG2",0.000143203185969992,0.299318525874945,14.5067468229641,1,2372.68619757469,0.676039901497894
"4868","FOXP2",0.000446433990163,0.799818381519169,12.361768932134,1,2372.68619757469,3.06948471001572
"6055","CREM",0.000659890648667641,0.824371420204483,11.6298027004441,1,2372.68619757469,0.350848892089442
"4315","STX7",0.000664664853438612,0.824371420204483,11.6163282206216,1,2372.68619757469,0.384459044210319
"2952","TXK",0.000704509693411135,0.824371420204483,11.5075453529491,1,2372.68619757469,0.588405001165047
"10139","AATK",0.000784129777234234,0.824371420204483,11.3076623431276,1,2372.68619757469,0.519327579635201
"3224","HPF1",0.000963970928462736,0.824371420204483,10.922881331786,1,2372.68619757469,-1.38861006188007
"10360","ADNP2",0.000976641962888459,0.824371420204483,10.8985776690656,1,2372.68619757469,-1.69821688787594
"10485","MICOS13",0.00103209792191255,0.824371420204483,10.7958354133865,1,2372.68619757469,-0.821212881346591
"2098","TTLL3",0.00108185157178935,0.824371420204483,10.7083057996056,1,2372.68619757469,0.826427422370872
"5599","OSTF1",0.00121022176599621,0.824371420204483,10.5000452900127,1,2372.68619757469,0.397038064585572
"7331","CPNE8",0.00133484967649554,0.824371420204483,10.3182422779259,1,2372.68619757469,0.423345936048693
"10150","PDE6G",0.00140190473753112,0.824371420204483,10.2274170467732,1,2372.68619757469,2.08787571612189
"4241","SEC63",0.00144596775251289,0.824371420204483,10.1701001003694,1,2372.68619757469,-0.661915624465788
"4706","SEMA3A",0.00147369599057187,0.824371420204483,10.1349316880561,1,2372.68619757469,1.40577164742887
"3096","PPA2",0.00148331100583408,0.824371420204483,10.122893107564,1,2372.68619757469,-0.605283848453474
"12194","MAOA",0.00148361788057852,0.824371420204483,10.1225101853356,1,2372.68619757469,0.797454582870801
"1936","METTL21A",0.00162810173039837,0.824371420204483,9.95059518956529,1,2372.68619757469,-1.27489453158651
"11072","NPAS1",0.00166609352049199,0.824371420204483,9.90795717281514,1,2372.68619757469,3.416966891959
