"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8603","MYO5C",1.09066934662892e-15,1.36780842760733e-11,65.1543113662821,1,2365.09847756232,4.06036463884865
"9507","SCIMP",4.15463001081819e-12,2.60516074828354e-08,48.5518896911844,1,2365.09847756232,-2.25031518349876
"6999","MMP7",8.33102176443007e-07,0.00344974096906233,24.4099880451262,1,2365.09847756232,2.85008475373785
"1856","SLC40A1",1.19484318380994e-06,0.00344974096906233,23.7085284666505,1,2365.09847756232,1.11909396924826
"1061","CHIT1",1.37538512441684e-06,0.00344974096906233,23.4350568841677,1,2365.09847756232,1.94883892498779
"6539","COPB1",5.35464507025667e-05,0.111594168241942,16.3781224206938,1,2365.09847756232,0.580139208286883
"4647","AUTS2",6.36476083179946e-05,0.111594168241942,16.0484851247354,1,2365.09847756232,1.20435654141025
"6682","MS4A7",7.11867750526703e-05,0.111594168241942,15.8351499885249,1,2365.09847756232,0.306404261878155
"4641","TPST1",8.19099395278987e-05,0.114136950179931,15.5679805263432,1,2365.09847756232,1.24270342105952
"6361","EIF3A",0.000131835856834377,0.165335348055992,14.6637158392632,1,2365.09847756232,-0.572974636187677
"1023","RGS2",0.000176887250059975,0.199793006963636,14.1068155167956,1,2365.09847756232,0.717414213708635
"3220","CBR4",0.000191174235193656,0.199793006963636,13.9598797847145,1,2365.09847756232,0.702533718282198
"2907","SEL1L3",0.000248523917280377,0.228304940167199,13.4642736110446,1,2365.09847756232,0.97675112394481
"5373","ST3GAL1",0.000268190782447197,0.228304940167199,13.3206095662234,1,2365.09847756232,0.520636287293627
"989","LHX4",0.000278193205806011,0.228304940167199,13.2515703745031,1,2365.09847756232,3.62419060545936
"6655","SLC43A3",0.000291274941605548,0.228304940167199,13.1649632256929,1,2365.09847756232,-0.82298127205457
"1269","MBOAT2",0.000331058199747206,0.244223581354689,12.9238548960479,1,2365.09847756232,2.37198754309662
"1512","TGFA",0.000393932808080754,0.274461741452263,12.5968359704606,1,2365.09847756232,1.42976695821406
"3367","PDE4D",0.000495409056250662,0.326996051286292,12.16661795525,1,2365.09847756232,0.738258256591319
"10596","DOCK6",0.000646812079065007,0.405583514177712,11.6673256965638,1,2365.09847756232,3.86430471314214
"7479","BAZ2A",0.000698317972708239,0.409963429754653,11.5241326625101,1,2365.09847756232,0.547100973002393
"5457","PUM3",0.000719176736671905,0.409963429754653,11.4691578814958,1,2365.09847756232,-1.43790907127031
"7432","CBX5",0.000796014345409451,0.434035474164345,11.2796934106425,1,2365.09847756232,0.833461596241959
"6207","FAS",0.000870029326372348,0.442949972153993,11.1139260650036,1,2365.09847756232,0.984154856905288
"5176","SPIDR",0.000906497873617798,0.442949972153993,11.0374261582866,1,2365.09847756232,0.345987529013726
"2044","RAMP1",0.000918323839885481,0.442949972153993,11.0132861083319,1,2365.09847756232,1.09047670398269
"10006","ICAM2",0.00109135969084683,0.506916366033706,10.6921275653511,1,2365.09847756232,-1.39115215619079
"4589","COA1",0.00123154684490422,0.551601035069421,10.4677103265369,1,2365.09847756232,0.578564101619195
"7310","PPFIBP1",0.0013589267498226,0.578707559547805,10.2851872364075,1,2365.09847756232,0.91569633672753
