"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"8846","SNRPA1",9.11505576742336e-06,0.114311914379256,19.7728162972187,1,2421.18286811098,-1.6092122589095
"11598","TMEM189",0.000175228484093834,0.719226654410922,14.123600920244,1,2421.18286811098,-1.29197822022714
"3292","RETREG1",0.000334688511833444,0.719226654410922,12.9024516615819,1,2421.18286811098,2.2667203908405
"6477","PGAP2",0.000350491220805082,0.719226654410922,12.8156555080369,1,2421.18286811098,1.16047289097629
"2470","DZIP3",0.000369429331869533,0.719226654410922,12.7166978356937,1,2421.18286811098,0.900285106219905
"8838","MEF2A",0.000420048699197296,0.719226654410922,12.4754305725335,1,2421.18286811098,0.280432075128801
"6882","DHCR7",0.000438246424220835,0.719226654410922,12.3958120272665,1,2421.18286811098,1.27059036609458
"5301","COX6C",0.000490201512646143,0.719226654410922,12.1856455978868,1,2421.18286811098,-0.338136300535101
"5764","RBM18",0.000547954065930245,0.719226654410922,11.9769521052862,1,2421.18286811098,0.831078085740112
"10586","QTRT1",0.000654274772900351,0.719226654410922,11.6451586266918,1,2421.18286811098,-10
"2121","RAF1",0.000665771732563632,0.719226654410922,11.6126007706159,1,2421.18286811098,0.471687122173991
"7106","JHY",0.000729993497753509,0.719226654410922,11.4405848817001,1,2421.18286811098,2.08916143125576
"11899","GAS2L1",0.000761196583690083,0.719226654410922,11.3624582959098,1,2421.18286811098,-1.781338162548
"7826","ZNF268",0.000838640051805602,0.719226654410922,11.1817489900789,1,2421.18286811098,-1.93148703941404
"5378","TRAPPC9",0.000860250364098862,0.719226654410922,11.1343305110981,1,2421.18286811098,0.397774990517014
"10859","U2AF1L4",0.000996221754690985,0.7761414260794,10.861100073438,1,2421.18286811098,-1.29482029089093
"8260","DCAF5",0.00105210144672273,0.7761414260794,10.759607656937,1,2421.18286811098,0.425227633236564
"1559","CTNNA2",0.00115334689798165,0.781967911328721,10.5888952524519,1,2421.18286811098,3.06108825189608
"5352","TMEM65",0.00118470539153542,0.781967911328721,10.5390885694943,1,2421.18286811098,0.572433867179569
"12457","TMEM185A",0.00144334897985805,0.794778110087611,10.1729775737711,1,2421.18286811098,0.992208325825634
"994","MR1",0.0014807019074171,0.794778110087611,10.1256770322123,1,2421.18286811098,0.477013948124798
"2782","TCTEX1D2",0.00149394975041142,0.794778110087611,10.1091910615933,1,2421.18286811098,1.39341813856436
"3469","LYSMD3",0.0015435176704854,0.794778110087611,10.048794994358,1,2421.18286811098,0.845727512534093
"12534","MT-CYB",0.00157314283485915,0.794778110087611,10.01362977043,1,2421.18286811098,-0.211421985805386
"12528","MT-CO3",0.00164727592983132,0.794778110087611,9.92849395482278,1,2421.18286811098,-0.18010026922307
"926","TMCO1",0.00164773390178438,0.794778110087611,9.92798017212329,1,2421.18286811098,-0.64013831494736
"3289","OTULIN",0.00183869234768047,0.846049902270751,9.72546527500652,1,2421.18286811098,0.585776973246314
"4241","SEC63",0.00208344882109318,0.846049902270751,9.4950502813634,1,2421.18286811098,0.441643832128533
"68","PER3",0.00213605605379395,0.846049902270751,9.44912373437847,1,2421.18286811098,0.595721081951213
"8607","RSL24D1",0.00215379691413916,0.846049902270751,9.43389427230928,1,2421.18286811098,-0.540084018637774
"987","CEP350",0.00224565109205233,0.846049902270751,9.35702541004981,1,2421.18286811098,0.281513438372058
"6844","ANKRD13D",0.0026874663921475,0.846049902270751,9.02701173844262,1,2421.18286811098,0.447478043008536
"3153","ELF2",0.00272618859075777,0.846049902270751,9.00076589770584,1,2421.18286811098,0.305085199987292
"1636","LYG1",0.00286624241562324,0.846049902270751,8.90890245276761,1,2421.18286811098,1.6321177729764
"9712","OMG",0.002890763772012,0.846049902270751,8.89328894044525,1,2421.18286811098,-10
"2574","ASTE1",0.00302728159200001,0.846049902270751,8.80875273385072,1,2421.18286811098,1.38214269927066
"12046","ATP5MGL",0.00307235250433424,0.846049902270751,8.78169225123279,1,2421.18286811098,2.69229581494291
"1128","RRP15",0.00310692576895475,0.846049902270751,8.76120668769749,1,2421.18286811098,-3.02127973626612
"2424","EBLN2",0.00316629467921955,0.846049902270751,8.72656394102292,1,2421.18286811098,-10
"41","TNFRSF14",0.00316813690633977,0.846049902270751,8.72549956541554,1,2421.18286811098,0.402992932746867
"4826","FBXL13",0.00317233381637902,0.846049902270751,8.72307708314032,1,2421.18286811098,1.4591944621818
"8198","LGALS3",0.00318789564976109,0.846049902270751,8.7141230562535,1,2421.18286811098,-0.327065353721585
"4465","FOXK1",0.00322665837182177,0.846049902270751,8.69201145715469,1,2421.18286811098,-0.759278782993304
"12223","WDR13",0.00326361914733402,0.846049902270751,8.67117792498993,1,2421.18286811098,0.706776541139594
"1127","GPATCH2",0.00329355897213079,0.846049902270751,8.65447703282875,1,2421.18286811098,0.454886432135696
"1750","EPC2",0.00330793948818155,0.846049902270751,8.64651017796135,1,2421.18286811098,0.430264011749685
"12428","STK26",0.00339697515816139,0.846049902270751,8.59795503511608,1,2421.18286811098,1.25261557393572
"260","FABP3",0.00344178085940798,0.846049902270751,8.57400795250983,1,2421.18286811098,-1.60349548673935
"3431","AGGF1",0.00346453387241801,0.846049902270751,8.5619684055175,1,2421.18286811098,-0.553846407587819
"2594","STAG1",0.0035007763715096,0.846049902270751,8.54295616218572,1,2421.18286811098,0.325816072130637
"9303","UTP4",0.00350662632012301,0.846049902270751,8.53990615333118,1,2421.18286811098,1.1619292866548
"8289","PNMA1",0.0035506384406353,0.846049902270751,8.51712405009721,1,2421.18286811098,-2.89576451776484
