"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6600","SLC1A2",4.59625920651029e-09,4.00460395128021e-05,34.6064339036227,1,2410.71810634636,5.19250308788583
"3151","SLC7A11",6.38641886816077e-09,4.00460395128021e-05,33.9571719341568,1,2410.71810634636,1.23920006494132
"11160","SIGLEC9",5.12807332330904e-07,0.00214370558492062,25.3526506088538,1,2410.71810634636,-1.27545935177008
"8446","CRIP1",1.02388973694453e-06,0.00321015029775535,24.0063693514941,1,2410.71810634636,1.15139418886231
"9019","ABCC1",4.29331500281061e-06,0.0107210049927732,21.2265047830909,1,2410.71810634636,0.564582775035424
"9933","ABCC3",5.12925842888442e-06,0.0107210049927732,20.8826414936911,1,2410.71810634636,0.576564086657584
"10965","RAB4B",7.9647386931691e-06,0.0142693982787191,20.0332282687771,1,2410.71810634636,0.8147892618299
"11941","TIMP3",2.21913897980749e-05,0.0347877774322072,18.0623855429238,1,2410.71810634636,1.29623204380221
"9822","CAVIN1",4.28760229625539e-05,0.0597453559970432,16.8013752331834,1,2410.71810634636,2.46648848279744
"1234","CATSPERE",7.08288233715268e-05,0.0888264273902317,15.8436876771167,1,2410.71810634636,0.962980703178201
"10942","FBL",8.22401975669639e-05,0.0937613016079358,15.5592936413071,1,2410.71810634636,-2.81993660885325
"6534","MICAL2",9.42755642739961e-05,0.0985258209633487,15.2995251342533,1,2410.71810634636,0.916190177062869
"10177","SECTM1",0.00011530430120079,0.111233172412239,14.9170146369724,1,2410.71810634636,-0.712769251270492
"6691","DDB1",0.000174616817135595,0.147031717046669,14.1304089495777,1,2410.71810634636,0.654866356680327
"3306","RAI14",0.000175861235603224,0.147031717046669,14.1169715793837,1,2410.71810634636,1.22766557715633
"12059","PRR5",0.000195958785839991,0.153594945826208,13.9123086985386,1,2410.71810634636,-1.10526765012249
"4699","PHTF2",0.000234503520654123,0.172994626619021,13.5730849015726,1,2410.71810634636,-0.621214888646781
"5618","SLC28A3",0.000254796455408157,0.177522352626316,13.4164713671705,1,2410.71810634636,2.35977938008236
"5290","SDC2",0.00027086917361452,0.178787910857879,13.3011113874565,1,2410.71810634636,0.340156470498517
"9827","MLX",0.000328939396061517,0.206261448300374,12.9352199850482,1,2410.71810634636,-0.910230983230398
"2984","UTP3",0.000394843246665037,0.228072291684775,12.5918144270602,1,2410.71810634636,-1.22952407171315
"854","CRABP2",0.000400094922020974,0.228072291684775,12.5669905205901,1,2410.71810634636,2.3717322077706
"4718","CLDN12",0.000425580924878776,0.232052625169771,12.4510132391103,1,2410.71810634636,1.24764585482431
"2907","SEL1L3",0.000445034303422161,0.232548966634055,12.3671137039761,1,2410.71810634636,0.823488642688507
"974","COP1",0.000554363520091817,0.248283307638125,11.9553137932081,1,2410.71810634636,0.301106551250314
"4272","MARCKS",0.000561084266548394,0.248283307638125,11.9327502085232,1,2410.71810634636,-0.330207380637174
"1872","NABP1",0.000580494804674584,0.248283307638125,11.8690847332129,1,2410.71810634636,0.369989465767078
"9763","SOCS7",0.000609949420696855,0.248283307638125,11.7764714175337,1,2410.71810634636,1.08935415262886
"10625","ZNF563",0.000616714193113284,0.248283307638125,11.755839778433,1,2410.71810634636,-10
"7516","SRGAP1",0.000628365728996953,0.248283307638125,11.7208346591782,1,2410.71810634636,0.871860645729475
"11743","TTC3",0.00065339870639552,0.248283307638125,11.6477950789223,1,2410.71810634636,0.385972083680144
"11573","MMP9",0.000678190072687389,0.248283307638125,11.5781964532537,1,2410.71810634636,0.49147269309419
"7689","ALDH2",0.000712286050157154,0.248283307638125,11.4865653948267,1,2410.71810634636,0.476020308577793
"1948","IKZF2",0.000728245419442257,0.248283307638125,11.4451886065679,1,2410.71810634636,-3.50340252337817
"2591","PPP2R3A",0.000775785358953924,0.248283307638125,11.3271602253089,1,2410.71810634636,0.826043253427751
"5609","TLE1",0.000787742279577821,0.248283307638125,11.2986256872508,1,2410.71810634636,1.79473505571702
"12383","ACSL4",0.000792697485231532,0.248283307638125,11.2869285158593,1,2410.71810634636,0.350856045231581
"2318","HYAL3",0.000812201180644313,0.248283307638125,11.241595870202,1,2410.71810634636,3.2393602076749
"4703","SEMA3C",0.000812894472297162,0.248283307638125,11.2400047780475,1,2410.71810634636,0.715602361813095
"10682","ZNF333",0.000845508434160291,0.248283307638125,11.1666669613673,1,2410.71810634636,-1.56887456954552
"3053","HSD17B11",0.000863119407864295,0.248283307638125,11.1282467205482,1,2410.71810634636,0.52175881258944
"7251","GABARAPL1",0.000885847879905118,0.248283307638125,11.0798178208791,1,2410.71810634636,0.52325504245762
"8494","RASGRP1",0.000898560077387,0.248283307638125,11.0532764297707,1,2410.71810634636,5.29861897955797
"1771","PKP4",0.000920398174750779,0.248283307638125,11.00855604757,1,2410.71810634636,-1.85447502294781
"5774","DENND1A",0.000924282107575369,0.248283307638125,11.0007150415566,1,2410.71810634636,-0.352771234341873
"9778","FBXL20",0.000927298641275271,0.248283307638125,10.994648134598,1,2410.71810634636,0.409727404163793
"3518","TMED7",0.000930493218961157,0.248283307638125,10.9882448752031,1,2410.71810634636,-0.802327903489435
"1041","PHLDA3",0.000966696178275499,0.252569516078188,10.9171949917185,1,2410.71810634636,-1.45972968949485
"8738","NRG4",0.00099305873261403,0.252729923089732,10.8671315378012,1,2410.71810634636,2.1450460955091
"6400","ADAM12",0.00100761471609015,0.252729923089732,10.8400624348723,1,2410.71810634636,1.42496191731666
"11407","SPTLC3",0.00111485443116134,0.264509401590526,10.6520529377168,1,2410.71810634636,0.841364801431173
"7682","CCDC63",0.00111605779162985,0.264509401590526,10.6500487601531,1,2410.71810634636,3.71356891279348
"2493","IGSF11",0.00111785330390702,0.264509401590526,10.6470624270272,1,2410.71810634636,1.87045237568633
"3448","ZFYVE16",0.00115545488874725,0.268343699255171,10.5856141922978,1,2410.71810634636,0.331824844537578
"1214","B3GALNT2",0.00119930547501925,0.271507939932806,10.5164614111463,1,2410.71810634636,0.745711536301151
