"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"2500","ADPRH",9.14918401578862e-05,0.620416994441583,15.3574395043542,1,2368.40896247715,-2.21743167622294
"11136","PRMT1",9.89421887316136e-05,0.620416994441583,15.2086046126825,1,2368.40896247715,-1.8802561443807
"11232","LAIR1",0.000174657965204505,0.644140149973646,14.1307538787575,1,2368.40896247715,-0.692172355935351
"5544","TESK1",0.000205450968813857,0.644140149973646,13.8236559556067,1,2368.40896247715,0.958289599041311
"10784","ZNF682",0.00032773657714731,0.770041589549979,12.9427823938163,1,2368.40896247715,2.271146340494
"2127","TMEM43",0.00036841157302447,0.770041589549979,12.7226865045862,1,2368.40896247715,-2.66576979144275
"5024","NCAPG2",0.000458334384659333,0.821138788287527,12.3124638672385,1,2368.40896247715,-10
"7074","IFT46",0.000732716617111908,0.828948040166281,11.4342868160627,1,2368.40896247715,1.45416173827719
"6544","SOX6",0.000848344565462902,0.828948040166281,11.1609274683994,1,2368.40896247715,2.40672444115803
"7662","MMAB",0.000901321669928979,0.828948040166281,11.0480533537091,1,2368.40896247715,-10
"1400","SRSF7",0.000945717020340531,0.828948040166281,10.9585174046836,1,2368.40896247715,0.478674072952329
"5896","MRPS2",0.000946248792319938,0.828948040166281,10.9574709038368,1,2368.40896247715,-2.46592500329985
"3586","SPOCK1",0.000978742372145617,0.828948040166281,10.894629088516,1,2368.40896247715,1.31988236951332
"6337","SMC3",0.00136240842125944,0.828948040166281,10.2804109516447,1,2368.40896247715,-0.869316787576026
"4698","TMEM60",0.00136704061918667,0.828948040166281,10.2741209085583,1,2368.40896247715,-1.06407674590317
"8532","VPS39",0.0014476959414745,0.828948040166281,10.167931468958,1,2368.40896247715,0.542551776406194
"2338","TEX264",0.00155692014007678,0.828948040166281,10.0333109962753,1,2368.40896247715,-1.09584163716106
"294","SMIM12",0.00157923525907861,0.828948040166281,10.0069875358904,1,2368.40896247715,-1.04352345688676
"9438","MRM3",0.0016605717008221,0.828948040166281,9.91413382616013,1,2368.40896247715,-10
"4131","MEP1A",0.00170177752942057,0.828948040166281,9.86883834195322,1,2368.40896247715,1.22660525004768
"2230","ANO10",0.00172400225849431,0.828948040166281,9.84486730480015,1,2368.40896247715,0.698281309054539
"5660","FANCC",0.00174170110278917,0.828948040166281,9.82600084657834,1,2368.40896247715,-2.60837134335951
"9897","SCRN2",0.00180511511426394,0.828948040166281,9.75996418769533,1,2368.40896247715,-10
"7731","GCN1",0.00183554162771934,0.828948040166281,9.7291100713094,1,2368.40896247715,0.892951444794846
"9360","CDYL2",0.00186101098215197,0.828948040166281,9.70367904583646,1,2368.40896247715,0.712457378334275
"5371","SLA",0.00192929599197104,0.828948040166281,9.63720097479954,1,2368.40896247715,0.321032897056151
"11239","LILRB4",0.00211779231641003,0.828948040166281,9.46539207390453,1,2368.40896247715,-0.483879294186679
"7458","IKZF4",0.00221845774128325,0.828948040166281,9.37989228903642,1,2368.40896247715,-10
"8979","METTL22",0.00222269827453694,0.828948040166281,9.37637759536694,1,2368.40896247715,-1.2451749578429
"2168","SLC4A7",0.00231804314299918,0.828948040166281,9.29910020922231,1,2368.40896247715,0.40813034267639
"10425","GADD45B",0.00234635033625643,0.828948040166281,9.27677758048687,1,2368.40896247715,0.955801573554619
"1646","RNF149",0.00235493244683091,0.828948040166281,9.27006385028446,1,2368.40896247715,0.360495363535952
"8598","TMOD2",0.00253110508197617,0.828948040166281,9.1374770311925,1,2368.40896247715,0.813391808843024
"7101","TECTA",0.00254298532757633,0.828948040166281,9.12887625909898,1,2368.40896247715,2.83638857379331
"10788","ZNF626",0.00265096101935044,0.828948040166281,9.05252759141848,1,2368.40896247715,-3.10467516363455
"8519","CHP1",0.0027059781389659,0.828948040166281,9.0148319062869,1,2368.40896247715,-0.844460646636384
"9648","ALDH3A2",0.00271195564017654,0.828948040166281,9.01078333219101,1,2368.40896247715,-1.00953020543844
"525","GIPC2",0.00278877295463108,0.828948040166281,8.95954706831654,1,2368.40896247715,2.28447374009875
"7841","MICU2",0.00280073839139689,0.828948040166281,8.9516955728252,1,2368.40896247715,0.482286955212011
"3101","AIMP1",0.00292994028653775,0.828948040166281,8.86902359478427,1,2368.40896247715,-0.874477610944269
"3760","GRK6",0.00302349486958584,0.828948040166281,8.81144231060493,1,2368.40896247715,0.739782811681969
"407","AKR1A1",0.00307911021598227,0.828948040166281,8.77806432499473,1,2368.40896247715,-0.45927676607801
"6260","ZFYVE27",0.00318460579733094,0.828948040166281,8.71640159749529,1,2368.40896247715,-1.60045864874932
"6660","UBE2L6",0.00319246273605255,0.828948040166281,8.71189260650473,1,2368.40896247715,-0.427627871948576
"1737","UBXN4",0.00319874026729478,0.828948040166281,8.7082981190796,1,2368.40896247715,-0.442022005657149
"6927","GDPD5",0.00333087125916464,0.828948040166281,8.63426088995438,1,2368.40896247715,-10
"1919","WDR12",0.00337038047734033,0.828948040166281,8.61270199567624,1,2368.40896247715,-2.27935133620315
"1124","PTPN14",0.00349048716807746,0.828948040166281,8.54870853724651,1,2368.40896247715,2.68075006765586
"1539","WDR54",0.00355100813283091,0.828948040166281,8.5173065512989,1,2368.40896247715,-10
"592","CDC14A",0.0035666898373657,0.828948040166281,8.50925874266653,1,2368.40896247715,-0.978590748786707
"8512","RMDN3",0.00386500276228327,0.828948040166281,8.36266525683481,1,2368.40896247715,-1.27081352224714
"615","PSMA5",0.00398519106515006,0.828948040166281,8.30683369275631,1,2368.40896247715,-0.586001123931226
"9419","CDK10",0.00402006368196458,0.828948040166281,8.29095478509114,1,2368.40896247715,1.10711695635997
"5770","ZBTB6",0.00405250737759012,0.828948040166281,8.27630731271446,1,2368.40896247715,-2.23538261730465
"4749","BAIAP2L1",0.00421812684988346,0.828948040166281,8.20334809965961,1,2368.40896247715,2.31660418394047
"10116","PGS1",0.00422501185632068,0.828948040166281,8.20037860682658,1,2368.40896247715,0.515266691839811
"3068","CCSER1",0.00424724393806546,0.828948040166281,8.1908234900427,1,2368.40896247715,0.900729951960248
"11713","CFAP298",0.00430177990106491,0.828948040166281,8.16759862080044,1,2368.40896247715,-1.34333148248901
"11625","ZBP1",0.00431994306046938,0.828948040166281,8.15993012972045,1,2368.40896247715,-1.44915246653345
"2437","NSUN3",0.00435937098846193,0.828948040166281,8.14339607893774,1,2368.40896247715,-0.649190877136158
"7970","SLAIN1",0.00436140626410561,0.828948040166281,8.14254672877721,1,2368.40896247715,2.55926755765834
"11179","ZNF613",0.00440681082242093,0.828948040166281,8.12370301613778,1,2368.40896247715,-2.8507189243714
"10934","ZFP36",0.00448915659789167,0.828948040166281,8.09002733229861,1,2368.40896247715,0.709052021433747
"5313","ATP6V1C1",0.0045057008466169,0.828948040166281,8.08333746256466,1,2368.40896247715,-0.463421268736158
"210","CEP85",0.00469333381380708,0.828948040166281,8.00917111779902,1,2368.40896247715,-2.23863700262085
"6284","LZTS2",0.00471971417134641,0.828948040166281,7.99898667004793,1,2368.40896247715,0.855455700133562
"1595","EIF2AK3",0.00476915724298078,0.828948040166281,7.98005393384966,1,2368.40896247715,-1.63173637822931
