"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"4409","SOD2",2.02099326067475e-05,0.174446941472706,18.2435888405491,1,2354.2134160346,0.591513749462031
"9057","HS3ST2",2.78202601822352e-05,0.174446941472706,17.6306497930141,1,2354.2134160346,1.67093996346944
"11941","TIMP3",4.57595051926723e-05,0.191289984873768,16.6784876940547,1,2354.2134160346,1.51683660044512
"4150","ZNF451",7.71809275493893e-05,0.241981503099223,15.6814370776263,1,2354.2134160346,-1.00902679044562
"1008","TSEN15",0.000136117683947022,0.34141037487592,14.6033242095464,1,2354.2134160346,-1.96391568209649
"3186","FAM160A1",0.000215699284570288,0.450847454632664,13.7319305677563,1,2354.2134160346,3.9917852507381
"11489","TRPC4AP",0.000533046241123654,0.653229404242239,12.0295347692854,1,2354.2134160346,-0.602974319618052
"11807","CECR2",0.000571634018429137,0.653229404242239,11.8986393877415,1,2354.2134160346,3.24796488066775
"11605","DPM1",0.000594524727549848,0.653229404242239,11.8251465976349,1,2354.2134160346,0.84098046301859
"11793","SPATC1L",0.000628622416120587,0.653229404242239,11.7208120461864,1,2354.2134160346,2.41628466844859
"247","RAB42",0.000678604710890625,0.653229404242239,11.5777782940554,1,2354.2134160346,0.998909719994265
"1316","POMC",0.000760646807460713,0.653229404242239,11.3646309314305,1,2354.2134160346,-10
"9680","PROCA1",0.000789776289513944,0.653229404242239,11.2945055661088,1,2354.2134160346,-10
"8912","MLST8",0.000840660636729737,0.653229404242239,11.1780618289702,1,2354.2134160346,1.46966426781771
"10607","ECSIT",0.000870557886858422,0.653229404242239,11.1129257087643,1,2354.2134160346,-10
"2980","STAP1",0.000894344778927881,0.653229404242239,11.0626984984034,1,2354.2134160346,-2.79354361463807
"1662","RANBP2",0.000905401517194805,0.653229404242239,11.0398099940008,1,2354.2134160346,-0.698120911075783
"9065","DCTN5",0.000937575095794618,0.653229404242239,10.9747821593609,1,2354.2134160346,-1.45587901631618
"6636","MADD",0.00101662904383905,0.671028675725554,10.8241329070835,1,2354.2134160346,0.781516757787945
"6239","CC2D2B",0.00113011400789372,0.689726733845234,10.6274134069767,1,2354.2134160346,-2.34396019824511
"228","AHDC1",0.00118498380791122,0.689726733845234,10.5393658980946,1,2354.2134160346,1.42999278560307
"6410","LRRC27",0.00124896598346117,0.689726733845234,10.441766985912,1,2354.2134160346,1.05564986666667
"8752","WDR61",0.00126494816030942,0.689726733845234,10.4181780718493,1,2354.2134160346,-1.71648443301011
"4344","TXLNB",0.00136731443253588,0.714478762434688,10.2738970417703,1,2354.2134160346,-10
"11008","ZNF283",0.00146695472328352,0.731028511636917,10.1436064138155,1,2354.2134160346,-10
"5608","TLE4",0.00155367347416459,0.731028511636917,10.0373135422938,1,2354.2134160346,-0.571136199707879
"6029","ARHGAP21",0.00157385932654467,0.731028511636917,10.0134347052704,1,2354.2134160346,-0.536280875227641
"5469","RIC1",0.0016912062505096,0.757479199558605,9.88048858314565,1,2354.2134160346,-0.568381783738832
"10450","APBA3",0.0018405743735743,0.779670250254623,9.72418924160991,1,2354.2134160346,-10
"4683","STYXL1",0.0018650911017972,0.779670250254623,9.69976986697335,1,2354.2134160346,-0.957346188095691
"1154","ENAH",0.00222988195536134,0.787211981557725,9.3705625998886,1,2354.2134160346,3.70664521536835
"6635","NR1H3",0.00239783418075173,0.787211981557725,9.23699058824841,1,2354.2134160346,0.772558882781614
"9503","KIF1C",0.00240948442151196,0.787211981557725,9.22808054854672,1,2354.2134160346,-1.62340394767285
"212","UBXN11",0.00243081803897733,0.787211981557725,9.21187754381971,1,2354.2134160346,-1.27654122682948
"7602","SLC25A3",0.00246314555562279,0.787211981557725,9.18759779334748,1,2354.2134160346,-0.517647719914314
"10126","CBX4",0.00246918465932929,0.787211981557725,9.18309798740044,1,2354.2134160346,0.860136961778737
"10393","NDUFS7",0.00248686366081864,0.787211981557725,9.16998913367361,1,2354.2134160346,-0.873876107595291
"4132","ADGRF5",0.00249366001212138,0.787211981557725,9.16497485796897,1,2354.2134160346,3.97484899225376
"11019","ZNF234",0.00250940690440673,0.787211981557725,9.15341010483878,1,2354.2134160346,-2.34244395536785
"5132","PPP2CB",0.00257808213478667,0.787211981557725,9.10382108070629,1,2354.2134160346,-0.728168673690216
"5900","TMEM250",0.00262132894755528,0.787211981557725,9.07327731908053,1,2354.2134160346,-2.32137209499927
"11842","MED15",0.00276961703820554,0.787211981557725,8.97230215927097,1,2354.2134160346,-0.696455640949706
"1467","USP34",0.00277414391754239,0.787211981557725,8.96930672430846,1,2354.2134160346,-0.372926051000892
"8528","JMJD7",0.00279848997038067,0.787211981557725,8.95328166517914,1,2354.2134160346,-10
"10692","TPM4",0.00283578126303524,0.787211981557725,8.92900845445287,1,2354.2134160346,-0.367114867718304
"11652","DIDO1",0.00293560824550109,0.787211981557725,8.86559344353384,1,2354.2134160346,0.655440962128184
"3207","FNIP2",0.00301991325008279,0.787211981557725,8.81372319110928,1,2354.2134160346,0.521917192496258
"12306","TAF1",0.00318571527087732,0.787211981557725,8.71587189206638,1,2354.2134160346,0.65273568763637
"9052","MOSMO",0.00328031329756361,0.787211981557725,8.66233773888413,1,2354.2134160346,-0.940025904195923
"4277","TSPYL4",0.00332202887537642,0.787211981557725,8.6392274128501,1,2354.2134160346,-10
