"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6654","PRG2",1.70442465173839e-05,0.209080630037136,18.5691875213649,1,2403.33389928172,2.17788660474822
"7103","SORL1",3.33435340143746e-05,0.209080630037136,17.2824450506518,1,2403.33389928172,-1.62723224988858
"10446","HMG20B",0.000120422430872039,0.396989131689248,14.8347312266206,1,2403.33389928172,0.678984931553914
"5054","TRMT9B",0.000126621204589506,0.396989131689248,14.7394931487686,1,2403.33389928172,-10
"4282","RWDD1",0.000215913620652088,0.541554543319566,13.7291777463932,1,2403.33389928172,-0.684940502821469
"12448","HTATSF1",0.000327587038083922,0.610514828423087,12.9430886453048,1,2403.33389928172,-1.29238209956844
"7366","CCDC65",0.000386714571187498,0.610514828423087,12.6310120401242,1,2403.33389928172,-10
"12391","LONRF3",0.000451674579885538,0.610514828423087,12.3394255019593,1,2403.33389928172,-1.31588820065508
"7010","AASDHPPT",0.000480174933001909,0.610514828423087,12.2246430053521,1,2403.33389928172,0.691332163739437
"11002","ZNF428",0.000542463328245513,0.610514828423087,11.9960520303665,1,2403.33389928172,-1.08573235565175
"6608","LRRC4C",0.000664066817847926,0.610514828423087,11.6176173207624,1,2403.33389928172,3.51402993562266
"11722","DNAJC28",0.000711031736220897,0.610514828423087,11.4899483299702,1,2403.33389928172,1.78771158284784
"7500","AGAP2",0.000713196682127374,0.610514828423087,11.4842706009122,1,2403.33389928172,-10
"11763","WDR4",0.000767825206329899,0.610514828423087,11.3464935305657,1,2403.33389928172,-10
"571","CCDC18",0.000867359774375876,0.610514828423087,11.1192001315401,1,2403.33389928172,-0.858295446291066
"213","CD52",0.000889671938113998,0.610514828423087,11.0718784467167,1,2403.33389928172,0.621341987864842
"1264","CMPK2",0.000897221983580069,0.610514828423087,11.0561370782735,1,2403.33389928172,-0.405374814763706
"7139","ARHGAP32",0.000958669006870696,0.610514828423087,10.9327966119282,1,2403.33389928172,1.06104341073166
"9326","ZNF23",0.000980783886080499,0.610514828423087,10.8903548615252,1,2403.33389928172,-10
"6419","PAOX",0.00108280179272619,0.610514828423087,10.7063376552468,1,2403.33389928172,-2.47822114931779
"7314","FAR2",0.00112973277159841,0.610514828423087,10.6275044212658,1,2403.33389928172,-1.10602498070512
"3818","PRPF4B",0.00115672916619872,0.610514828423087,10.5836454438308,1,2403.33389928172,-0.437966920102341
"3925","ATAT1",0.00128160252323175,0.610514828423087,10.3934026434145,1,2403.33389928172,-10
"8092","REC8",0.00132988122587039,0.610514828423087,10.3248410321711,1,2403.33389928172,-10
"11787","POFUT2",0.00134910071885953,0.610514828423087,10.2982461474962,1,2403.33389928172,-2.44939071679705
"1771","PKP4",0.00139027233842983,0.610514828423087,10.2425440172676,1,2403.33389928172,-1.8013211983976
"10785","ZNF90",0.00141555526254241,0.610514828423087,10.2091604327792,1,2403.33389928172,1.82436018123377
"5768","PDCL",0.00142784955195596,0.610514828423087,10.1931447410386,1,2403.33389928172,-1.00932584772986
"3655","AFAP1L1",0.00149249081132562,0.610514828423087,10.1111714366686,1,2403.33389928172,1.89937049542342
"1301","UBXN2A",0.0015374693220071,0.610514828423087,10.0562287923368,1,2403.33389928172,-0.685921097567954
"3918","RPP21",0.00160755083743981,0.610514828423087,9.97378794195074,1,2403.33389928172,-1.19061814585205
"2067","SEPTIN2",0.0016726129575685,0.610514828423087,9.9004499523877,1,2403.33389928172,-0.374957341577067
"9493","PLD2",0.00167945193175471,0.610514828423087,9.89290968156137,1,2403.33389928172,-1.09375871714415
"8723","COX5A",0.00169028161548693,0.610514828423087,9.88103292772385,1,2403.33389928172,0.416315748100951
"11668","ZBTB46",0.00170385288213125,0.610514828423087,9.86625797704449,1,2403.33389928172,0.894816709311424
"5409","PUF60",0.00178606903187892,0.622196992466488,9.77922449751443,1,2403.33389928172,-1.07268411123458
"6004","CUBN",0.00185790584363423,0.622506187409457,9.70644207596356,1,2403.33389928172,1.75936978406409
"9676","RSKR",0.00193204577118058,0.622506187409457,9.63426022334595,1,2403.33389928172,1.51624158224407
"3242","STOX2",0.00194986685613013,0.622506187409457,9.61732878177024,1,2403.33389928172,1.43823511380374
"11941","TIMP3",0.00200820142685706,0.622506187409457,9.56298443087625,1,2403.33389928172,0.981627040709343
"8481","KATNBL1",0.00203514501904057,0.622506187409457,9.53842235235646,1,2403.33389928172,0.42759899841583
"10612","ZNF441",0.00218580140308431,0.651784448039958,9.40688960953542,1,2403.33389928172,-3.02717095694638
"1681","SLC20A1",0.00241495126769193,0.651784448039958,9.22350568755471,1,2403.33389928172,-1.22725816260097
"9384","ZDHHC7",0.00242427671747162,0.651784448039958,9.21642199262177,1,2403.33389928172,0.483333832157343
"2094","OGG1",0.00243968857844231,0.651784448039958,9.20477544252474,1,2403.33389928172,1.04233530410401
"11018","ZNF225",0.0024747938673153,0.651784448039958,9.17852336745546,1,2403.33389928172,1.30857436847352
"4875","CTTNBP2",0.00248778752816571,0.651784448039958,9.16890236857437,1,2403.33389928172,1.0542834370256
"5048","MTMR9",0.00249466976364867,0.651784448039958,9.16382715501884,1,2403.33389928172,-0.891136463717954
"1698","TMEM37",0.00274499221422832,0.702549946094639,8.98829470765574,1,2403.33389928172,-0.768670114636436
"8672","MAP2K1",0.00281176547533989,0.705247016524752,8.94421733117508,1,2403.33389928172,0.413893607848351
"2290","IMPDH2",0.00296391606497479,0.705869248472884,8.84763166363368,1,2403.33389928172,-2.29745780211548
"5063","MTMR7",0.0029765609519104,0.705869248472884,8.83983277924878,1,2403.33389928172,3.18528207425533
"4050","CDKN1A",0.00298310104210692,0.705869248472884,8.83581230512891,1,2403.33389928172,-0.447066747607544
"12109","AKAP17A",0.00319761013894511,0.736558245132273,8.70868555196864,1,2403.33389928172,-0.845285310205878
"6002","PTER",0.00324767439104236,0.736558245132273,8.68026460789264,1,2403.33389928172,-0.757636114057602
"2195","CTDSPL",0.00328899304101804,0.736558245132273,8.65714207548657,1,2403.33389928172,0.988450835203275
"10155","MRPL12",0.00338719526442301,0.745242382651386,8.60335135606863,1,2403.33389928172,-1.24548634099031
"3724","STK10",0.00347542587397216,0.751470963542842,8.55635873425371,1,2403.33389928172,0.376776557815823
"6930","UVRAG",0.00368296774524651,0.758184245400481,8.45044056618939,1,2403.33389928172,-0.325871410279478
"7353","SLC48A1",0.00374495217597164,0.758184245400481,8.41998285804283,1,2403.33389928172,-0.943919778348803
"9214","MT2A",0.00375243401735626,0.758184245400481,8.41634120870436,1,2403.33389928172,-0.747308401881427
"6951","TENM4",0.00377917903154548,0.758184245400481,8.40338372452228,1,2403.33389928172,1.73929981007969
"225","TMEM222",0.00380875587754009,0.758184245400481,8.38916251558807,1,2403.33389928172,-1.39436760708214
"8280","RBM25",0.00403623827854211,0.776945804557099,8.28340168983538,1,2403.33389928172,-0.376363225298664
"2558","RPN1",0.00404439438395478,0.776945804557099,8.27972338131776,1,2403.33389928172,-0.42428756942684
"1203","PCNX2",0.00416208155247566,0.776945804557099,8.22747292006077,1,2403.33389928172,-1.02564324858355
"8415","RCOR1",0.00420603910266941,0.776945804557099,8.20834180668257,1,2403.33389928172,0.36248628405773
"5635","AUH",0.00423461738772023,0.776945804557099,8.19601295530928,1,2403.33389928172,0.520587537439507
"9991","TLK2",0.00432095640937486,0.776945804557099,8.15927418922735,1,2403.33389928172,-0.39970874136057
"10029","SLC16A6",0.00441992905116746,0.776945804557099,8.1180686440958,1,2403.33389928172,0.65819315487817
"7430","CALCOCO1",0.0044329435654986,0.776945804557099,8.11272033312327,1,2403.33389928172,0.67448895089857
"12258","SMC1A",0.00450769527885353,0.776945804557099,8.08230767373436,1,2403.33389928172,0.555906360296882
"6085","TMEM273",0.00452252960152047,0.776945804557099,8.07633348865057,1,2403.33389928172,-2.88174560711071
"3055","SPP1",0.00462223546774638,0.783343986500099,8.03669012770164,1,2403.33389928172,0.429374338845957
"8499","BMF",0.00471842007825433,0.788982749351834,7.99926425375542,1,2403.33389928172,0.65322776968289
"5579","PIP5K1B",0.00501368452647662,0.827323916401885,7.88905370776089,1,2403.33389928172,-10
"2510","GTF2E1",0.00525333589475475,0.84142666266733,7.80436218429863,1,2403.33389928172,0.773998873842672
"8144","PNN",0.0052582038983099,0.84142666266733,7.80268297981771,1,2403.33389928172,-0.496119010087116
"7667","GIT2",0.00530043109406898,0.84142666266733,7.78818301935145,1,2403.33389928172,-0.373527649538721
"11522","MANBAL",0.005372445472621,0.842197983401749,7.76372449437382,1,2403.33389928172,-0.893747276994618
"11809","BCL2L13",0.00555233619054415,0.859652446489065,7.70405991346494,1,2403.33389928172,-0.551841170772162
"9319","ST3GAL2",0.00568297011953574,0.869147905720703,7.66195601578787,1,2403.33389928172,0.467495649883559
"2936","APBB2",0.00583707525569184,0.87563914389538,7.61353922178268,1,2403.33389928172,1.13208496565261
"3842","MAK",0.00588429213535546,0.87563914389538,7.59896547576304,1,2403.33389928172,-2.25401339423374
"6504","DCHS1",0.00604618944856526,0.87563914389538,7.54988623029905,1,2403.33389928172,2.21911710553308
"2956","OCIAD1",0.00606311304255256,0.87563914389538,7.54483349756155,1,2403.33389928172,0.373172075917111
"2064","PPP1R7",0.00617836681142478,0.87563914389538,7.51080152771612,1,2403.33389928172,-0.567569882538537
"3151","SLC7A11",0.00629071196898592,0.87563914389538,7.47824677950382,1,2403.33389928172,0.673304631849662
"9604","ZNF286A",0.00634056178955968,0.87563914389538,7.4639913341835,1,2403.33389928172,1.18853462750731
"9541","ACAP1",0.00639015219742299,0.87563914389538,7.4499232177861,1,2403.33389928172,-2.81888826106051
"10913","FAM98C",0.00646770123623664,0.87563914389538,7.42814566792907,1,2403.33389928172,1.01832743315003
"9847","BRCA1",0.00650526232077442,0.87563914389538,7.41769336445344,1,2403.33389928172,-1.58305084916264
"11506","CNBD2",0.00652193361543413,0.87563914389538,7.41307390524217,1,2403.33389928172,-2.79212011428716
"4987","AC073111.4",0.00662100415149231,0.87563914389538,7.38586886030461,1,2403.33389928172,-10
"7544","CNOT2",0.00663310092257883,0.87563914389538,7.38257558339258,1,2403.33389928172,-0.363475227779484
"1875","STK17B",0.00671743899754785,0.877535442377579,7.35978418662126,1,2403.33389928172,-0.497939618566744
"1258","TMEM18",0.00691373904725349,0.892224986254887,7.307849295793,1,2403.33389928172,-1.52282767376365
"12150","REPS2",0.00697217515772099,0.892224986254887,7.29267975355761,1,2403.33389928172,-0.709083876343216
"6214","KIF20B",0.00713394406094871,0.903704974427857,7.25135430092593,1,2403.33389928172,-1.20883614873324
"11468","SNTA1",0.00747276630353976,0.935556414979743,7.16781919483626,1,2403.33389928172,1.69669746375691
"11577","SLC35C2",0.00753458240275528,0.935556414979743,7.15299737547685,1,2403.33389928172,-0.711551842792244
"7984","IPO5",0.00768225262602773,0.941089785444764,7.11808771129897,1,2403.33389928172,0.858510664848474
"10837","ZNF181",0.00777204478879814,0.941089785444764,7.09719466235781,1,2403.33389928172,1.17793978965099
"2984","UTP3",0.00780426901253931,0.941089785444764,7.08975682373509,1,2403.33389928172,-0.878213340350411
"1460","BCL11A",0.00798942439499842,0.954241631787383,7.04762006003966,1,2403.33389928172,1.04796595339719
"6931","THAP12",0.00813049381099753,0.96192946116717,7.01618160963997,1,2403.33389928172,-0.765739164235809
"1206","COA6",0.00850099140909041,0.964123593181305,6.9362006672962,1,2403.33389928172,-0.561249453477283
"2980","STAP1",0.00854876787346749,0.964123593181305,6.92614764966629,1,2403.33389928172,-1.31541117290098
"12037","PHETA2",0.00858049216815979,0.964123593181305,6.91950403095182,1,2403.33389928172,-10
"4344","TXLNB",0.00877923359598898,0.964123593181305,6.87844813565511,1,2403.33389928172,1.06919194212115
"1320","KIF3C",0.00884086880629229,0.964123593181305,6.86590877490213,1,2403.33389928172,-10
"2479","CD200R1",0.00899142967701007,0.964123593181305,6.83565069179202,1,2403.33389928172,-0.803700144179029
"11462","ASXL1",0.00904340922518161,0.964123593181305,6.82532481533547,1,2403.33389928172,-0.564006473339567
"4810","IFT22",0.00907390933914849,0.964123593181305,6.81929415912371,1,2403.33389928172,-2.72500835013307
"5440","LRRC14",0.00910509382008882,0.964123593181305,6.81314962360557,1,2403.33389928172,-2.68249839845922
"11358","SIRPD",0.00915792841177317,0.964123593181305,6.80278824350504,1,2403.33389928172,0.692426255936731
"10583","CDKN2D",0.00933805238051868,0.964123593181305,6.76791901156676,1,2403.33389928172,-10
"9867","FZD2",0.00935866797616761,0.964123593181305,6.76397218695748,1,2403.33389928172,-1.08206456689836
"5878","RPL7A",0.00957975683967865,0.964123593181305,6.72219676412243,1,2403.33389928172,0.215872698296102
"5833","SPOUT1",0.00962719038142208,0.964123593181305,6.71336288212037,1,2403.33389928172,1.09227388095067
"10378","GRIN3B",0.0097594895986889,0.964123593181305,6.68895770779484,1,2403.33389928172,2.60170518548965
"11827","RTL10",0.00977051175674091,0.964123593181305,6.68693978611059,1,2403.33389928172,-2.67387372986957
"9265","E2F4",0.0100489503868492,0.964123593181305,6.63672355694901,1,2403.33389928172,-1.02578706942302
"6092","PRKG1",0.0102924800540401,0.964123593181305,6.59395954340252,1,2403.33389928172,2.39631570808704
"11315","ZNF418",0.0105485242927723,0.964123593181305,6.55010326145466,1,2403.33389928172,1.86829543642879
"1384","FEZ2",0.0107662281870082,0.964123593181305,6.51366494509126,1,2403.33389928172,-0.363630560926915
"9007","PARN",0.0107858525395405,0.964123593181305,6.51041754346019,1,2403.33389928172,0.388942936356023
"4545","CREB5",0.01084326077511,0.964123593181305,6.50095244290143,1,2403.33389928172,0.998955826763939
"5360","WASHC5",0.0108985868544378,0.964123593181305,6.49187918650775,1,2403.33389928172,-0.626578642552948
"4478","AIMP2",0.0109617160373193,0.964123593181305,6.48158383367782,1,2403.33389928172,-1.44395948778511
"10755","CRTC1",0.0109845077071704,0.964123593181305,6.47788182792905,1,2403.33389928172,0.566530452724552
"7211","ENO2",0.0110237856161947,0.964123593181305,6.47152046289425,1,2403.33389928172,-2.64559609584629
"4052","C6orf89",0.0110407599573289,0.964123593181305,6.46877853361207,1,2403.33389928172,-0.561061258106154
"8952","DNASE1",0.0110711352426222,0.964123593181305,6.46388268475192,1,2403.33389928172,-0.925800770668648
"9429","CENPBD1",0.011106706987289,0.964123593181305,6.45816678039127,1,2403.33389928172,0.815479889720118
"9836","COA3",0.0111102709026104,0.964123593181305,6.45759514308147,1,2403.33389928172,0.498567867540885
"9095","RABEP2",0.0111285805314615,0.964123593181305,6.45466131948754,1,2403.33389928172,-1.10062340978203
"12409","MCTS1",0.0111969939911087,0.964123593181305,6.44374285292466,1,2403.33389928172,-0.536045953724614
"10104","METTL23",0.0113043695918048,0.964123593181305,6.42674359943773,1,2403.33389928172,0.538954749816322
"1533","TET3",0.0113178579985776,0.964123593181305,6.42461990403614,1,2403.33389928172,0.332441806334705
"2589","CEP63",0.0113194488746945,0.964123593181305,6.42436959837538,1,2403.33389928172,-0.619024072925414
"90","DFFA",0.011439677565855,0.964123593181305,6.40555682937251,1,2403.33389928172,-0.911517508451191
"11574","SLC12A5",0.0114784914203244,0.964123593181305,6.39952677449413,1,2403.33389928172,0.604690477259287
"776","S100A12",0.0117082013182725,0.964123593181305,6.3642627526497,1,2403.33389928172,-10
"8448","NIPA1",0.0119452272489641,0.964123593181305,6.32861306028503,1,2403.33389928172,-1.15362710026912
"8699","MYO9A",0.0119561780344202,0.964123593181305,6.3269836296485,1,2403.33389928172,-0.473579924050797
