"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"6638","SPI1",3.72606982911353e-35,4.67286417269127e-31,158.167075971646,1,2357.51746289694,-1.63789261875999
"5922","PTGDS",8.2405682889378e-30,5.16724834557845e-26,132.214890793733,1,2357.51746289694,4.83612561607338
"3454","SSBP2",5.63698459638199e-29,2.35644746077422e-25,128.187223334122,1,2357.51746289694,1.78318980684824
"11032","APOE",6.475005068545e-24,2.03007596411557e-20,103.943137985265,1,2357.51746289694,0.919220193780163
"10207","EPB41L3",2.06420108692848e-23,5.17742916623402e-20,101.546202838987,1,2357.51746289694,-1.2089820474285
"1061","CHIT1",6.34369246654192e-22,1.32593745371504e-18,94.4814399254381,1,2357.51746289694,3.34421097480624
"1743","KYNU",1.27558643772694e-20,2.2853042165048e-17,88.3125812340884,1,2357.51746289694,1.0731143252329
"9954","MSI2",1.51562508871355e-19,2.37593177969458e-16,83.2402663861652,1,2357.51746289694,2.18389168117047
"7284","MGST1",5.4239779988279e-19,6.90811382698143e-16,80.6327057607518,1,2357.51746289694,1.96607030906996
"8282","PAPLN",5.5084234327258e-19,6.90811382698143e-16,80.6011334312197,1,2357.51746289694,2.62304122586394
"6950","NARS2",7.49348967824866e-19,8.54325945953786e-16,79.9723017681551,1,2357.51746289694,2.28146174271552
"1396","CYP1B1",1.15524306439098e-18,1.20732527254394e-15,79.0882186272576,1,2357.51746289694,1.28748728729164
"1009","C1orf21",3.08265763814419e-17,2.97381611076664e-14,72.3952303938694,1,2357.51746289694,1.30525128493544
"7578","BTG1",1.66615898302579e-16,1.49252141472332e-13,68.966623318538,1,2357.51746289694,0.966011072048206
"639","C1orf162",1.95690160436929e-16,1.63610020135968e-13,68.6401645261907,1,2357.51746289694,-1.18403025442532
"2019","ARMC9",2.95390439153415e-16,2.31530718588936e-13,67.8047037940544,1,2357.51746289694,1.1712999405423
"11518","SAMHD1",4.33924351824051e-16,3.2010854683679e-13,67.0248048576698,1,2357.51746289694,-0.771597046121297
"5057","MSR1",1.3415872583216e-15,9.34713655922845e-13,64.7379489669697,1,2357.51746289694,-0.831561725596392
"6051","ITGB1",1.97918524275575e-15,1.30636642786315e-12,63.9509288083385,1,2357.51746289694,0.882050062115315
"7928","FNDC3A",3.37877354988999e-15,2.11865995445852e-12,62.8690522430144,1,2357.51746289694,0.984411418506231
"11176","FPR3",8.36967840294149e-15,4.89563405515039e-12,61.0358556644091,1,2357.51746289694,-0.8263007876885
"3153","ELF2",8.58814681550982e-15,4.89563405515039e-12,60.9838134189768,1,2357.51746289694,0.935656572900946
"9207","MMP2",1.88257408539096e-14,1.02649398282122e-11,59.3995444013335,1,2357.51746289694,2.65811818325379
"7889","FOXO1",5.06960858533901e-14,2.64908171953069e-11,57.4023113789295,1,2357.51746289694,1.50363082681057
"5972","SFMBT2",7.33202897816487e-14,3.67803901660663e-11,56.6590825823033,1,2357.51746289694,-1.16615155286882
"6378","HTRA1",1.9882776215804e-13,9.59038063547685e-11,54.6516302922684,1,2357.51746289694,1.68805459649686
"11033","APOC1",2.49357412096933e-13,1.15058937234923e-10,54.196355009224,1,2357.51746289694,1.0105747971052
"4570","ELMO1",2.56889422101733e-13,1.15058937234923e-10,54.1365366618799,1,2357.51746289694,-0.89578029488834
"11239","LILRB4",2.8608873969978e-13,1.23718582226722e-10,53.920155416965,1,2357.51746289694,0.953635034579669
"3864","KIF13A",2.98851626488088e-13,1.24929941592904e-10,53.8324415665312,1,2357.51746289694,0.795618697754478
"4254","AK9",3.19836210855509e-13,1.2938922323674e-10,53.6960706548623,1,2357.51746289694,1.95554610428488
"9478","ATP2A3",3.85909955334466e-13,1.51240523432798e-10,53.3187604035569,1,2357.51746289694,1.73974107021681
"3664","CSF1R",4.11854705123602e-13,1.56517268392578e-10,53.1880557248324,1,2357.51746289694,-1.04896741207685
"3773","COL23A1",1.20525748072483e-12,4.44562766640296e-10,51.032908894937,1,2357.51746289694,-1.25245551587254
"3322","FYB1",1.77049266088291e-12,6.34392813146645e-10,50.2619186135219,1,2357.51746289694,-0.790147335219581
"1435","CALM2",2.17186200783456e-12,7.56592262229254e-10,49.8524630494621,1,2357.51746289694,-0.758202366592953
"11534","MAFB",2.35890374705277e-12,7.99540861940236e-10,49.6869518915351,1,2357.51746289694,-0.773355659336208
"3131","ANXA5",5.91751785747164e-12,1.95293661711978e-09,47.8457830584196,1,2357.51746289694,-0.87247460148761
"9344","ZNRF1",1.58989158983513e-11,5.11252062259546e-09,45.8703271559083,1,2357.51746289694,2.20105286354613
"1380","LTBP1",1.90775793772916e-11,5.98129807426534e-09,45.5063812574189,1,2357.51746289694,4.71720136975086
"3873","SOX4",2.26595742804021e-11,6.93106636708592e-09,45.1628949277274,1,2357.51746289694,1.67032697489762
"11633","CTSZ",2.49180795034725e-11,7.44041988221544e-09,44.9732754783422,1,2357.51746289694,-0.67638809603754
"7285","PLEKHA5",3.80751977802675e-11,1.11046757061008e-08,44.1275140103161,1,2357.51746289694,1.6693746299541
"6870","GAL",4.22282619326757e-11,1.19576146942784e-08,43.9210875488975,1,2357.51746289694,3.78057807711567
"3734","CPEB4",4.29066789923074e-11,1.19576146942784e-08,43.8893117992297,1,2357.51746289694,0.866344620392084
"704","TXNIP",5.18642643859356e-11,1.41397769492178e-08,43.5113630864076,1,2357.51746289694,0.575762413164201
"11428","SLC24A3",6.1524604069139e-11,1.64165970134271e-08,43.1709895896862,1,2357.51746289694,4.17972328842612
"6541","PDE3B",6.29839567638291e-11,1.64558708703163e-08,43.1242822437161,1,2357.51746289694,1.51362711205817
"5070","CSGALNACT1",9.81706780690564e-11,2.51256831360007e-08,42.2403778389822,1,2357.51746289694,4.55676803724471
"7639","TCP11L2",1.03139039153182e-10,2.5869333800401e-08,42.142098390882,1,2357.51746289694,2.02291350992809
"11901","AP1B1",1.14012759967402e-10,2.80359612304154e-08,41.9425976389403,1,2357.51746289694,-0.985853531383622
"3405","NAIP",1.21649639888363e-10,2.93386179584608e-08,41.8135713867999,1,2357.51746289694,-1.09763283742506
"4472","ACTB",1.42149576641585e-10,3.36358083143796e-08,41.5037102591864,1,2357.51746289694,-0.808067623968232
"2873","HTRA3",1.92210313118987e-10,4.46390654967633e-08,40.9036622109143,1,2357.51746289694,3.78459096986948
"11507","EPB41L1",2.52812641743692e-10,5.7645878911048e-08,40.3589054317954,1,2357.51746289694,1.51223777050643
"11214","ZNF331",2.67922549141339e-10,6.00002980139559e-08,40.2435552656037,1,2357.51746289694,0.983389578140864
"10070","GRB2",3.67046567489198e-10,8.07566842610882e-08,39.6182575081413,1,2357.51746289694,-0.504382980807907
"3641","ARHGAP26",4.40988953460302e-10,9.3820504627206e-08,39.2538702305117,1,2357.51746289694,-0.7815880545092
"7055","SIK3",4.41385038912778e-10,9.3820504627206e-08,39.2520880944855,1,2357.51746289694,0.715945854800849
"4345","CITED2",4.66667847388996e-10,9.63686444890304e-08,39.1415258762866,1,2357.51746289694,1.19374607425979
"4327","AHI1",4.68741512944012e-10,9.63686444890304e-08,39.1327256841361,1,2357.51746289694,1.25915806020569
"1357","FOSL2",4.80619534767601e-10,9.72169287987176e-08,39.0830576325868,1,2357.51746289694,1.26473511276833
"1755","TNFAIP6",5.26261929998756e-10,1.04759537525625e-07,38.903013243748,1,2357.51746289694,2.34276958174018
"5701","SLC44A1",5.51570739196247e-10,1.08082010004065e-07,38.8098097157329,1,2357.51746289694,0.922849545395686
"3159","MAML3",7.04995359743979e-10,1.35795628663734e-07,38.3229693540495,1,2357.51746289694,1.085554309379
"7648","CMKLR1",7.14656844893268e-10,1.35795628663734e-07,38.2959758260611,1,2357.51746289694,-1.12818439018074
"9778","FBXL20",8.54823299953471e-10,1.57812376440561e-07,37.9408741724916,1,2357.51746289694,0.884769158221453
"8596","DMXL2",8.55692655925216e-10,1.57812376440561e-07,37.9388590734117,1,2357.51746289694,0.52914680880677
"5976","CELF2",9.8022231828109e-10,1.78158957877727e-07,37.6695491502674,1,2357.51746289694,-0.87767905722155
"6147","MICU1",1.01287130058731e-09,1.81463128295222e-07,37.6046154749669,1,2357.51746289694,0.800356372504678
"2723","KLHL24",1.08118459813221e-09,1.90973747115156e-07,37.4752804414004,1,2357.51746289694,1.01589160884334
"8401","EVL",1.3121040899586e-09,2.28543019335706e-07,37.0917970190741,1,2357.51746289694,-1.40481551767468
"10254","ZNF521",1.68617716391055e-09,2.89675997432907e-07,36.5951160320406,1,2357.51746289694,3.84768794977536
"5851","FNBP1",1.80071804193198e-09,3.05173040052283e-07,36.4650222822649,1,2357.51746289694,-0.730528180286756
"11867","MIF",1.88678116823022e-09,3.12518301604645e-07,36.3726183840954,1,2357.51746289694,-0.961838879140712
