"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"3787","SQSTM1",1.91754296110038e-14,2.40479062751599e-10,59.3475769940577,1,2404.85334837179,-0.895255560897927
"1578","GNLY",1.47703255512427e-09,9.26173263690675e-06,36.8515144145302,1,2404.85334837179,4.95241270992098
"2376","CACNA2D3",6.13722015794762e-05,0.219739672527653,16.1169337417286,1,2404.85334837179,1.26504305609814
"7177","RAD51AP1",7.32930829132941e-05,0.219739672527653,15.7786837823964,1,2404.85334837179,-1.83397267464954
"4498","PHF14",8.7608513088132e-05,0.219739672527653,15.4391211926561,1,2404.85334837179,-0.841356996696014
"3710","HMMR",0.000123917818045804,0.259008892685405,14.7804065847184,1,2404.85334837179,3.06662209562164
"11497","ERGIC3",0.00015314110205678,0.274363222984869,14.3789836181433,1,2404.85334837179,0.67405384728307
"2280","SLC26A6",0.000336238350529166,0.527095644248284,12.8940090480288,1,2404.85334837179,1.14582141405861
"144","ALDH4A1",0.000605279138370912,0.686360944430758,11.790926706699,1,2404.85334837179,-2.54697027970888
"1234","CATSPERE",0.000622360852030174,0.686360944430758,11.7388681506405,1,2404.85334837179,-1.36341572769409
"6902","ARHGEF17",0.000628195438729838,0.686360944430758,11.7214168480904,1,2404.85334837179,-10
"9820","STAT5A",0.000670962787882161,0.686360944430758,11.5982908050208,1,2404.85334837179,-0.749115628065087
"6441","TMEM80",0.000756557846011905,0.686360944430758,11.3740627203659,1,2404.85334837179,-2.52481748562142
"7962","TBC1D4",0.000782433481500228,0.686360944430758,11.3113107421856,1,2404.85334837179,-1.79827057430418
"8661","CLPX",0.000820940448645353,0.686360944430758,11.2217084277704,1,2404.85334837179,-0.849613048530113
"3355","GZMA",0.00108887538841657,0.835972742479611,10.6959262148613,1,2404.85334837179,4.9158900812991
"7825","ZNF10",0.00118133875928497,0.835972742479611,10.544541911332,1,2404.85334837179,-1.93030536713789
"2952","TXK",0.00134423586345447,0.835972742479611,10.3049261190349,1,2404.85334837179,0.494322426737637
"8304","FCF1",0.00139266865057129,0.835972742479611,10.2393385369148,1,2404.85334837179,0.766038952980822
"7505","EEF1AKMT3",0.00139438598240597,0.835972742479611,10.2370555641373,1,2404.85334837179,-10
"1136","DUSP10",0.00146460600765674,0.835972742479611,10.1460679119497,1,2404.85334837179,-1.43695045678134
"8099","TINF2",0.00148127638941434,0.835972742479611,10.1251168075477,1,2404.85334837179,0.763987415500413
"3776","ZNF354B",0.00167819534592652,0.835972742479611,9.89427863249523,1,2404.85334837179,1.23614452540442
"9713","EVI2B",0.00170264856123281,0.835972742479611,9.86755019988386,1,2404.85334837179,-0.40027900386188
"9000","RSL1D1",0.0019893856498694,0.835972742479611,9.58032290068604,1,2404.85334837179,-0.657720413125741
"9129","SULT1A3",0.00200148810293261,0.835972742479611,9.56914313152579,1,2404.85334837179,-10
"7844","MIPEP",0.00206348716327958,0.835972742479611,9.51292578369187,1,2404.85334837179,0.986558896337129
"4840","EFCAB10",0.00218942162795403,0.835972742479611,9.40383048111588,1,2404.85334837179,-3.01403795566038
"2961","SCFD2",0.00220547400945499,0.835972742479611,9.39038436039054,1,2404.85334837179,0.733689139161778
"104","CLCN6",0.00220618219279452,0.835972742479611,9.38979344778474,1,2404.85334837179,-1.21139067797084
"8592","AP4E1",0.0022569690716088,0.835972742479611,9.34791099675034,1,2404.85334837179,-0.737799662445771
"3380","CENPK",0.00228584754708297,0.835972742479611,9.32452039296069,1,2404.85334837179,-10
"39","PEX10",0.00230411138727679,0.835972742479611,9.30988165321298,1,2404.85334837179,1.3050170751964
"619","AMPD2",0.00241971397915391,0.835972742479611,9.21987205235405,1,2404.85334837179,-0.855528804940282
"8220","DHRS7",0.00243046759725396,0.835972742479611,9.21172225929246,1,2404.85334837179,0.531769325546867
"3896","ZNF184",0.00260072021208683,0.835972742479611,9.08735864619387,1,2404.85334837179,-10
"2700","NLGN1",0.00267376716496836,0.835972742479611,9.03651621256392,1,2404.85334837179,3.60680496179208
"9899","PNPO",0.00269230282846542,0.835972742479611,9.02383939699888,1,2404.85334837179,0.752384116779665
"4189","DOP1A",0.00275945617163158,0.835972742479611,8.97864345190003,1,2404.85334837179,0.603484177809253
"3145","ABHD18",0.00287497808452772,0.835972742479611,8.90344818642324,1,2404.85334837179,0.457982624962355
"4074","TFEB",0.00289059922306046,0.835972742479611,8.89351652416782,1,2404.85334837179,-0.779172344885495
"6216","RPP30",0.00294380676829045,0.835972742479611,8.86009277395471,1,2404.85334837179,-0.933568636336649
"2668","LXN",0.00300218124633591,0.835972742479611,8.82412250432982,1,2404.85334837179,-1.16018934872648
"7871","BRCA2",0.00301119602635678,0.835972742479611,8.81863106417445,1,2404.85334837179,-0.647310968699452
"3603","SPATA24",0.00301411257626809,0.835972742479611,8.81685799744833,1,2404.85334837179,2.22657452019235
"9632","ALKBH5",0.00310364876288217,0.835972742479611,8.76325828798478,1,2404.85334837179,0.513511028154476
"2570","TMCC1",0.00313298133295126,0.835972742479611,8.74604008016257,1,2404.85334837179,-0.319066323211799
"487","AK4",0.00335659744788697,0.839559531310496,8.61992855934782,1,2404.85334837179,0.992635440923461
"2643","SERP1",0.00343375521286,0.839559531310496,8.57838908712245,1,2404.85334837179,0.257278430288881
"1827","NFE2L2",0.00346307284793989,0.839559531310496,8.56285378843064,1,2404.85334837179,-0.338166030985764
"4433","FAM120B",0.00354879923624081,0.839559531310496,8.51818389997696,1,2404.85334837179,0.420058027527989
"584","AGL",0.00355067319016306,0.839559531310496,8.51721973668703,1,2404.85334837179,0.682368222089984
"1860","ORMDL1",0.00372885784643301,0.839559531310496,8.42783120662683,1,2404.85334837179,-0.499674008457397
"9288","LCAT",0.00379226203912589,0.839559531310496,8.39706883572033,1,2404.85334837179,-10
"8975","ALG1",0.00380455320167063,0.839559531310496,8.39116604131259,1,2404.85334837179,0.914502215819489
"3994","PSMB8",0.00385144386603802,0.839559531310496,8.3688238642902,1,2404.85334837179,0.360789453944078
"4529","FAM221A",0.00401172572260303,0.839559531310496,8.29449217174125,1,2404.85334837179,-10
"5717","PTGR1",0.00404723184471947,0.839559531310496,8.27843540283941,1,2404.85334837179,-0.743789435269707
"3836","SLC35B3",0.00405261216486587,0.839559531310496,8.27601480771088,1,2404.85334837179,0.737256165317451
"7872","N4BP2L1",0.00411750661684044,0.839559531310496,8.2470740254212,1,2404.85334837179,0.528304562229083
"5390","LYNX1",0.00414032136270121,0.839559531310496,8.23700964192747,1,2404.85334837179,-10
"3361","MAP3K1",0.00415060130302613,0.839559531310496,8.23249324498715,1,2404.85334837179,-0.357473099772169
"7136","KCNJ1",0.00423654401049911,0.843341245010624,8.1951749534117,1,2404.85334837179,-10
"11995","APOBEC3A",0.00453952888479113,0.868092799203712,8.06950230790018,1,2404.85334837179,0.807233243346591
"4240","PDSS2",0.00455663939643665,0.868092799203712,8.06266235782469,1,2404.85334837179,-0.485740093440869
"5853","NCS1",0.00456854515169803,0.868092799203712,8.05791844143166,1,2404.85334837179,-1.49241759695564
"1759","CACNB4",0.00470550517725689,0.880772245193711,8.00423460219858,1,2404.85334837179,-10
"3163","RNF150",0.00480062909963477,0.882151840564263,7.96787825081905,1,2404.85334837179,-1.65990804009369
"8841","LINS1",0.00485355848807385,0.882151840564263,7.9479653392429,1,2404.85334837179,0.95210802385401
"12316","CHIC1",0.00503797094288968,0.902588479925421,7.88027586390537,1,2404.85334837179,1.09825851058328
"5577","CBWD3",0.00511627896836881,0.903707810455116,7.85229345249136,1,2404.85334837179,-2.8212593796441
"1278","KLF11",0.0052968134182532,0.913214274201367,7.78941164008847,1,2404.85334837179,-1.30001548642313
"956","VAMP4",0.00531573574808228,0.913214274201367,7.78294781115926,1,2404.85334837179,0.597860537379615
"857","MRPL24",0.0053995161361601,0.915072052210591,7.75460785908218,1,2404.85334837179,-2.82797318138758
"9434","VPS53",0.00585308200897496,0.93084935783782,7.60857660611257,1,2404.85334837179,-0.425080397810259
"3427","SV2C",0.00589181722221417,0.93084935783782,7.59664527430374,1,2404.85334837179,3.59517696329495
"355","NFYC",0.00590677855869857,0.93084935783782,7.5920582662485,1,2404.85334837179,-0.621436966232762
"3619","NDUFA2",0.00594911199727141,0.93084935783782,7.57914320834915,1,2404.85334837179,0.311471046824121
"8353","TTC8",0.0061241623980303,0.93084935783782,7.52671701545494,1,2404.85334837179,-1.51752140496244
"8448","NIPA1",0.00614511031402356,0.93084935783782,7.52054604756951,1,2404.85334837179,-1.30150620149688
"6187","PRXL2A",0.00637437568707293,0.93084935783782,7.45437838704061,1,2404.85334837179,-0.547514838204612
"6746","MACROD1",0.00677297767299399,0.93084935783782,7.34492658264158,1,2404.85334837179,-10
"4635","ERV3-1",0.00677500789593774,0.93084935783782,7.34438611699728,1,2404.85334837179,-0.997273864813286
"7012","CWF19L2",0.00683222938931987,0.93084935783782,7.32922088232094,1,2404.85334837179,-0.607443933445731
"12219","PORCN",0.00683915374302257,0.93084935783782,7.32739455355197,1,2404.85334837179,-10
"9646","MAPK7",0.00691138646530471,0.93084935783782,7.30845477280589,1,2404.85334837179,-2.84310756218471
"9565","CHD3",0.00696339967657248,0.93084935783782,7.29494153770143,1,2404.85334837179,-0.681209212997203
"9775","LINC00672",0.00702627278485894,0.93084935783782,7.27874394466251,1,2404.85334837179,-10
"9871","EFTUD2",0.00702694536805239,0.93084935783782,7.27857147355256,1,2404.85334837179,0.503972802612217
"6365","GRK5",0.0070524165547706,0.93084935783782,7.27205226638735,1,2404.85334837179,0.920878370603029
"534","SSX2IP",0.00707907150957032,0.93084935783782,7.26525580660136,1,2404.85334837179,1.15852254358426
"62","KLHL21",0.00709712475893198,0.93084935783782,7.26066744825472,1,2404.85334837179,-1.82555780688919
"606","AKNAD1",0.0075924144526243,0.93084935783782,7.13923538716941,1,2404.85334837179,0.945021178966219
"2317","IFRD2",0.00793448038465711,0.93084935783782,7.0600113129593,1,2404.85334837179,-2.14578159921414
"6827","B4GAT1",0.00793535805463941,0.93084935783782,7.05981256758114,1,2404.85334837179,1.424126888081
"1872","NABP1",0.00801863554996412,0.93084935783782,7.04105628513048,1,2404.85334837179,-0.332762490902409
"8007","RAB20",0.00802573379289171,0.93084935783782,7.03946680513916,1,2404.85334837179,0.350738030433614
"3137","NUDT6",0.00804019657200029,0.93084935783782,7.03623266299669,1,2404.85334837179,1.13622857216312
"6291","NPM3",0.00811286369109288,0.93084935783782,7.02007256707956,1,2404.85334837179,-2.18035902901517
"259","ZCCHC17",0.00811884338476311,0.93084935783782,7.01874937540068,1,2404.85334837179,0.428893185380719
"1625","C2orf92",0.00812400205850048,0.93084935783782,7.01760866099198,1,2404.85334837179,-10
"1189","C1orf198",0.00822965097694677,0.93084935783782,6.99440868119892,1,2404.85334837179,-10
"4641","TPST1",0.00824309987079118,0.93084935783782,6.99147726915792,1,2404.85334837179,-1.26428838819324
"11690","BTG3",0.00826366420440881,0.93084935783782,6.98700438173318,1,2404.85334837179,-0.90891459795862
"12073","TBC1D22A",0.00876085977047668,0.93084935783782,6.88219652203037,1,2404.85334837179,0.232852884442666
"9313","NOB1",0.00883937606197247,0.93084935783782,6.86620431180846,1,2404.85334837179,1.05612130254122
"2115","ATG7",0.00907619855000951,0.93084935783782,6.81883535836223,1,2404.85334837179,-0.225122063489276
"8033","PARP2",0.00910094027742599,0.93084935783782,6.81395979055013,1,2404.85334837179,-1.35757595021779
"5021","UBE3C",0.00911831725589683,0.93084935783782,6.81054362181569,1,2404.85334837179,0.36305053866078
"11450","NANP",0.0091646201779749,0.93084935783782,6.80147332536218,1,2404.85334837179,1.15679032203463
"897","DEDD",0.00922489904281686,0.93084935783782,6.78973538722305,1,2404.85334837179,-0.860292815888986
"1755","TNFAIP6",0.00926661474634366,0.93084935783782,6.78165813382974,1,2404.85334837179,1.04637511324496
"10570","ICAM1",0.00937698498301964,0.93084935783782,6.76046600144426,1,2404.85334837179,0.439470180323095
"2783","TM4SF19",0.00946991921491259,0.93084935783782,6.74281908851474,1,2404.85334837179,-1.42594980185809
"9052","MOSMO",0.00952575785052623,0.93084935783782,6.73230128612325,1,2404.85334837179,-0.621438879745923
"1256","SH3YL1",0.00957186296760923,0.93084935783782,6.72366442530083,1,2404.85334837179,-1.10333954153862
"8819","CRTC3",0.00972316840069633,0.93084935783782,6.69561715201107,1,2404.85334837179,-0.533203869375075
"100","FBXO6",0.00978080692656296,0.93084935783782,6.68505031927353,1,2404.85334837179,0.627468434504768
"3043","CDS1",0.00983489946365981,0.93084935783782,6.6751914928775,1,2404.85334837179,1.69186790893915
"5417","GPAA1",0.00997410120602223,0.93084935783782,6.65007427787576,1,2404.85334837179,-0.805233456846585
"10541","HNRNPM",0.0100216057165641,0.93084935783782,6.64158488704301,1,2404.85334837179,-0.367525930963295
"4778","MAP11",0.0100738731634342,0.93084935783782,6.63229188593557,1,2404.85334837179,-2.67091502383858
"11850","HIC2",0.0100774114531378,0.93084935783782,6.63166457666235,1,2404.85334837179,-2.65721886096251
"2893","FAM184B",0.0100961354481523,0.93084935783782,6.62834872508418,1,2404.85334837179,-10
"10787","ZNF737",0.0101111886046285,0.93084935783782,6.62568751704397,1,2404.85334837179,-1.86646426543291
"3435","TBCA",0.0101204762322701,0.93084935783782,6.62404760824434,1,2404.85334837179,0.27438097632769
"1910","STRADB",0.0101933424196267,0.93084935783782,6.61123500268731,1,2404.85334837179,0.693715468591787
"2557","EEFSEC",0.0102495403767978,0.93084935783782,6.60141731039356,1,2404.85334837179,-0.67395319654006
"6725","HNRNPUL2",0.010317491531143,0.93084935783782,6.58961984953893,1,2404.85334837179,-0.473726153015153
"10641","HOOK2",0.0105399980944887,0.93084935783782,6.55153950206272,1,2404.85334837179,0.785692912105944
"12486","DNASE1L1",0.0107352421785176,0.93084935783782,6.51879840527125,1,2404.85334837179,0.682056776905618
"10613","ZNF491",0.0107485667142069,0.93084935783782,6.5165862975738,1,2404.85334837179,-10
"7530","DYRK2",0.0107897177358443,0.93084935783782,6.50977223102752,1,2404.85334837179,-1.05990902643607
"10554","ZNF121",0.0109787998399324,0.93084935783782,6.47880183983905,1,2404.85334837179,-1.4193906201018
"6022","COMMD3",0.0110052049356921,0.93084935783782,6.47452048712509,1,2404.85334837179,0.561706641622035
"12424","ZNF280C",0.0110184271973711,0.93084935783782,6.47238057555814,1,2404.85334837179,0.972773754672595
"12274","UBQLN2",0.0110971171801695,0.93084935783782,6.45969955162982,1,2404.85334837179,0.703850642785421
"10796","ZNF493",0.0111930844555901,0.93084935783782,6.44435864664251,1,2404.85334837179,-1.47422662268961
"8091","IRF9",0.0112674816650793,0.93084935783782,6.4325584918308,1,2404.85334837179,-0.514546873830558
"2838","FAM193A",0.0113980734781966,0.93084935783782,6.41203750677648,1,2404.85334837179,-0.450156614714741
"2619","XRN1",0.0116185379048657,0.93084935783782,6.37793600736458,1,2404.85334837179,0.24290022355894
"7593","SNRPF",0.0116197398082935,0.93084935783782,6.37775192392498,1,2404.85334837179,0.535594463991925
"7919","ESD",0.0117072322781664,0.93084935783782,6.36440386050283,1,2404.85334837179,0.440950462349196
"8200","ATG14",0.0117193984051666,0.93084935783782,6.36255588721946,1,2404.85334837179,0.532156479046534
"10062","NT5C",0.0117961764465331,0.93084935783782,6.35093896702891,1,2404.85334837179,0.758669241393
"12301","IL2RG",0.0118260674378109,0.93084935783782,6.34643730005468,1,2404.85334837179,0.555728365838109
"2887","BST1",0.0118390087055162,0.93084935783782,6.34449193432364,1,2404.85334837179,0.602696075323624
