"","name","pval","adj_pval","f_statistic","df1","df2","lfc"
"9766","EPOP",7.13092262682418e-07,0.00894289006630021,24.7186850823174,1,2266.07113289605,4.33053383738146
"8446","CRIP1",6.02984487819125e-05,0.378101423086982,16.1541098175756,1,2266.07113289605,2.60569329334638
"5869","GTF3C4",0.000169284612456514,0.476442813002066,14.1919500003606,1,2266.07113289605,3.01010694876706
"9023","XYLT1",0.000191967156843046,0.476442813002066,13.9539765756806,1,2266.07113289605,-10
"1271","ITGB1BP1",0.000197115835316144,0.476442813002066,13.9039172600323,1,2266.07113289605,2.07405318321214
"7459","RPS26",0.000275800334360959,0.476442813002066,13.2696022186321,1,2266.07113289605,0.91739061703939
"6999","MMP7",0.000288957048665645,0.476442813002066,13.1817429902868,1,2266.07113289605,4.29326772074393
"6460","LSP1",0.000303926521331356,0.476442813002066,13.0865589761801,1,2266.07113289605,1.16164002577475
"4174","TMEM30A",0.000432491028471628,0.52360366510759,12.42297947093,1,2266.07113289605,-2.07680132632011
"6446","RPLP2",0.000444767958583121,0.52360366510759,12.3704232831998,1,2266.07113289605,0.954922563955044
"8144","PNN",0.000509960172827231,0.52360366510759,12.1138154958757,1,2266.07113289605,-10
"12205","UBA1",0.00051122287953057,0.52360366510759,12.1091791954087,1,2266.07113289605,1.80826596780019
"10022","PITPNC1",0.000542767534199718,0.52360366510759,11.9969637643544,1,2266.07113289605,-2.5460863185556
"2543","CFAP100",0.00064122273972141,0.536607872109058,11.6849205142512,1,2266.07113289605,5.90793148061822
"8564","B2M",0.000688917294898729,0.536607872109058,11.5507911129337,1,2266.07113289605,-0.572551427331693
"11909","MTMR3",0.000727473541474632,0.536607872109058,11.4490527052344,1,2266.07113289605,-3.31961833790766
"8799","ISG20",0.000761047199797899,0.536607872109058,11.3648079190858,1,2266.07113289605,-3.51317504326992
"2280","SLC26A6",0.000770189115538078,0.536607872109058,11.3425191190494,1,2266.07113289605,2.79874401961546
"8694","RPLP1",0.000921602257880328,0.598330678173055,11.0078690424201,1,2266.07113289605,0.769748487385801
"5778","RPL35",0.000954199311335707,0.598330678173055,10.9431395342663,1,2266.07113289605,0.815539772086155
"6668","CTNND1",0.00117301024041953,0.700510544052446,10.5592290766991,1,2266.07113289605,-2.53854369234511
"3910","HLA-F",0.001406963596419,0.778298987288039,10.2218802450734,1,2266.07113289605,-10
"5598","NMRK1",0.00149672709853498,0.778298987288039,10.1073384787956,1,2266.07113289605,-10
"2965","TMEM165",0.0015061919058545,0.778298987288039,10.0956691239102,1,2266.07113289605,-2.13816043415632
"11086","SELENOW",0.0015702298164615,0.778298987288039,10.0186160468646,1,2266.07113289605,1.0804976724532
"8857","NME4",0.00161356938597313,0.778298987288039,9.96825470456221,1,2266.07113289605,1.5746878498113
"7108","CLMP",0.00173699089068119,0.784047517275316,9.83201685534768,1,2266.07113289605,4.59322479650139
"10460","EBI3",0.00175992133690994,0.784047517275316,9.80778996600886,1,2266.07113289605,5.45860102104488
"1058","TMEM183A",0.00185721569290101,0.784047517275316,9.70843611559712,1,2266.07113289605,1.72084794688549
"6893","INPPL1",0.00187556219745311,0.784047517275316,9.69029415803595,1,2266.07113289605,1.74423394648763
"9967","PPM1E",0.00208917752423892,0.823385358356649,9.4913981720277,1,2266.07113289605,5.26479986000339
"9822","CAVIN1",0.00210097531834884,0.823385358356649,9.48102297315519,1,2266.07113289605,4.21562299719628
"2211","RPSA",0.00243315627821978,0.86224995705762,9.21088649711676,1,2266.07113289605,1.05779014792419
"2517","CD86",0.0026700714997189,0.86224995705762,9.04020882109188,1,2266.07113289605,-1.44752652190146
"1055","KLHL12",0.00267262498012708,0.86224995705762,9.03845427672967,1,2266.07113289605,1.95512169444921
"3558","RAD50",0.00281462466195206,0.86224995705762,8.94347319311142,1,2266.07113289605,-10
"2783","TM4SF19",0.00286320022698669,0.86224995705762,8.91209624331364,1,2266.07113289605,2.4172149602997
"5548","TPM2",0.00286724094275524,0.86224995705762,8.90951059957249,1,2266.07113289605,3.27561551424107
"4334","IFNGR1",0.00298257082503996,0.86224995705762,8.83723221973394,1,2266.07113289605,-1.62061295459155
"3259","FRG1",0.00299485354803225,0.86224995705762,8.82970253605016,1,2266.07113289605,1.44979133374778
"11127","FCGRT",0.00305438487620764,0.86224995705762,8.79364730400047,1,2266.07113289605,-1.00653697276676
"597","RNPC3",0.00318813464110114,0.86224995705762,8.71518141171981,1,2266.07113289605,-10
"8473","SCG5",0.00319818755793668,0.86224995705762,8.70941966750684,1,2266.07113289605,3.44832667089065
"8123","AKAP6",0.00323626036171075,0.86224995705762,8.68776429697112,1,2266.07113289605,4.54982358799071
"5269","OTUD6B",0.0032508459091509,0.86224995705762,8.67953677690761,1,2266.07113289605,2.33977080705833
"6459","TNNI2",0.00325960637061788,0.86224995705762,8.67461314127338,1,2266.07113289605,2.43100457070059
"8154","RPS29",0.00326596640052852,0.86224995705762,8.67104704355219,1,2266.07113289605,0.771796338520751
"1775","BAZ2B",0.00333154777023208,0.86224995705762,8.63468186495835,1,2266.07113289605,-1.37475064301639
"3318","CPLANE1",0.00336896961134067,0.86224995705762,8.614256185189,1,2266.07113289605,-10
"5464","JAK2",0.0035809300748278,0.883085177287936,8.50275135902968,1,2266.07113289605,-1.98827110451982
"8651","TRIP4",0.00359380842945456,0.883085177287936,8.49619456728564,1,2266.07113289605,-3.0121799130906
"7668","ANKRD13A",0.00366162421010866,0.883085177287936,8.46205711628648,1,2266.07113289605,-10
"5677","NANS",0.00391286009237937,0.903816996466901,8.34096695169732,1,2266.07113289605,-10
"4783","PILRB",0.00395576158013691,0.903816996466901,8.32108331498443,1,2266.07113289605,1.87575737387016
"8468","KLF13",0.00400810880563828,0.903816996466901,8.29711716526814,1,2266.07113289605,-2.22350364264906
"11592","B4GALT5",0.00403586251512211,0.903816996466901,8.28453964390987,1,2266.07113289605,-3.01699471366124
"4922","TMEM140",0.00412218108957811,0.904991818899137,8.24597714606687,1,2266.07113289605,-10
"8067","PSMB5",0.00421054606048148,0.904991818899137,8.20734313911147,1,2266.07113289605,1.4410344102864
